locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Kraków Bronowice,ul. Armii Krajowej,3,54,972000,18000,bez pośredników,,7,https://adresowo.pl/o/mieszkanie-krakow-bronowice-ul-armii-krajowej-3-pokojowe-s2j9q6,https://s2.adresowa.pl/oi/32/20/3cdb96_a2eb_cover@2x-3-pokojowe-mieszkanie-krakow-bronowice-ul-armii-krajowej.webp
Kraków Bieżanów,ul. ks. Piotra Ściegiennego,2,44,600000,13636,bez pośredników,,19,https://adresowo.pl/o/mieszkanie-krakow-biezanow-ul-ks-piotra-sciegiennego-2-pokojowe-g5q6x8,https://s2.adresowa.pl/oi/32/2a/3d2c66_4937_cover@2x-2-pokojowe-mieszkanie-krakow-biezanow-ul-ks-piotra-sciegiennego.webp
Kraków Krowodrza,ul. Józefa Wybickiego,3,63,980000,15556,bez pośredników,,11,https://adresowo.pl/o/mieszkanie-krakow-krowodrza-ul-jozefa-wybickiego-3-pokojowe-r6w7u4,https://s2.adresowa.pl/oi/4e/75/3d2a68_3e48_cover@2x-3-pokojowe-mieszkanie-krakow-krowodrza-ul-jozefa-wybickiego.webp
Kraków,ul. Kobierzyńska,2,45,754947,16777,bez pośredników,,+3 podobne oferty,https://adresowo.pl/o/mieszkanie-krakow-ul-kobierzynska-2-pokojowe-a1r5e5,https://s2.adresowa.pl/development/670664/nowe-mieszkania-apartamenty-casa-sole-4bda_cover.jpg
Kraków Prądnik Biały,ul. Legnicka,2,45,698000,15511,Pośrednik,,18,https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-ul-legnicka-2-pokojowe-q0r9h8,https://s2.adresowa.pl/oi/2b/33/3d2ed2_dc6e_cover@2x-2-pokojowe-mieszkanie-krakow-pradnik-bialy-ul-legnicka.webp
Kraków,ul. Mała Góra,2,37,627000,16946,Pośrednik,,19,https://adresowo.pl/o/mieszkanie-krakow-ul-mala-gora-2-pokojowe-c8d8x5,https://s2.adresowa.pl/oi/58/68/3d2eca_c38d_cover@2x-2-pokojowe-mieszkanie-krakow-ul-mala-gora.webp
Kraków Olsza,ul. Celarowska,3,46,695000,15109,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-krakow-olsza-ul-celarowska-3-pokojowe-h7p9h6,https://s2.adresowa.pl/oi/14/18/3d2990_aa52_cover@2x-3-pokojowe-mieszkanie-krakow-olsza-ul-celarowska.webp
Kraków Prądnik Biały,ul. Adama Vetulaniego,2,38,685000,18026,bez pośredników,,20,https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-ul-adama-vetulaniego-2-pokojowe-h7g8t1,https://s2.adresowa.pl/oi/3c/45/3d28b6_83c9_cover@2x-2-pokojowe-mieszkanie-krakow-pradnik-bialy-ul-adama-vetulaniego.webp
Kraków,ul. Kobierzyńska,3,61,903609,14813,bez pośredników,,+6 podobnych ofert,https://adresowo.pl/o/mieszkanie-krakow-ul-kobierzynska-3-pokojowe-i5y1f2,https://s2.adresowa.pl/development/670664/nowe-mieszkania-apartamenty-casa-sole-4bda_cover.jpg
Kraków Czyżyny,ul. Bolesława Orlińskiego,3,65,985000,15154,Pośrednik,,23,https://adresowo.pl/o/mieszkanie-krakow-czyzyny-ul-boleslawa-orlinskiego-3-pokojowe-h3o2z2,https://s2.adresowa.pl/oi/7d/31/3d2ec0_53b2_cover@2x-3-pokojowe-mieszkanie-krakow-czyzyny-ul-boleslawa-orlinskiego.webp
Kraków Prokocim,ul. Bieżanowska,2,33,561510,17015,Pośrednik,,13,https://adresowo.pl/o/mieszkanie-krakow-prokocim-ul-biezanowska-2-pokojowe-j3a8b7,https://s2.adresowa.pl/oi/38/35/3d29a0_eee8_cover@2x-2-pokojowe-mieszkanie-krakow-prokocim-ul-biezanowska.webp
Kraków Czyżyny,ul. Bolesława Orlińskiego,2,55,850000,15455,bez pośredników,,12,https://adresowo.pl/o/mieszkanie-krakow-czyzyny-ul-boleslawa-orlinskiego-2-pokojowe-y2e0a0,https://s2.adresowa.pl/oi/1b/5a/3d25c0_7628_cover@2x-2-pokojowe-mieszkanie-krakow-czyzyny-ul-boleslawa-orlinskiego.webp
Kraków Płaszów,ul. Mierzeja Wiślana,1,28,455000,16250,bez pośredników,,15,https://adresowo.pl/o/mieszkanie-krakow-plaszow-ul-mierzeja-wislana-1-pokoj-s6n3f4,https://s2.adresowa.pl/oi/20/3e/3d25ae_e2d3_cover@2x-1-pokojowe-mieszkanie-krakow-plaszow-ul-mierzeja-wislana.webp
Kraków Bieżanów,ul. Henryka i Karola Czeczów,2,41,zapytaj,,bez pośredników,,+16 podobnych ofert,https://adresowo.pl/o/mieszkanie-krakow-biezanow-ul-henryka-i-karola-czeczow-2-pokojowe-w6e6v9,https://s2.adresowa.pl/development/449945/nowe-mieszkania-sloneczne-miasteczko-c8e4_cover.jpg
