locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Łódź Radogoszcz,ul. Pstrągowa,4,74,649000,8770,bez pośredników,,14,https://adresowo.pl/o/mieszkanie-lodz-radogoszcz-ul-pstragowa-4-pokojowe-p4z9z0,https://s2.adresowa.pl/oi/65/63/3d4c3e_d830_cover@2x-4-pokojowe-mieszkanie-lodz-radogoszcz-ul-pstragowa.webp
Łódź Bałuty,ul. Bolesława Limanowskiego,2,45,399500,8878,bez pośredników,,10,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-boleslawa-limanowskiego-2-pokojowe-z5a4s0,https://s2.adresowa.pl/oi/51/78/3d56f0_6f1b_cover@2x-2-pokojowe-mieszkanie-lodz-baluty-ul-boleslawa-limanowskiego.webp
Łódź Radogoszcz,ul. Biedronkowa,2,42,359000,8548,bez pośredników,,15,https://adresowo.pl/o/mieszkanie-lodz-radogoszcz-ul-biedronkowa-2-pokojowe-u1s6i7,https://s2.adresowa.pl/oi/13/73/3d56c2_da4f_cover@2x-2-pokojowe-mieszkanie-lodz-radogoszcz-ul-biedronkowa.webp
Łódź Retkinia,ul. Olimpijska,3,52,437000,8404,bez pośredników,,17,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-olimpijska-3-pokojowe-h8e6h7,https://s2.adresowa.pl/oi/49/1b/3d5686_eb9e_cover@2x-3-pokojowe-mieszkanie-lodz-retkinia-ul-olimpijska.webp
Łódź Żubardź,ul. Powstańców Wielkopolskich,1,23,209000,9087,Pośrednik,,8,https://adresowo.pl/o/mieszkanie-lodz-zubardz-ul-powstancow-wielkopolskich-1-pokoj-k6w0t1,https://s2.adresowa.pl/oi/79/2f/3d5156_4a40_cover@2x-1-pokojowe-mieszkanie-lodz-zubardz-ul-powstancow-wielkopolskich.webp
Łódź,al. Tadeusza Kościuszki,4,104,635000,6106,Pośrednik,,11,https://adresowo.pl/o/mieszkanie-lodz-al-tadeusza-kosciuszki-4-pokojowe-d9a5u7,https://s2.adresowa.pl/oi/4f/5a/3d50e6_e993_cover@2x-4-pokojowe-mieszkanie-lodz-al-tadeusza-kosciuszki.webp
Łódź Widzew,ul. Józefa Elsnera 11/19,2,48,360000,7500,bez pośredników,,7,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-jozefa-elsnera-2-pokojowe-y1d4r5,https://s2.adresowa.pl/oi/2a/4f/3d53b2_cd35_cover@2x-2-pokojowe-mieszkanie-lodz-widzew-ul-jozefa-elsnera.webp
Łódź Radogoszcz,ul. Łozowa,3,54,425000,7870,bez pośredników,,9,https://adresowo.pl/o/mieszkanie-lodz-radogoszcz-ul-lozowa-3-pokojowe-d3j6h3,https://s2.adresowa.pl/oi/60/78/3d5322_70ff_cover@2x-3-pokojowe-mieszkanie-lodz-radogoszcz-ul-lozowa.webp
Łódź Widzew,ul. Karola Adamieckiego,3,68,539999,7941,bez pośredników,,1,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-karola-adamieckiego-3-pokojowe-a7f1e3,https://s2.adresowa.pl/oi/64/33/3d52ee_b844_cover@2x-3-pokojowe-mieszkanie-lodz-widzew-ul-karola-adamieckiego.webp
Łódź,ul. Nawrot,3,60,399000,6650,Pośrednik,,16,https://adresowo.pl/o/mieszkanie-lodz-ul-nawrot-3-pokojowe-v7g1o4,https://s2.adresowa.pl/oi/46/48/3d509c_ffa5_cover@2x-3-pokojowe-mieszkanie-lodz-ul-nawrot.webp
