locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url,city_district,full_address,floor,year_built,building_type,price_per_sqm_detailed,description_text,has_basement,has_parking,kitchen_type,window_type,ownership_type,equipment,latitude,longitude
Łódź Śródmieście,ul. Solna,3.0,54.0,459000.0,8500.0,Bez pośredników,ponad tydzień temu,9.0,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-solna-3-pokojowe-c5s9x1,https://s2.adresowa.pl/oi/63/31/3b3116_3619_cover-3-pokojowe-mieszkanie-lodz-srodmiescie-ul-solna.jpg,,,10,1900.0,blok,,,,,,,,,,
Łódź Radogoszcz,ul. Aroniowa,3.0,76.0,799000.0,10512.0,Bez pośredników,wczorajnowe,25.0,https://adresowo.pl/o/mieszkanie-lodz-radogoszcz-ul-aroniowa-3-pokojowe-t0a6h4,https://s2.adresowa.pl/oi/53/7e/3b9c12_e770_cover-3-pokojowe-mieszkanie-lodz-radogoszcz-ul-aroniowa.jpg,,,parter,2018.0,kamienica,,,,,,,,,,
Łódź Polesie,Retkińska,2.0,43.0,330500.0,7686.0,Bez pośredników,wczorajnowe,6.0,https://adresowo.pl/o/mieszkanie-lodz-polesie-retkinska-2-pokojowe-e5y2c1,https://s2.adresowa.pl/oi/58/68/3b9bac_4613_cover-2-pokojowe-mieszkanie-lodz-polesie-retkinska.jpg,,,parter,2022.0,kamienica,,,,,,,,,,
Łódź Górna,ul. Tadeusza Czackiego,3.0,70.0,589000.0,8414.0,Bez pośredników,wczorajnowe,7.0,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-tadeusza-czackiego-3-pokojowe-y9x1o7,https://s2.adresowa.pl/oi/64/30/3b9b60_b80e_cover-3-pokojowe-mieszkanie-lodz-gorna-ul-tadeusza-czackiego.jpg,,,parter,1980.0,blok,,,,,,,,,51.735676,19.457036
Łódź Widzew,ul. Listopadowa,2.0,40.0,440000.0,11000.0,Bez pośredników,3 dni temu,14.0,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-listopadowa-2-pokojowe-d0d8r3,https://s2.adresowa.pl/oi/37/1a/3b98d2_4a55_cover-2-pokojowe-mieszkanie-lodz-widzew-ul-listopadowa.jpg,,,parter,2014.0,blok,,,,,,,,,,
Łódź Polesie,al. Unii Lubelskiej,2.0,52.0,420000.0,8077.0,Bez pośredników,3 dni temu,8.0,https://adresowo.pl/o/mieszkanie-lodz-polesie-al-unii-lubelskiej-2-pokojowe-f7b1c8,https://s2.adresowa.pl/oi/7c/26/3b97c2_c3ec_cover-2-pokojowe-mieszkanie-lodz-polesie-al-unii-lubelskiej.jpg,,,parter,,blok,,,,,,,,,51.767124,19.421505
Łódź Bałuty,ul. Traktorowa,2.0,45.0,422000.0,9378.0,Bez pośredników,3 dni temu,19.0,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-traktorowa-2-pokojowe-j9b9z5,https://s2.adresowa.pl/oi/2c/41/3b97aa_ecb3_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-traktorowa.jpg,,,parter,,blok,,,,,,,,,,
Łódź,ul. Tatrzańska,2.0,39.0,384000.0,9846.0,Oferta biura nieruchomości,5 dni temu,9.0,https://adresowo.pl/o/mieszkanie-lodz-ul-tatrzanska-2-pokojowe-d3a6r7,https://s2.adresowa.pl/oi/2d/57/3b89d8_bd3e_cover-2-pokojowe-mieszkanie-lodz-ul-tatrzanska.jpg,,,parter,1975.0,blok,,,,,,,,,51.733772,19.493948
Łódź Chojny,ul. Sąsiedzka,2.0,47.0,489000.0,10404.0,Oferta biura nieruchomości,5 dni temu,10.0,https://adresowo.pl/o/mieszkanie-lodz-chojny-ul-sasiedzka-2-pokojowe-a0x8k9,https://s2.adresowa.pl/oi/27/54/3b84d0_5dfa_cover-2-pokojowe-mieszkanie-lodz-chojny-ul-sasiedzka.jpg,,,parter,2022.0,blok,,,,,,,,,,
Łódź Polesie,ul. Wioślarska,2.0,44.0,409000.0,9295.0,Bez pośredników,3 dni temu,30.0,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-wioslarska-2-pokojowe-d2v5e7,https://s2.adresowa.pl/oi/3e/40/3b97a6_b62a_cover-2-pokojowe-mieszkanie-lodz-polesie-ul-wioslarska.jpg,,,3,,blok,,,,,,,,,,
