locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url,city_district,full_address,floor,year_built,building_type,price_per_sqm_detailed,description_text,has_basement,has_parking,kitchen_type,window_type,ownership_type,equipment,latitude,longitude
Łódź Śródmieście,ul. Solna,3,54,459000,8500,Bez pośredników,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-solna-3-pokojowe-c5s9x1,https://s2.adresowa.pl/oi/63/31/3b3116_3619_cover-3-pokojowe-mieszkanie-lodz-srodmiescie-ul-solna.jpg,,,1,1900,blok,,,,,,,,,51.777946,19.459999
Łódź Radogoszcz,ul. Aroniowa,3,76,799000,10512,Bez pośredników,wczorajnowe,25,https://adresowo.pl/o/mieszkanie-lodz-radogoszcz-ul-aroniowa-3-pokojowe-t0a6h4,https://s2.adresowa.pl/oi/53/7e/3b9c12_e770_cover-3-pokojowe-mieszkanie-lodz-radogoszcz-ul-aroniowa.jpg,,,799,2018,,,,,,,,,,51.828571,19.432974
Łódź Polesie,Retkińska,2,43,330500,7686,Bez pośredników,wczorajnowe,6,https://adresowo.pl/o/mieszkanie-lodz-polesie-retkinska-2-pokojowe-e5y2c1,https://s2.adresowa.pl/oi/58/68/3b9bac_4613_cover-2-pokojowe-mieszkanie-lodz-polesie-retkinska.jpg,,,1,1978,kamienica,,,,,,,,,,
,,,,,,Pośrednik,,,https://adresowo.pl/mieszkania/lodz/srodmiescie-1/,,,,parter,1912,kamienica,,,,,,,,,,
Łódź Górna,ul. Tadeusza Czackiego,3,70,589000,8414,Bez pośredników,wczorajnowe,7,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-tadeusza-czackiego-3-pokojowe-y9x1o7,https://s2.adresowa.pl/oi/64/30/3b9b60_b80e_cover-3-pokojowe-mieszkanie-lodz-gorna-ul-tadeusza-czackiego.jpg,,,parter,1980,blok,,,,,,,,,51.735676,19.457036
Łódź,,2,48,595000,12344,Oferta biura nieruchomości,3 dni temu,16,https://adresowo.pl/o/mieszkanie-lodz-2-pokojowe-48-m2-u9i6d5,https://s2.adresowa.pl/oi/4a/4d/3b98a4_e991_cover-2-pokojowe-mieszkanie-lodz.jpg,,,parter,2013,blok,,,,,,,,,,
Łódź Dąbrowa,,2,40,340000,8500,Oferta biura nieruchomości,3 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-2-pokojowe-40-m2-k3e6q3,https://s2.adresowa.pl/oi/15/13/3b9882_fb74_cover-2-pokojowe-mieszkanie-lodz-dabrowa.jpg,,,4,1970,blok,,,,,,,,,51.735214,19.492092
Łódź Widzew,ul. Listopadowa,2,40,440000,11000,Bez pośredników,3 dni temu,14,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-listopadowa-2-pokojowe-d0d8r3,https://s2.adresowa.pl/oi/37/1a/3b98d2_4a55_cover-2-pokojowe-mieszkanie-lodz-widzew-ul-listopadowa.jpg,,,parter,2014,blok,,,,,,,,,51.786444,19.540803
Łódź Polesie,al. Unii Lubelskiej,2,52,420000,8077,Bez pośredników,3 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-polesie-al-unii-lubelskiej-2-pokojowe-f7b1c8,https://s2.adresowa.pl/oi/7c/26/3b97c2_c3ec_cover-2-pokojowe-mieszkanie-lodz-polesie-al-unii-lubelskiej.jpg,,,parter,,blok,,,,,,,,,51.767124,19.421505
Łódź Bałuty,ul. Traktorowa,2,45,422000,9378,Bez pośredników,3 dni temu,19,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-traktorowa-2-pokojowe-j9b9z5,https://s2.adresowa.pl/oi/2c/41/3b97aa_ecb3_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-traktorowa.jpg,,,parter,,blok,,,,,,,,,51.801609,19.394994
Łódź,ul. Tatrzańska,2,39,384000,9846,Oferta biura nieruchomości,5 dni temu,9,https://adresowo.pl/o/mieszkanie-lodz-ul-tatrzanska-2-pokojowe-d3a6r7,https://s2.adresowa.pl/oi/2d/57/3b89d8_bd3e_cover-2-pokojowe-mieszkanie-lodz-ul-tatrzanska.jpg,,,parter,1975,blok,,,,,,,,,51.733772,19.493948
Łódź Chojny,ul. Sąsiedzka,2,47,489000,10404,Oferta biura nieruchomości,5 dni temu,10,https://adresowo.pl/o/mieszkanie-lodz-chojny-ul-sasiedzka-2-pokojowe-a0x8k9,https://s2.adresowa.pl/oi/27/54/3b84d0_5dfa_cover-2-pokojowe-mieszkanie-lodz-chojny-ul-sasiedzka.jpg,,,2,2022,blok,,,,,,,,,51.721561,19.500586
Łódź Polesie,ul. Wioślarska,2,44,409000,9295,Bez pośredników,3 dni temu,30,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-wioslarska-2-pokojowe-d2v5e7,https://s2.adresowa.pl/oi/3e/40/3b97a6_b62a_cover-2-pokojowe-mieszkanie-lodz-polesie-ul-wioslarska.jpg,,,parter,,blok,,,,,,,,,51.747815,19.42463
Łódź Górna,ul. Stanisława Przybyszewskiego,2,36,306000,8500,Bez pośredników,3 dni temu,4,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-stanislawa-przybyszewskiego-2-pokojowe-z1k9e1,https://s2.adresowa.pl/oi/71/5b/3b951a_45a0_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-stanislawa-przybyszewskiego.jpg,,,parter,1950,blok,,,,,,,,,51.750738,19.515395
Łódź Widzew,ul. Służbowa,3,62,510000,8214,Bez pośredników,3 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-sluzbowa-3-pokojowe-a7n3b2,https://s2.adresowa.pl/oi/3c/41/3b9460_e5c2_cover-3-pokojowe-mieszkanie-lodz-widzew-ul-sluzbowa.jpg,,,1986,1986,blok,,,,,,,,,51.761202,19.548112
Łódź Śródmieście,ul. Gdańska,2,38,333000,8763,Oferta biura nieruchomości,6 dni temu,17,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-gdanska-2-pokojowe-q5d2w5,https://s2.adresowa.pl/oi/51/6a/3b8194_8780_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-gdanska.jpg,,,1900,1900,,,,,,,,,,51.777329,19.447641
Łódź Górna,ul. gen. Jarosława Dąbrowskiego,3,50,395000,7957,Oferta biura nieruchomości,ponad tydzień temu,13,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-gen-jaroslawa-dabrowskiego-3-pokojowe-s9h2h6,https://s2.adresowa.pl/oi/17/59/3b7c16_b23d_cover-3-pokojowe-mieszkanie-lodz-gorna-ul-gen-jaroslawa-dabrowskiego.jpg,,,6,1964,blok,,,,,,,,,51.736508,19.498722
Łódź Chojny,ul. Rentowna,3,64,600000,9375,Bez pośredników,3 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-chojny-ul-rentowna-3-pokojowe-i0y2t6,https://s2.adresowa.pl/oi/5f/61/3b9416_f792_cover-3-pokojowe-mieszkanie-lodz-chojny-ul-rentowna.jpg,,,parter,,blok,,,,,,,,,51.720875,19.481237
Łódź Śródmieście,ul. Piotrkowska,3,85,730000,8588,Bez pośredników,3 dni temu,2,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-piotrkowska-3-pokojowe-h5c0i8,https://s2.adresowa.pl/oi/24/6f/3b93f8_872b_cover-3-pokojowe-mieszkanie-lodz-srodmiescie-ul-piotrkowska.jpg,,,parter,1911,kamienica,,,,,,,,,51.760568,19.458254
Łódź Śródmieście,ul. Stefana Żeromskiego,1,20,230000,11500,Bez pośredników,4 dni temu,6,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-stefana-zeromskiego-1-pokoj-r1f1l4,https://s2.adresowa.pl/oi/1d/20/3b9230_35d2_cover-1-pokojowe-mieszkanie-lodz-srodmiescie-ul-stefana-zeromskiego.jpg,,,parter,,kamienica,,,,,,,,,51.762494,19.44787
Łódź,ul. Drewnowska,1,37,263500,7199,Oferta biura nieruchomości,ponad tydzień temu,6,https://adresowo.pl/o/mieszkanie-lodz-ul-drewnowska-1-pokoj-l8u5w7,https://s2.adresowa.pl/oi/5a/26/3b7b46_81de_cover-1-pokojowe-mieszkanie-lodz-ul-drewnowska.jpg,,,263,,kamienica,,,,,,,,,51.781515,19.444785
Łódź Retkinia,ul. Maratońska,2,42,349000,8227,Oferta biura nieruchomości,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-maratonska-2-pokojowe-j6d3s7,https://s2.adresowa.pl/oi/10/6f/3b7b48_fa7a_cover-2-pokojowe-mieszkanie-lodz-retkinia-ul-maratonska.jpg,,,8,1972,blok,,,,,,,,,51.737604,19.393771
Łódź Radogoszcz,ul. Nastrojowa,2,50,465000,9300,Bez pośredników,4 dni temu,9,https://adresowo.pl/o/mieszkanie-lodz-radogoszcz-ul-nastrojowa-2-pokojowe-n5i9t7,https://s2.adresowa.pl/oi/6f/3b/3b9088_e0d7_cover-2-pokojowe-mieszkanie-lodz-radogoszcz-ul-nastrojowa.jpg,,,1,,blok,,,,,,,,,51.819222,19.442464
Łódź Śródmieście,,2,38,305000,8026,Bez pośredników,4 dni temu,7,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-2-pokojowe-38-m2-w7v9y9,https://s2.adresowa.pl/oi/12/3a/3b8ea8_9ac4_cover-2-pokojowe-mieszkanie-lodz-srodmiescie.jpg,,,parter,1915,,,,,,,,,,51.759292,19.455878
Łódź Polesie,ul. Krzysztofa Cedry,2,35,380000,10857,Bez pośredników,4 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-krzysztofa-cedry-2-pokojowe-k4r6q7,https://s2.adresowa.pl/oi/37/6c/3b8df6_fd69_cover-2-pokojowe-mieszkanie-lodz-polesie-ul-krzysztofa-cedry.jpg,,,1,,blok,,,,,,,,,51.783779,19.388481
Łódź,ul. Stefana Jaracza,2,64,434520,6800,Oferta biura nieruchomości,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-lodz-ul-stefana-jaracza-2-pokojowe-w7w2r9,https://s2.adresowa.pl/oi/3e/53/3b7b3e_6a2d_cover-2-pokojowe-mieszkanie-lodz-ul-stefana-jaracza.jpg,,,434,,blok,,,,,,,,,51.773125,19.460666
Łódź Żubardź,ul. Wielkopolska,2,38,262000,6853,Oferta biura nieruchomości,ponad tydzień temu,6,https://adresowo.pl/o/mieszkanie-lodz-zubardz-ul-wielkopolska-2-pokojowe-v3u5x1,https://s2.adresowa.pl/oi/2a/40/3b7b18_7099_cover-2-pokojowe-mieszkanie-lodz-zubardz-ul-wielkopolska.jpg,,,parter,1968,blok,,,,,,,,,51.791974,19.412384
Łódź Bałuty,ul. Wawelska,2,34,290000,8529,Bez pośredników,4 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-wawelska-2-pokojowe-f2w1h2,https://s2.adresowa.pl/oi/6b/78/3b8dd2_f8e1_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-wawelska.jpg,,,6,1980,blok,,,,,,,,,51.790531,19.456085
Łódź Bałuty,ul. Okopowa,1,33,415000,12433,Bez pośredników,4 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-okopowa-1-pokoj-g0m6k3,https://s2.adresowa.pl/oi/4f/27/3b8d3a_d699_cover-1-pokojowe-mieszkanie-lodz-baluty-ul-okopowa.jpg,,,3,2019,blok,,,,,,,,,51.795538,19.472551
Łódź Bałuty,"ul. Organizacji ""Wolność i Niezawisłość""",3,52,419000,8058,Bez pośredników,5 dni temu,6,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-organizacji-wolnosc-i-niezawislosc-3-pokojowe-u4n8s0,https://s2.adresowa.pl/oi/6b/4f/3b8b76_d1b1_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-organizacji-wolnosc-i-niezawislosc-.jpg,,,parter,1966,blok,,,,,,,,,51.788297,19.462868
Łódź Radogoszcz,ul. Nastrojowa,2,50,385000,7715,Oferta biura nieruchomości,ponad tydzień temu,11,https://adresowo.pl/o/mieszkanie-lodz-radogoszcz-ul-nastrojowa-2-pokojowe-k9i8b9,https://s2.adresowa.pl/oi/23/7c/3b7b1a_9e3b_cover-2-pokojowe-mieszkanie-lodz-radogoszcz-ul-nastrojowa.jpg,,,4,1979,blok,,,,,,,,,51.822354,19.440799
Łódź Bałuty,ul. Zgierska,1,29,206000,7028,Oferta biura nieruchomości,ponad tydzień temu,14,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-zgierska-1-pokoj-m2e8g3,https://s2.adresowa.pl/oi/65/25/3b75a0_e328_cover-1-pokojowe-mieszkanie-lodz-baluty-ul-zgierska.jpg,,,1,1968,blok,,,,,,,,,51.795379,19.447455
Łódź Polesie,ul. Lipowa,1,26,299000,11549,Bez pośredników,5 dni temu,3,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-lipowa-1-pokoj-o1d0d2,https://s2.adresowa.pl/oi/65/7d/3b8ac4_7136_cover-1-pokojowe-mieszkanie-lodz-polesie-ul-lipowa.jpg,,,4,2026,blok,,,,,,,,,51.767012,19.444778
Łódź Widzew,,3,60,456000,7600,Bez pośredników,5 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-widzew-3-pokojowe-60-m2-y4r6k3,https://s2.adresowa.pl/oi/78/1d/3b8996_3e6a_cover-3-pokojowe-mieszkanie-lodz-widzew.jpg,,,4,,blok,,,,,,,,,51.759292,19.455878
Łódź Górna,ul. Rolnicza,1,38,348000,9233,Bez pośredników,5 dni temu,12,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-rolnicza-1-pokoj-a2t7i7,https://s2.adresowa.pl/oi/31/42/3b14aa_f319_cover-1-pokojowe-mieszkanie-lodz-gorna-ul-rolnicza.jpg,,,3,1989,blok,,,,,,,,,51.722875,19.496252
Łódź Śródmieście,ul. Piotrkowska,6,206,1550000,7525,Oferta biura nieruchomości,ponad tydzień temu,20,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-piotrkowska-6-pokojowe-i2s4u9,https://s2.adresowa.pl/oi/39/4c/3b7162_a9c6_cover-6-pokojowe-mieszkanie-lodz-srodmiescie-ul-piotrkowska.jpg,,,3,2012,kamienica,,,,,,,,,51.7631,19.45741
Łódź,ul. Marysińska,2,47,360000,7725,Oferta biura nieruchomości,ponad tydzień temu,14,https://adresowo.pl/o/mieszkanie-lodz-ul-marysinska-2-pokojowe-z3b8s1,https://s2.adresowa.pl/oi/50/15/3b6cd2_ac7b_cover-2-pokojowe-mieszkanie-lodz-ul-marysinska.jpg,,,parter,1975,blok,,,,,,,,,,
Łódź Żabieniec,ul. Turoszowska,2,44,370000,8409,Bez pośredników,5 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-zabieniec-ul-turoszowska-2-pokojowe-b6t2o4,https://s2.adresowa.pl/oi/14/31/3b8882_4a62_cover-2-pokojowe-mieszkanie-lodz-zabieniec-ul-turoszowska.jpg,,,6,1960,blok,,,,,,,,,51.791102,19.412616
Łódź Julianów,ul. Łagiewnicka,3,53,530000,10000,Bez pośredników,5 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-julianow-ul-lagiewnicka-3-pokojowe-l5v5e1,https://s2.adresowa.pl/oi/32/16/3b880a_b2a6_cover-3-pokojowe-mieszkanie-lodz-julianow-ul-lagiewnicka.jpg,,,parter,,blok,,,,,,,,,51.814764,19.455697
Łódź Teofilów,ul. Łanowa,1,26,220000,8462,Bez pośredników,5 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-teofilow-ul-lanowa-1-pokoj-m0w7n3,https://s2.adresowa.pl/oi/20/57/3b85fc_d227_cover-1-pokojowe-mieszkanie-lodz-teofilow-ul-lanowa.jpg,,,2,,blok,,,,,,,,,,
Łódź Śródmieście,ul. Pilota Stanisława Wigury,3,61,490000,8051,Oferta biura nieruchomości,ponad tydzień temu,15,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-pilota-stanislawa-wigury-3-pokojowe-s9y0k4,https://s2.adresowa.pl/oi/13/54/3b6b1c_61fd_cover-3-pokojowe-mieszkanie-lodz-srodmiescie-ul-pilota-stanislawa-wigury.jpg,,,6,1980,blok,,,,,,,,,51.756237,19.462785
Łódź,ul. Pienista,3,74,739400,10000,Oferta biura nieruchomości,ponad tydzień temu,12,https://adresowo.pl/o/mieszkanie-lodz-ul-pienista-3-pokojowe-d9c2k4,https://s2.adresowa.pl/oi/5e/63/3b68fa_4445_cover-3-pokojowe-mieszkanie-lodz-ul-pienista.jpg,,,parter,2014,blok,,,,,,,,,51.735879,19.407552
Łódź,ul. dr. Adama Próchnika,4,91,730000,8003,Bez pośredników,ponad miesiąc temu,10,https://adresowo.pl/o/mieszkanie-lodz-ul-dr-adama-prochnika-4-pokojowe-keihix,https://s2.adresowa.pl/oi/9/6d/22484_e25_cover-4-pokojowe-mieszkanie-lodz-ul-dr-adama-prochnika.jpg,,,parter,1938,kamienica,,,,,,,,,51.773998,19.443001
Łódź Śródmieście,,3,62,811876,13099,Bez pośredników,5 dni temu,13,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-3-pokojowe-61-m2-y0n0m5,https://s2.adresowa.pl/oi/77/62/3b85f0_4f44_cover-3-pokojowe-mieszkanie-lodz-srodmiescie.jpg,,,parter,2026,blok,,,,,,,,,51.759292,19.455878
Łódź Śródmieście,ul. Ludwika Zamenhofa,2,134,1099000,8201,Bez pośredników,5 dni temu,1,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-ludwika-zamenhofa-2-pokojowe-x8q7q3,https://s2.adresowa.pl/oi/4f/45/3b84ca_2d85_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-ludwika-zamenhofa.jpg,,,1,,kamienica,,,,,,,,,51.761928,19.452907
,,,,,,Pośrednik,,,https://adresowo.pl/mieszkania/lodz/srodmiescie-1/,,,,parter,1912,kamienica,,,,,,,,,,
Łódź Bałuty,ul. Wojska Polskiego,2,47,360000,7660,Bez pośredników,5 dni temu,18,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-wojska-polskiego-2-pokojowe-k5p4k4,https://s2.adresowa.pl/oi/17/21/3b8422_4347_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-wojska-polskiego.jpg,,,4,1950,blok,,,,,,,,,,
Łódź,ul. gen. Józefa Bema,2,61,639900,10525,Oferta biura nieruchomości,ponad tydzień temu,12,https://adresowo.pl/o/mieszkanie-lodz-ul-gen-jozefa-bema-2-pokojowe-b8j3n0,https://s2.adresowa.pl/oi/63/34/3b68f0_4752_cover-2-pokojowe-mieszkanie-lodz-ul-gen-jozefa-bema.jpg,,,7,2011,blok,,,,,,,,,51.814821,19.444571
Łódź,pl. Wolności,2,57,450000,7852,Oferta biura nieruchomości,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-lodz-pl-wolnosci-2-pokojowe-g6a2t2,https://s2.adresowa.pl/oi/22/4f/3b68e8_31c9_cover-2-pokojowe-mieszkanie-lodz-pl-wolnosci.jpg,,,5,1978,blok,,,,,,,,,51.777076,19.455054
Łódź Radogoszcz,ul. Pstrągowa,3,60,495000,8223,Bez pośredników,5 dni temu,11,https://adresowo.pl/o/mieszkanie-lodz-radogoszcz-ul-pstragowa-3-pokojowe-z1e0k9,https://s2.adresowa.pl/oi/64/3a/3b83fa_9298_cover-3-pokojowe-mieszkanie-lodz-radogoszcz-ul-pstragowa.jpg,,,495,1987,blok,,,,,,,,,51.820484,19.436691
Łódź Dąbrowa,ul. Władysława Broniewskiego,2,36,255000,7021,Bez pośredników,6 dni temu,7,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-wladyslawa-broniewskiego-2-pokojowe-v6q4l7,https://s2.adresowa.pl/oi/71/35/3b83be_cfdf_cover-2-pokojowe-mieszkanie-lodz-dabrowa-ul-wladyslawa-broniewskiego.jpg,,,parter,1966,blok,,,,,,,,,51.732658,19.489284
Łódź Bałuty,ul. Szewska,3,59,525000,8898,Bez pośredników,6 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-szewska-3-pokojowe-j0s8w7,https://s2.adresowa.pl/oi/7b/3c/3b838c_820f_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-szewska.jpg,,,525,1973,blok,,,,,,,,,51.797012,19.456551
Łódź,ul. Senatorska,3,60,709000,11817,Oferta biura nieruchomości,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-lodz-ul-senatorska-3-pokojowe-n9p3i8,https://s2.adresowa.pl/oi/1a/78/3b68ec_72c9_cover-3-pokojowe-mieszkanie-lodz-ul-senatorska.jpg,,,2,2021,blok,,,,,,,,,51.748813,19.479248
Łódź Polesie,ul. Cmentarna,1,35,210000,6017,Oferta biura nieruchomości,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-cmentarna-1-pokoj-a4w7v8,https://s2.adresowa.pl/oi/43/23/3b68e6_c98d_cover-1-pokojowe-mieszkanie-lodz-polesie-ul-cmentarna.jpg,,,parter,,kamienica,,,,,,,,,51.775207,19.443342
Łódź Górna,,1,40,285000,7125,Bez pośredników,6 dni temu,10,https://adresowo.pl/o/mieszkanie-lodz-gorna-1-pokoj-40-m2-z3s9m0,https://s2.adresowa.pl/oi/34/11/3b831e_d3be_cover-1-pokojowe-mieszkanie-lodz-gorna.jpg,,,parter,1960,blok,,,,,,,,,51.759292,19.455878
Łódź Górna,ul. Rzgowska,2,54,470000,8704,Bez pośredników,6 dni temu,3,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-rzgowska-2-pokojowe-n3n7r0,https://s2.adresowa.pl/oi/7b/24/3b8226_c467_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-rzgowska.jpg,,,470,,blok,,,,,,,,,51.721576,19.483479
Łódź Bałuty,ul. Łanowa,2,37,270000,7297,Bez pośredników,6 dni temu,14,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-lanowa-2-pokojowe-o5r1v6,https://s2.adresowa.pl/oi/4e/3c/3b81de_5771_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-lanowa.jpg,,,parter,,blok,,,,,,,,,,
Łódź Żabieniec,ul. Turoszowska,2,43,279000,6565,Oferta biura nieruchomości,ponad tydzień temu,7,https://adresowo.pl/o/mieszkanie-lodz-zabieniec-ul-turoszowska-2-pokojowe-x3c9t7,https://s2.adresowa.pl/oi/37/2d/3b68da_363a_cover-2-pokojowe-mieszkanie-lodz-zabieniec-ul-turoszowska.jpg,,,279,,blok,,,,,,,,,51.791102,19.412616
Łódź Retkinia,,3,77,1000000,12963,Oferta biura nieruchomości,ponad tydzień temu,16,https://adresowo.pl/o/mieszkanie-lodz-retkinia-3-pokojowe-77-m2-l1u4r2,https://s2.adresowa.pl/oi/60/45/3b68dc_8b70_cover-3-pokojowe-mieszkanie-lodz-retkinia.jpg,,,1,2023,kamienica,,,,,,,,,51.74317,19.39393
Łódź Śródmieście,ul. Henryka Sienkiewicza,3,60,555000,9289,Bez pośredników,6 dni temu,16,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-henryka-sienkiewicza-3-pokojowe-o7q2y7,https://s2.adresowa.pl/oi/13/16/3b8196_59a6_cover-3-pokojowe-mieszkanie-lodz-srodmiescie-ul-henryka-sienkiewicza.jpg,,,2,1978,blok,,,,,,,,,51.760198,19.462809
Łódź Górna,,1,29,371000,12606,Bez pośredników,6 dni temu,15,https://adresowo.pl/o/mieszkanie-lodz-gorna-1-pokoj-29-m2-j6p5u7,https://s2.adresowa.pl/oi/40/47/3b8182_8055_cover-1-pokojowe-mieszkanie-lodz-gorna.jpg,,,parter,2025,blok,,,,,,,,,,
Łódź Śródmieście,ul. Piotrkowska,3,61,485000,7951,Bez pośredników,6 dni temu,6,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-piotrkowska-3-pokojowe-e0w0w7,https://s2.adresowa.pl/oi/6f/29/3b80fa_6125_cover-3-pokojowe-mieszkanie-lodz-srodmiescie-ul-piotrkowska.jpg,,,6,1980,blok,,,,,,,,,51.760568,19.458254
Łódź Bałuty,ul. Młynarska,2,40,392000,9849,Oferta biura nieruchomości,ponad tydzień temu,13,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-mlynarska-2-pokojowe-n3n7n0,https://s2.adresowa.pl/oi/70/7f/3b68d6_9aa2_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-mlynarska.jpg,,,parter,1960,blok,,,,,,,,,51.789836,19.458509
Łódź,ul. Jana Matejki,2,49,600000,12270,Oferta biura nieruchomości,ponad tydzień temu,11,https://adresowo.pl/o/mieszkanie-lodz-ul-jana-matejki-2-pokojowe-c9f3i1,https://s2.adresowa.pl/oi/62/1c/3b68d2_b220_cover-2-pokojowe-mieszkanie-lodz-ul-jana-matejki.jpg,,,parter,2017,apartamentowiec,,,,,,,,,51.780009,19.485024
