locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Warszawa Wawer,ul. Korkowa,2,38,495000,13200,Bez pośredników,ponad miesiąc temu,14,https://adresowo.pl/o/mieszkanie-warszawa-wawer-ul-korkowa-2-pokojowe-y9p8g8,https://s2.adresowa.pl/oi/46/57/384164_a190_cover-2-pokojowe-mieszkanie-warszawa-wawer-ul-korkowa.jpg
Warszawa Praga-Południe,ul. Bakaliowa,3,70,635000,9071,Bez pośredników,dzisiajnowe,1,https://adresowo.pl/o/mieszkanie-warszawa-praga-poludnie-ul-bakaliowa-3-pokojowe-h2s0o8,https://s2.adresowa.pl/oi/7e/76/3a3356_4446_cover-3-pokojowe-mieszkanie-warszawa-praga-poludnie-ul-bakaliowa.jpg
Warszawa Górny Mokotów,al. Niepodległości,3,55,1549000,27980,Bez pośredników,dzisiaj,16,https://adresowo.pl/o/mieszkanie-warszawa-gorny-mokotow-al-niepodleglosci-3-pokojowe-f6j3o6,https://s2.adresowa.pl/oi/68/22/3975ae_6315_cover-3-pokojowe-mieszkanie-warszawa-gorny-mokotow-al-niepodleglosci.jpg
,,,,,,Pośrednik,,,https://adresowo.pl/mieszkania/warszawa/bemowo-g/,
Warszawa Włochy,ul. Trzcinowa,2,49,zapytaj o cenę,,Bez pośredników,,7,https://adresowo.pl/o/mieszkanie-warszawa-wlochy-ul-trzcinowa-2-pokojowe-x8f6s8,https://s2.adresowa.pl/development/671574/nowe-mieszkania-trzcinowa-vita-1475_cover.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Warszawa Śródmieście,ul. Nowiniarska,1,33,580000,17438,Oferta biura nieruchomości,dzisiajnowe,12,https://adresowo.pl/o/mieszkanie-warszawa-srodmiescie-ul-nowiniarska-1-pokoj-j3y5t2,https://s2.adresowa.pl/oi/34/6b/3a327e_e303_cover-1-pokojowe-mieszkanie-warszawa-srodmiescie-ul-nowiniarska.jpg
Warszawa Śródmieście,ul. Solec,2,29,690000,23793,Oferta biura nieruchomości,dzisiajnowe,5,https://adresowo.pl/o/mieszkanie-warszawa-srodmiescie-ul-solec-2-pokojowe-e5a3k7,https://s2.adresowa.pl/oi/3f/6e/3a3278_5239_cover-2-pokojowe-mieszkanie-warszawa-srodmiescie-ul-solec.jpg
Warszawa Praga-Południe,ul. Jana Nowaka-Jeziorańskiego,2,45,950000,20939,Bez pośredników,dzisiajnowe,17,https://adresowo.pl/o/mieszkanie-warszawa-praga-poludnie-ul-jana-nowaka-jezioranskiego-2-pokojowe-x1k5o0,https://s2.adresowa.pl/oi/63/4d/3a3328_a02c_cover-2-pokojowe-mieszkanie-warszawa-praga-poludnie-ul-jana-nowaka-jezioranskiego.jpg
Warszawa Mokotów,ul. Bokserska,3,64,1460000,22938,Bez pośredników,dzisiajnowe,10,https://adresowo.pl/o/mieszkanie-warszawa-mokotow-ul-bokserska-3-pokojowe-a0y0n7,https://s2.adresowa.pl/oi/76/3a/3a31fe_6cf0_cover-3-pokojowe-mieszkanie-warszawa-mokotow-ul-bokserska.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Warszawa Bemowo,ul. Podgrodzie,2,48,zapytaj o cenę,,Bez pośredników,,7,https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-podgrodzie-2-pokojowe-t2i4v5,https://s2.adresowa.pl/development/671978/nowe-mieszkania-viva-cite-34b9_cover.jpg
Warszawa Żoliborz,ul. Adama Mickiewicza,2,30,560000,18667,Oferta biura nieruchomości,dzisiajnowe,6,https://adresowo.pl/o/mieszkanie-warszawa-zoliborz-ul-adama-mickiewicza-2-pokojowe-b0x2k3,https://s2.adresowa.pl/oi/66/45/3a3274_4d0a_cover-2-pokojowe-mieszkanie-warszawa-zoliborz-ul-adama-mickiewicza.jpg
Warszawa Mokotów,ul. Antoniego Józefa Madalińskiego,3,63,1749000,27984,Oferta biura nieruchomości,dzisiajnowe,13,https://adresowo.pl/o/mieszkanie-warszawa-mokotow-ul-antoniego-jozefa-madalinskiego-3-pokojowe-l7p1l1,https://s2.adresowa.pl/oi/6d/1b/3a3266_ebab_cover-3-pokojowe-mieszkanie-warszawa-mokotow-ul-antoniego-jozefa-madalinskiego.jpg
Warszawa Praga-Południe,ul. Wspólna Droga,2,34,572740,16950,Bez pośredników,wczoraj,11,https://adresowo.pl/o/mieszkanie-warszawa-praga-poludnie-ul-wspolna-droga-2-pokojowe-x4f6n7,https://s2.adresowa.pl/oi/24/4f/3a317c_cf12_cover-2-pokojowe-mieszkanie-warszawa-praga-poludnie-ul-wspolna-droga.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Warszawa Wola,ul. Obozowa,3,70,1620000,23070,Bez pośredników,wczoraj,20,https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-obozowa-3-pokojowe-g8r9p5,https://s2.adresowa.pl/oi/10/1b/3a3180_964e_cover-3-pokojowe-mieszkanie-warszawa-wola-ul-obozowa.jpg
Warszawa Chrzanów,ul. Szeligowska,2,44,zapytaj o cenę,,Bez pośredników,,7,https://adresowo.pl/o/mieszkanie-warszawa-chrzanow-ul-szeligowska-2-pokojowe-v1p3g9,https://s2.adresowa.pl/development/671220/nowe-mieszkania-bemowo-vita-2de2_cover.jpg
Warszawa Praga-Południe,ul. Garwolińska,2,39,550000,14286,Oferta biura nieruchomości,dzisiajnowe,13,https://adresowo.pl/o/mieszkanie-warszawa-praga-poludnie-ul-garwolinska-2-pokojowe-b6h7y4,https://s2.adresowa.pl/oi/48/52/3a325e_bbc6_cover-2-pokojowe-mieszkanie-warszawa-praga-poludnie-ul-garwolinska.jpg
Warszawa Bemowo,ul. Rosy Bailly,2,35,579000,16496,Oferta biura nieruchomości,dzisiajnowe,8,https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-rosy-bailly-2-pokojowe-m0p4l5,https://s2.adresowa.pl/oi/3b/41/3a325c_e7fd_cover-2-pokojowe-mieszkanie-warszawa-bemowo-ul-rosy-bailly.jpg
Warszawa Ursynów,ul. Polki,3,64,1200000,18859,Bez pośredników,wczoraj,9,https://adresowo.pl/o/mieszkanie-warszawa-ursynow-ul-polki-3-pokojowe-v3g2b7,https://s2.adresowa.pl/oi/44/32/3a3158_7394_cover-3-pokojowe-mieszkanie-warszawa-ursynow-ul-polki.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Warszawa Bemowo,ul. Batalionów Chłopskich,2,48,1430000,29792,Bez pośredników,wczoraj,17,https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-batalionow-chlopskich-2-pokojowe-p6h9l6,https://s2.adresowa.pl/oi/70/2c/3a3124_94c1_cover-2-pokojowe-mieszkanie-warszawa-bemowo-ul-batalionow-chlopskich.jpg
Warszawa Białołęka,ul. Ruskowy Bród,2,38,zapytaj o cenę,,Bez pośredników,,4,https://adresowo.pl/o/mieszkanie-warszawa-bialoleka-ul-ruskowy-brod-2-pokojowe-s4r1k3,https://s2.adresowa.pl/development/672198/nowe-mieszkania-aroniowa-vita-ce2f_cover.jpg
Warszawa Włochy,"ul. Batalionu ""Włochy""",2,53,780000,14717,Oferta biura nieruchomości,dzisiajnowe,2,https://adresowo.pl/o/mieszkanie-warszawa-wlochy-ul-batalionu-wlochy-2-pokojowe-m3t6u6,https://s2.adresowa.pl/oi/60/3b/3a3258_9823_cover-2-pokojowe-mieszkanie-warszawa-wlochy-ul-batalionu-wlochy-.jpg
Warszawa Wawer,ul. Żegańska,1,30,495000,16500,Oferta biura nieruchomości,dzisiajnowe,5,https://adresowo.pl/o/mieszkanie-warszawa-wawer-ul-zeganska-1-pokoj-e9i3u0,https://s2.adresowa.pl/oi/1c/77/3a3254_6a65_cover-1-pokojowe-mieszkanie-warszawa-wawer-ul-zeganska.jpg
Warszawa Śródmieście,ul. Nowolipie,2,43,680000,15933,Bez pośredników,wczoraj,1,https://adresowo.pl/o/mieszkanie-warszawa-srodmiescie-ul-nowolipie-2-pokojowe-r9z6g2,https://s2.adresowa.pl/oi/69/61/3a3100_2e80_cover-2-pokojowe-mieszkanie-warszawa-srodmiescie-ul-nowolipie.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Warszawa Śródmieście,ul. Nowolipki,2,37,855000,23405,Bez pośredników,wczoraj,9,https://adresowo.pl/o/mieszkanie-warszawa-srodmiescie-ul-nowolipki-2-pokojowe-q2l6a6,https://s2.adresowa.pl/oi/63/58/3a3040_a7de_cover-2-pokojowe-mieszkanie-warszawa-srodmiescie-ul-nowolipki.jpg
Warszawa Praga-Południe,ul. Podskarbińska,2,42,zapytaj o cenę,,Bez pośredników,,7,https://adresowo.pl/o/mieszkanie-warszawa-praga-poludnie-ul-podskarbinska-2-pokojowe-o4p8h9,https://s2.adresowa.pl/development/671216/nowe-mieszkania-aleje-praskie-951e_cover.jpg
Warszawa Białołęka,ul. Odkryta,3,100,1400000,14000,Oferta biura nieruchomości,dzisiajnowe,12,https://adresowo.pl/o/mieszkanie-warszawa-bialoleka-ul-odkryta-3-pokojowe-z3i0v8,https://s2.adresowa.pl/oi/6f/41/3a3252_fa6b_cover-3-pokojowe-mieszkanie-warszawa-bialoleka-ul-odkryta.jpg
Warszawa Wola,ul. Złocienia,2,38,895000,23553,Oferta biura nieruchomości,dzisiajnowe,18,https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-zlocienia-2-pokojowe-g0p7v5,https://s2.adresowa.pl/oi/45/7d/3a324e_463e_cover-2-pokojowe-mieszkanie-warszawa-wola-ul-zlocienia.jpg
Warszawa Wola,ul. Astronomów,3,54,949000,17493,Bez pośredników,wczoraj,12,https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-astronomow-3-pokojowe-h9b1m9,https://s2.adresowa.pl/oi/78/65/3a3024_fc6a_cover-3-pokojowe-mieszkanie-warszawa-wola-ul-astronomow.jpg
Warszawa Włochy,al. Dwudziestolatków,3,49,875000,18041,Bez pośredników,wczoraj,13,https://adresowo.pl/o/mieszkanie-warszawa-wlochy-al-dwudziestolatkow-3-pokojowe-x9y5n7,https://s2.adresowa.pl/oi/74/2f/3a300a_89d7_cover-3-pokojowe-mieszkanie-warszawa-wlochy-al-dwudziestolatkow.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Warszawa Włochy,al. Krakowska,2,53,zapytaj o cenę,,Bez pośredników,,7,https://adresowo.pl/o/mieszkanie-warszawa-wlochy-al-krakowska-2-pokojowe-f5h9l7,https://s2.adresowa.pl/development/671222/nowe-mieszkania-krakowska-vita-2056_cover.jpg
Warszawa Żoliborz,ul. Sady Żoliborskie,2,38,695000,18289,Oferta biura nieruchomości,dzisiajnowe,1,https://adresowo.pl/o/mieszkanie-warszawa-zoliborz-ul-sady-zoliborskie-2-pokojowe-c1k1t0,https://s2.adresowa.pl/oi/31/44/3a324a_2e68_cover-2-pokojowe-mieszkanie-warszawa-zoliborz-ul-sady-zoliborskie.jpg
Warszawa Włochy,ul. Obywatelska,2,55,966000,17503,Oferta biura nieruchomości,dzisiajnowe,18,https://adresowo.pl/o/mieszkanie-warszawa-wlochy-ul-obywatelska-2-pokojowe-g1r8m0,https://s2.adresowa.pl/oi/5c/13/3a3244_55d2_cover-2-pokojowe-mieszkanie-warszawa-wlochy-ul-obywatelska.jpg
Warszawa Targówek,,2,46,675176,14800,Bez pośredników,wczoraj,5,https://adresowo.pl/o/mieszkanie-warszawa-targowek-2-pokojowe-45-m2-v1o5k3,https://s2.adresowa.pl/oi/13/1c/3a2ffa_9576_cover-2-pokojowe-mieszkanie-warszawa-targowek.jpg
