locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url,city_district,full_address,floor,year_built,building_type,price_per_sqm_detailed,description_text,has_basement,has_parking,kitchen_type,window_type,ownership_type,equipment,latitude,longitude
Warszawa Bemowo,ul. Puszczy Solskiej,3.0,51.0,719000,13967.0,Bez pośredników,ponad miesiąc temu,22.0,https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-puszczy-solskiej-3-pokojowe-k8b4g3,https://s2.adresowa.pl/oi/2e/3e/3781ec_ed6c_cover-3-pokojowe-mieszkanie-warszawa-bemowo-ul-puszczy-solskiej.jpg,,,3,1976.0,blok,,,,,,,,,52.228001,20.91
Warszawa Kamionek,ul. Kałuszyńska,4.0,75.0,1560000,20940.0,Bez pośredników,wczorajnowe,11.0,https://adresowo.pl/o/mieszkanie-warszawa-kamionek-ul-kaluszynska-4-pokojowe-i8a4c9,https://s2.adresowa.pl/oi/62/69/3b9bec_9eee_cover-4-pokojowe-mieszkanie-warszawa-kamionek-ul-kaluszynska.jpg,,,parter,2018.0,blok,,,,,,,,,52.249001,21.063927
Warszawa Powiśle,ul. Górnośląska,2.0,38.0,630000,16800.0,Bez pośredników,wczorajnowe,9.0,https://adresowo.pl/o/mieszkanie-warszawa-powisle-ul-gornoslaska-2-pokojowe-q9g3u6,https://s2.adresowa.pl/oi/64/77/3b9bca_5bab_cover-2-pokojowe-mieszkanie-warszawa-powisle-ul-gornoslaska.jpg,,,7,1960.0,blok,,,,,,,,,52.225083,21.037561
Warszawa Śródmieście,ul. Marszałkowska,3.0,61.0,1390000,22787.0,Oferta biura nieruchomości,2 dni temu,18.0,https://adresowo.pl/o/mieszkanie-warszawa-srodmiescie-ul-marszalkowska-3-pokojowe-n4h8h3,https://s2.adresowa.pl/oi/4d/2a/3b9aac_85c0_cover-3-pokojowe-mieszkanie-warszawa-srodmiescie-ul-marszalkowska.jpg,,,5,1954.0,blok,,,,,,,,,52.218393,21.018453
Warszawa Bemowo,ul. płk. Witolda Łokuciewskiego,3.0,72.0,1260000,17500.0,Bez pośredników,wczorajnowe,16.0,https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-plk-witolda-lokuciewskiego-3-pokojowe-f2c9x2,https://s2.adresowa.pl/oi/29/14/3b9bbe_c5d8_cover-3-pokojowe-mieszkanie-warszawa-bemowo-ul-plk-witolda-lokuciewskiego.jpg,,,1,2018.0,blok,,,,,,,,,52.245649,20.898603
Warszawa Mokotów,ul. Barcelońska,1.0,31.0,455000,14677.0,Bez pośredników,wczorajnowe,8.0,https://adresowo.pl/o/mieszkanie-warszawa-mokotow-ul-barcelonska-1-pokoj-i0a5r0,https://s2.adresowa.pl/oi/7e/7b/3b9b72_c8a5_cover-1-pokojowe-mieszkanie-warszawa-mokotow-ul-barcelonska.jpg,,,10,1976.0,blok,,,,,,,,,,
Warszawa Żoliborz,ul. Rafała Krajewskiego,2.0,35.0,695000,19954.0,Oferta biura nieruchomości,2 dni temu,15.0,https://adresowo.pl/o/mieszkanie-warszawa-zoliborz-ul-rafala-krajewskiego-2-pokojowe-b4k0h3,https://s2.adresowa.pl/oi/3e/60/3b9a86_36bc_cover-2-pokojowe-mieszkanie-warszawa-zoliborz-ul-rafala-krajewskiego.jpg,,,1950,1950.0,blok,,,,,,,,,52.260462,20.997488
Warszawa Praga-Południe,ul. Jana Nowaka-Jeziorańskiego,2.0,54.0,980000,18071.0,Bez pośredników,2 dni temu,19.0,https://adresowo.pl/o/mieszkanie-warszawa-praga-poludnie-ul-jana-nowaka-jezioranskiego-2-pokojowe-v0k8v8,https://s2.adresowa.pl/oi/6a/4d/3b9b10_85cd_cover-2-pokojowe-mieszkanie-warszawa-praga-poludnie-ul-jana-nowaka-jezioranskiego.jpg,,,4,2011.0,blok,,,,,,,,,52.229313,21.107414
Warszawa Bemowo,ul. Obrońców Tobruku,4.0,105.0,2150000,20476.0,Bez pośredników,2 dni temu,10.0,https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-obroncow-tobruku-4-pokojowe-q1g7l5,https://s2.adresowa.pl/oi/71/44/3b99f6_98db_cover-4-pokojowe-mieszkanie-warszawa-bemowo-ul-obroncow-tobruku.jpg,,,2,,blok,,,,,,,,,,
Warszawa Śródmieście,pl. Konstytucji,2.0,27.0,959000,35000.0,Oferta biura nieruchomości,3 dni temu,19.0,https://adresowo.pl/o/mieszkanie-warszawa-srodmiescie-pl-konstytucji-2-pokojowe-d2d8q4,https://s2.adresowa.pl/oi/29/54/3b98b6_a753_cover-2-pokojowe-mieszkanie-warszawa-srodmiescie-pl-konstytucji.jpg,,,5,1950.0,blok,,,,,,,,,52.221615,21.015274
