locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url,city_district,full_address,floor,year_built,building_type,price_per_sqm_detailed,description_text,has_basement,has_parking,kitchen_type,window_type,ownership_type,equipment,latitude,longitude
Warszawa Bielany,ul. Rudzka,3,67,1590000,23731,bez pośredników,,15,https://adresowo.pl/o/mieszkanie-warszawa-bielany-ul-rudzka-3-pokojowe-s4x8x1,https://s2.adresowa.pl/oi/27/24/3c3010_f539_cover@2x-3-pokojowe-mieszkanie-warszawa-bielany-ul-rudzka.webp,Warszawa Bielany,Rudzka 28,2,2004,apartamentowiec,,"English version below. SPRZERDAŻ BEZPOŚREDNIA! przestronnego, trzypokojowego mieszkania o powierzchni 67 m², położonego na 2. piętrze w 5-piętrowym budynku z windą z 2004 roku, przy ul. Rudzkiej 28 na warszawskich Bielanach (Marymont Kaskada). Układ mieszkania: Przedpokój – 4,5 m² Salon – 20 m² Aneks kuchenny – 6 m² Sypialnia – 16 m² Drugi pokój – 11 m² (z wyjściem na balkon) Łazienka z wanną i prysznicem – 4,2 m² Oddzielna toaleta z pralką – 1,6 m² Garderoba/gabinet – 3,7 m² Balkon – 8,6 m² Do mieszkania przynależy miejsce postojowe w garażu podziemnym (dodatkowo płatne 60 000 pln- obligatoryjne). Istnieje możliwość wynajęcia drugiego miejsca parkingowego. Dodatkowo w okolicy można swobodnie parkować – brak strefy płatnego parkowania. Stan mieszkania: Mieszkanie jest odświeżone i gotowe do zamieszkania. Na podłogach położono solidną klepkę jesionową. Kuchnia została zaprojektowana przez stolarza – nowa zabudowa z blatem z konglomeratu, a także nowoczesne AGD (lodówka, zmywarka, okap, płyta indukcyjna zlicowana z blatem). Całość dopełniają ""gorseciki warszawskie"" – mozaika inspirowana wzorami ze starych kamienic. Drewniane okna wychodzą na wschód i zachód, co zapewnia piękne wschody słońca w salonie i zachody w sypialni. Mieszkanie zarządzane przez wspólnotę, niski czynsz – 807 zł. Forma prawna- pełna własność, wolna hipoteka. Lokalizacja: Nieruchomość znajduje się na granicy Żoliborza i Bielan, w spokojnej, zielonej okolicy z niską zabudową jednorodzinną oraz kameralnymi apartamentowcami. W pobliżu liczne tereny rekreacyjne: Park Stawy Kellera z nowym placem zabaw dla dzieci – 50 m Łąka do spacerów z psem – 100 m Park Kaskada– 800 m Lasek Bielański – 800 m Kępa Potocka – 1,2 km Szybki dojazd do centrum – 7 min do Westfield Arkadia, liczne ścieżki rowerowe. Komunikacja: Przystanek autobusowy – 4 min pieszo Metro Słodowiec – 8 min pieszo Tramwaj – 7 min pieszo Doskonały wyjazd na trasy szybkiego ruchu Zapraszam na prezentację! UWAGA! Nie współpracuję z agencjami, nie podpisuję żadnych umów pośrednictwa. Nie wyrażam zgody na kopiowanie moich zdjęć ani treści ogłoszenia. Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego. Next to Stawy Kellera Park | Balcony | Parking Space For sale (direct sales, no fees): a spacious, three-room apartment with an area of 67 m², located on the 2nd floor of a 5-story building with an elevator, built in 2004, at Rudzka 28 Street in Warsaw's Bielany district. Apartment Layout: Hallway – 4.5 m² Living room – 20 m² (with access to the balcony) Kitchenette – 6 m² Master bedroom – 16 m² Second bedroom – 11 m² Bathroom with a bathtub and shower – 4.2 m² Separate toilet with a washing machine – 1.6 m² Walk-in closet/home office – 3.7 m² Balcony – 8.6 m² The apartment comes with a parking space in the underground garage, additional price 60 000 PLN. There is also an option to rent a second parking spot. Additionally, parking is easy in the area, as there is no paid parking zone. Apartment Condition: The apartment has been recently refreshed and is move-in ready. The floors are finished with high-quality ash wood parquet. The kitchen is custom-designed by a carpenter, featuring new built-in cabinets with a quartz countertop and brand-new appliances (fridge, dishwasher, hood, and an induction cooktop flush with the countertop). The floor in the kitchen is decorated with traditional ""Warsaw corset"" mosaic tiles, inspired by historic Warsaw tenement houses. Wooden windows face east and west, offering beautiful sunrises in the living room and stunning sunsets in the bedroom. The building is managed by a housing community, and the monthly maintenance fee is only 807 PLN, which is low for this size of an apartment. Location: The apartment is situated on the border of Żoliborz and Bielany, in a quiet, green area with low-rise single-family houses and boutique apartment buildings. Nearby recreational areas include: Stawy Kellera Park with new children's playground – 50 m Large meadow for dog walks – 100 m Bielański Forest – 800 m Kępa Potocka Park – 1.2 km Quick access to the city center – only 7 minutes to Arkadia shopping center. Transport Links: Bus stop – 4 min walk Słodowiec Metro Station – 8 min walk Tram stop – 7 min walk Easy access to major highways and express roads IMPORTANT NOTICE! I do not work with real estate agencies and do not sign any brokerage agreements. I do not authorize the copying of my photos or this listing.",,tak,aneks,drewniane,własność,"Wyposażenie: lodówka, zmywarka",52.278529,20.969147
Warszawa Białołęka,ul. Mariana Wyrzykowskiego,3,71,958500,13500,bez pośredników,,10,https://adresowo.pl/o/mieszkanie-warszawa-bialoleka-ul-mariana-wyrzykowskiego-3-pokojowe-i8k0i3,https://s2.adresowa.pl/oi/7a/32/3cdf4e_5455_cover@2x-3-pokojowe-mieszkanie-warszawa-bialoleka-ul-mariana-wyrzykowskiego.webp,Warszawa Białołęka,Mariana Wyrzykowskiego,1,2014,blok,,"Przestronne i wygodne mieszkanie - idealnie dla rodziny z dzie ćmi. Mieszkanie o powierzchni 71 m2 na ul. Wyrzykowskiego 5, I piętro, Osiedle Palladium. Posiada salon z aneksem kuchennym – 23 m2; 3 pokoje (sypialnie) – każdy ok. 10 m2; dużą łazienkę – 5,5 m2; hol - 10 m2; składzik (z możliwością przearanżowania na toaletę) – 1,6 m, przestronny balkon – 10 m2. Do mieszkania przynależy miejsce postojowe w garażu podziemnym. W lokalu znajdują się wszystkie niezbędne sprzęty: płyta indukcyjna, okap, piekarnik, zmywarka, lodówka, pralka, a dodatkowo system filtrów do uzdatniania wody. Strzeżone i zamknięte osiedle, z dwoma placami zabaw. W pobliżu znajdują się szkoły podstawowe, przedszkola publiczne, punkty usługowe i sklepy. Komunikacja miejska umożliwia szybkie dotarcie do centrum Warszawy, w pobliżu są przystanki autobusowe i stacja kolejowa (Płudy). W odległości ok. 7-10 min pieszo znajduje się pętla autobusowa i tramwajowa (Winnica). Dojazd do Galerii Północnej - ok. 7 min, do Metra Młociny - ok. 20 min, do Metra Centrum - ok. 35 min. W bezpośrednim sąsiedztwie osiedla znajduje się park leśny . Jeśli szukasz funkcjonalnego mieszkania zapraszamy do kontaktu!",,tak,aneks,plastikowe,własność,"Wyposażenie: lodówka, piekarnik, pralka, zmywarka",52.336538,20.952464
Warszawa Włochy,ul. Solipska,2,41,887000,21634,bez pośredników,,16,https://adresowo.pl/o/mieszkanie-warszawa-wlochy-ul-solipska-2-pokojowe-v2b3m6,https://s2.adresowa.pl/oi/72/15/3cdf32_650f_cover@2x-2-pokojowe-mieszkanie-warszawa-wlochy-ul-solipska.webp,Warszawa Włochy,Solipska 15A,1,2023,apartamentowiec,,"Eleganckie mieszkanie na sprzedaż Warszawa Włochy Oferujemy Państwu na sprzedaż eleganckie nowe mieszkanie o powierzchni użytkowej 41,27 m2 z miejscem postojowym w garażu podziemnym oraz komórką lokatorską w dzielnicy Stare Włochy. Lokal składa się z 2 pokoi, łazienki, otwartej kuchni, holu oraz przestronnego balkonu. Mieszkanie zlokalizowane jest na pierwszym piętrze dwupiętrowego budynku. Lokal posiada wyodrębnioną Księgę Wieczystą. Budynek pięciokondygnacyjny w nowej inwestycji Apartamenty Solipska. Rok oddania do użytkowania 2023. Inwestycja składa się z czterech samodzielnych budynków z dwoma osobnymi garażami. Cały teren kompleksu jest ogrodzony i monitorowany - osiedle znajduje się pod stałą kontrolą kamer oraz ochrony. Zieleń - całość zagospodarowania terenu jest uzupełniona o zieleń niską wraz z patio z placem zabaw, urządzonymi pomiędzy budynkami. Powierzchnia użytkowa lokalu wynosi 41,27 mkw. Miejsce garażowe usytuowany w jednokondygnacyjnym garażu podziemnym w bryle budynku wraz z komórką lokatorska obok miejsca postojowego. Mieszkanie z garażem skomunikowane są windą. Budynek wykończony w wysokim standardzie, materiałami o wysokiej jakości z dbałością o szczegóły. W mieszkaniu zainstalowana jest klimatyzacja HITACHI. Bezpośrednie sąsiedztwo bloku stanowi zabudowa mieszkaniowa wielorodzinna. W pobliżu znajduje się również zabudowa mieszkaniowa jednorodzinna. LOKALIZACJA Położony jest w cichej, zielonej okolicy – Ogród Włochy blisko parków (Park ze Stawami Cietrzewia, Fort Włochy), a zarazem w miejscu świetnie skomunikowanym. Wygodny dojazd do Centrum (ok 9 km od ścisłego centrum), lotniska Chopina, a także wszystkich miejsc wyjazdowych z Warszawy (trasa S8 i S2). Czas dojazdu do centrum Warszawy własnym środkiem transportu wynosi około 20 minut, w czasie szczytu komunikacyjnego 30-35 minut. Najbliższy przystanek obsługujący linie autobusowe o numerach [numer], [numer] oddalony jest od nieruchomości o niecałe 300 metrów. W odległości około 1,2 km znajduje się przystanek PKP Włochy. W sąsiedztwie nieruchomości występują obiekty handlowo-usługowe, takie jak: lokalne sklepy spożywcze. Najbliższy wielkopowierzchniowy obiekt handlowy – Factory Ursus, znajduje się w odległości około 1,2 km. Centrum Skorosze (2 km). Najbliższe obiekty oświatowe znajdują się w odległości około 1 km od nieruchomości, są to: przedszkola i liceum. ROZKŁAD LOKALU • Salon z aneksem kuchennym -17,5 m2 • Pokój o powierzchni 11,4 m2 z zabudowaną szafą • Łazienka z WC – 5,3 m2 • Korytarz z zabudowa – 7 m2 • Do mieszkania przynależy balkon – 8,6 m2 • Do mieszkania przynależy miejsce garażowe wraz z komórką lokatorska INSTALACJE instalacja wodociągowa – ciepła woda (podgrzewanie w kotłowni bloku) instalacja elektryczna - z sieci miejskiej instalacja c.o. instalacja gazowa – z sieci miejskiej wideodomofon + BlueBolt Instalacja fotowoltaiczna w budynku",tak,tak,aneks,drewniane,własność,Wyposażenie: klimatyzacja,52.200113,20.910724
Warszawa Bemowo,ul. Podgrodzie,2,39,zapytaj,,bez pośredników,,+38 podobnych ofert,https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-podgrodzie-2-pokojowe-g0m0p3,https://s2.adresowa.pl/development/671978/nowe-mieszkania-viva-cite-1628_cover.jpg,Warszawa Bemowo,Podgrodzie,3,2027,blok,,"Nowe mieszkanie 2-pokojowe o powierzchni 39,88 m² w inwestycji Viva Cite dewelopera DEVELIA, na 3 piętrze pod adresem ul. Podgrodzie, Warszawa Bemowo. Planowany termin oddania to III kwartał 2027 roku. LOKALIZACJA Viva Cité powstaje przy ul. Podgrodzie, w pobliżu ul. Sochaczewskiej, w dynamicznie rozwijającej się części Bemowa. Bemowo to dzielnica z rozbudowaną infrastrukturą miejską. Sklepy, restauracje, punkty usługowe oraz placówki edukacyjne są tu łatwo dostępne, a lokalna oferta stale się rozwija. Chrzanów cieszy się rosnącym zainteresowaniem osób poszukujących mieszkania również dzięki rozbudowie II linii metra. Już w 2026 r. w pobliżu Viva Cité planowane jest otwarcie dwóch nowych stacji – Chrzanów i Karolin, zapewniające szybkie połączenia z centrum i pozostałymi dzielnicami. Dodatkowo bliskość trasy S8 ułatwi weekendowe wyjazdy za miasto. W bezpośrednim sąsiedztwie inwestycji powstała także nowa szkoła podstawowa, której otwarcie planowane jest na wrzesień 2025 roku. Lokalizacja osiedla zapewnia doskonałe warunki do aktywnego wypoczynku i relaksu na świeżym powietrzu. W pobliżu znajdują się liczne tereny zielone, takie jak Fort Chrzanów, Glinianki Sznajdra oraz Park Górczewska idealne na spacery, jogging, wycieczki rowerowe czy rodzinne pikniki. Planowany jest też nowy park miejski, który dodatkowo wzbogaci ofertę rekreacyjną tej części Bemowa OFERTA W pierwszym etapie inwestycji powstaną dwa 4-kondygnacyjne budynki ze 114 mieszkaniami o powierzchni od 25 do 135 mkw., a w drugim – dwa kolejne budynki, obejmujące 93 lokale o metrażach od 25 do 117 mkw., w układach od 1 do 5 pokoi. Każde posiadać będzie przestronny ogródek, balkon lub taras. W ofercie dostępne będą również mieszkania dwupoziomowe oraz z antresolą. Wszystkie lokale zostaną wyposażone w system automatyki mieszkaniowej Appartme, który umożliwia m.in. zdalne sterowanie temperaturą, automatyczne wyłączanie oświetlenia po opuszczeniu mieszkania oraz odcięcie dopływu wody i prądu dla zwiększenia bezpieczeństwa. Części wspólne inwestycji Viva Cité zostaną zaprojektowane z dbałością o każdy detal, by stworzyć elegancką i przyjazną przestrzeń. Jasne, przestronne korytarze podkreślą nowoczesny charakter inwestycji, a starannie dobrane elementy wykończenia nadadzą jej wyjątkowego klimatu. Pojawią się tu stylowe portale drzwiowe, duże lustra w holach, klimatyczne lampy oraz dzwonki w stylu retro. Ponadto osiedle wyróżniać się będzie obszerną, zieloną przestrzenią wspólną, zaprojektowaną wokół dwóch dużych dziedzińców – jeden z ogrodem deszczowym, drugi z częścią rekreacyjną obejmującą dwa place zabaw. ATUTY - Kameralna zabudowa z eleganckimi częściami wspólnymi i zielonymi dziedzińcami - Szeroki wybór mieszkań z balkonami, tarasami lub ogródkami - Mieszkania dwupoziomowe lub z antresolą - System smart home w standardzie - Dynamicznie rozwijająca się okolica - 15 minut spacerem do realizowanej stacji metra Chrzanów - Sąsiedztwo nowej szkoły podstawowej - Bliskość terenów rekreacyjnych Niniejszy materiał nie stanowi oferty w rozumieniu Kodeksu cywilnego i ma charakter wyłącznie informacyjny. Szczegóły inwestycji oraz pełna oferta dostępne są na stronie internetowej: www. develia.pl",,,,,własność,Wyposażenie: internet,52.219115,20.876002
Warszawa Ursus,ul. Czarna Droga,2,45,623000,13844,Pośrednik,,20,https://adresowo.pl/o/mieszkanie-warszawa-ursus-ul-czarna-droga-2-pokojowe-m9t3d8,https://s2.adresowa.pl/oi/2a/43/3cdde2_c2ec_cover@2x-2-pokojowe-mieszkanie-warszawa-ursus-ul-czarna-droga.webp,Warszawa Ursus,Czarna Droga,7,2003,apartamentowiec,,"[ CENA DO NEGOCJACJI ] [ KUPUJACY NIE PŁACI PROWIZJI ] PEŁNA WŁASNOŚĆ KSIĘGA WIECZYSTA GRUNTY UREGULOWANE MOŻLIWOŚĆ ZAKUPU MIESZKANINA NA KREDYT :: Krótko: 2 pokoje | W-wa Ursus | 45 m2 | loggia | miejsce postojowe | wykończone i umeblowane :: Atuty: Nieruchomość świetnie sprawdzi się na cele mieszkalne dla osób poszukujących nowoczesnego apartamentu w pięknej okolicy z dobrym dostępem do centrum miasta. Spokojna, zielona okolica gwarantuje możliwość wypoczynku. Dla mieszkańców dostępny też jest prywatny basen. W mieszkaniu jest piękna łazienka. :: Nieruchomość sprawdzona prawnie przez Notariusza Sprawdzone zostały: - numery ksiąg wieczystych - podstawa nabycia - grunty - służebności - hipoteka - obciążenia z innych tytułów - podatki - roszczenia - plan zagospodarowania przestrzennego :: Lokalizacja: Lokalizacja mieszkania jest z pewnością atutem z uwagi na dogodny dojazd do centrum miasta (maksymalnie 15 minut) oraz poza miasto z racji bliskości Alei Jerozolimskich - jednej z głównych arterii Warszawy, która umożliwia doskonały dojazd do węzłów S2, S8, S7. W najbliższym sąsiedztwie funkcjonują liczne sklepy oraz punkty usługowe między innymi: - dwie Biedronki, trzy Żabki, Lidl, kilka piekarni - CH Skorosze - Carrefour, Douglas, Home&You, Empik, Smyk, CCC, Holmes Place, Cafe Nero, Domino?s Pizza, Shushi, pralnia, krawiec, itd. - Leroy Merlin - centrum medyczne Enel-Med, Diagnostyka oraz liczne mniejsze przychodnie i gabinety - publiczne/prywatne szkoły i przedszkola - poczta i paczkomaty na osiedlu - parki (park ze Stawami Cietrzewia, park Kombatantów, park Staw Koziorożca oraz położony nieco dalej park Szczęśliwicki z basenami i górką szczęśliwicką) - ośrodek Sportu i Rekreacji Ursus z kortami tenisowymi oraz basenem (6 km) - Galeria Blue City, Galeria Mokotów, Atrium Reduta - Lotnisko Chopina :: Komunikacja: Komunikacja publiczna: przystanek autobusowy w odległości 2 min pieszo obsługujący dwie linie ekspresowe do Centrum i na Motków; dobry dojazd do PKP Włochy/Ursus; SKM :: Co jeszcze: - miejsce postojowe - [dodatkowo płatne] ::.Zapraszam do obejrzenia mieszkania ::.Lokalizacja Warszawa Ursus ul. Górna Droga ::.Na spotkaniu [Możliwość Zaproponowania Ceny] ::.W celu umówienia dnia i godziny oglądania proszę ::. o kontakt telefoniczny Info Łukasz Grzywacz",,tak,,,własność,,52.183938,20.868388
Warszawa,Białołęka,3,65,720000,11077,Pośrednik,,12,https://adresowo.pl/o/mieszkanie-warszawa-bialoleka-3-pokojowe-65-m2-w0y3b1,https://s2.adresowa.pl/oi/62/7a/3cdd36_db24_cover@2x-3-pokojowe-mieszkanie-warszawa-bialoleka.webp,Warszawa Białołęka,,parter,1990,blok,,"*Wyłącznie w mojej ofercie* Do sprzedania 3-pokojowe mieszkanie z balkonem o powierzchni 65,60 m², zlokalizowane na Tarchominie przy ul. Van Gogha. Układ pomieszczeń Mieszkanie składa się z salonu z wyjściem na balkon (od cichej strony), dwóch oddzielnych sypialni, osobnej kuchni z oknem, łazienki oraz oddzielnego WC. Stan techniczny Lokal po częściowym remoncie, nowe panele, całość mieszkania odmalowana, elektryka miedziana, piony po wymianie. Do wykończenia pozostaje kuchnia oraz łazienka. Budynek i piętro Mieszkanie znajduje się na parterze w 8-piętrowym budynku z windą. Lokal jest dwustronny (ekspozycja północ-południe). Budynek z 1990 roku, zarządzany przez spółdzielnię mieszkaniową. Miejsce postojowe Teren osiedla jest ogrodzony co daje komfort i wygodę w parkowaniu. Forma własności i warunki zakupu Spółdzielcze własnościowe prawo do lokalu, bez możliwości założenia księgi wieczystej (grunt nieuregulowany). Zakup wyłącznie ze środków własnych. Czynsz Czynsz administracyjny wynosi 1228 zł (razem z zaliczkami na media, funduszem remontowym, śmieciami). Lokalizacja i okolica W pobliżu przystanki tramwajowe i autobusowe, sklepy, bazarek, tereny rekreacyjne przy wale wiślanym oraz szybki dojazd do stacji metra Młociny. Zapraszam do kontaktu oraz na prezentację mieszkania. Wyłączny opiekun oferty Bartosz Popardowski [numer] Ekspert ds. nieruchomości The Estate Warsaw",,tak,,,spółdzielcze własnościowe,,52.314661,20.954713
Warszawa Bemowo,ul. Anieli Krzywoń,4,72,860000,11944,bez pośredników,,6,https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-anieli-krzywon-4-pokojowe-j0b9s4,https://s2.adresowa.pl/oi/52/37/3cdefc_a3ad_cover@2x-4-pokojowe-mieszkanie-warszawa-bemowo-ul-anieli-krzywon.webp,Warszawa Bemowo,Anieli Krzywoń,7,1976,blok,,"Na sprzedaż mieszkanie 4-pokojowe – 72 m² | Wola / Bemowo Bezpośrednio Oferuję na sprzedaż przestronne mieszkanie o powierzchni 72 m², położone przy ul. Anieli Krzywoń, w okolicy Hali Wola i Metra Ratusz Bemowo. 💰 Cena: 860 000 zł 🏗 Rok budowy: 1976 📍 Świetna lokalizacja blisko Metro Ratusz Bemowo pełna infrastruktura: sklepy, szkoły, komunikacja 🏠 Układ mieszkania 4 niezależne pokoje oddzielna kuchnia idealne zarówno dla rodziny, jak i pod inwestycję (najem długoterminowy lub na pokoje) 🚗 Dodatkowe atuty miejsca parkingowe pod blokiem mieszkanie posiada księgę wieczystą (KW) 💡 To doskonała propozycja dla osób szukających funkcjonalnego mieszkania w dobrej lokalizacji lub pewnej inwestycji. 📞 Zapraszam do kontaktu",tak,tak,osobna,plastikowe,spółdzielcze własnościowe,,52.228571,20.918824
Warszawa Wola,ul. Przy Lasku,3,51,845000,16569,bez pośredników,,17,https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-przy-lasku-3-pokojowe-l3p3n1,https://s2.adresowa.pl/oi/4e/1c/3cb166_9c81_cover@2x-3-pokojowe-mieszkanie-warszawa-wola-ul-przy-lasku.webp,Warszawa Wola,Przy Lasku,2,1971,blok,,"Mieszkanie ciche i słoneczne z widokiem na zieleń. Wspólnota prężnie działająca. Doskonała lokalizacja Komunikacja: * ﻿﻿Przystanek tramwajowy i autobusowy - ok. 350 m * ﻿﻿Stacja PKP Koło - ok. 700 m * ﻿﻿Metro Księcia Janusza - ok. 1900 m * Szybki wyjazd na trasę S8 * ﻿﻿Poczta, apteka, przychodnia - ok. 400 m * ﻿﻿Biedronka - 600 m * ﻿﻿Lidl - 1200 m * ﻿﻿Kościół- 800 m * ﻿﻿Przedszkola - 3 w pobliżu (ok. 400 m, w tym katolickie) * ﻿﻿Liceum - 200 m * ﻿﻿Szkoła podstawowa - 600 m * ﻿﻿Sala sportowa ze ścianką wspinaczkową- 200 m * ﻿﻿Park Moczydło - 900 m * Duży, bezpłatny parking pod blokiem * ﻿﻿Przystanek tramwajowy i autobusowy - ok. 350 m * ﻿﻿Stacja PKP Koło - ok. 700 m * Mieszkanie na Woli - obok lasu ! * Księga wieczysta * PEŁNA WŁASNOŚĆ * Dostępne OD JUŻ * ul. Przy lasku 8, Warszawa * 51m2 + piwnica * 2 piętro / 10 * WINDA * Mieszkanie składa się z: - ﻿Salonu 16,5m2 - ﻿pokoje 9,4m2 i 7,5m2 - ﻿Kuchni 6m2 - ﻿Łazienki z wc - ﻿Korytarza * Do mieszkania przynależy piwnica * Mieszkanie na Woli - obok lasu ! * Księga wieczysta - możliwość wzięcia kredytu * na zakup mieszkania * PEŁNA WŁASNOŚĆ * Dostępne OD JUŻ * ul. Przy lasku 8, Warszawa * 42m2 + piwnica * 8. piętro / 10 * WINDA * Mieszkanie składa się z: - ﻿Salonu - ﻿Sypialni - ﻿Kuchni - ﻿Łazienki z wc - ﻿Korytarza * Do mieszkania przynależy piwnica",tak,,osobna,plastikowe,własność,,52.248961,20.951146
Warszawa Praga-Południe,ul. Podskarbińska,2,41,zapytaj,,bez pośredników,,+99 podobnych ofert,https://adresowo.pl/o/mieszkanie-warszawa-praga-poludnie-ul-podskarbinska-2-pokojowe-g9o6o9,https://s2.adresowa.pl/development/671216/nowe-mieszkania-aleje-praskie-951e_cover.jpg,Warszawa Praga-Południe,Podskarbińska,4,2025,,,"Nowe mieszkanie 2-pokojowe o powierzchni 41,21 m² w inwestycji Aleje Praskie dewelopera DEVELIA, na 4 piętrze pod adresem ul. Podskarbińska, Warszawa Praga-Południe. Planowany termin oddania to III kwartał 2025 roku. O inwestycji Aleje Praskie to nowoczesna inwestycja w sercu Pragi Południe, w jednej z najszybciej rozwijających się części Warszawy, zaledwie 500 m od przyszłej stacji metra Mińska. Projekt realizowany jest w kilku etapach i wyróżnia się przemyślanym zagospodarowaniem terenu, łącząc komfort mieszkańców z funkcjonalną przestrzenią wspólną. Oferta została zaprojektowana tak, aby każdy mógł znaleźć układ i metraż idealnie dopasowany do swoich potrzeb. Każde mieszkanie posiada dodatkową otwartą przestrzeń w postaci balkonu, tarasu lub ogródka. Projekt realizowany jest z zastosowaniem najnowszych technologii i w trosce o ochronę środowiska. Potwierdzeniem tego jest certyfikowanie budynków międzynarodowym systemem BREEAM. Centralnym punktem osiedla będzie przestronny, wewnętrzny dziedziniec, gdzie ruch kołowy zostanie ograniczony do minimum. Na terenie inwestycji powstaną także alejki spacerowe, tężnia solankowa, siłownia plenerowa oraz plac zabaw dla najmłodszych mieszkańców. W ofercie przewidziane są również lokale usługowe. Lokalizacja Aleje Praskie są usytuowane w obrębie osiedla Kamionek – części Pragi, która zyskuje na popularności i wyróżnia się ciekawą architekturą oraz sztuką uliczną. Liczne tereny zielone stwarzają doskonałe warunki do aktywnego wypoczynku na świeżym powietrzu, ale również do odpoczynku i wyciszenia w wielkim mieście. W pobliżu znajdziemy m.in.: Park Obwodu Praga Armii Krajowej, Park Polińskiego, Park Skaryszewski czy teren wokół Jeziora Kamionkowskiego. Kamionek jest również bardzo dobrze skomunikowany. Bliskość ważnych węzłów komunikacyjnych – ul. Grochowskiej, ul. Targowej, Al. Waszyngtona i Al. Stanów Zjednoczonych pozwala na szybki dojazd w inne rejony miasta, a dotarcie samochodem do centrum zajmuje kilkanaście minut. Atuty inwestycji: - Funkcjonalne układy mieszkań - Tężnia solankowa, aleje spacerowe na terenie osiedla - Inwestycja atrakcyjna pod kątem wynajmu - W pobliżu jest planowana stacja metra – Mińska - Dobra komunikacja z innymi dzielnicami Warszawy - Niska zabudowa i spokojny charakter inwestycji - Parki i tereny rekreacyjne w okolicy Daty zakończenia poszczególnych etapów inwestycji: Etap 1 - II kwartał 2023 Etap 2 - I kwartał 2024 Etap 3 - III kwartał 2025 Etap 4 - III kwartał 2024 Etap 5 - II kwartał 2025 Etap 6 - IV kwartał 2023 Etap 7 - III kwartał 2027 Etap 8 - III kwartał 2026 Etap 9 - III kwartał 2026 Etap 10 - III kwartał 2027 Niniejszy materiał nie stanowi oferty w rozumieniu Kodeksu cywilnego i ma charakter wyłącznie informacyjny.",,,,,własność,,52.252098,21.074198
Warszawa Białołęka,ul. Podgórna,2,47,649000,13809,Pośrednik,,13,https://adresowo.pl/o/mieszkanie-warszawa-bialoleka-ul-podgorna-2-pokojowe-e5z1f8,https://s2.adresowa.pl/oi/61/7b/3cdd32_b7ed_cover@2x-2-pokojowe-mieszkanie-warszawa-bialoleka-ul-podgorna.webp,Warszawa Białołęka,Podgórna,1,2001,blok,,"* Wyłącznie w mojej ofercie * Do sprzedania 2 pokojowe mieszkanie o pow. użytkowej 47,66 m2, położone na 1 piętrze, zlokalizowane na zamkniętym osiedlu w zacisznej części Białołęki przy ul. Podgórnej. Mieszkanie składa się z przestronnego salonu połączonego z kuchnią (25,10 m2), sypialni (10,60 m2), łazienki z wc (3,70 m2), garderoby (2,20 m2) oraz korytarza (6,30 m2). Z salonu znajduje się również wyjście na balkon. W galerii znajduje się rzut. Wysokość 2,50 m. W zależności od potrzeb i oczekiwań mieszkanie nadaje się do zamieszkania, odświeżenia bądź częściowego remontu. Wyposażenie mieszkania oraz rzeczy ruchome w cenie. Ekspozycja okien zachodnia. Lokal posiada piwnicę. Czynsz wynosi 580 zł. Mieszkanie dostępne od zaraz. Lokal stanowi odrębną własność (grunt uregulowany). Możliwość zakupu zarówno za gotówkę jak i na kredyt (pomagam w formalnościach). Budynek znajduje się na kameralnym i cichym osiedlu. Zarządzany jest przez wspólnotę mieszkaniową. W najbliższej okolicy znajdują się zarówno tereny zielone (Park Henrykowski), co sprzyja aktywnemu spędzaniu czasu na świeżym powietrzu, jak i galerie handlowe (Factory Annopol oraz Galeria Północna) zapewniając wygodę zakupów oraz bogatą ofertę rozrywkową. Tuż za rogiem położony jest najbliższy sklep spożywczy. Przystanek autobusowy znajduje się w odległości 400 m, natomiast dystans do stacji PKP Warszawa Płudy wynosi 1,5 km. Zapraszam do kontaktu oraz na prezentację mieszkania. Wyłączny opiekun oferty Bartosz Popardowski [numer] Ekspert ds. nieruchomości The Estate Warsaw",,,,,własność,,52.341693,20.975807
