locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Wrocław Popowice,ul. Białowieska,3,54,919000,17019,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-wroclaw-popowice-ul-bialowieska-3-pokojowe-g4s8g2,https://s2.adresowa.pl/oi/7f/4e/3c5076_5cfa_cover@2x-3-pokojowe-mieszkanie-wroclaw-popowice-ul-bialowieska.webp
Wrocław Muchobór Wielki,ul. Marka Hłaski,1,34,409000,12029,bez pośredników,,7,https://adresowo.pl/o/mieszkanie-wroclaw-muchobor-wielki-ul-marka-hlaski-1-pokoj-j8l0q5,https://s2.adresowa.pl/oi/75/3f/3d5666_6ad4_cover@2x-1-pokojowe-mieszkanie-wroclaw-muchobor-wielki-ul-marka-hlaski.webp
Wrocław Stare Miasto,ul. Tęczowa,4,69,990000,14348,bez pośredników,,7,https://adresowo.pl/o/mieszkanie-wroclaw-stare-miasto-ul-teczowa-4-pokojowe-j2c6d1,https://s2.adresowa.pl/oi/45/2a/3d51d2_57fd_cover@2x-4-pokojowe-mieszkanie-wroclaw-stare-miasto-ul-teczowa.webp
Wrocław Tarnogaj,ul. Piękna,2,45,zapytaj,,bez pośredników,,+26 podobnych ofert,https://adresowo.pl/o/mieszkanie-wroclaw-tarnogaj-ul-piekna-2-pokojowe-e1o4j9,https://s2.adresowa.pl/development/671658/nowe-mieszkania-piekna-vita-647d_cover.jpg
Wrocław,ul. Stanisława Drabika,3,65,780000,12000,Pośrednik,,15,https://adresowo.pl/o/mieszkanie-wroclaw-ul-stanislawa-drabika-3-pokojowe-b3r8v0,https://s2.adresowa.pl/oi/5f/10/35efb2_fb61_cover@2x-3-pokojowe-mieszkanie-wroclaw-ul-stanislawa-drabika.webp
Wrocław,ul. Michała Bałuckiego,4,82,1150000,14024,Pośrednik,,15,https://adresowo.pl/o/mieszkanie-wroclaw-ul-michala-baluckiego-4-pokojowe-o3e4z5,https://s2.adresowa.pl/oi/52/5e/35b098_f1b5_cover@2x-4-pokojowe-mieszkanie-wroclaw-ul-michala-baluckiego.webp
Wrocław Psie Pole,ul. Władysława Reymonta,2,42,683000,16262,bez pośredników,,3,https://adresowo.pl/o/mieszkanie-wroclaw-psie-pole-ul-wladyslawa-reymonta-2-pokojowe-g3j3y1,https://s2.adresowa.pl/oi/2b/54/3d51ce_9220_cover@2x-2-pokojowe-mieszkanie-wroclaw-psie-pole-ul-wladyslawa-reymonta.webp
Wrocław Fabryczna,ul. Stalowa,2,37,550000,14865,bez pośredników,,13,https://adresowo.pl/o/mieszkanie-wroclaw-fabryczna-ul-stalowa-2-pokojowe-w9t4s8,https://s2.adresowa.pl/oi/5d/31/3d5084_3264_cover@2x-2-pokojowe-mieszkanie-wroclaw-fabryczna-ul-stalowa.webp
Wrocław Żerniki,ul. Tadeusza Brzozy,2,44,zapytaj,,bez pośredników,,+47 podobnych ofert,https://adresowo.pl/o/mieszkanie-wroclaw-zerniki-ul-tadeusza-brzozy-2-pokojowe-a7c6m0,https://s2.adresowa.pl/development/671228/nowe-mieszkania-wuwa-vita-e1ab_cover.jpg
Wrocław Psie Pole,ul. Zakładowa,3,58,850000,14655,Pośrednik,,19,https://adresowo.pl/o/mieszkanie-wroclaw-psie-pole-ul-zakladowa-3-pokojowe-e5a3s2,https://s2.adresowa.pl/oi/78/1b/3d5162_750e_cover@2x-3-pokojowe-mieszkanie-wroclaw-psie-pole-ul-zakladowa.webp
Wrocław Psie Pole,ul. Poleska,2,53,599000,11302,Pośrednik,,15,https://adresowo.pl/o/mieszkanie-wroclaw-psie-pole-ul-poleska-2-pokojowe-o1i2y8,https://s2.adresowa.pl/oi/7c/27/3d50ec_3c29_cover@2x-2-pokojowe-mieszkanie-wroclaw-psie-pole-ul-poleska.webp
Wrocław Psie Pole,ul. Mulicka,2,38,450000,11842,bez pośredników,,2,https://adresowo.pl/o/mieszkanie-wroclaw-psie-pole-ul-mulicka-2-pokojowe-u6t3m1,https://s2.adresowa.pl/oi/7b/4b/3d4f00_8355_cover@2x-2-pokojowe-mieszkanie-wroclaw-psie-pole-ul-mulicka.webp
Wrocław Biskupin,ul. Kazimierska,4,82,920000,11220,bez pośredników,,15,https://adresowo.pl/o/mieszkanie-wroclaw-biskupin-ul-kazimierska-4-pokojowe-c8o7o9,https://s2.adresowa.pl/oi/34/6e/3d4eb0_4cd9_cover@2x-4-pokojowe-mieszkanie-wroclaw-biskupin-ul-kazimierska.webp
Wrocław,ul. gen. Romualda Traugutta,2,68,zapytaj,,bez pośredników,,+13 podobnych ofert,https://adresowo.pl/o/mieszkanie-wroclaw-ul-gen-romualda-traugutta-2-pokojowe-v7j1e4,https://s2.adresowa.pl/development/671230/nowe-mieszkania-traugutta-vita-c9a0_cover.jpg
Wrocław Partynice,ul. Poranna,3,86,879000,10221,Pośrednik,,20,https://adresowo.pl/o/mieszkanie-wroclaw-partynice-ul-poranna-3-pokojowe-n6p8v7,https://s2.adresowa.pl/oi/5e/30/3d4a68_3354_cover@2x-3-pokojowe-mieszkanie-wroclaw-partynice-ul-poranna.webp
