locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url,city_district,full_address,floor,year_built,building_type,price_per_sqm_detailed,description_text,has_basement,has_parking,kitchen_type,window_type,ownership_type,equipment,latitude,longitude
Wrocław Śródmieście,ul. Trzebnicka,2.0,44.0,449000,10135.0,Bez pośredników,ponad miesiąc temu,9.0,https://adresowo.pl/o/mieszkanie-wroclaw-srodmiescie-ul-trzebnicka-2-pokojowe-b4n9k7,https://s2.adresowa.pl/oi/5f/28/3970b4_699e_cover-2-pokojowe-mieszkanie-wroclaw-srodmiescie-ul-trzebnicka.jpg,Wrocław Śródmieście,ul. Trzebnicka,3,1945.0,kamienica,10 135,"Mieszkanie w centralnej części Wrocławia, przy ul. Trzebnickiej. Pełna własność, bez obciążeń. Sprzedaż bezpośrednia, bez prowizji pośrednika. Lokal mieszkalny: - Powierzchnia 50 m2 wraz z piwnicą o pow. 5,7 m2. - Mieszkanie znajduje się na trzecim piętrze w częściowo odremontowanej kamienicy przy ul. Trzebnickiej. - Wysokość pomieszczeń: 3,05 m. - Mieszkanie oświetlone jednostronnie, z ekspozycją okien od południowego-zachodu, z widokiem na podwórko. - Mieszkanie zostało częściowo odremontowane oraz przygotowane pod wykonanie zabudowy kuchni w pomieszczeniu przy salonie. Istnieje możliwość aranżacji trzech pokoi. - Stolarka okienna PCV, stolarka drzwiowa drewniana. - W mieszkaniu zamontowano ogrzewanie elektryczne z grzałki w piecu kaflowym oraz grzejnik. Jest również możliwość korzystania z piecyka na drewno kominkowe. - Ciepła woda z bojlera elektrycznego. - Parkowanie samochodu przy budynku lub w podwórzu bez dodatkowych opłat. Kamienica: - W kamienicy wyremontowano elewację, dach oraz piwnice, zamontowano monitoring. - Wspólnota mieszkaniowa planuje również remont klatki schodowej. Odległości: - od Dworca PKP Wrocław-Nadodrze: 100 m - od pętli autobusowej i tramwajowej: 75 m - od Parku Staszica: 150 m - od Centrum Handlowe Leclerc: 700 m - od sklep Żabka: 50 m - Przychodnia: 50 m - Wyspa Słodowa: 700 m - Rynek: 1000 m Po więcej szczegółów zapraszam do bezpośredniego kontaktu i obejrzenia mieszkania.",,,,,własność,"Wyposażenie: kuchenka, piekarnik",51.125926,17.036051
Wrocław Śródmieście,ul. Józefa Marii Hoene-Wrońskiego,3.0,56.0,585000,10420.0,Bez pośredników,wczorajnowe,11.0,https://adresowo.pl/o/mieszkanie-wroclaw-srodmiescie-ul-jozefa-marii-hoene-wronskiego-3-pokojowe-m1n2m9,https://s2.adresowa.pl/oi/10/2a/3a345e_e42b_cover-3-pokojowe-mieszkanie-wroclaw-srodmiescie-ul-jozefa-marii-hoene-wronskiego.jpg,Wrocław Śródmieście,ul. Józefa Marii Hoene-Wrońskiego,3,1930.0,,10 420,"Okazja inwestycyjna. Do sprzedania mieszkanie naprzeciwko Politechniki Wrocławskiej. 3 pokoje, 56,14 mkw w tym piwnica 6 mkw przynależna do mieszkania, 3 piętro w kamienicy. Ogrzewanie gazowe - piec dwufunkcyjny. Opłaty: czynsz do spółdzielni 490 zł (209 zł media + 280 zł fundusz remontowy) + prąd i gaz. Dla niewymagających najemców można wynajmować od zaraz, jednak w celu podniesienia standardu i zysków za wynajem zaleca się remont. Oferta bezpośrednio od właściciela. Nie odpowiadam na SMS-y. Pośrednicy NIE DZWONIĆ!",tak,,,plastikowe,własność,"Wyposażenie: internet, kuchenka, lodówka, piekarnik, pralka",51.108153,17.055883
Wrocław Psie Pole,ul. Henryka Michała Kamieńskiego,1.0,27.0,420000,15556.0,Bez pośredników,3 dni temu,6.0,https://adresowo.pl/o/mieszkanie-wroclaw-psie-pole-ul-henryka-michala-kamienskiego-1-pokoj-w8l9m5,https://s2.adresowa.pl/oi/64/39/3a30dc_b3a6_cover-1-pokojowe-mieszkanie-wroclaw-psie-pole-ul-henryka-michala-kamienskiego.jpg,Wrocław Psie Pole,ul. Henryka Michała Kamieńskiego,1,1991.0,blok,15 556,"Na sprzedaż mieszkanie o powierzchni 27 m², położone w spokojnej części Wrocławia przy ul. Kamieńskiego. Idealna lokalizacja: Szpital przy Kamieńskiego – 400m Park Marii Dąbrowskiej Piekarnia Hert i paczkomat – tuż obok Przystanek autobusowy – 500 m Szybki dojazd do centrum oraz obwodnicy miasta Opis mieszkania: Powierzchnia: 27 m² Piętro: pierwsze piętro w 4-piętrowym budynku z lat 80 tych Układ: salon, osobna kuchnia z oknem, łazienka, przedpokój Dodatkowo: Piwnica - w cenie Stan: wysoki standard Niski czynsz: ok. 350 zł/miesiąc ( koszty ogrzewania, wody i gazu wliczone w cenę) za 1 osobę. Dodatkowo płatny tylko rachunek za prąd. Dostępne miejsca postojowe dla mieszkańców pod budynkiem Świetna propozycja dla singla, pary lub inwestora pod wynajem Blisko szpitala i zaplecza usługowego Zielona, spokojna okolica z szybkim dojazdem do centrum W mieszkaniu obecnie zamieszkuje rzetelny lokator – możliwość kontynuacji najmu. Cena: 420 000 zł bez prowizji Nie współpracuje z agencjami nieruchomości, proszę NIE DZWONIĆ!",tak,,osobna,plastikowe,spółdzielcze własnościowe,"Wyposażenie: internet, kuchenka, lodówka, piekarnik, pralka",51.146174,17.04091
Wrocław,ul. Stanisława Drabika,3.0,65.0,780000,12000.0,Oferta biura nieruchomości,ponad miesiąc temu,15.0,https://adresowo.pl/o/mieszkanie-wroclaw-ul-stanislawa-drabika-3-pokojowe-b3r8v0,https://s2.adresowa.pl/oi/38/71/35efb2_9d01_cover-3-pokojowe-mieszkanie-wroclaw-ul-stanislawa-drabika.jpg,Wrocław,ul. Stanisława Drabika,1,2023.0,apartamentowiec,12 000,"NA SPRZEDAŻ: Nowoczesne 3-pokojowe mieszkanie z 2 balkonami na Jagodnie! Zapraszam do zapoznania się z ofertą sprzedaży nowego, przestronnego mieszkania o powierzchni 65,43 m, zlokalizowanego w dynamicznie rozwijającej się dzielnicy Wrocławia-Jagodno (Krzyki). To idealna propozycja dla osób ceniących komfort, nowoczesne rozwiązania oraz doskonałą lokalizację. Opis mieszkania: Powierzchnia: 65,43 m, Salon z aneksem kuchennym i jadalnią: 23,55 m, Pokój 1: 12,67 m, Pokój 2: 10,94 m, Łazienka: 4,77 m, WC: 2,16 m, Garderoba: 1,72 m Przedpokój: 8,41 m. 2 duże balkony (4,45 m i 10 m), wyjście z każdego pokoju! Piętro: 1/5 (winda, szeroka klatka schodowa) Standard deweloperski możliwość własnej aranżacji Nowoczesne okna 3-szybowe z izolacją akustyczną. Antywłamaniowe drzwi Gerda klasy RC2. Atuty nieruchomości: Nowoczesne osiedle z szerokimi alejkami i zielenią. Cicha i spokojna okolica, idealna dla rodzin. Doskonała komunikacja szybki dojazd do centrum i AOW Bliskość sklepów, restauracji, szkół i przedszkoli. Tylko 5 km do Aquaparku Wrocław i toru kartingowego i 3 km do centrum handlowego z siłownią. Dodatkowe udogodnienia: miejsce postojowe w garażu podziemnym (35 000 zł), wjazd windą bezpośrednio na poziom -1. Cena: Mieszkanie: 780 000 zł + 2 miejsca postojowe: 70 000 zł (obligatoryjnie). Mieszkanie to idealne rozwiązanie dla rodzin, par lub inwestorów szukających nieruchomości w jednej z najbardziej perspektywicznych lokalizacji Wrocławia. BN Open House, tel: [numer] Bez prowizji. Zapraszam do kontaktu i na prezentację! DODATKOWE INFORMACJE: Typ własności: własność Materiał budowlany: silikat Standard: bardzo dobry Typ podłogi: beton Typ ścian: gładź gipsowa Rodzaj okien: PCV Łącze internetowe: tak Liczba linii telefonicznych: 1 Liczba sypialni: 3 Liczba pokoi: 3 Piętro: 1 Liczba pięter: 5 Rok budowy: 2023 Ogrzewanie: inne Typ balkonu: duży Typ kuchni: aneks Czynsz: 700 Typ łazienki: samodzielna Typ budynku: apartamentowiec Głośność: ciche Klatka schodowa: czysta Typ parkingu: parking podziemny Stan lokalu: do wykończenia Ekspozycja: wschód-zachód Domofon: tak Ostatnie piętro: nie Wysokość: 260 DANE KONTAKTOWE: Open House Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.",,tak,,plastikowe,własność,Wyposażenie: internet,51.05899810791016,17.05299949645996
Wrocław,ul. Michała Bałuckiego,4.0,82.0,1190000,14466.0,Oferta biura nieruchomości,ponad miesiąc temu,15.0,https://adresowo.pl/o/mieszkanie-wroclaw-ul-michala-baluckiego-4-pokojowe-o3e4z5,https://s2.adresowa.pl/oi/52/5e/35b098_f1b5_cover-4-pokojowe-mieszkanie-wroclaw-ul-michala-baluckiego.jpg,Wrocław,ul. Michała Bałuckiego,parter,1933.0,kamienica,14 466,"NOWA CENA! PLAC KOŚCIUSZKI/ BAŁUCKIEGO, na sprzedaż mieszkanie 4-pokojowe w zabytkowej kamienicy, w ścisłym centrum miasta. Idealne na kancelarię notarialną, prawniczą, każdą inną biurową, najem krótko lub długoterminowy. Na parterze 4-pietrowego budynku, z wejściem przez okazałą bramę i od podwórka. Mieszkanie ma powierzchnię 82,26 mkw, składa się z 4 dużych pokoi: 14,35 mkw, 22,37 mkw, 15,58 mkw, 13,88 mkw. Jeden pokój z małym aneksem kuchennym. Łazienka z wc o powierzchni 2,75 mkw. Mieszkanie rozkładowe, dwustronne, do pomieszczeń wchodzi się z przedpokoju 13,33 mkw. Wysokość ponad 3 m, co daje poczucie przestrzeni. Puste, do własnej aranżacji, po generalnym remoncie, na podłogach szary gres i wykładzina dywanowa. Do tej pory mieszkanie używane było jako biuro. Wszystkie okna i drzwi nowe. Do mieszkania przynależy piwnica. Ogrzewanie miejskie. Klatka schodowa czysta i zadbana. Cena [numer] zł. Opłaty miesięczne do Zarządcy ( w tym zaliczki na wodę i ogrzewanie) ok 800 zł + prąd i śmieci. Zapraszam na prezentację. BN Open House, Edyta tel: [numer] Lokal z umową najmu do IX.2025, z możliwością przedłużenia. DODATKOWE INFORMACJE: Typ własności: własność Materiał budowlany: cegła Standard: dobry Typ podłogi: wykładzina Typ ścian: gładź gipsowa Rodzaj okien: PCV Łącze internetowe: tak Liczba linii telefonicznych: 1 Liczba sypialni: 4 Liczba pokoi: 4 Piętro: 0 Liczba pięter: 4 Rok budowy: 1933 Ogrzewanie: miejskie Piwnica: tak Typ balkonu: brak Typ kuchni: otwarta Czynsz: 800 Typ łazienki: z wc Typ budynku: kamienica Głośność: jednostronnie ciche Klatka schodowa: czysta Typ parkingu: przy ulicy Stan lokalu: dobry Ekspozycja: wschód-zachód Domofon: tak Ostatnie piętro: nie Wysokość: 300 DANE KONTAKTOWE: Open House Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.",,,,plastikowe,własność,Wyposażenie: internet,51.10300064086914,17.027999877929688
Wrocław Krzyki,ul. Gazowa,4.0,84.0,1349000,15978.0,Bez pośredników,3 dni temu,8.0,https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-gazowa-4-pokojowe-n7s5h2,https://s2.adresowa.pl/oi/54/68/3a2e34_3364_cover-4-pokojowe-mieszkanie-wroclaw-krzyki-ul-gazowa.jpg,Wrocław Krzyki,ul. Gazowa,3 / winda,2019.0,blok,15 978,"Na sprzedaż: Nowoczesne 4-pokojowe mieszkanie - 84,43 m² + komórka lokatorska (2,71 m²) - idealne pod inwestycję! Na sprzedaż przestronne i komfortowe mieszkanie o powierzchni 84,43 m², położone na 3. piętrze w 4-piętrowym apartamentowcu z 2019 roku. Mieszkanie znajduje się na zamkniętym, bezpiecznym osiedlu, co zapewnia ciszę i komfort mieszkańcom. *** Komórka lokatorska w cenie! *** OPIS MIESZKANIA: - Liczba pokoi: 4 - idealne dla rodziny lub jako inwestycja pod wynajem pokoi - Kuchnia: w pełni umeblowana i wyposażona - Łazienka: wyposażona, z prysznicem - Toaleta: oddzielna - Przedpokój: umeblowany - Dwa balkony - Dodatkowo: komórka lokatorska (2,71 m²) Mieszkanie jest w pełni umeblowane, gotowe do zamieszkania lub wynajmu na pokoje - każdy z nich może funkcjonować jako osobna przestrzeń dla najemców. To doskonała opcja dla inwestorów poszukujących nieruchomości generującej stabilne dochody. Osiedle jest zamknięte, co gwarantuje mieszkańcom prywatność i bezpieczeństwo. LOKALIZACJA: Osiedle Lokum di Trevi, ul. Gazowa. Mieszkanie znajduje się w świetnej lokalizacji - blisko komunikacji miejskiej, sklepów, szkół i terenów rekreacyjnych. DOSTĘPNOŚĆ: Mieszkanie dostępne od 01.01.2026 r. CENA: 1.349.000,00 zł Zapraszam do kontaktu i umówienia się na prezentację!",tak,,osobna,,własność,,51.078147,17.06671
Wrocław Krzyki,ul. Jabłeczna,3.0,53.0,599000,11302.0,Oferta biura nieruchomości,ponad miesiąc temu,13.0,https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-jableczna-3-pokojowe-o7g8a5,https://s2.adresowa.pl/oi/7a/2f/34cbfa_eded_cover-3-pokojowe-mieszkanie-wroclaw-krzyki-ul-jableczna.jpg,Wrocław Krzyki,ul. Jabłeczna,11 / winda,,blok,11 302,"WROCŁAW, KRZYKI, GAJ, UL. JABŁECZNA Na sprzedaż 3 pokojowe mieszkanie z komórką lokatorską, na ostatnim, 11 piętrze, z panoramą na miasto. Mieszkanie o powierzchni 53,2 mkw, na którą składają się: 3 pokoje (jeden przechodni), oddzielna kuchnia, przedpokój, łazienka z wc. Z przestronnego salonu jest wyjście na spory taras. Obok mieszkania znajduje się komórka lokatorska i suszarnia. Sprzedaż spółdzielczo-własnościowego prawa do lokalu, z założoną księgą wieczystą. Zarządzane przez spółdzielnię Budowlani. Opłaty miesięczne to 930 zł, w tym ogrzewanie, zaliczki na wodę, gaz. Prąd jest na oddzielnym liczniku. Wszystkie media miejskie. Mieszkanie jest dwustronne, ekspozycja północ-południe. W pobliżu pełna infrastruktura, Centrum Handlowe Ferio Gaj, supermarkety (Biedronki, Lidl), szkoły, przedszkola, kościół. W pełni rozwinięta dzielnica, tętniąca życiem, oferująca wszystko niezbędne do mieszkania. Zapraszam na prezentację. BN Open House, tel: [numer] Bez prowizji. DODATKOWE INFORMACJE: Typ własności: spółdzielcze własnościowe Materiał budowlany: wielka płyta Standard: dobry Typ podłogi: panele Typ ścian: gładź gipsowa Rodzaj okien: PCV Łącze internetowe: tak Liczba linii telefonicznych: 1 Liczba sypialni: 3 Liczba pokoi: 3 Piętro: 11 Liczba pięter: 11 Ogrzewanie: miejskie Piwnica: tak Typ balkonu: duży Typ kuchni: widna Czynsz: 930 Typ łazienki: z wc Typ budynku: wieżowiec Głośność: ciche Klatka schodowa: czysta Typ parkingu: przy ulicy Stan lokalu: do odświeżenia Ekspozycja: północ - południe Domofon: tak Winda: tak Ostatnie piętro: tak Gaz w budynku: tak Wysokość: 250 DANE KONTAKTOWE: Open House Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.",,,,plastikowe,spółdzielcze własnościowe,Wyposażenie: internet,51.07899856567383,17.03700065612793
Wrocław Huby,ul. Wapienna,4.0,100.0,1250000,12511.0,Oferta biura nieruchomości,ponad miesiąc temu,18.0,https://adresowo.pl/o/mieszkanie-wroclaw-huby-ul-wapienna-4-pokojowe-a5y4n2,https://s2.adresowa.pl/oi/20/25/32efb0_9fd2_cover-4-pokojowe-mieszkanie-wroclaw-huby-ul-wapienna.jpg,Wrocław Huby,ul. Wapienna,parter,1910.0,blok,12 511,"Nowa cena ! OKAZJA ! WYSOKI PARTER W PIĘKNEJ ODNOWIONEJ KAMIENICY ! Piękne mieszkanie 4-pokojowe w kamienicy o powierzchni 99,91m na wysokim parterze z 3 -balkonami. Okna trzech pokoi wychodzą na zachód, kuchnia, sypialnia i łazienka na wschód. Dodatkowe pomieszczenie gospodarcze w którym znajduję się pralka i piec.W łazience dodatkowo garderoba. W mieszkaniu na podłogach panele, ściany i sufity odnowione wystylizowane, piękne antyczne drzwi z futrynami -odnowione, okna PCV. Do mieszkania przynależy piwnica 5m2. Opłaty: czynsz do zarządcy 550 za 1 osobę (zaliczki za wodę,odpady, fundusz remontowy) Ogrzewanie podgrzanie wody: piec dwu funkcyjny gazowy (zimą opłaty około 1200 zł) Meble kuchenne , łóżka, szafy , komody zostają w mieszkaniu. Kamienica po remoncie. Nowa elewacja budynku, nowe rynny, oraz pokrycie dachu ( dachówki). Atuty mieszkania:- Cicha i spokojna okolica, lokalizacja w samym centrum miasta,- w pełnym rozkładzie, dwustronne, - osobna jasna kuchnia, - wysoki parter. W pobliżu w odległości:- 500 m Aquapark,- 600 m Park Generała Andersa, - 600 m Kaufland, - 650 m centrum handlowe Wroclavia,- 700 m Dworzec Główny PKP. Zapraszam na prezentację Magdalena Ratusznik tel. [numer] BHN Chata Agencja Nieruchomości ul. Zaporoska 39 Wrocław, 53-519",,,,,własność,Wyposażenie: pralka,51.08700180053711,17.04199981689453
Wrocław Krzyki,ul. Śliczna,2.0,42.0,529000,12595.0,Bez pośredników,3 dni temu,6.0,https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-sliczna-2-pokojowe-l1r9z2,https://s2.adresowa.pl/oi/3f/3b/3a2d7c_b7cb_cover-2-pokojowe-mieszkanie-wroclaw-krzyki-ul-sliczna.jpg,Wrocław Krzyki,ul. Śliczna,parter,,blok,12 595,"BEZ POŚREDNIKÓW - KUPUJĄCY NIE PŁACI PROWIZJI Dzień dobry, zapraszam do obejrzenia mieszkania przy ulicy Ślicznej 49. Doskonała lokalizacja, zarówno dla rodziny, jak i pod wynajem (pełen rozkład). W pobliżu: aquapark, szpital przy ul. Borowskiej, kościół, sklepy (Biedronka, Lidl, Kaufland, Auchan, Żabka), przychodnie, centrum handlowe Wroclavia, dworzec PKP. Na osiedlu pełno zieleni. Uniwersytet Ekonomiczny oraz Wydział Farmaceutyczny: 15 min pieszo. Plac Grunwaldzki: 15 min tramwajem nr 16. Mieszkanie na parterze w bloku 10-piętrowym z windą, z wielkiej płyty, po termoizolacji i remoncie klatki schodowej. Mieszkanie dwustronne, widok na zieleń. Wymienione piony wodno-kanalizacyjne. Ogrzewanie miejskie. Spółdzielnia mieszkaniowa Huby III. Mieszkanie 2/3-pokojowe składa się z pokoju dziennego, sypialni, łazienki, osobnego WC, przedpokoju oraz kuchni, którą można zaaranżować na dodatkowy pokój, wstawiając aneks kuchenny do salonu. Do mieszkania przynależy piwnica. Wszystkie okna PCV. Na ścianach gładzie. Czynsz do spółdzielni: 403,80 zł. Zapraszam do kontaktu, Tomek.",tak,,aneks,plastikowe,,,51.084581,17.040565
Wrocław Kozanów,ul. Gwarecka,2.0,36.0,465000,13062.0,Bez pośredników,4 dni temu,10.0,https://adresowo.pl/o/mieszkanie-wroclaw-kozanow-ul-gwarecka-2-pokojowe-l3v2b1,https://s2.adresowa.pl/oi/2a/46/3a2c30_a762_cover-2-pokojowe-mieszkanie-wroclaw-kozanow-ul-gwarecka.jpg,Wrocław Kozanów,ul. Gwarecka,8 / winda,1980.0,blok,13 062,"Lokalizacja: Gwarecka 5 (Kozanów). Budynek: Blok mieszkalny, wielka płyta (rok budowy: 1980), winda, domofon. Forma własności: Spółdzielcze własnościowe prawo do lokalu z księgą wieczystą; bez obciążeń. Charakterystyka mieszkania: 35,6 m2, pokój z aneksem kuchennym, pokój, łazienka, przedpokój; dodatkowo: balkon, piwnica. Rozkład mieszkania: 8 piętro (na 11), jednostronne (północny-wschód), środkowe. Czynsz: Ok. 600 zł. Wyposażenie: Pokój z aneksem kuchennym: szafa zabudowana z lustrem, komoda (Ikea – Malm), regał (Ikea – Billy), stół i krzesła (Ikea – Ekedalen), kanapa (Ikea – Grunnarp), pralka (Indesit), lodówka (Samsung), piekarnik (Beko). Pokój: łóżko (140 x200 cm), toaletka, regał, wnęka zabudowana szafą na szerokość ściany (220 cm). Łazienka: wanna, umywalka z szafką, regał, szafka z lustrem nad umywalką. Przedpokój: pawlacz, miejsce na buty i kurtki. Media: Gaz, ogrzewanie miejskie, woda – uwzględnione w czynszu; Internet wraz z telewizją (Vectra), prąd (Tauron). Parking: Pod blokiem – brak problemów ze znalezieniem miejsca parkingowego; w pobliżu parking strzeżony (przy ul. Ignuta). Opis: - spokojna okolica i sąsiedztwo, - dużo terenów zielonych (Las Pilczycki, Park Zachodni, Park Pilczycki, blisko do wałów nad Odrą, rzeka Ślęza), - bardzo dobrze skomunikowane z centrum miasta (przy lokalu przystanek tramwajowy i autobusowy Górnicza), - w sąsiedztwie nieruchomości Galeria Pilczyce (m.in. Biedronka, Rossmann, Pepco) oraz inne usługi (fryzjerzy, krawcowe, szewc, poczta, bank, apteki), placówki szkolne i przedszkolne, ośrodki zdrowia (w tym szpital niepubliczny), bank, biblioteka, centrum sportowe K69, - blisko stadion Arena Tarczyński, - blisko AOW. Sprzedaż bezpośrednia (bez pośrednika). Pośrednikom dziękuję.",tak,,aneks,plastikowe,spółdzielcze własnościowe,"Wyposażenie: internet, kuchenka, lodówka, piekarnik, pralka",51.141263,16.959974
