locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Białystok Wygoda,ul. 42 Pułku Piechoty,3,60,675000,11250,bez pośredników,,14,https://adresowo.pl/o/mieszkanie-bialystok-wygoda-ul-42-pulku-piechoty-3-pokojowe-q8n5j3,https://s2.adresowa.pl/oi/3d/55/3d4c16_ea20_cover@2x-3-pokojowe-mieszkanie-bialystok-wygoda-ul-42-pulku-piechoty.webp
Białystok Sienkiewicza,ul. Ciepła,3,60,690000,11500,bez pośredników,,14,https://adresowo.pl/o/mieszkanie-bialystok-sienkiewicza-ul-ciepla-3-pokojowe-q9u6n4,https://s2.adresowa.pl/oi/4d/76/3e05be_aa71_cover@2x-3-pokojowe-mieszkanie-bialystok-sienkiewicza-ul-ciepla.webp
Białystok Centrum,ul. Jurowiecka,2,38,608000,16000,bez pośredników,,13,https://adresowo.pl/o/mieszkanie-bialystok-centrum-ul-jurowiecka-2-pokojowe-k2n0y8,https://s2.adresowa.pl/oi/3d/4f/3e03e8_ef63_cover@2x-2-pokojowe-mieszkanie-bialystok-centrum-ul-jurowiecka.webp
Białystok Nowe Miasto,ul. Feliksa Filipowicza,4,75,879000,11720,bez pośredników,,17,https://adresowo.pl/o/mieszkanie-bialystok-nowe-miasto-ul-feliksa-filipowicza-4-pokojowe-b7v0w3,https://s2.adresowa.pl/oi/16/57/3e0194_72b6_cover@2x-4-pokojowe-mieszkanie-bialystok-nowe-miasto-ul-feliksa-filipowicza.webp
Białystok Nowe Miasto,ul. Kazimierza Pułaskiego,2,44,499900,11361,Pośrednik,,17,https://adresowo.pl/o/mieszkanie-bialystok-nowe-miasto-ul-kazimierza-pulaskiego-2-pokojowe-c4k1j3,https://s2.adresowa.pl/oi/2f/72/3deb8a_510a_cover@2x-2-pokojowe-mieszkanie-bialystok-nowe-miasto-ul-kazimierza-pulaskiego.webp
Białystok Piasta,ul. Mieszka I 1,2,32,329000,10281,Pośrednik,,10,https://adresowo.pl/o/mieszkanie-bialystok-piasta-ul-mieszka-i-2-pokojowe-p5r1k0,https://s2.adresowa.pl/oi/78/1c/3de138_f7cf_cover@2x-2-pokojowe-mieszkanie-bialystok-piasta-ul-mieszka-i.webp
Białystok Skorupy,ul. Podlaska,2,42,549000,13071,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-bialystok-skorupy-ul-podlaska-2-pokojowe-y9p9f7,https://s2.adresowa.pl/oi/6b/5d/3dffb8_c98e_cover@2x-2-pokojowe-mieszkanie-bialystok-skorupy-ul-podlaska.webp
Białystok,ul. kard. Stefana Wyszyńskiego,2,39,340000,8718,bez pośredników,,7,https://adresowo.pl/o/mieszkanie-bialystok-ul-kard-stefana-wyszynskiego-2-pokojowe-m4z0d7,https://s2.adresowa.pl/oi/1b/60/3dfe46_733e_cover@2x-2-pokojowe-mieszkanie-bialystok-ul-kard-stefana-wyszynskiego.webp
Białystok,Bojary,3,60,639000,10650,bez pośredników,,20,https://adresowo.pl/o/mieszkanie-bialystok-bojary-3-pokojowe-60-m2-i0a0a6,https://s2.adresowa.pl/oi/3a/50/3df95e_9c4a_cover@2x-3-pokojowe-mieszkanie-bialystok-bojary.webp
Białystok Nowe Miasto,ul. Świętego Jerzego,4,79,899000,11380,Pośrednik,,19,https://adresowo.pl/o/mieszkanie-bialystok-nowe-miasto-ul-swietego-jerzego-4-pokojowe-j3v5t4,https://s2.adresowa.pl/oi/32/47/3dd6c8_86d7_cover@2x-4-pokojowe-mieszkanie-bialystok-nowe-miasto-ul-swietego-jerzego.webp
Białystok,ul. Hetmańska,3,52,599900,11537,Pośrednik,,14,https://adresowo.pl/o/mieszkanie-bialystok-ul-hetmanska-3-pokojowe-r9i8f2,https://s2.adresowa.pl/oi/71/7d/3d80b8_bab9_cover@2x-3-pokojowe-mieszkanie-bialystok-ul-hetmanska.webp
Białystok Piasta,ul. Piastowska,3,48,460000,9583,bez pośredników,,6,https://adresowo.pl/o/mieszkanie-bialystok-piasta-ul-piastowska-3-pokojowe-o9p8u7,https://s2.adresowa.pl/oi/5d/40/3df832_f4a3_cover@2x-3-pokojowe-mieszkanie-bialystok-piasta-ul-piastowska.webp
Białystok Słoneczny Stok,ul. Stroma,3,48,419000,8729,bez pośredników,,10,https://adresowo.pl/o/mieszkanie-bialystok-sloneczny-stok-ul-stroma-3-pokojowe-z2z5j2,https://s2.adresowa.pl/oi/69/5a/3df82e_b778_cover@2x-3-pokojowe-mieszkanie-bialystok-sloneczny-stok-ul-stroma.webp
Białystok Leśna Dolina,ul. Armii Krajowej,4,81,699000,8630,bez pośredników,,13,https://adresowo.pl/o/mieszkanie-bialystok-lesna-dolina-ul-armii-krajowej-4-pokojowe-b0m6a7,https://s2.adresowa.pl/oi/1d/3f/3df650_7dba_cover@2x-4-pokojowe-mieszkanie-bialystok-lesna-dolina-ul-armii-krajowej.webp
Białystok,ul. Artura Grottgera,3,64,689000,10766,Pośrednik,,13,https://adresowo.pl/o/mieszkanie-bialystok-ul-artura-grottgera-3-pokojowe-r1f3c0,https://s2.adresowa.pl/oi/52/17/3d6b22_90a8_cover@2x-3-pokojowe-mieszkanie-bialystok-ul-artura-grottgera.webp
Białystok,,2,56,630000,11250,Pośrednik,,8,https://adresowo.pl/o/mieszkanie-bialystok-2-pokojowe-56-m2-c2g8u7,https://s2.adresowa.pl/oi/3d/3a/3d6588_d061_cover@2x-2-pokojowe-mieszkanie-bialystok.webp
Białystok,Nowe Miasto,2,35,379000,10829,bez pośredników,,15,https://adresowo.pl/o/mieszkanie-bialystok-nowe-miasto-2-pokojowe-35-m2-a8q2b9,https://s2.adresowa.pl/oi/22/55/3df600_dc1e_cover@2x-2-pokojowe-mieszkanie-bialystok-nowe-miasto.webp
Białystok Nowe Miasto,ul. Kazimierza Pułaskiego,1,23,279000,12130,bez pośredników,,7,https://adresowo.pl/o/mieszkanie-bialystok-nowe-miasto-ul-kazimierza-pulaskiego-1-pokoj-y7i7u7,https://s2.adresowa.pl/oi/64/68/3df1e0_85dd_cover@2x-1-pokojowe-mieszkanie-bialystok-nowe-miasto-ul-kazimierza-pulaskiego.webp
Białystok Piaski,ul. Jerzego Waszyngtona,3,73,730000,10000,bez pośredników,,9,https://adresowo.pl/o/mieszkanie-bialystok-piaski-ul-jerzego-waszyngtona-3-pokojowe-a3y3g2,https://s2.adresowa.pl/oi/1f/79/3df0ce_8287_cover@2x-3-pokojowe-mieszkanie-bialystok-piaski-ul-jerzego-waszyngtona.webp
Białystok Nowe Miasto,ul. Zachodnia,3,52,580000,11154,Pośrednik,,13,https://adresowo.pl/o/mieszkanie-bialystok-nowe-miasto-ul-zachodnia-3-pokojowe-u4k3u2,https://s2.adresowa.pl/oi/32/7e/3d38fc_7dfe_cover@2x-3-pokojowe-mieszkanie-bialystok-nowe-miasto-ul-zachodnia.webp
Białystok Antoniuk,ul. Wierzbowa,2,37,419900,11349,Pośrednik,,11,https://adresowo.pl/o/mieszkanie-bialystok-antoniuk-ul-wierzbowa-2-pokojowe-w2a1d4,https://s2.adresowa.pl/oi/12/3c/3d38f6_32d9_cover@2x-2-pokojowe-mieszkanie-bialystok-antoniuk-ul-wierzbowa.webp
Białystok Piaski,ul. Michała Wołodyjowskiego,3,52,480000,9231,bez pośredników,,15,https://adresowo.pl/o/mieszkanie-bialystok-piaski-ul-michala-wolodyjowskiego-3-pokojowe-v9q2r6,https://s2.adresowa.pl/oi/38/5d/3df03e_6270_cover@2x-3-pokojowe-mieszkanie-bialystok-piaski-ul-michala-wolodyjowskiego.webp
Białystok Bojary,ul. Dobra,3,60,450000,7500,bez pośredników,,7,https://adresowo.pl/o/mieszkanie-bialystok-bojary-ul-dobra-3-pokojowe-d2x1b7,https://s2.adresowa.pl/oi/1a/21/3dea72_bcb7_cover@2x-3-pokojowe-mieszkanie-bialystok-bojary-ul-dobra.webp
Białystok Bacieczki,ul. rtm. Witolda Pileckiego,2,48,520000,10833,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-bialystok-bacieczki-ul-rtm-witolda-pileckiego-2-pokojowe-q3g8y6,https://s2.adresowa.pl/oi/2f/43/3de520_417f_cover@2x-2-pokojowe-mieszkanie-bialystok-bacieczki-ul-rtm-witolda-pileckiego.webp
Białystok Dziesięciny,ul. Generała Józefa Hallera,3,48,499000,10396,Pośrednik,,15,https://adresowo.pl/o/mieszkanie-bialystok-dziesieciny-ul-generala-jozefa-hallera-3-pokojowe-e9w0i7,https://s2.adresowa.pl/oi/1b/7e/3d38ec_d356_cover@2x-3-pokojowe-mieszkanie-bialystok-dziesieciny-ul-generala-jozefa-hallera.webp
Białystok,Centrum,2,43,539000,12535,Pośrednik,,17,https://adresowo.pl/o/mieszkanie-bialystok-centrum-2-pokojowe-43-m2-e7i9x9,https://s2.adresowa.pl/oi/53/21/3d38e8_ceed_cover@2x-2-pokojowe-mieszkanie-bialystok-centrum.webp
Białystok Dziesięciny,ul. Zagórna,3,48,469000,9771,bez pośredników,,9,https://adresowo.pl/o/mieszkanie-bialystok-dziesieciny-ul-zagorna-3-pokojowe-c5b9b6,https://s2.adresowa.pl/oi/6a/41/3de388_56f8_cover@2x-3-pokojowe-mieszkanie-bialystok-dziesieciny-ul-zagorna.webp
Białystok Wysoki Stoczek,ul. Scaleniowa,3,59,575000,9746,bez pośredników,,19,https://adresowo.pl/o/mieszkanie-bialystok-wysoki-stoczek-ul-scaleniowa-3-pokojowe-f9s9w8,https://s2.adresowa.pl/oi/2f/6c/3de244_a1ec_cover@2x-3-pokojowe-mieszkanie-bialystok-wysoki-stoczek-ul-scaleniowa.webp
Białystok Skorupy,ul. Plażowa,3,82,1150000,14024,bez pośredników,,14,https://adresowo.pl/o/mieszkanie-bialystok-skorupy-ul-plazowa-3-pokojowe-b4e8r5,https://s2.adresowa.pl/oi/3a/3b/3de008_cacf_cover@2x-3-pokojowe-mieszkanie-bialystok-skorupy-ul-plazowa.webp
Białystok Centrum,ul. Czysta,2,35,476900,13626,Pośrednik,,17,https://adresowo.pl/o/mieszkanie-bialystok-centrum-ul-czysta-2-pokojowe-l7o0j6,https://s2.adresowa.pl/oi/5e/65/3d293e_bfdf_cover@2x-2-pokojowe-mieszkanie-bialystok-centrum-ul-czysta.webp
Białystok Sienkiewicza,ul. Nowogródzka,3,59,539000,9136,Pośrednik,,20,https://adresowo.pl/o/mieszkanie-bialystok-sienkiewicza-ul-nowogrodzka-3-pokojowe-m1k6j4,https://s2.adresowa.pl/oi/20/13/3d2288_842b_cover@2x-3-pokojowe-mieszkanie-bialystok-sienkiewicza-ul-nowogrodzka.webp
Białystok Centrum,ul. Młynowa,3,68,1065000,15662,bez pośredników,,13,https://adresowo.pl/o/mieszkanie-bialystok-centrum-ul-mlynowa-3-pokojowe-j3h5h2,https://s2.adresowa.pl/oi/1b/53/3ddcf2_ef75_cover@2x-3-pokojowe-mieszkanie-bialystok-centrum-ul-mlynowa.webp
Białystok Antoniuk,ul. Juliana Tuwima,2,36,350000,9722,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-bialystok-antoniuk-ul-juliana-tuwima-2-pokojowe-g4o8m9,https://s2.adresowa.pl/oi/7b/36/3dd368_e2fb_cover@2x-2-pokojowe-mieszkanie-bialystok-antoniuk-ul-juliana-tuwima.webp
Białystok Leśna Dolina,al. Jana Pawła II,3,64,785000,12266,bez pośredników,,19,https://adresowo.pl/o/mieszkanie-bialystok-lesna-dolina-al-jana-pawla-ii-3-pokojowe-c1g4s1,https://s2.adresowa.pl/oi/31/70/3dd214_cec3_cover@2x-3-pokojowe-mieszkanie-bialystok-lesna-dolina-al-jana-pawla-ii.webp
Białystok Zielone Wzgórza,ul. Konwaliowa,2,37,389000,10514,Pośrednik,,6,https://adresowo.pl/o/mieszkanie-bialystok-zielone-wzgorza-ul-konwaliowa-2-pokojowe-i6o5o0,https://s2.adresowa.pl/oi/52/30/3ceaba_acab_cover@2x-2-pokojowe-mieszkanie-bialystok-zielone-wzgorza-ul-konwaliowa.webp
Białystok,ul. Palmowa,2,28,325000,11607,Pośrednik,,14,https://adresowo.pl/o/mieszkanie-bialystok-ul-palmowa-2-pokojowe-u7u9u4,https://s2.adresowa.pl/oi/70/57/3ceaac_9efd_cover@2x-2-pokojowe-mieszkanie-bialystok-ul-palmowa.webp
Białystok Bojary,ul. Dobra,3,67,925000,13806,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-bialystok-bojary-ul-dobra-3-pokojowe-n4q8u5,https://s2.adresowa.pl/oi/61/7a/3dc996_2a1e_cover@2x-3-pokojowe-mieszkanie-bialystok-bojary-ul-dobra.webp
Białystok Piaski,ul. Legionowa,2,51,550000,10784,bez pośredników,,9,https://adresowo.pl/o/mieszkanie-bialystok-piaski-ul-legionowa-2-pokojowe-r5k3u1,https://s2.adresowa.pl/oi/4a/4d/3dc71e_9e36_cover@2x-2-pokojowe-mieszkanie-bialystok-piaski-ul-legionowa.webp
Białystok,Bojary,4,90,929000,10322,Pośrednik,,20,https://adresowo.pl/o/mieszkanie-bialystok-bojary-4-pokojowe-90-m2-v3a8f7,https://s2.adresowa.pl/oi/24/37/3ceaa6_27f3_cover@2x-4-pokojowe-mieszkanie-bialystok-bojary.webp
Białystok Słoneczny Stok,ul. Upalna 96,2,53,379000,7151,Pośrednik,,9,https://adresowo.pl/o/mieszkanie-bialystok-sloneczny-stok-ul-upalna-2-pokojowe-p9w4q5,https://s2.adresowa.pl/oi/6a/39/3ceaa2_cd4f_cover@2x-2-pokojowe-mieszkanie-bialystok-sloneczny-stok-ul-upalna.webp
Białystok Centrum,ul. Józefa Marjańskiego 3,3,77,850000,11039,bez pośredników,,17,https://adresowo.pl/o/mieszkanie-bialystok-centrum-ul-jozefa-marjanskiego-3-pokojowe-i7k8e2,https://s2.adresowa.pl/oi/5c/1a/39765e_c721_cover@2x-3-pokojowe-mieszkanie-bialystok-centrum-ul-jozefa-marjanskiego.webp
Białystok Wygoda,ul. 42 Pułku Piechoty,3,61,709000,11623,bez pośredników,,12,https://adresowo.pl/o/mieszkanie-bialystok-wygoda-ul-42-pulku-piechoty-3-pokojowe-o0h3z5,https://s2.adresowa.pl/oi/17/42/3dc5c2_a388_cover@2x-3-pokojowe-mieszkanie-bialystok-wygoda-ul-42-pulku-piechoty.webp
Białystok Centrum,ul. Henryka Sienkiewicza,4,98,1190000,12143,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-bialystok-centrum-ul-henryka-sienkiewicza-4-pokojowe-j3v3u5,https://s2.adresowa.pl/oi/7d/48/3dc596_9daa_cover@2x-4-pokojowe-mieszkanie-bialystok-centrum-ul-henryka-sienkiewicza.webp
Białystok Piaski,ul. Wesoła,3,50,690000,13800,bez pośredników,,7,https://adresowo.pl/o/mieszkanie-bialystok-piaski-ul-wesola-3-pokojowe-p4r5q7,https://s2.adresowa.pl/oi/3f/73/3dbe26_674d_cover@2x-3-pokojowe-mieszkanie-bialystok-piaski-ul-wesola.webp
Białystok,ul. Artura Grottgera,3,56,595000,10625,Pośrednik,,17,https://adresowo.pl/o/mieszkanie-bialystok-ul-artura-grottgera-3-pokojowe-l2o3x5,https://s2.adresowa.pl/oi/43/72/3cea98_bd9c_cover@2x-3-pokojowe-mieszkanie-bialystok-ul-artura-grottgera.webp
Białystok,ul. Świętojańska,3,45,595000,13222,Pośrednik,,32,https://adresowo.pl/o/mieszkanie-bialystok-ul-swietojanska-3-pokojowe-e8p9q1,https://s2.adresowa.pl/oi/68/2e/3cea9c_f74a_cover@2x-3-pokojowe-mieszkanie-bialystok-ul-swietojanska.webp
Białystok Starosielce,ul. Wrocławska,2,40,430000,10750,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-bialystok-starosielce-ul-wroclawska-2-pokojowe-s7p0b2,https://s2.adresowa.pl/oi/22/3d/3dbb94_44f0_cover@2x-2-pokojowe-mieszkanie-bialystok-starosielce-ul-wroclawska.webp
Białystok Dziesięciny,ul. Gajowa,2,48,475000,9896,bez pośredników,,6,https://adresowo.pl/o/mieszkanie-bialystok-dziesieciny-ul-gajowa-2-pokojowe-e3f2c3,https://s2.adresowa.pl/oi/7e/39/3dbaa8_ea6e_cover@2x-2-pokojowe-mieszkanie-bialystok-dziesieciny-ul-gajowa.webp
