locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url,city_district,full_address,floor,year_built,building_type,price_per_sqm_detailed,description_text,has_basement,has_parking,kitchen_type,window_type,ownership_type,equipment,latitude,longitude
Białystok Centrum,ul. Józefa Marjańskiego 3,3,77,850000,11039.0,bez pośredników,,17,https://adresowo.pl/o/mieszkanie-bialystok-centrum-ul-jozefa-marjanskiego-3-pokojowe-i7k8e2,https://s2.adresowa.pl/oi/5c/1a/39765e_c721_cover@2x-3-pokojowe-mieszkanie-bialystok-centrum-ul-jozefa-marjanskiego.webp,Białystok Centrum,Józefa Marjańskiego 3,6,2004.0,apartamentowiec,,"Sprzedam mieszkanie w dobrym stanie, mozliwosc zamieszkania od razu po wydaniu kluczy. Nieruchomosc posiada ksiege wieczysta i jest to pelna wlasnosc Nieruchomosc znajduje sie na szóstym pietrze i ma powierzchnie 77,2m2 Sklada sie salonu z aneksem kuchennym (36,4m2)korytarz (4,4m2) zabudowany szafami , sypialni (17,4 m2), dodatkowy pokoj -gabinet(10,6m2),salon lazienkiegowy z wanną i prysznicem( 8,4m2). Zabudowa kuchni nowa ,wyposażona jest w nowoczesne sprzęty, takie jak lodówka, mikrofala, piekarnik i zmywarka. Pralka -suszarka w zabudowie w przedpokoju. Wyposazenie(meble ,RTV) zostanie. Mieszkanie wyposazone w klimatyzacje LG(chlodzenie-grzanie) Miezkanie położone w ścisłym centrum Białegostoku.Dla mieszkancow przeznaczony jest parking przy budynku do ktorego jest mozliwy wjazd za pomoca karty dostepu Agencjom Pośrednictwa dziękuję,prosze nie dzwonić!!!",,,aneks,plastikowe,własność,"Wyposażenie: klimatyzacje, lodówka, piekarnik, pralka, suszarka, tv, zmywarka",53.129769,23.154625
Białystok Wysoki Stoczek,ul. Dworska,3,64,550000,8594.0,bez pośredników,,14,https://adresowo.pl/o/mieszkanie-bialystok-wysoki-stoczek-ul-dworska-3-pokojowe-t6j7h9,https://s2.adresowa.pl/oi/40/13/3e9488_62fb_cover@2x-3-pokojowe-mieszkanie-bialystok-wysoki-stoczek-ul-dworska.webp,Białystok Wysoki Stoczek,Dworska,2,1998.0,blok,,"SPRZEDAM MIESZKANIE Mieszkanie usytuowane jest na 2. piętrze w 4-piętrowym bloku. W bezpośrednim sąsiedztwie znajdują się ogólnodostępne miejsca parkingowe oraz tereny zielone, idealne na spacery i aktywny wypoczynek. Blok po termomodernizacji (ocieplony), ogrzewanie i ciepła woda z sieci. W skład mieszkania wchodzą: - 3 niezależne pokoje, - kuchnia z zabudową meblową oraz sprzętem AGD: piekarnik, płyta gazowa, zmywarka oraz okap, - przedpokój z dużą szafą oraz pawlaczami, - 2 niezależne łazienki: pierwsza WC wraz z umywalką, druga z umywalką, pralką, wanną oraz meblami, - do mieszkania przynależy piwnica. Mieszkanie jest do odświeżenia i dostępne od zaraz. Zapraszam do kontaktu.",tak,,osobna,drewniane,własność,"Wyposażenie: piekarnik, zmywarka",53.145662,23.103281
Białystok,ul. Adama Mickiewicza,3,68,748000,11000.0,bez pośredników,,18,https://adresowo.pl/o/mieszkanie-bialystok-ul-adama-mickiewicza-3-pokojowe-n4u7y0,https://s2.adresowa.pl/oi/49/3f/3e93aa_bfb2_cover@2x-3-pokojowe-mieszkanie-bialystok-ul-adama-mickiewicza.webp,Białystok ,Adama Mickiewicza,2,2009.0,blok,,"To 3 pokojowe, przestronne, w pełni rozkładowe mieszkanie 68 m² znajduje się na drugim piętrze trzypiętrowego bloku. Jest w bardzo dobrym stanie, gotowe do zamieszkania i sprzedawane z pełnym wyposażeniem, w tym meblami oraz sprzętem AGD. Jest to idealne mieszkanie dla rodziny, pary lub jako kapitał na przyszłość. Do mieszkania przynależy balkon oraz piwnica, co zwiększa jego funkcjonalność. Sercem mieszkania jest jasny i przestronny salon połączony z funkcjonalną i dużą kuchnią. W kuchni i korytarzu dodatkowo jest ogrzewanie podłogowe. Mieszkanie posiada dwa osobne pokoje, a salon z wyjściem na duży balkon ma okna z dwóch stron. Istnieje możliwość przerobienia dużej garderoby na drugą łazienkę lub gabinet. Blok położony jest na zamkniętym osiedlu, posiadającym plac zabaw oraz miejsca parkingowe. Nieruchomość zlokalizowana jest na osiedlu Mickiewicza, które słynie ze świetnie zaprojektowanej infrastruktury. Zaraz przy bloku znajduje się strefa zieleni - idealna na spacery z psem, wygodne ścieżki spacerowe i rowerowe. Lokalizacja zapewnia doskonałą komunikację z resztą miasta. W okolicy znajdują się również sklepy, restauracje oraz placówki edukacyjne, w tym: Urzędy, Galerię Alfa i Biała, Park, Zoo, Teatr Dramatyczny - co czyni tę lokalizację bardzo wygodną do życia. Zapraszamy na prezentację, mieszkanie bezpośrednio od właściciela. Za pomoc pośredników serdecznie dziękujemy - chyba że klient potrzebuje wsparcia agenta do spraw nieruchomości.",tak,,,plastikowe,własność,,53.108488,23.182694
Białystok Piasta,ul. Bolesława Chrobrego,3,53,389000,7340.0,bez pośredników,,7,https://adresowo.pl/o/mieszkanie-bialystok-piasta-ul-boleslawa-chrobrego-3-pokojowe-u9i1r5,https://s2.adresowa.pl/oi/6f/64/3e9114_9cf3_cover@2x-3-pokojowe-mieszkanie-bialystok-piasta-ul-boleslawa-chrobrego.webp,Białystok Piasta,Bolesława Chrobrego,4,1974.0,blok,,"Na sprzedaż 3-pokojowe mieszkanie z balkonem, położone przy ul. Bolesława Chrobrego 5D w Białymstoku, na osiedlu Piasta I. Mieszkanie ma ok. 48 m² powierzchni mieszkalnej, a wraz z pomieszczeniem przynależnym łączna powierzchnia wynosi 53,60 m². Do lokalu przynależy piwnica. Układ mieszkania obejmuje: oddzielną kuchnię z oknem, pokój, salon z wyjściem na balkon, sypialnię z wejściem z salonu, łazienkę, osobne WC oraz przedpokój. Lokal jest jasny, ma duże okna i przyjemny widok z wyższego piętra. Mieszkanie jest w stanie do remontu lub odświeżenia, dzięki czemu nowy właściciel może urządzić je według własnego pomysłu. To dobra propozycja zarówno dla osoby szukającej mieszkania dla siebie, jak i dla inwestora. Atutem jest funkcjonalny metraż, 3 pokoje, oddzielna kuchnia, balkon oraz piwnica. Lokalizacja to spokojna i dobrze skomunikowana część osiedla Piasta I. Pod blokiem sklep Biedronka i inne, szkoły, przedszkole. Blisko do centrum i na uczelnię. W pobliżu znajdują się przystanki komunikacji miejskiej, szkoła, sklepy, punkty usługowe i paczkomat. Ulica Chrobrego znajduje się w granicach osiedla Piasta I, a w bezpośrednim sąsiedztwie są m.in. Mieszka I i Piastowska. Kuchnia: oddzielna, z oknem Łazienka: osobna łazienka z wanną WC: osobne Balkon: tak Stan: do remontu / do własnej aranżacji Okna: PCV Ogrzewanie: miejskie Forma własności: własnościowe",tak,,osobna,plastikowe,własność,,53.132729,23.18751
Białystok Piaski,ul. Jerzego Waszyngtona,2,33,409000,12394.0,Pośrednik,,7,https://adresowo.pl/o/mieszkanie-bialystok-piaski-ul-jerzego-waszyngtona-2-pokojowe-g9d9h6,https://s2.adresowa.pl/oi/73/5b/3e869a_f9aa_cover@2x-2-pokojowe-mieszkanie-bialystok-piaski-ul-jerzego-waszyngtona.webp,Białystok Piaski,Jerzego Waszyngtona,2,1974.0,blok,,"Mieszkanie 2-pokojowe z aneksem kuchennym | Białystok, ul. Waszyngtona Mieszkanie o powierzchni 33 m² po generalnym remoncie, zlokalizowane na 2. piętrze (budynek liczy 11 kondygnacji). Układ składa się z 2 pokoi z otwartą kuchnią oraz balkonu, bokówki i piwnicy. Standard wykończenia: Mieszkanie zostało gruntownie wyremontowane i jest gotowe do wprowadzenia. W ramach remontu wykonano zabudowy na wymiar: szafa w korytarzu, zabudowa łazienkowa oraz zabudowa RTV. Zamontowano nowe okna PCV. Nowa instalacja elektryczna i hydrauliczna. Osiedle i infrastruktura: Budynek dysponuje miejscami parkingowymi za szlabanem, dostępnymi dla mieszkańców. Lokalizacja: Ul. Waszyngtona to świetnie skomunikowane miejsce w Białymstoku. Do Rynku Kościuszki około 5 minut piechotą. Przystanek komunikacji miejskiej w odległości około 200 m od budynku. W pobliżu uczelnia oraz szpital. Pomagamy w uzyskaniu kredytu hipotecznego – współpracujemy z doświadczonymi doradcami finansowymi, którzy przeprowadzą Cię przez cały proces. Zapraszamy do kontaktu i bezpłatnego oglądania.",tak,,,,,Wyposażenie: tv,53.1275,23.1581
Białystok Piasta,ul. Sybiraków,2,49,529000,10796.0,Pośrednik,,18,https://adresowo.pl/o/mieszkanie-bialystok-piasta-ul-sybirakow-2-pokojowe-c7o4b3,https://s2.adresowa.pl/oi/2a/2c/3e823e_4c31_cover@2x-2-pokojowe-mieszkanie-bialystok-piasta-ul-sybirakow.webp,Białystok Piasta,Sybiraków,4,,blok,,"Na sprzedaż mieszkanie 49,59 m² na osiedlu Piasta I przy ul. Sybiraków w Białymstoku. Lokal znajduje się w budynku z cegły na spokojnym, dobrze skomunikowanym osiedlu z pełną infrastrukturą. Funkcjonalny układ, który daje komfort codziennego życia! Układ mieszkania: 2 ustawne pokoje osobna kuchnia – duży plus dla komfortu życia i wynajmu łazienka z wanną przedpokój z dużą ilością miejsca do przechowywania balkon z przyjemnym widokiem duża piwnica Lokal jest w pełni funkcjonalny i wyposażony, więc można w nim komfortowo mieszkać już od pierwszego dnia. Wyposażenie: AGD (piekarnik, zmywarka, lodówka, pralka, suszarka, TV), meble, domofon Jedno z bardziej spokojnych i zielonych osiedli w Białymstoku. W bezpośrednim otoczeniu: teren ogrodzony, na którym znajduje się budynek – zapewniający poczucie bezpieczeństwa dużo zieleni i cicha, spokojna okolica plac zabaw dla dzieci na wewnętrznym dziedzińcu parking zamknięty i otwarty – zawsze dostępne miejsca Cena: 529 000 zł Czynsz: ok. 630 zł Mieszkanie dostępne od zaraz. Zapraszam do kontaktu i umówienia prezentacji.",tak,,,,,"Wyposażenie: lodówka, piekarnik, pralka, suszarka, tv, zmywarka",53.1324,23.1964
Białystok Centrum,ul. Adama Mickiewicza,3,57,579000,10158.0,bez pośredników,,11,https://adresowo.pl/o/mieszkanie-bialystok-centrum-ul-adama-mickiewicza-3-pokojowe-v6b8l6,https://s2.adresowa.pl/oi/32/2c/3e8f94_8209_cover@2x-3-pokojowe-mieszkanie-bialystok-centrum-ul-adama-mickiewicza.webp,Białystok Centrum,Adama Mickiewicza,11,1989.0,blok,,"Sprzedam mieszkanie w bloku mieszkalnym 57,40 m² na 11 (ostatnim) piętrze przy ulicy Mickiewicza. Na sprzedaż mieszkanie po generalnym remoncie położone w ścisłym centrum Białegostoku, w rejonie Galerii Alfa oraz Galerii Białej. Lokalizacja ta gwarantuje doskonały dostęp do infrastruktury miejskiej, komunikacji oraz instytucji publicznych. Mieszkanie jest po generalnym remoncie. W skład mieszkania wchodzi: duży salon, 2 pokoje, kuchnia, łazienka i korytarz. W całym domu została wymieniona instalacja elektryczna, instalacja hydrauliczna, grzejniki. Zamontowana została trzyszybowa stolarka okienna z nowymi parapetami oraz nowe drzwi zewnętrzne i wewnętrzne. Położone zostały nowe podłogi. Lokal jest gotowy do wprowadzenia i zamieszkania, bez konieczności ponoszenia dodatkowych nakładów finansowych. Mieszkanie z widokiem na zielone i spokojne osiedle, zapewnia komfort akustyczny, pomimo lokalizacji w centrum miasta. Mieszkanie zostało urządzone w sposób przemyślany i komfortowy. Do mieszkania przynależą miejsca postojowe za szlabanem. Dodatkowo do lokalu przysługuje piwnica. W pobliżu znajdują się m.in.: liczne punkty handlowe, usługowe, restauracje, Uniwersytet Medyczny, Urząd Wojewódzki Urząd Miasta oraz kompleks szpitali. Możliwość kupna nieruchomości wraz z meblami oraz rtv i agd. Sprzedaż bezpośrednia, pomagam ze wszelką dokumentacją. Biurom nieruchomości dziękuję. W przypadku gotówki negocjacja ceny, możliwa zamiana na mieszkanie/dom do remontu. Zapraszam do kontaktu w celu prezentacji mieszkania.",tak,tak,osobna,,własność,Wyposażenie: tv,53.123042,23.172225
Białystok Nowe Miasto,ul. Zachodnia,2,45,563000,12511.0,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-bialystok-nowe-miasto-ul-zachodnia-2-pokojowe-h0b4d5,https://s2.adresowa.pl/oi/4c/3f/3e89f4_afa0_cover@2x-2-pokojowe-mieszkanie-bialystok-nowe-miasto-ul-zachodnia.webp,Białystok Nowe Miasto,Zachodnia,4,2014.0,blok,,"Na sprzedaż jasne i funkcjonalne mieszkanie 45,04 m2 na ulicy Zachodniej 2G, tuż za lidlem, 5 min od Politechniki Białostockiej w nowym budownictwie, dwie windy w bloku z 2014 roku. - 2 niezależne pokoje - pełna prywatność - Korytarz z pojemną szafą w zabudowie - Oddzielna kuchnia - Łazienka z kabiną prysznicową i pralką - 4. piętro - cisza i dobry widok - Dwie windy w bloku - wygoda na co dzień - Miejsce postojowe w garażu podziemnym - zero stresu z parkowaniem (można zrezygnować z zakupu) Mieszkanie to gotowy biznes na wynajem bądź komfortowe lokum do zamieszkania.",,tak,osobna,,,,53.112826,23.132454
Białystok Leśna Dolina,ul. Armii Krajowej,4,54,482000,8926.0,bez pośredników,,12,https://adresowo.pl/o/mieszkanie-bialystok-lesna-dolina-ul-armii-krajowej-4-pokojowe-i9v7n7,https://s2.adresowa.pl/oi/48/65/3e8140_b410_cover@2x-4-pokojowe-mieszkanie-bialystok-lesna-dolina-ul-armii-krajowej.webp,Białystok Leśna Dolina,Armii Krajowej,3,1994.0,blok,,"Na sprzedarz mieszkanie 4 pokojowe na 3 z 4 pięter w bloku z cegły z 1994 roku z aneksem kuchennym o pow. 54,6m2 na ulicy Armii Krajowej. Do mieszkania przynależy piwnica i zabudowany balkon. Blisko szkoły, przedszkola, przystanki autobusowe oraz sklepy. Cena 482000. Kontakt tel",tak,,aneks,plastikowe,własność,,53.130659,23.092901
Białystok,ul. Jana Kochanowskiego,3,58,799870,13791.0,Pośrednik,,18,https://adresowo.pl/o/mieszkanie-bialystok-ul-jana-kochanowskiego-3-pokojowe-g1h6m1,https://s2.adresowa.pl/oi/68/18/3e8200_e485_cover@2x-3-pokojowe-mieszkanie-bialystok-ul-jana-kochanowskiego.webp,Białystok ,Jana Kochanowskiego,1,2019.0,apartamentowiec,,"Przestronne mieszkanie 3-pokojowe z kuchnią | Białystok, ul. Kochanowskiego Mieszkanie o powierzchni 58,73 m² w bloku z 2019 roku, zlokalizowane na 1. piętrze (budynek liczy 7 kondygnacji). Układ składa się z 3 osobnych pokoi oraz oddzielnej kuchni. Balkon wychodzi na poziom zamkniętej części osiedla. Osiedle i infrastruktura: Zamknięte, monitorowane osiedle z siłownią zewnętrzną oraz placem zabaw dla dzieci. Do mieszkania przynależy jedno miejsce w garażu podziemnym (dodatkowo płatne 70.000zł). Dla mieszkańców bloku dostępne są również dodatkowe ogólnodostępne miejsca garażowe. Lokalizacja: Ul. Kochanowskiego to doskonale skomunikowany punkt na mapie Białegostoku. Do Rynku Kościuszki około 10 minut piechotą. W pobliżu komunikacja miejska, szkoły, sklepy oraz uczelnia. Finansowanie: Pomagamy w uzyskaniu kredytu hipotecznego – współpracujemy z doświadczonymi doradcami finansowymi, którzy przeprowadzą Cię przez cały proces. Nieruchomość bez obciążeń, gotowa do szybkiej transakcji. Zapraszamy do kontaktu i bezpłatnego oglądania.",,tak,osobna,,,,53.124,23.1434
