locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url,city_district,full_address,floor,year_built,building_type,price_per_sqm_detailed,description_text,has_basement,has_parking,kitchen_type,window_type,ownership_type,equipment,latitude,longitude
Białystok Centrum,ul. Józefa Marjańskiego 3,3,77,790000,10260,bez pośredników,,17,https://adresowo.pl/o/mieszkanie-bialystok-centrum-ul-jozefa-marjanskiego-3-pokojowe-i7k8e2,https://s2.adresowa.pl/oi/5c/1a/39765e_c721_cover@2x-3-pokojowe-mieszkanie-bialystok-centrum-ul-jozefa-marjanskiego.webp,Białystok Centrum,Józefa Marjańskiego 3,6,2004,apartamentowiec,,"Sprzedam mieszkanie w dobrym stanie, mozliwosc zamieszkania od razu po wydaniu kluczy. Nieruchomosc posiada ksiege wieczysta i jest to pelna wlasnosc Nieruchomosc znajduje sie na szóstym pietrze i ma powierzchnie 77,2m2 Sklada sie salonu z aneksem kuchennym (36,4m2)korytarz (4,4m2) zabudowany szafami , sypialni (17,4 m2), dodatkowy pokoj -gabinet(10,6m2),salon lazienkiegowy z wanną i prysznicem( 8,4m2). Zabudowa kuchni nowa ,wyposażona jest w nowoczesne sprzęty, takie jak lodówka, mikrofala, piekarnik i zmywarka. Pralka -suszarka w zabudowie w przedpokoju. Wyposazenie(meble ,RTV) zostanie. Mieszkanie wyposazone w klimatyzacje LG(chlodzenie-grzanie) Miezkanie położone w ścisłym centrum Białegostoku.Dla mieszkancow przeznaczony jest parking przy budynku do ktorego jest mozliwy wjazd za pomoca karty dostepu Agencjom Pośrednictwa dziękuję,prosze nie dzwonić!!! Cena mieszkania do negocjacji!!!",,,aneks,plastikowe,własność,"Wyposażenie: klimatyzacje, lodówka, piekarnik, pralka, suszarka, tv, zmywarka",53.129769,23.154625
Białystok Bojary,ul. Złota,2,33,369000,11182,bez pośredników,,7,https://adresowo.pl/o/mieszkanie-bialystok-bojary-ul-zlota-2-pokojowe-d0z3o2,https://s2.adresowa.pl/oi/28/46/406c8c_b610_cover@2x-2-pokojowe-mieszkanie-bialystok-bojary-ul-zlota.webp,Białystok Bojary,Złota,1,1970,blok,,"Sprzedam bezpośrednio nowoczesne, przestrzenne, bardzo słoneczne i przytulne mieszkanie, zlokalizowane na Bojarach, przy ul. Złotej - I piętro, 2 pokoje - salon z aneksem kuchennym i oddzielny pokój/sypialnia oraz łazienka. Mieszkanie w pełni wyposażone i umeblowane (lodówka, piekarnik, zmywarka, pralka), gotowe do zamieszkania. Meble w kuchni oraz w łazience robione na zamówienie. W mieszkaniu znajdują się dwie duże szafy (w zabudowie w korytarzu oraz w sypialni). Mieszkanie idealne dla ucznia bądź studenta, a także dla rodziny. Pieszo 15-20 min. do Uniwersytetu Medycznego w Białymstoku, Wydziału Prawa UwB oraz Wydziału Ekonomii i Zarządzania. W bliskim sąsiedztwie znajduje się Wydział Historii, Socjologii, Filologiczny UwB, bezpośredni dojazd autobusami komunikacji miejskiej do Politechniki Białostockiej. W pobliżu znajduje się Galeria Jurowiecka oraz Galeria Alfa. Cena 369 000 zł. Najlepiej kontakt telefoniczny, sms - [numer].",,,,,własność,"Wyposażenie: lodówka, piekarnik, pralka, zmywarka",53.139004,23.172588
Białystok Piasta,ul. Piastowska,2,35,330000,9429,bez pośredników,,4,https://adresowo.pl/o/mieszkanie-bialystok-piasta-ul-piastowska-2-pokojowe-k9k2i3,https://s2.adresowa.pl/oi/2e/43/406abe_3420_cover@2x-2-pokojowe-mieszkanie-bialystok-piasta-ul-piastowska.webp,Białystok Piasta,Piastowska,1,1973,blok,,Blok jest z cegły...................................................................................................,tak,,osobna,plastikowe,własność,,53.12906,23.187773
Białystok Słoneczny Stok,ul. Wincentego Witosa,2,48,449000,9354,bez pośredników,,13,https://adresowo.pl/o/mieszkanie-bialystok-sloneczny-stok-ul-wincentego-witosa-2-pokojowe-t3w8a8,https://s2.adresowa.pl/oi/13/40/406394_b8ab_cover@2x-2-pokojowe-mieszkanie-bialystok-sloneczny-stok-ul-wincentego-witosa.webp,Białystok Słoneczny Stok,Wincentego Witosa,parter,,blok,,"Na sprzedaż mieszkanie o powierzchni 48,2 m², położone na parterze w 4-piętrowym bloku przy ulicy Witosa, na spokojnym i kameralnym osiedlu. Układ mieszkania obejmuje: przestronny salon z dużym balkonem i zejściem prosto do ogródka, oddzielną kuchnię, sypialnię, łazienkę, toaletę i przedpokój. Lokal jest dwustronny i brak w nim pomieszczeń przechodnich. Ogromną zaletą nieruchomości jest również ogródek - idealne miejsce na poranną kawę, odpoczynek po pracy, zabawę z dziećmi czy stworzenie własnej zielonej strefy relaksu. Dodatkowo mieszkańcy mogą korzystać z balkonu, który zapewnia jeszcze więcej przestrzeni do codziennego wypoczynku. Przy budynku jest mnóstwo miejsc parkingowych. Do mieszkania przynależy również piwnica o powierzchni 4,1 m², stanowiąca praktyczne miejsce do przechowywania. Dużym atutem nieruchomości jest lokalizacja. Osiedle zapewnia bardzo dobry dostęp do komunikacji miejskiej oraz pełnej infrastruktury potrzebnej w codziennym życiu. W pobliżu znajdują się liczne przystanki autobusowe, sklepy, szkoły, przedszkola, żłobek, przychodnia, biblioteka, apteka, basen, paczkomaty oraz place zabaw. Dojazd do ścisłego centrum Białegostoku zajmuje zaledwie kilka minut. Budynek położony jest w otoczeniu zieleni, dzięki czemu mimo dobrej komunikacji z centrum, okolica zapewnia spokojne warunki do życia i wypoczynku.",tak,,osobna,,,,53.132235,23.105356
Białystok Nowe Miasto,ul. Świętego Jerzego,3,60,519000,8650,Pośrednik,,13,https://adresowo.pl/o/mieszkanie-bialystok-nowe-miasto-ul-swietego-jerzego-3-pokojowe-r5q2x3,https://s2.adresowa.pl/oi/21/74/404e68_41c1_cover@2x-3-pokojowe-mieszkanie-bialystok-nowe-miasto-ul-swietego-jerzego.webp,Białystok Nowe Miasto,Świętego Jerzego,4,1992,blok,,"3 pokoje po generalnym remoncie (60,04 m²) - ul. Św. Jerzego, Nowe Miasto Szukasz mieszkania, do którego możesz się wprowadzić bez remontu? Zależy Ci na wygodnym układzie, dużej ilości światła i spokojnej okolicy? Na sprzedaż mieszkanie o powierzchni 60,04 m² , położone na 4. piętrze w czteropiętrowym bloku z 1992 roku, przy ul. Św. Jerzego na Nowym Mieście. Generalny remont - mieszkanie zostało kompleksowo wyremontowane w 2021 roku. Właściciele bardzo o nie dbają, dlatego wciąż jest w bardzo dobrym stanie. Wygodny układ - dwie oddzielne sypialnie oraz duży salon otwarty na przedpokój. Osobna kuchnia, łazienka i WC pozwalają wygodnie korzystać z mieszkania kilkuosobowej rodzinie. Funkcjonalna kuchnia - zabudowa i blaty robocze znajdują się po obu stronach pomieszczenia, zapewniając dużo miejsca do pracy i przechowywania. Dużo światła - mieszkanie jest dwustronne, z ekspozycją wschód-zachód. IV piętro zapewnia dobre doświetlenie i większą prywatność. Duży, zabudowany balkon - dodatkowa przestrzeń, którą można wykorzystać nie tylko latem, ale również jako miejsce do przechowywania. Klimatyzacja - dodatkowy komfort w najcieplejszych miesiącach. Ocieplony i zaizolowany dach - prace wykonane w 2025 roku poprawiły komfort cieplny mieszkania, zarówno latem jak i zimą. Spokój - mieszkanie jest bardzo ciche, mimo że znajduje się w mieście. Okolica Ta część Nowego Miasta zapewnia wygodny dostęp do codziennej infrastruktury. W pobliżu są sklepy, piekarnie, warzywniaki, rzeźnicy i liczne małe punkty usługowe. Osiedle jest zielone, spokojne i dobrze skomunikowane z pozostałą częścią Białegostoku. Do mieszkania przynależy piwnica . Serdecznie zapraszam.",tak,,osobna,plastikowe,,Wyposażenie: klimatyzacja,53.10729,23.1258
Białystok Antoniuk,ul. Władysława Broniewskiego,4,54,570000,10556,Pośrednik,,12,https://adresowo.pl/o/mieszkanie-bialystok-antoniuk-ul-wladyslawa-broniewskiego-4-pokojowe-o3j3d1,https://s2.adresowa.pl/oi/6d/21/3ff786_cc04_cover@2x-4-pokojowe-mieszkanie-bialystok-antoniuk-ul-wladyslawa-broniewskiego.webp,Białystok Antoniuk,Władysława Broniewskiego,2,1968,blok,,"Na sprzedaż dwa mieszkania przy ul. Broniewskiego na osiedlu Antoniuk w Białymstoku , oferowane w ramach jednej inwestycji. Oba lokale są obecnie wynajmowane , dzięki czemu zakup stanowi gotową inwestycję z funkcjonującym najmem. Nieruchomość może być atrakcyjną propozycją dla inwestora, który szuka stabilnego źródła dochodu bez konieczności rozpoczynania procesu od poszukiwania najemców . Najważniejsze atuty: 2 wynajmowane mieszkania, ROI netto ok. 6,5% , gotowy produkt inwestycyjny, regularny dochód z najmu, atrakcyjna lokalizacja - Antoniuk, ul. Broniewskiego , możliwość dalszego utrzymywania mieszkań w najmie. To ciekawa propozycja zarówno dla doświadczonego inwestora, jak i osoby, która chce rozpocząć inwestowanie w nieruchomości od gotowego, wynajętego produktu . Zapraszamy do kontaktu!",,,aneks,plastikowe,własność,,53.139447,23.12986
Białystok Wygoda,ul. Romualda Traugutta,2,38,330000,8684,bez pośredników,,3,https://adresowo.pl/o/mieszkanie-bialystok-wygoda-ul-romualda-traugutta-2-pokojowe-n8q5q9,https://s2.adresowa.pl/oi/79/76/406280_c3e1_cover@2x-2-pokojowe-mieszkanie-bialystok-wygoda-ul-romualda-traugutta.webp,Białystok Wygoda,Romualda Traugutta,4,1973,blok,,"Słoneczne 2-pokojowe mieszkanie z widokiem na zieleń | Wygoda/Bojary | 330 000 zł Na sprzedaż mieszkanie o powierzchni 38 m² na 4. piętrze (ostatnim) w 4-piętrowym budynku z cegły, rok budowy 1973, ul. Pułkowa, Białystok. Pełna własność. Lokalizacja Mieszkanie znajduje się na pograniczu Wygody i Bojarów — spokojna okolica, a jednocześnie blisko wszystkiego. Obok sklep PSS Wygoda oraz przystanek autobusowy (50 m), skąd do centrum dojedziemy w zaledwie 3 przystanki. W pobliżu stacja PKP Białystok Fabryczny oraz bardzo dobry dojazd do obwodnicy Białegostoku — idealnie dla osób dojeżdżających samochodem poza miasto. Dla miłośników zieleni: blisko Skwer Włodzimierza Zankiewicza, a także Górka na Pietraszach i Las Pietrasze — mnóstwo terenów zielonych w bliskiej odległości. Parking pod blokiem, ogólnodostępny. Mieszkanie Dwa oddzielne pokoje i osobna, widna kuchnia. Okna PCV wychodzą na południowy zachód — mieszkanie jest bardzo słoneczne przez cały dzień, a widok z okien nie jest niczym zasłonięty — zieleń i skwer. Dodatkowym atutem jest cisza, mimo dobrej lokalizacji komunikacyjnej. Łazienka z WC. Ogrzewanie miejskie, media miejskie, w budynku dostępna również instalacja gazowa. Do mieszkania przynależy francuski balkon oraz piwnica. Mieszkanie jest do wejścia, wolne od zaraz, ewentualnie do lekkiego odświeżenia — bez konieczności generalnego remontu.",tak,,osobna,plastikowe,własność,,53.141335,23.183942
Białystok Dziesięciny,ul. Palmowa,2,33,369000,11182,bez pośredników,,14,https://adresowo.pl/o/mieszkanie-bialystok-dziesieciny-ul-palmowa-2-pokojowe-r7d5l2,https://s2.adresowa.pl/oi/7a/7e/4060fc_fbf6_cover@2x-2-pokojowe-mieszkanie-bialystok-dziesieciny-ul-palmowa.webp,Białystok Dziesięciny,Palmowa,3,1997,blok,,"Na sprzedaż funkcjonalne, dwupokojowe mieszkanie o powierzchni 33,3 m², zlokalizowane przy ul. Palmowej 36a w Białymstoku. Nieruchomość znajduje się w spokojnej, zielonej okolicy osiedla Dziesięciny (4,5km od ścisłego centrum) z doskonale rozwiniętą infrastrukturą. Nieruchomość mieści się w zadbanym, kameralnym bloku wybudowanym z tzw. nowej cegły pod koniec lat 90 - tych. Rozkład i wnętrze: - Salon z aneksem kuchennym - Sypialnia - Łazienka - Przedpokój z zabudową - Do lokalu przynależy piwnica - Ogrzewanie podłogowe w kuchni Perfekcyjna lokalizacja (odległości pieszo): - Szkoła Podstawowa nr 47 zaledwie 200 metrów - Przedszkole Samorządowe nr 58 (im. Jana Wilkowskiego) tylko 300 metrów - Biedronka (przy ul. Gajowej) tylko 900 metrów. - Market Lidl (przy ul. Jesionowej) około 1 km.",tak,,aneks,plastikowe,,,53.156896,23.122027
Białystok,ul. Jana Klemensa Branickiego,2,32,437900,13684,bez pośredników,,6,https://adresowo.pl/o/mieszkanie-bialystok-ul-jana-klemensa-branickiego-2-pokojowe-e3u1w3,https://s2.adresowa.pl/oi/17/59/406066_edc8_cover@2x-2-pokojowe-mieszkanie-bialystok-ul-jana-klemensa-branickiego.webp,Białystok ,Jana Klemensa Branickiego,6,1977,blok,,"SPRZEDAM MIESZKANIE po remoncie przy ulicy Branickiego: -2 pokoje - kuchnia - łazienka - korytarz - balkon - piwnica - księga wieczysta czysta - mieszkanie własnościowe - wolne od wad prawnych - czynsz ok 320 zł - gaz - piętro 6/11 - winda w bloku Na sprzedaż jasne, funkcjonalne i gotowe do wprowadzenia mieszkanie o powierzchni 33 m², zlokalizowane przy ul. Branickiego. Osiedle Mickiewicza jest bardzo dobrze skomunikowane, blisko do ścisłego centrum Białegostoku. Mieszkanie posiada księgę wieczysta. Rodzaj własności: własnościowe Nieruchomość znajduje się na 6. piętrze w zadbanym bloku z windą, To idealna propozycja dla singla, pary lub jako bezpieczna inwestycja pod wynajem. 1. Salon z aneksem kuchennym ( nowe sprzety AGD w tym; -lodówka, -płyta gazowa, -okap, -piekarnik, -zmywarka Salon wyposażony w nową, wygodną rozkładaną kanapę. 2. Przytulna sypialnia – idealna przestrzeń do odpoczynku. 3. Nowoczesna łazienka – w pełni wykończona, z nową armaturą. 4. Balkon – świetne miejsce na poranną kawę z widokiem na panoramę miasta. 5. Piwnica Mieszkanie przeszło generalny remont. Wszystko jest nowe, świeże i nieużywane. W cenie nieruchomości otrzymujesz pełne, nowe wyposażenie AGD oraz meble widoczne na zdjęciach. Ogromnym atutem mieszkania jest jego położenie w sąsiedztwie Galerii Białej. Spacer na zakupy, do kina czy restauracji zajmie Ci zaledwie kilka minut. To idealne miejsce dla osób, które cenią sobie wygodę – pełna infrastruktura handlowo-usługowa znajduje się tuż obok domu, co pozwala załatwić codzienne sprawy bez konieczności uruchamiania samochodu. Rok budowy bloku: 1977 Blisko uczelni Uniwersytet Medyczny w Białymstoku - ok. 1 km (10 min spacerkiem) Politechnika Białostocka - ok 2km Wydziały UwB (Ekonomii / Zarządzania) na ul. Warszawskiej –ok. 650 m Kampus Uniwersytetu w Białymstoku (ul. Ciołkowskiego) – ok. 2,5 km Galeria Biała (centrum handlowe, kino, hipermarket) - ok. 300m Rynek Kościuszki (ścisłe centrum miejskie, restauracje) – ok. 1,4 km Zapraszam serdecznie do oglądania mieszkania i zakupu. Do zobaczenia :-) Biurom nieruchomości dziękuję.",tak,,aneks,,,"Wyposażenie: lodówka, piekarnik, zmywarka",53.125976,23.181088
Białystok Wygoda,ul. 42 Pułku Piechoty 72D,4,65,799000,12292,Pośrednik,,17,https://adresowo.pl/o/mieszkanie-bialystok-wygoda-ul-42-pulku-piechoty-4-pokojowe-y5s4h3,https://s2.adresowa.pl/oi/72/1e/3fea74_27e1_cover@2x-4-pokojowe-mieszkanie-bialystok-wygoda-ul-42-pulku-piechoty.webp,Białystok Wygoda,42 Pułku Piechoty 72D,2,2017,blok,,"Na sprzedaż słoneczne, dwustronne mieszkanie o powierzchni 65,53 m² położone przy ul. 42 Pułku Piechoty 72D . Nieruchomość znajduje się na 2 piętrze w niskim 3 piętrowym bloku z 2017 roku . To Idealna propozycja dla rodziny ceniącej komfort, wysoki standard oraz spokojne, rodzinne osiedle. Najważniejsze atuty: ✔ 3 oddzielne pokoje ✔ salon z aneksem kuchennym ✔ 2 komfortowe łazienki ( jedna z wanną, druga z prysznicem.) ✔ duży balkon od strony zachodniej ✔ piwnica o powierzchni ok 4 m2 ✔ gotowe do zamieszkania ✔ dwustronna ekspozycja wschód-zachód Standard wykończenia: ✔ dębowy parkiet ułożony w jodełkę francuską ✔ zabudowy stolarskie wykonane na wymiar ✔ efektowne sufity podwieszane z oświetleniem LED ✔ podświetlana zabudowa całej ściany w salonie ✔ Dwie komfortowe łazienki wyposażone m.in. w armaturę i ceramikę Duravit, Villeroy & Boch oraz Grohe. ✔ Kuchnia na wymiar z olejowanym dębowym blatem i wysokiej klasy wyposażeniem: Bosch, Samsung, Schock, Hansgrohe oraz Toflesz. Istnieje możliwość dokupienia garażu o powierzchni 20,16 m² - 99 000 zł. Lokalizacja: Osiedle Nowa Wygoda - to spokojne rodzinne osiedle z szybkim dojazdem do centrum. W pobliżu znajdują się sklepy, szkoły, przedszkola, punkty usługowe oraz tereny zielone i place zabaw. To mieszkanie dla osób, które szukają wysokiego standardu, funkcjonalnego układu i wnętrza gotowego do zamieszkania bez dodatkowych remontów . Zapraszamy do kontaktu i umówienia prezentacji. Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Maja Sztukiewicz (licencja nr: )",,tak,aneks,plastikowe,własność,,53.147897,23.202438
