locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Gdańsk Letnica,ul. Sucha 31,1,32,569000,17781,bez pośredników,,9,https://adresowo.pl/o/mieszkanie-gdansk-letnica-ul-sucha-1-pokoj-e8r8y5,https://s2.adresowa.pl/oi/51/23/3aa982_6ea0_cover@2x-1-pokojowe-mieszkanie-gdansk-letnica-ul-sucha.webp
Gdańsk,Jasień,3,68,830000,12206,bez pośredników,,13,https://adresowo.pl/o/mieszkanie-gdansk-jasien-3-pokojowe-68-m2-n4v6k4,https://s2.adresowa.pl/oi/38/44/3e395e_f358_cover@2x-3-pokojowe-mieszkanie-gdansk-jasien.webp
Gdańsk Osowa,ul. Antygony,3,65,760000,11692,bez pośredników,,18,https://adresowo.pl/o/mieszkanie-gdansk-osowa-ul-antygony-3-pokojowe-x0e2l9,https://s2.adresowa.pl/oi/11/68/3e3958_9d4e_cover@2x-3-pokojowe-mieszkanie-gdansk-osowa-ul-antygony.webp
Gdańsk Wrzeszcz,ul. Jesionowa,2,42,zapytaj,,bez pośredników,,+10 podobnych ofert,https://adresowo.pl/o/mieszkanie-gdansk-wrzeszcz-ul-jesionowa-2-pokojowe-w3f4y3,https://s2.adresowa.pl/development/671246/nowe-mieszkania-jesionowa-vita-3f7f_cover.jpg
Gdańsk Przymorze,ul. Obrońców Wybrzeża,3,74,1499000,20257,Pośrednik,,17,https://adresowo.pl/o/mieszkanie-gdansk-przymorze-ul-obroncow-wybrzeza-3-pokojowe-v4j2e9,https://s2.adresowa.pl/oi/5b/57/3e3742_ba25_cover@2x-3-pokojowe-mieszkanie-gdansk-przymorze-ul-obroncow-wybrzeza.webp
Gdańsk Śródmieście,ul. Stefanii Sempołowskiej,3,69,968800,14041,Pośrednik,,8,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-stefanii-sempolowskiej-3-pokojowe-p8g7a4,https://s2.adresowa.pl/oi/20/19/3e337a_92b9_cover@2x-3-pokojowe-mieszkanie-gdansk-srodmiescie-ul-stefanii-sempolowskiej.webp
Gdańsk Żabianka,ul. Wypoczynkowa,3,83,2599000,31313,bez pośredników,,14,https://adresowo.pl/o/mieszkanie-gdansk-zabianka-ul-wypoczynkowa-3-pokojowe-n9v4t8,https://s2.adresowa.pl/oi/5e/74/3e38f4_4e19_cover@2x-3-pokojowe-mieszkanie-gdansk-zabianka-ul-wypoczynkowa.webp
Gdańsk Letnica,ul. Starowiejska,2,40,870000,21750,bez pośredników,,20,https://adresowo.pl/o/mieszkanie-gdansk-letnica-ul-starowiejska-2-pokojowe-n1a4v1,https://s2.adresowa.pl/oi/3f/63/3e38f0_28c6_cover@2x-2-pokojowe-mieszkanie-gdansk-letnica-ul-starowiejska.webp
Gdańsk Orunia Górna,ul. Kazimierza Wielkiego,2,38,zapytaj,,bez pośredników,,+68 podobnych ofert,https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-kazimierza-wielkiego-2-pokojowe-x4e4q3,https://s2.adresowa.pl/development/668314/nowe-mieszkania-poludnie-vita-98f8_cover.jpg
Gdańsk Śródmieście,ul. św. Ducha,3,70,1299000,18557,Pośrednik,,19,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-sw-ducha-3-pokojowe-u5h1d2,https://s2.adresowa.pl/oi/1b/1b/3e333a_ae67_cover@2x-3-pokojowe-mieszkanie-gdansk-srodmiescie-ul-sw-ducha.webp
