locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url,city_district,full_address,floor,year_built,building_type,price_per_sqm_detailed,description_text,has_basement,has_parking,kitchen_type,window_type,ownership_type,equipment,latitude,longitude
Gdańsk Przymorze,ul. Obrońców Wybrzeża,2,46,635000,13804.0,bez pośredników,,9,https://adresowo.pl/o/mieszkanie-gdansk-przymorze-ul-obroncow-wybrzeza-2-pokojowe-g7y7z1,https://s2.adresowa.pl/oi/34/7e/3f735c_dfc6_cover@2x-2-pokojowe-mieszkanie-gdansk-przymorze-ul-obroncow-wybrzeza.webp,Gdańsk Przymorze,Obrońców Wybrzeża,2,1973.0,blok,,"Na sprzedaż 2-pokojowe mieszkanie o powierzchni 46 m², położone w Gdańsku Przymorzu, przy ul. Obrońców Wybrzeża w charakterystycznym budynku typu ""falowiec"". Lokal znajduje się na drugim piętrze. Mieszkanie znajduje się w bezpośrednim sąsiedztwie Parku Reagana. To bardzo zielona i spokojna okolica, a jednocześnie świetnie skomunikowana. Spacerem, w około 15-25 minut, można dojść przez park na plażę oraz nadmorski deptak prowadzący m.in. do Sopotu. W samym parku są place zabaw, skatepark oraz liczne ścieżki spacerowe i rowerowe. Mieszkanie znajduje się w klatce bliżej linii tramwajowej. Tuż przy budynku znajduje się pełna infrastruktura handlowo-usługowa: sklepy, supermarkety, bankomat, apteki, przychodnie, restauracje, bar mleczny, klub fitness oraz stacja paliw. W odległości około 500 metrów jest targowisko, a w promieniu 600 galerie handlowe. W pobliżu znajdują się przystanki tramwajowe i autobusowe z bezpośrednim dojazdem do centrum Gdańska i Sopotu. Mieszkanie jest gotowe do zamieszkania lub dalszego wynajmu, sprzedawane z pełnym wyposażeniem. Wyremontowana w pełni w 2021 roku, założona została zupełnie nowa miedziana instalacja elektryczna, kanalizacja w łazience została wymieniona, kuchnia jest w pełni wyposażona. Salon: - rozkładany narożnik 200x140 cm - stół i krzesła - szafa - Smart TV 43"" Sypialnia: - łóżko 200x140 cm - szafa - biurko - szafka nocna Kuchnia (oddzielna): - lodówka z zamrażarką - płyta gazowa - piekarnik - zmywarka - czajnik elektryczny - komplet naczyń, garnków i sztućców Łazienka: - prysznic - WC - umywalka - pralka - suszarka do włosów Dodatkowo: - szybki internet Wi-Fi 300/30 Mbit - balkon z możliwością przechowywania rowerów Lokal sprawdzi się zarówno jako mieszkanie do własnego zamieszkania, jak i jako inwestycja pod wynajem krótko- lub długoterminowy, ze względu na lokalizację. Mieszkanko obecnie jest wynajmowane, od 2 lat ten sam lokator, który z chęcią przedłuży umowę na kolejne lata. (obecna cena za wynajem 3000 zł bez opłat) Serdecznie zapraszam do kontaktu oraz do oglądania mieszkania. Sprzedaż odbywa się bez pośredników.",,,,,,"Wyposażenie: internet, lodówka, piekarnik, pralka, suszarka, tv, wi-fi, zmywarka",54.409213,18.596636
Gdańsk Kowale,Szumilas,2,39,396800,10174.0,bez pośredników,,4,https://adresowo.pl/o/mieszkanie-gdansk-kowale-szumilas-2-pokojowe-w8o2s8,https://s2.adresowa.pl/oi/34/40/3f72f4_92b0_cover@2x-2-pokojowe-mieszkanie-gdansk-kowale-szumilas.webp,Gdańsk Kowale,Szumilas,3,2026.0,blok,,"2 POKOJE | SZUMILAS, KOWALE | GDAŃSK - CESJA Na sprzedaż cesja umowy deweloperskiej wyjątkowego mieszkania na prestiżowym osiedlu Szumilas w Kowalach – inwestycji ROBYG, położonej w otoczeniu lasu, z szybkim dojazdem do centrum Gdańska i Obwodnicy Trójmiasta. Osiedle wyróżnia się kameralną zabudową, prywatnym lasem oraz terenami rekreacyjnymi. Parametry mieszkania: Kowale, Gdańsk – Osiedle Szumilas Powierzchnia: 39,68 m² 2 pokoje Balkon: 4,56 m² Łazienka: 4,13 m² Piętro: 3/3 Stan: deweloperski Odbiór zgodnie z harmonogramem dewelopera przewidziany na grudzień 2026. Funkcjonalny układ: salon z aneksem kuchennym – 20,65 m² sypialnia – 10,91 m² łazienka – 4,13 m² korytarz – 3,61 m² balkon – 4,56 m² Atuty: nowoczesne, kameralne osiedle ROBYG prywatny las i tereny spacerowe dla mieszkańców świetny dojazd do Gdańska i Obwodnicy Trójmiasta idealne zarówno do zamieszkania, jak i pod inwestycję bardzo ustawny układ 2-pokojowego mieszkania duże przeszklenia zapewniające dobre doświetlenie wnętrz Do mieszkania należy dodatkowo płatne miejsce postojowe zewnętrzne przy wejściu do budynku, cena 30.000zł 📞 Zainteresowanych zapraszam do kontaktu w celu uzyskania szczegółowych informacji.",,tak,aneks,,własność,,54.352025,18.646638
Gdańsk Zaspa,ul. Pilotów,3,56,729000,13018.0,Pośrednik,,11,https://adresowo.pl/o/mieszkanie-gdansk-zaspa-ul-pilotow-3-pokojowe-v6i0e1,https://s2.adresowa.pl/oi/5d/3d/3f7118_caa0_cover@2x-3-pokojowe-mieszkanie-gdansk-zaspa-ul-pilotow.webp,Gdańsk Zaspa,Pilotów,8,1978.0,blok,,"Największe atuty: - 56,3 m² funkcjonalnej powierzchni - możliwość aranżacji 4 pokoi - 8. piętro z pięknym, otwartym widokiem - dwustronna ekspozycja mieszkania - salon z ekspozycją południową - oddzielna, ustawna kuchnia Lokalizacja: Zaspa to jedna z najlepiej skomunikowanych dzielnic Gdańska. W pobliżu znajdują się przystanki tramwajowe i autobusowe, stacja SKM, sklepy, szkoły, przedszkola, tereny zielone oraz ścieżki rowerowe. Dojazd do Wrzeszcza, Oliwy, centrum Gdańska i plaży zajmuje zaledwie kilka minut. Mieszkanie: Lokal do generalnego remontu składa się z: - salonu, - dwóch pokoi, - oddzielnej, jasnej kuchni, - łazienki, - osobnej toalety, - przedpokoju. Mieszkanie znajduje się na 8 piętrze z pięknym, panoramicznym widokiem. Jest dwustronne i dobrze doświetlone. Lokal do generalnego remontu, co daje szerokie możliwości aranżacyjne. Budynek: - 10-piętrowy budynek z nowoczesną windą, - zadbane części wspólne, - ogólnodostępne miejsca parkingowe przy budynku. To świetna propozycja zarówno dla osób szukających mieszkania dla siebie, jak i inwestorów poszukujących nieruchomości z potencjałem. Serdecznie zapraszam na prezentację!",,,,,własność,,54.391322,18.592938
Gdańsk Przymorze,ul. Jakuba Wejhera,2,40,619000,15475.0,Pośrednik,,5,https://adresowo.pl/o/mieszkanie-gdansk-przymorze-ul-jakuba-wejhera-2-pokojowe-e8s7y4,https://s2.adresowa.pl/oi/30/12/3f6d86_d35f_cover@2x-2-pokojowe-mieszkanie-gdansk-przymorze-ul-jakuba-wejhera.webp,Gdańsk Przymorze,Jakuba Wejhera,4,1970.0,blok,,"Na sprzedaż mieszkanie 40 m² - Gdańsk, Osiedle Wejhera Funkcjonalne 2-pokojowe mieszkanie położone w jednej z najbardziej atrakcyjnych lokalizacji Gdańska. Bliskość plaży w Jelitkowie, komunikacji miejskiej oraz pełnej infrastruktury sprawia, że nieruchomość doskonale sprawdzi się zarówno do zamieszkania, jak i pod inwestycję. ATUTY • Powierzchnia 40 m² • Salon z aneksem kuchennym • Piwnica • Generalny remont przeprowadzony w 2010 roku • Wymieniona instalacja elektryczna, hydrauliczna i kanalizacyjna • Ogrzewanie miejskie • Kuchnia gazowa • 15 minut spacerem do plaży w Jelitkowie • 15 minut do stacji SKM • Idealne dla pary, singla lub pod wynajem MIESZKANIE • Powierzchnia: 40 m² • Salon z aneksem kuchennym • Sypialnia • Łazienka • Przedpokój • Piwnica Mieszkanie jest gotowe do zamieszkania, z możliwością odświeżenia według własnych potrzeb. LOKALIZACJA • Gdańsk, Osiedle Wejhera • Około 15 minut spacerem do plaży w Jelitkowie • Około 10 minut do stacji SKM • W pobliżu sklepy, restauracje, szkoły, przedszkola i przychodnia • Dobrze rozwinięta komunikacja miejska BUDYNEK • Blok 4-piętrowy • Mieszkanie na 4. piętrze • Spokojne osiedle z dużą ilością zieleni OPŁATY • Czynsz: ok. 400 zł latem, ok. 700 zł zimą • Ogrzewanie miejskie • Gaz do kuchenki • Prąd według zużycia INF DODATKOWE Generalny remont wykonany w 2010 roku Wymienione instalacje oraz wykończone ściany, podłogi i sufity podwieszane Idealne jako pierwsze mieszkanie lub inwestycja pod wynajem Zapraszam do kontaktu i umówienia prezentacji. ----------------- TYLKO Z NAMI KAŻDA TRANSAKCJA JEST BEZPIECZNA Z GWARANCJĄ NAJNIŻSZEJ CENY I SZYBKIEJ, KORZYSTNEJ SPRZEDAŻY. - gwarancja najlepszej ceny nieruchomości - najlepsze stawki u Notariusza - żadnych ukrytych kosztów - bezpieczny zakup z polisą OC Pośrednika w PZU S.A. Niniejsze ogłoszenie i zawarte w nim informacje, treści oraz podane w powyższej treści ceny powyższa oferta ma charakter informacyjny i nie stanowią oferty handlowej w rozumieniu art. 66 kodeksu cywilnego. Zawarte w ogłoszeniu informacje na temat nieruchomości dotyczące ofert sprzedaży lub najmu nieruchomości mogą uleć modyfikacji lub zmianom w zależności od informacji przekazywanych od osób posiadających prawo do nieruchomości. Biuro AGhouse Nieruchomości dba, aby oferty były aktualizowane na bieżąco. Nasi doradcy dokładają wszelkich starań, aby oferta nieruchomości zamieszczona przez nasze biuro odpowiadała stanowi faktycznemu nieruchomości.",,tak,,,własność,,54.422426,18.586157
Gdańsk Maćkowy,ul. Kazimierza Wielkiego,3,69,729000,10565.0,bez pośredników,,15,https://adresowo.pl/o/mieszkanie-gdansk-mackowy-ul-kazimierza-wielkiego-3-pokojowe-h3q4w1,https://s2.adresowa.pl/oi/7a/2a/3f7084_d021_cover@2x-3-pokojowe-mieszkanie-gdansk-mackowy-ul-kazimierza-wielkiego.webp,Gdańsk Maćkowy,Kazimierza Wielkiego,3,2013.0,blok,,"Jasne i funkcjonalne mieszkanie o powierzchni 69 m², położone na 3. piętrze kameralnego budynku z 2013 roku, wybudowanego przez cenionego dewelopera Ekolan. Mieszkanie jest gotowe do zamieszkania – nie wymaga większych nakładów finansowych, a jedynie ewentualnego odświeżenia według własnych preferencji. Funkcjonalny układ pomieszczeń zapewnia poczucie przestrzeni oraz umożliwia wydzielenie czwartego pokoju. Dzięki temu mieszkanie sprawdzi się zarówno dla rodziny, jak i osób pracujących zdalnie. Dzięki ekspozycji okien na południe i zachód wnętrza są doskonale doświetlone przez większą część dnia, co sprawia, że mieszkanie jest wyjątkowo jasne i przyjemne. Posiada ono również przestronny balkon (ok 5 m²) , idealny do wypoczynku. Do mieszkania przynależy duża piwnica (5 m²) oraz naziemne miejsce parkingowe na zamkniętym terenie osiedla, zlokalizowane blisko wejścia do klatki schodowej. Zakup miejsca parkingowego i piwnicy jest obligatoryjny (40 000 zł). Osiedle wyróżnia się dużą ilością zieleni, zadbanymi częściami wspólnymi oraz placami zabaw, tworząc miejsce przyjazne do życia. W najbliższej okolicy znajdują się m.in. Lidl, Rossmann, apteka, restauracje, punkt badań oraz przystanek autobusowy z bezpośrednim połączeniem do centrum Gdańska. Dodatkowym atutem lokalizacji są również planowane inwestycje, obejmujące budowę nowej szkoły, basenu i siłowni, które dodatkowo podniosą komfort życia mieszkańców. Dogodny jest także szybki dojazd do tras S6 (2,8 km) i S7 (3 km). Dużym plusem mieszkania są niskie koszty utrzymania – miesięczne opłaty wynoszą ok. 800-900 zł w okresie zimowym, a latem są jeszcze niższe. W cenie mieszkania pozostaje większość mebli oraz sprzętu AGD. Cena mieszkania 729 000 zł Miejsce parkingowe i piwnica 40 000 zł (zakup obligatoryjny) Całość 769 000 zł Zainteresowane osoby zapraszam do kontaktu telefonicznego pod nr [numer]. Jeśli nie będę mógł odebrać telefonu, proszę o SMS z informacją, że sprawa dotyczy mieszkania. Sprzedaż bezpośrednio od właściciela. Nie jestem zainteresowany współpracą z pośrednikami nieruchomości. Niniejsze ogłoszenie ma charakter wyłącznie informacyjny i nie stanowi oferty w rozumieniu art. 66 § 1 Kodeksu cywilnego.",tak,tak,aneks,plastikowe,własność,,54.301837,18.611426
Gdańsk Jasień,ul. Myśliwska,3,59,970000,16441.0,bez pośredników,,20,https://adresowo.pl/o/mieszkanie-gdansk-jasien-ul-mysliwska-3-pokojowe-y5b5y9,https://s2.adresowa.pl/oi/7c/4b/3f700a_fa92_cover@2x-3-pokojowe-mieszkanie-gdansk-jasien-ul-mysliwska.webp,Gdańsk Jasień,Myśliwska,4,2014.0,blok,,"OPIS: Przedstawiamy do sprzedaży atrakcyjne mieszkanie 3 pokojowe o powierzchni użytkowej 59,11 m2, z dwoma przestronnymi balkonami od strony północnej i południowej, położone na ostatnim, 4 piętrze budynku na osiedlu Alfa Park, na pograniczu gdańskich dzielnic Jasień i Piecki Migowo, przy ul. Myśliwskiej. Budynek mieści się na ogrodzonym terenie zamkniętym. W najbliższym otoczeniu znajduje się wiele terenów zielonych i spacerowych, w tym Trójmiejski Park Krajobrazowy, a także Staw Wróbla, którego piękny widok można podziwiać bezpośrednio z dwóch pokoi mieszkania lub północnego balkonu. W bezpośrednim sąsiedztwie budynku znajduje się przystanek autobusowy, a w odległości 9 minut pieszo stacja PKM Gdańsk Jasień. W obszarze kilkuset metrów dostępne są: Lidl, Biedronka, Rossmann, Pepco, stacja Orlen, paczkomaty, kawiarnie, pizzerie i wiele innych. Bardzo dobra baza wypadowa do alei Armii Krajowej oraz obwodnicy Trójmiasta. BUDYNEK: Budynek oddany do użytku końcem 2014 roku, wyposażony w windę, halę garażową, piwnice. Teren ogrodzony z wejściem zabezpieczonym domofonem, miejsca ogólnodostępne dla mieszkańców przed budynkiem. Od strony południowej budynku znajduje się rozległy plac zabaw. MIESZKANIE: Mieszkanie o powierzchni 59,11 m2 składa się z: - pokoju dziennego z wyjściem na balkon południowy i widokiem na plac zabaw, połączonego z funkcjonalnym aneksem kuchennym z oknem oraz strefą jadalnianą, - łazienki z prysznicem, blatem z zabudowaną umywalką oraz szufladami, a także osobną szafką do przechowywania, - sypialni z dużą szafą oraz wyjściem na balkon północny z pięknym widokiem na Staw Wróbla i otaczającą zieleń, - pokoju do pracy/dla dziecka również z wyjściem na balkon północny, - przedpokoju z szafą oraz mniejszą szafką na buty. W mieszkaniu na podłodze ułożone są panele winylowe, a w łazience kafle. W aneksie kuchennym zamontowano sprzęty AGD w zabudowie z frontami w białym połysku, a także zabudowano wysokiej jakości czarny granitowy blat. Lokal rozświetla duża ilość okien. ATUTY: - znakomita lokalizacja - przed budynkiem przystanek komunikacji miejskiej, kilka minut pieszo do kolejki PKM Jasień, w pobliżu centrum handlowe, place zabaw, ścieżki do jazdy rowerem i spacerów, liczne lokale usługowe, - 3 pokoje z ustawnym rozkładem, każdy wyposażony w duże okna balkonowe, - wszystkie okna w mieszkaniu posiadają założone rolety, - dwa przestronne balkony o pow. 9,69 m2 i 7,34 m2, - mieszkanie dwustronne, - mieszkanie gotowe do wprowadzenia lub do odświeżenia/remontu - w zależności od preferencji Kupujących, - do mieszkania przynależy bardzo komfortowe samodzielne miejsce na auto w hali garażowej (w cenie), - miejsca postojowe ogólnodostępne dla mieszkańców na zamkniętym terenie osiedla, - do mieszkania przynależy komórka lokatorska o pow. 2,29 m2 (w cenie), - możliwość przekazania lokalu od połowy września 2026. LOKALIZACJA: Mieszkanie położone jest przy ul. Myśliwskiej, na granicy dzielnic Piecki-Migowo i Jasień, wśród nowej zabudowy mieszkaniowej. Dzięki bliskości alei Armii Krajowej, dobry dojazd do pobliskich centrów handlowych, obwodnicy, lotniska, centrum Gdańska. Pobliska okolica obfita w zieleń, zbiorniki wodne, ścieżki spacerowe i rowerowe. OPŁATY: Czynsz do wspólnoty mieszkaniowej około 900 zł w miesiącach październik-maj, około 700 zł w miesiącach czerwiec-wrzesień (podany wymiar na 2 osoby). Internet/telewizja opłacane osobno we własnym zakresie. Z przyjemnością zapraszamy na prezentację.",tak,tak,aneks,plastikowe,własność,Wyposażenie: internet,54.349853,18.564537
Gdańsk Zaspa,ul. Startowa,2,48,675000,14062.0,Pośrednik,,4,https://adresowo.pl/o/mieszkanie-gdansk-zaspa-ul-startowa-2-pokojowe-g8p9e0,https://s2.adresowa.pl/oi/4a/23/3f6d7e_c4ca_cover@2x-2-pokojowe-mieszkanie-gdansk-zaspa-ul-startowa.webp,Gdańsk Zaspa,Startowa,7,1974.0,blok,,"2-pokojowe mieszkanie z loggią - Gdańsk Zaspa, ul. Startowa Na sprzedaż mieszkanie o powierzchni 48,2 m², położone w Gdańsku na Zaspie przy ul. Startowej. Lokal znajduje się na 7. (ostatnim) piętrze budynku z windą. Nieruchomość sprawdzi się zarówno jako miejsce do zamieszkania, jak i inwestycja pod wynajem. Szczegóły nieruchomości: • powierzchnia: 48,2 m² • piętro: 7 z 7 • budynek z windą • piwnica Układ mieszkania: • salon (18,9 m²) z wyjściem na przeszkloną loggię • sypialnia (11,0 m²) • oddzielna, jasna kuchnia (8,1 m²) • łazienka (3,2 m²) • przedpokój (5,6 m²) Istnieje możliwość zmiany układu mieszkania poprzez przeniesienie kuchni do salonu i wydzielenie dodatkowego pokoju. Dodatkowe informacje: • mieszkanie do remontu • przeszklona loggia • tylko dwa mieszkania na ostatnim piętrze • widok na tereny zielone • brak zabudowy bezpośrednio przed oknami Lokalizacja: Nieruchomość położona jest w jednej z najbardziej cenionych dzielnic Gdańska. W pobliżu znajdują się: • Park im. Jana Pawła II • przystanki tramwajowe i autobusowe • stacja SKM Zaspa • sklepy, punkty usługowe i restauracje • szkoły, przedszkola i przychodnie • plaża w Brzeźnie Lokalizacja zapewnia sprawny dojazd do centrum Gdańska, Sopotu, Gdyni oraz kompleksów biurowych Olivia Centre i Alchemia. Zapraszam do kontaktu w celu uzyskania dodatkowych informacji oraz umówienia prezentacji mieszkania. ----------------- TYLKO Z NAMI KAŻDA TRANSAKCJA JEST BEZPIECZNA Z GWARANCJĄ NAJNIŻSZEJ CENY I SZYBKIEJ, KORZYSTNEJ SPRZEDAŻY. - gwarancja najlepszej ceny nieruchomości - najlepsze stawki u Notariusza - żadnych ukrytych kosztów - bezpieczny zakup z polisą OC Pośrednika w PZU S.A. Niniejsze ogłoszenie i zawarte w nim informacje, treści oraz podane w powyższej treści ceny powyższa oferta ma charakter informacyjny i nie stanowią oferty handlowej w rozumieniu art. 66 kodeksu cywilnego. Zawarte w ogłoszeniu informacje na temat nieruchomości dotyczące ofert sprzedaży lub najmu nieruchomości mogą uleć modyfikacji lub zmianom w zależności od informacji przekazywanych od osób posiadających prawo do nieruchomości. Biuro AGhouse Nieruchomości dba, aby oferty były aktualizowane na bieżąco. Nasi doradcy dokładają wszelkich starań, aby oferta nieruchomości zamieszczona przez nasze biuro odpowiadała stanowi faktycznemu nieruchomości.",,,,,własność,,54.393888,18.598418
Gdańsk Oliwa,al. Grunwaldzka,2,37,849000,22946.0,Pośrednik,,22,https://adresowo.pl/o/mieszkanie-gdansk-oliwa-al-grunwaldzka-2-pokojowe-f0b0e2,https://s2.adresowa.pl/oi/46/77/3f6d6a_86a5_cover@2x-2-pokojowe-mieszkanie-gdansk-oliwa-al-grunwaldzka.webp,Gdańsk Oliwa,Grunwaldzka,2,1920.0,kamienica,,"Stylowe mieszkanie z balkonem w sercu Oliwy - gotowe do zamieszkania Są miejsca, które mają swój niepowtarzalny klimat. Gdańska Oliwa od lat należy do najbardziej cenionych dzielnic miasta - zachwyca historyczną zabudową, ogromną ilością zieleni oraz doskonałą komunikacją. To właśnie tutaj znajduje się wyjątkowe mieszkanie, które łączy charakter klimatycznej kamienicy (1920r.) z komfortem nowoczesnego wykończenia. Lokal o powierzchni 37,72 m² usytuowany jest na 2. piętrze odnowionej kamienicy, której elewacja została wyremontowana w 2020 roku. W ostatnim czasie mieszkanie przeszło również odświeżenie i częściowy remont. Wymieniona została zabudowa kuchenna wraz ze sprzętem AGD, a układ wnętrza został jeszcze lepiej dopasowany do współczesnych potrzeb. Największą zmianą jest otwarcie przestrzeni dziennej poprzez usunięcie ściany pomiędzy przedpokojem a salonem z aneksem kuchennym. Dzięki temu wnętrze stało się znacznie bardziej przestronne, jasne i funkcjonalne. Dodatkowo wydzielono praktyczną garderobę, która zapewnia wygodne miejsce do przechowywania i pozwala zachować porządek w mieszkaniu. Układ pomieszczeń: • przestronny salon z nowoczesnym aneksem kuchennym i wyjściem na słoneczny balkon, • ustawna sypialnia o powierzchni około 17 m², • funkcjonalna łazienka z prysznicem i pralką, • garderoba, • wspólny strych, wspólny ogródek. Atuty nieruchomości: • wysokość pomieszczeń około 3,1 m, dzięki czemu mieszkanie jest niezwykle przestronne i dobrze doświetlone, • nowa zabudowa kuchenna wraz ze sprzętem AGD, • funkcjonalny układ po zmianach aranżacyjnych, • wydzielona garderoba, • duże okna zapewniające dużo naturalnego światła, • mieszkanie sprzedawane ze stałymi elementami wyposażenia, • ogrzewanie i ciepła woda z dwufunkcyjnego pieca gazowego. • niski czynsz - zaledwie 530 zł Do mieszkania przynależy piwnica. Mieszkańcy mogą również korzystać ze wspólnego strychu oraz kameralnego ogródka znajdującego się za budynkiem. Lokalizacja: Oliwa to jedna z najbardziej prestiżowych i klimatycznych części Gdańska. W bezpośrednim sąsiedztwie znajduje się Park Oliwski - idealne miejsce na codzienne spacery, aktywny wypoczynek czy chwilę relaksu wśród zieleni. Ogromnym atutem jest również doskonała komunikacja. Bliskość przystanków autobusowych oraz stacji SKM zapewnia szybki dojazd do centrum Gdańska, Sopotu i Gdyni. To lokalizacja, która świetnie sprawdzi się zarówno do zamieszkania, jak i jako inwestycja pod wynajem. Jeżeli szukasz mieszkania z charakterem, w jednej z najbardziej pożądanych lokalizacji Trójmiasta, które jest gotowe do zamieszkania i nie wymaga dużych nakładów finansowych, ta oferta zdecydowanie zasługuje na Twoją uwagę. Zapraszam do kontaktu i umówienia prezentacji. Imperia Nieruchomości zapewni Ci bezpieczną transakcję: - Wszystkie nieruchomości sprawdzone pod kątem prawnym - Nadzór licencjonowanego Pośrednika (nr licencji 26954) - Z Nami uzyskasz najkorzystniejszy kredyt hipoteczny na rynku oraz ubezpieczenie kupowanej nieruchomości - Posiadamy Polisę OC Pośrednika - Gwarantujemy rabat na Taksę Notarialną",,,,,własność,,54.4089,18.56826
Gdańsk Osowa,ul. Koziorożca,2,43,720000,16744.0,bez pośredników,,13,https://adresowo.pl/o/mieszkanie-gdansk-osowa-ul-koziorozca-2-pokojowe-u7i4c0,https://s2.adresowa.pl/oi/74/42/3f6fac_7ab0_cover@2x-2-pokojowe-mieszkanie-gdansk-osowa-ul-koziorozca.webp,Gdańsk Osowa,Koziorożca,2,2016.0,blok,,"OPIS NIERUCHOMOŚCI: Mieszkanie z balkonem 43,03 m² | 2 piętro | strona zachodnia | GDAŃSK OSOWA Sprzedaję wyjątkowo przytulne, słoneczne, funkcjonalne i estetycznie wykończone mieszkanie położone przy ul. Koziorożca 57 w Gdańsku Osowej, gotowe do zamieszkania. Cena mieszkania: 720 000 zł brutto. Miejsce postojowe zewnętrzne ogólnodostępne. Komórka lokatorska (ok. 4 m2) w cenie mieszkania. NAJWAŻNIEJSZE INFORMACJE: Powierzchnia mieszkania: 43,03 m² (salon z aneksem kuchennym 24 m2, sypialnia 10,5 m2, łazienka 4,5 m2, hol 4 m2) Balkon: ok. 7 m² Komórka lokatorska: ok. 4 m² Miejsce postojowe zewnętrzne ogólnodostępne. Ogrzewanie gazowe. Ekspozycja okien zachodnia. Budynek oddany do użytku w 2016 roku. Pełna własność z księgą wieczystą. CECHY MIESZKANIA: Mieszkanie zostało zaprojektowane przez architekta. Charakteryzuje się jednorodnym zastosowaniem paneli tego samego typu w salonie oraz w sypialni. Glazura jest taka sama w holu wejściowym, kuchni oraz łazience. Kuchnia oraz łazienka wykonane zostały przez stolarza w spójnej kolorystyce z wykorzystaniem wysokiej jakości materiałów z uwzględnieniem dużej ilości praktycznych szafek i szuflad. W salonie znajduje się bardzo pojemna i funkcjonalna zabudowana szafa. Salon jest duży i ustawny, z wyjściem na balkon. W kuchni znajduje się zabudowana lodówka, zmywarka 60 cm, zlew z ociekaczem, piekarnik oraz płyta grzewcza. Zabudowa na wymiar pod sufit. W łazience znajduje się wanna z prysznicem, ukryty pojemnik na brudne ubrania, funkcjonalne szuflady i liczne szafki, geberit, umywalka oraz obszerne lustro. Dodatkowo są też klimatyczne ledy i ozdobny żyrandol. Pralko-suszarka znajduje się w lustrzanej szafie w holu wejściowym. Sypialnia ok 10 m2. Ustawna. Z przestronnego balkonu roztacza się piękny widok na zieleń oraz sąsiednie budynki. Nie słychać komunikacji miejskiej. Sąsiedztwo jest bardzo spokojne i przyjazne. Wyposażenie ruchome (stół, krzesła, kanapa, komody itp.) - do ustalenia. LOKALIZACJA I USŁUGI: Osowa jest przyjazną, bezpieczną i rodzinną dzielnicą. Otoczona jest terenami zielonymi, a jednocześnie posiada bardzo rozwiniętą sieć nowoczesnych usług. Osiedle jest młode, spójne architektonicznie o przyjemnej kolorystyce i zadbanej zieleni wokół. Sąsiedztwo jest kulturalne, spokojne, z przewagą młodego pokolenia z rodzinami lub pupilami. Budynek jest świetnie zlokalizowany, blisko wszelkich niezbędnych usług i atrakcji dla całych rodzin dostępnych na piechotę. W okolicy nie brakuje terenów zielonych na spacery, wyprawy rowerowe czy sporty wodne w pobliskich jeziorach. W pobliżu znajdują się: Biedronka - 200 m Polo Market - 300 m Lidl - 1 km Aldi - 1 km Rossmann, pepco - 200 m Selgoros - 1,5 km Giełda kwiatów - 1,5 km Auchan - 4 km Stacje benzynowe - 1,5 km Castorama - 3 km Mcdonald, Burgerking - 3 km Apteki, żabki, poczta, piekarnie, zdrowa żywność - 200 m Serwisy rowerowe, kwiaciarnie, masażyści - 2 km. Restauracje (3 pizzerie, Tajska, Ramen, Burgerownie, Sushi, Kebaby, Domowe smaki, śniadaniownie itp) - 500 m Fryzjerzy, Barberzy, Salony kosmetyczne itp - 500 m 2 kościoły - 1,5 km Park z placem zabaw, boiskami do kosza i piłki nożnej - 500 m Park rozrywki Majaland - 3 km. Basen i siłownia - 3 km. Piękny Park Chirona ze stawem i place zabaw - 3 km. Szkoła Podstawowa nr 33 i nr 81 - 2 km Liceum nr 24 - 1 km Liczne przedszkola. 2 Przychodnie, dentyści - 2 km. Przystanki komunikacji miejskiej - 100 m. Tereny spacerowe, rowerowe i rekreacyjne dookoła. Lasy i jeziora - 2 km. PKM - 2,5 km. Lotnisko - 5,5 km Szybki dojazd do obwodnicy Trójmiasta - autem 3 min. Dogodny dojazd do Kaszub oraz dzielnic Gdańska, Gdyni i Sopotu. KOSZTY UTRZYMANIA: Czynsz wynosi około: 350 zł miesięcznie w okresie letnim. 480 zł miesięcznie w okresie zimowym. Prąd według zużycia. Internet - wielu dostawców. Zapraszam do kontaktu oraz na prezentację nieruchomości bez pośredników.",tak,tak,aneks,,własność,"Wyposażenie: internet, lodówka, piekarnik, suszarka, zmywarka",54.420558,18.47174
Gdańsk Orunia,Trakt Świętego Wojciecha,1,33,285000,8636.0,bez pośredników,,13,https://adresowo.pl/o/mieszkanie-gdansk-orunia-trakt-swietego-wojciecha-1-pokoj-a9v8a8,https://s2.adresowa.pl/oi/6e/5e/3f6f12_323c_cover@2x-1-pokojowe-mieszkanie-gdansk-orunia-trakt-swietego-wojciecha.webp,Gdańsk Orunia,Trakt Świętego Wojciecha,2,1950.0,kamienica,,"Mieszkanie w bardzo dobrej lokalizacji, blisko przystanek autobusowy, 10 min pieszo do stacji PKP Gdańsk Orunia, 15 min do Parku Oruńskiego, 10 min autobusem do centrum, Ogrzewanie gazowe piec Viessman Vitodens dwufunkcyjny serii 100 , 25kW Dostępne dwie piwnice, komórka lokatorska i dostęp do strychu, miejsca parkingowe na podwórku, plac zabaw",tak,tak,osobna,plastikowe,własność,,54.323002,18.626639
