locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url,city_district,full_address,floor,year_built,building_type,price_per_sqm_detailed,description_text,has_basement,has_parking,kitchen_type,window_type,ownership_type,equipment,latitude,longitude
Gdańsk Śródmieście,ul. Wałowa 25D,4,77,1690000,21948,bez pośredników,,17,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-walowa-4-pokojowe-t8v4m4,https://s2.adresowa.pl/oi/68/4c/40477c_4b5a_cover@2x-4-pokojowe-mieszkanie-gdansk-srodmiescie-ul-walowa.webp,Gdańsk Śródmieście,Wałowa 25D,7,2019,apartamentowiec,,"Na sprzedaż wyjątkowe mieszkanie o powierzchni 77,6 m², zlokalizowane na 7. piętrze w inwestycji Bastion Wałowa przy ul. Wałowej 25D w Gdańsku. CENA: 1 690 000 zł Sprzedaż bezpośrednia od właściciela (kupujący nie płaci prowizji). Nieruchomość została funkcjonalnie podzielona na dwie całkowicie niezależne części mieszkalne oraz niewielką część wspólną. Każda z nich posiada własne, zamykane na klucz wejście: * Część większa (ok. 42,5 m²): salon z aneksem kuchennym, oddzielna sypialnia, łazienka oraz przestronny balkon (ok. 15 m²). * Część mniejsza (ok. 29 m²): salon z aneksem kuchennym, oddzielna sypialnia, łazienka. --- DLACZEGO TO DOSKONAŁA INWESTYCJA? * Maksymalizacja ROI (0% pustostanu): Mieszkanie od momentu oddania budynku było nieprzerwanie wynajmowane długoterminowo. * Wysoki przychód: Dotychczasowy roczny przychód. * Zakup bez ""kosztów utopionych"": Do mieszkania nie przynależy miejsce postojowe ani komórka lokatorska. Kupujesz wyłącznie czystą powierzchnię mieszkalną - nie zamrażasz kapitału w elementach, które generują dodatkowy czynsz i słabo się zwracają. * Pełna niezależność: Obie części posiadają osobne podliczniki energii elektrycznej oraz ciepłej i zimnej wody. * Komfort: W obu salonach zamontowana jest nowoczesna klimatyzacja multisplit. Łączna baza noclegowa pozwala na wygodne ugoszczenie do 8 osób. --- ELASTYCZNOŚĆ I POTENCJAŁ ARANŻACYJNY Układ lokalu daje ogromne możliwości biznesowe i prywatne. Nieruchomość idealnie sprawdzi się jako: 1. Inwestycja: Wynajem obu części (długo- lub krótkoterminowo). 2. Model hybrydowy: Mieszkanie dla właściciela w jednej części + stały dochód z wynajmu drugiej części. 3. Dla rodziny: Przestrzeń dla wielopokoleniowej rodziny lub dorosłych, usamodzielniających się dzieci. 4. Powrót do bazy: Istnieje techniczna możliwość łatwego przywrócenia pierwotnego układu jednego dużego mieszkania. --- ATUTY NIERUCHOMOŚCI I BUDYNKU * Widok i ekspozycja: Południowa wystawa okien zapewnia doskonałe doświetlenie oraz piękny widok w kierunku historycznego centrum Gdańska. * Stan prawny: Pełna własność z czystą Księgą Wieczystą. * Standard: Nowoczesny budynek z 2019 roku, reprezentacyjne klatki schodowe, cichobieżne windy. * Czynsz: Ok. 1040 zł (zawiera już zaliczki na CO, CWU oraz fundusz remontowy). * Wyposażenie: Pełne umeblowanie i sprzęt AGD widoczny na zdjęciach w cenie mieszkania. --- TOP LOKALIZACJA (odległości pieszo): Inwestycja położona jest w sercu dynamicznie rozwijającej się części Śródmieścia Gdańska: * Food Hall Montownia - 3 min * Europejskie Centrum Solidarności (ECS) - 5 min * Przystanek tramwajowy - 6 min * Dworzec Gdańsk Główny - 13 min * Ulica Długa (Stare Miasto) - 18 min Zapraszam do kontaktu telefonicznego i na prezentację mieszkania!",,tak,aneks,plastikowe,własność,Wyposażenie: klimatyzacja,54.359056,18.652923
Gdańsk Przymorze,ul. Prezydenta Lecha Kaczyńskiego,1,27,485000,17963,bez pośredników,,1,https://adresowo.pl/o/mieszkanie-gdansk-przymorze-ul-prezydenta-lecha-kaczynskiego-1-pokoj-k3c6v9,https://s2.adresowa.pl/oi/42/1c/40becc_f5b8_cover@2x-1-pokojowe-mieszkanie-gdansk-przymorze-ul-prezydenta-lecha-kaczynskiego.webp,Gdańsk Przymorze,Prezydenta Lecha Kaczyńskiego,parter,1975,blok,,"Na sprzedaż słoneczna kawalerka tuż przy Parku Regana i plaży, zlokalizowana przy ulicy Prezydenta Lecha Kaczyńskiego 10. Atutem nieruchomości jest duża ilość terenów zielonych, place zabaw, bardzo dobra komunikacja miejska, przychodnia, szkoły, przedszkola, żłobek, sklepy, poczta, biblioteka. Mieszkanie o powierzchni 27m2, znajduję się na wysokim parterze 4 piętrowego bloku. Składa się z dużego salonu, kuchni z oknem, łazienki z wc oraz przedpokoju, do mieszkania przynależy piwnica. Ogólnodostepne miejsca parkingowe przy bloku. Mieszkanie jest do remontu, z dużym potencjałem aranżacyjnym. Czynsz ok 550 zł . Mieszkanie spółdzielczo-własnościowe z księgą wieczystą.",tak,,osobna,,spółdzielcze własnościowe,,54.415127,18.5967
Gdańsk Chełm,ul. Koralowa,2,37,539000,14568,bez pośredników,,3,https://adresowo.pl/o/mieszkanie-gdansk-chelm-ul-koralowa-2-pokojowe-j8n9s4,https://s2.adresowa.pl/oi/11/4f/40baec_f88b_cover@2x-2-pokojowe-mieszkanie-gdansk-chelm-ul-koralowa.webp,Gdańsk Chełm,Koralowa,2,,blok,,"Oferta bezpośrednio od właściciela. Pośredników zapraszam z konkretnym klientem. Na sprzedaż dwupokojowe mieszkanie po remoncie na drugim pietrze z balkonem w Gdańsku, ul. Koralowa 1. Wejście do klatki schodowej zabezpieczone domofonem. Przy budynku znajduje się parking z ogólnodostępnymi miejscami postojowymi dla mieszkańców. Budynek jednoklatkowy, ocieplony, częściowo ceglany, z windą szybkobieżną. Do mieszkania przynależy piwnica. W budynku znajduje się również wózkania/rowerownia. LOKALIZACJA Umiejscowienie sprawia, że jest to doskonała lokalizacja pod względem dostępu do sklepów i instytucji ale i do komunikacji zbiorowej (niedopodal SKM Śródmieście, główna linia tramwajowa na petli Swietokrzyska). W okolicy bogata infrastruktura handlowo-usługowa, szkolno-przedszkolna i rekreacyjna. Dzielnica bardzo spokojna i bezpieczna. OPIS NIERUCHOMOŚCI Mieszkanie jest ciepłe, przyjemne i jasne. Ekspozycja poludniowo- zachodnia. Powierzchnia nieruchomości wynosi 37 m2 i składa się z przedpokoju, pokoju dziennego z aneksem kuchennym, sypialni, oraz łazienki z WC. Ogrzewanie i ciepla woda z miasta. Jest to spoldzielcze prawo do lokalu bez KW. Zapraszam do kontaktu i do zakupu",tak,,aneks,,,,54.329438,18.627168
Gdańsk Orunia Górna,ul. Kazimierza Wielkiego,2,41,zapytaj,,bez pośredników,,+40 podobnych ofert,https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-kazimierza-wielkiego-2-pokojowe-x1y2e4,https://s2.adresowa.pl/development/668314/nowe-mieszkania-poludnie-vita-98f8_cover.jpg,Gdańsk Orunia Górna,Kazimierza Wielkiego,2,2027,blok,,"Nowe mieszkanie 2-pokojowe o powierzchni 41,03 m² w inwestycji Południe Vita dewelopera DEVELIA, na 2 piętrze pod adresem ul. Kazimierza Wielkiego, Gdańsk Orunia Górna. Planowany termin oddania to II kwartał 2027 roku. Południe Vita Południe Vita to kameralne osiedle mieszkaniowe w zielonej części Gdańska, na Oruni Górnej, przy ul. Kazimierza Wielkiego. Inwestycja została zaprojektowana z myślą o wygodnym życiu – oferuje funkcjonalne mieszkania, dużo zieleni oraz przestrzeń sprzyjającą odpoczynkowi. Całe osiedle obejmuje 418 mieszkań, a dostępne lokale mają powierzchnie od ok. 36 do 128 m². Atuty inwestycji: • Spokojna okolica – odpoczywaj z dala od miejskiego zgiełku • Blisko zieleni – Park Ferberów zaledwie 10 minut spacerem • 418 mieszkań – kameralna inwestycja o przemyślanej skali • Balkon, taras lub ogródek – zyskaj własną przestrzeń na świeżym powietrzu • Dużo miejsca dla rodzin – place zabaw i przyjazne przestrzenie na osiedlu • Wygoda na co dzień – Lidl i lokalne usługi kilka minut od domu • Sprawna komunikacja – przystanek autobusowy ok. 10 minut spacerem • Aktywnie i blisko natury – okolica sprzyja spacerom i rowerowym wycieczkom • Komfort parkowania – hala garażowa i miejsca postojowe naziemne Termin realizacji: Etap 3 - zakończony Etap 4 - II kwartał 2027 ------------------------------------------------------------------------ Niniejszy materiał nie stanowi oferty w rozumieniu Kodeksu cywilnego i ma charakter wyłącznie informacyjny. Szczegóły inwestycji oraz pełna oferta dostępne są na stronie internetowej: https://develia.pl/pl/",,,,,własność,Wyposażenie: internet,54.301837,18.611426
Gdańsk Łostowice,ul. Cedrowa 39,3,54,769000,14241,Pośrednik,,22,https://adresowo.pl/o/mieszkanie-gdansk-lostowice-ul-cedrowa-3-pokojowe-s9m0g2,https://s2.adresowa.pl/oi/71/5c/40bba0_6bec_cover@2x-3-pokojowe-mieszkanie-gdansk-lostowice-ul-cedrowa.webp,Gdańsk Łostowice,Cedrowa 39,3,2019,blok,,"Na sprzedaż 3-pokojowe mieszkanie o powierzchni 54,31 m² przy ul. Cedrowej 39 w Gdańsku, położone na 3. piętrze budynku z 2019 roku. Lokal znajduje się na zamkniętym i zadbanym osiedlu Wolne Miasto, z dużą ilością zieleni, deptakiem oraz bogatą infrastrukturą w najbliższym otoczeniu. Mieszkanie jest środkowe, posiada balkon o powierzchni 3,85 m² oraz ogrzewanie miejskie. Budynek wyposażony jest w windę, a z windy można wygodnie dostać się na poziom mieszkania. Mieszkanie ma bardzo funkcjonalny układ i składa się z trzech niezależnych pokoi. Salon z aneksem kuchennym ma 18,51 m², dwie sypialnie odpowiednio 9,92 m² i 9,80 m², przedpokój 8,30 m², łazienka 4,78 m², a dodatkowo do dyspozycji pozostaje praktyczne pomieszczenie gospodarcze o powierzchni 1,50 m² z przyłączem pod pralkę. W przedpokoju znajduje się zabudowa zapewniająca dodatkowe miejsce do przechowywania. Kuchnia została wyposażona w zabudowę IKEA sięgającą pod sufit. Mieszkanie zostało odświeżone około 2 lata temu i jest gotowe do zamieszkania. W cenie pozostaje praktycznie całe wyposażenie oraz sprzęt AGD, z wyjątkiem pralki, suszarki i telewizora. Dużym atutem jest lokalizacja oraz samo osiedle. Wolne Miasto to zamknięty, ogrodzony teren z szlabanem, zadbaną infrastrukturą, dużą ilością zieleni i deptakiem. W najbliższym otoczeniu znajduje się liczne zaplecze handlowo-usługowe, w tym sklepy spożywcze, Żabki, punkty usługowe, przedszkola i żłobki, dzięki czemu wiele codziennych spraw można załatwić bez konieczności korzystania z samochodu. Przystanki autobusowe i tramwajowe znajdują się około 10 minut pieszo od mieszkania, natomiast dojazd do Obwodnicy Trójmiasta zajmuje około 5 minut. Balkon z ekspozycją wschodnią zapewnia przyjemne poranne światło, a z mieszkania dostępny jest również boczny widok w kierunku zabudowy Gdańska. Miesięczne opłaty administracyjne wraz z zaliczkami na ogrzewanie, wodę i pozostałe koszty wynoszą około 600 zł latem i 800 zł zimą, natomiast prąd to średnio około 200 zł miesięcznie. Do mieszkania oferowane jest również przypisane naziemne miejsce postojowe oraz komórka lokatorska o powierzchni około 4 m². Cena mieszkania wynosi 769 000 zł, natomiast miejsce postojowe i komórka kosztują dodatkowo 40 000 zł (30 000 zł + 10 000 zł). Łączna cena wynosi 809 000 zł. Mieszkanie stanowi pełną własność i posiada księgę wieczystą. Zapraszam na prezentację. ----------------- TYLKO Z NAMI KAŻDA TRANSAKCJA JEST BEZPIECZNA Z GWARANCJĄ NAJNIŻSZEJ CENY I SZYBKIEJ, KORZYSTNEJ SPRZEDAŻY. - gwarancja najlepszej ceny nieruchomości - najlepsze stawki u Notariusza - żadnych ukrytych kosztów - bezpieczny zakup z polisą OC Pośrednika w PZU S.A. Niniejsze ogłoszenie i zawarte w nim informacje, treści oraz podane w powyższej treści ceny powyższa oferta ma charakter informacyjny i nie stanowią oferty handlowej w rozumieniu art. 66 kodeksu cywilnego. Zawarte w ogłoszeniu informacje na temat nieruchomości dotyczące ofert sprzedaży lub najmu nieruchomości mogą uleć modyfikacji lub zmianom w zależności od informacji przekazywanych od osób posiadających prawo do nieruchomości. Biuro AGhouse Nieruchomości dba, aby oferty były aktualizowane na bieżąco. Nasi doradcy dokładają wszelkich starań, aby oferta nieruchomości zamieszczona przez nasze biuro odpowiadała stanowi faktycznemu nieruchomości.",,tak,,,własność,"Wyposażenie: pralkę, telewizor",54.336987,18.585981
Gdańsk Chełm,ul. Nieborowska,2,54,695000,12870,Pośrednik,,3,https://adresowo.pl/o/mieszkanie-gdansk-chelm-ul-nieborowska-2-pokojowe-z9i8j5,https://s2.adresowa.pl/oi/16/1f/40ba86_414e_cover@2x-2-pokojowe-mieszkanie-gdansk-chelm-ul-nieborowska.webp,Gdańsk Chełm,Nieborowska,2,2006,blok,,"Gotowe mieszkanie na Chełmie, 54 m², balkon, piwnica i świetny układ! Lokal jest gotowy do zamieszkania co pozwala uniknąć dużych nakładów na start i od razu korzystać z jego potencjału zarówno dla siebie jak i pod wynajem. To propozycja dla osób: • które szukają mieszkania z potencjałem najmu bez konieczności przeprowadzania kosztownego remontu. • dla szerokiej grupy najemców: par, singli pracujących zdalnie, a także młodych rodzin. Dla osób kupujących pierwsze mieszkanie • do którego można wejść bez wizji wielomiesięcznego remontu, to adres wart sprawdzenia Największym atutem wnętrza jest jasna, otwarta strefa dzienna. Salon daje bardzo przyjemne poczucie przestrzeni, a duże przeszklenia zapewniają dobre doświetlenie i naturalne światło przez większą część dnia Z salonem łączy się otwarta kuchnia, co tworzy spójną i nowoczesną przestrzeń do codziennego życia. Pomieszczenia • przestronny salonu z wyjściem na balkon • sypialni • otwartej kuchni • łazienki • przedpokoju Lokalizacja Mieszkanie położone jest w dobrze znanej i wygodnej części Gdańska dzielnica Chełm. W najbliższym otoczeniu znajdują się sklepy, punkty usługowe, placówki edukacyjne oraz tereny rekreacyjne. W pobliżu działa m.in. Przedszkole nr 14 przy ul. Nieborowskiej 6. Dostęp do zaplecza handlowo-usługowego, w tym Pasażu Chełmskiego, który stanowi ważne centrum zakupów i usług dla mieszkańców tej części miasta. W okolicy przystanki autobusowe oraz tramwajowe, w tym rejon Płockiej i Nieborowskiej, co pozwala na sprawny dojazd do innych części Gdańska, także bez konieczności korzystania z samochodu. Zalety • balkon • piwnica • 2 piętro • zadbany budynek • praktyczna zabudowa w przedpokoju • funkcjonalna zabudowa w sypialni • mieszkanie gotowe do zamieszkania bez konieczności dużych nakładów • to lokalizacja, która dobrze odpowiada zarówno potrzebom właściciela, jak i przyszłego najemcy Zapraszam! --------------------------------------------- Dom &amp; House - Specjaliści od marzeń. - Gwarantujemy bezpieczeństwo transakcji - Znajdziemy najtańszy kredyt - Pomoc prawna dzięki współpracy z najlepszymi kancelariami notarialnym i prawnymi - Znajdziemy najtańsze ubezpieczenie nieruchomości Prezentowana oferta ma charakter informacyjny, nie stanowi oferty handlowej w rozumieniu Art. 66 par. 1 Kodeksu Cywilnego.",,tak,,,własność,,54.330758,18.605226
Gdańsk Chełm,ul. Henryka Hubertusa Jabłońskiego,2,50,595000,11900,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-gdansk-chelm-ul-henryka-hubertusa-jablonskiego-2-pokojowe-f6d7r9,https://s2.adresowa.pl/oi/3d/23/40bae4_ea98_cover@2x-2-pokojowe-mieszkanie-gdansk-chelm-ul-henryka-hubertusa-jablonskiego.webp,Gdańsk Chełm,Henryka Hubertusa Jabłońskiego,3,2026,blok,,"Oferta bezpośrednio od właściciela. Pośredników zapraszam z konkretnym klientem. Na sprzedaż dwupokojowe mieszkanie do remontu na trzecim piętrze w czteropietrowym, niskim bloku w Gdańsku, dzielnica Chełm, ul. Henryka Hubertusa Jabłońskiego 19. Wejście do klatki schodowej zabezpieczone domofonem. Przy budynku znajduje się parking z ogólnodostępnymi miejscami postojowymi dla mieszkańców. Budynek ocieplony, niski, kameralny, wielka płyta. Do mieszkania przynależy piwnica. LOKALIZACJA Umiejscowienie sprawia, że jest to doskonała lokalizacja pod względem dostępu do sklepów i instytucji ale i do komunikacji zbiorowej. W okolicy bogata infrastruktura handlowo-usługowa, szkolno-przedszkolna i rekreacyjna. Dzielnica bardzo spokojna i bezpieczna. OPIS NIERUCHOMOŚCI Mieszkanie jest ciepłe, przyjemne i jasne. Ekspozycja dwustronna. Powierzchnia nieruchomości wynosi 49.5 m2 i składa się z przedpokoju, pokoju dziennego z duzym, zamkniętym balkonem typu loggia, osobnej widnej kuchni, sypialni oraz łazienki i osobego WC. Ogrzewanie i ciepla woda z miasta. Odrębna własność z ksiegą wieczystą. Zapraszam do kontaktu i do zakupu.",tak,,osobna,,własność,,54.334061,18.626079
Gdańsk Chełm,ul. Królowej Jadwigi,1,31,498000,16065,bez pośredników,,6,https://adresowo.pl/o/mieszkanie-gdansk-chelm-ul-krolowej-jadwigi-1-pokoj-g6s4l8,https://s2.adresowa.pl/oi/52/22/40bae2_3a2e_cover@2x-1-pokojowe-mieszkanie-gdansk-chelm-ul-krolowej-jadwigi.webp,Gdańsk Chełm,Królowej Jadwigi,2,2026,blok,,"Oferta bezposrednio od właściciela. Pośredników zapraszam tylko z konkretnym klientem. Na sprzed kawalerka o powierzchni 31.7 m2 położona w Gdańsku w dzielnicy Chełm, ul. Krolowej Jadwigi 141. Jest to pełna własność z ksiegą wieczystą bez zadłużeń, meldunków czy jakichkolwiek obciążeń. LOKALIZACJA Mieszkanie znajduje się na 2 piętrze trzypiętrowego budynku. Wejście do budynku zabezpieczone jest domofonem. Przy budynku znajduje się parking ze szlabanem wyłącznie dla mieszkancow wspólnoty. Lokalizacja sprawia, że jest to doskonałe miejsce bardzo dobrze skomunikowane z całym Trójmiastem (bliska możliwość skorzystania z tramwaju lub autobusu). Kilka minut pieszo od osiedla znajduje sie główna linia tramwajowa nr 6 ktora prowadzi od pętli Swietokrzyska przez Gdansk Główny do plazy Jelitkowskiej. W okolicy bogata infrastruktura handlowo-usługowa, szkolno-przedszkolna i rekreacyjna. OPIS NIERUCHOMOŚCI Mieszkanie jest przyjemne, jasne, ciepłe i suche. Ogrzewanie i woda z miasta. Lokal jest umeblowany oraz wyposażony w sprzęt AGD (lodówka, kuchenka, pralka, itp.) Do mieszkania przynależy duży balkon a samo mieszkanie składa się z pokoju dziennego z aneksem kuchennym, przedpokoju oraz łazienki z WC. DODATKOWE INFORMACJE Do mieszkania przynależy piwnica. Czynsz wynosi około 450 zł miesięcznie. Mieszkanie jest gotowe do zamieszkania lub pod inwestycję najmu krótko-lub długoterminowego. Zapraszam do oglądania i do zakupu.",tak,,aneks,,własność,"Wyposażenie: kuchenka, lodówka, pralka",54.326338,18.604489
Gdańsk Orunia Górna,ul. Kazimierza Wielkiego,3,57,zapytaj,,bez pośredników,,+10 podobnych ofert,https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-kazimierza-wielkiego-3-pokojowe-f9e8e6,https://s2.adresowa.pl/development/668314/nowe-mieszkania-poludnie-vita-98f8_cover.jpg,Gdańsk Orunia Górna,Kazimierza Wielkiego,2,2027,blok,,"Nowe mieszkanie 3-pokojowe o powierzchni 57,57 m² w inwestycji Południe Vita dewelopera DEVELIA, na 2 piętrze pod adresem ul. Kazimierza Wielkiego, Gdańsk Orunia Górna. Planowany termin oddania to II kwartał 2027 roku. Południe Vita Południe Vita to kameralne osiedle mieszkaniowe w zielonej części Gdańska, na Oruni Górnej, przy ul. Kazimierza Wielkiego. Inwestycja została zaprojektowana z myślą o wygodnym życiu – oferuje funkcjonalne mieszkania, dużo zieleni oraz przestrzeń sprzyjającą odpoczynkowi. Całe osiedle obejmuje 418 mieszkań, a dostępne lokale mają powierzchnie od ok. 36 do 128 m². Atuty inwestycji: • Spokojna okolica – odpoczywaj z dala od miejskiego zgiełku • Blisko zieleni – Park Ferberów zaledwie 10 minut spacerem • 418 mieszkań – kameralna inwestycja o przemyślanej skali • Balkon, taras lub ogródek – zyskaj własną przestrzeń na świeżym powietrzu • Dużo miejsca dla rodzin – place zabaw i przyjazne przestrzenie na osiedlu • Wygoda na co dzień – Lidl i lokalne usługi kilka minut od domu • Sprawna komunikacja – przystanek autobusowy ok. 10 minut spacerem • Aktywnie i blisko natury – okolica sprzyja spacerom i rowerowym wycieczkom • Komfort parkowania – hala garażowa i miejsca postojowe naziemne Termin realizacji: Etap 3 - zakończony Etap 4 - II kwartał 2027 ------------------------------------------------------------------------ Niniejszy materiał nie stanowi oferty w rozumieniu Kodeksu cywilnego i ma charakter wyłącznie informacyjny. Szczegóły inwestycji oraz pełna oferta dostępne są na stronie internetowej: https://develia.pl/pl/",,,,,własność,Wyposażenie: internet,54.301837,18.611426
Gdańsk,ul. Tytusa Chałubińskiego,3,66,765000,11591,Pośrednik,,7,https://adresowo.pl/o/mieszkanie-gdansk-ul-tytusa-chalubinskiego-3-pokojowe-i0b7e0,https://s2.adresowa.pl/oi/2d/59/40ba6e_aa5d_cover@2x-3-pokojowe-mieszkanie-gdansk-ul-tytusa-chalubinskiego.webp,Gdańsk ,Tytusa Chałubińskiego,4,1984,blok,,"Zapraszamy do zapoznania się z ofertą funkcjonalnego, 3 pokojowego mieszkania. Jasna oraz dwustronna przestrzeń spełniająca wymagania rodziny, dzięki bezpośredniego sąsiedztwa pełnej infrastruktury: szkoły, przedszkola, sklepy, apteki. Lokalizacja: Mieszkanie jest idealnie zlokalizowane dla rodzin szukających spokoju jak i bezproblemowego dojazdu do centrum miasta - zaledwie 5 min drogi samochodem od Śródmieścia.- Komunikacja: w pobliżu budynku znajdują się przystanki autobusowe oraz tramwajowe; - Sklepy/ usługi: Biedronka, piekarnia, ryneczek Gdańsk Chełm - Edukacja pod ręką: dla rodzin z dziećmi - 4 min spacerem od przedszkola publicznego nr 85 i Zespołu Szkół Ogólnokształcących nr VII. Dodatkowe udogodnienia: Do mieszkania przynależy piwnica zapewniająca dodatkową przestrzeń do przechowywania wielkości około 3m² oraz miejsce parkingowe pod blokiem wyłącznie do użytku mieszkańców. Mieszkanie posiada:- 3 pokoje; - Oddzieloną kuchnię; - Łazienkę + osobną toaletę. Opłaty: Miesięczny czynsz administracyjny wynosi ok. 850 zł. Mieszkanie z gotowym wyposażeniem i świeżo wyremontowaną kuchnią. Miejsce gdzie Twoja rodzina znajdzie komfort, a dzieci będą miały blisko do szkoły. Zapraszam do kontaktu w celu uzyskania dodatkowych informacji oraz umówienia się na prezentację. W Eastate Agency wspieramy klientów w sprzedaży, wynajmie i poszukiwaniach nieruchomości - zarówno na rynku wtórnym, pierwotnym, jak i komercyjnym. Pomagamy także w wyborze nieruchomości inwestycyjnych - pod wynajem lub długoterminowe lokowanie kapitału. Zajmujemy się również zarządzaniem najmem, a klientom finansującym zakup kredytem umożliwiamy bezpłatny kontakt z doradcą kredytowym.",tak,,osobna,,własność,,54.339643,18.620147
