locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Katowice Śródmieście,ul. Barbary,2,45,320000,7111,bez pośredników,,9,https://adresowo.pl/o/mieszkanie-katowice-srodmiescie-ul-barbary-2-pokojowe-a7l5j1,https://s2.adresowa.pl/oi/36/2f/324a66_d2f7_cover@2x-2-pokojowe-mieszkanie-katowice-srodmiescie-ul-barbary.webp
Katowice Brynów,ul. Karola Adwentowicza,2,48,389000,8104,bez pośredników,,18,https://adresowo.pl/o/mieszkanie-katowice-brynow-ul-karola-adwentowicza-2-pokojowe-a5p1i2,https://s2.adresowa.pl/oi/40/48/40bd1c_7f39_cover@2x-2-pokojowe-mieszkanie-katowice-brynow-ul-karola-adwentowicza.webp
Katowice Dąb,ul. Tomasza Kotlarza,2,34,349000,10265,bez pośredników,,10,https://adresowo.pl/o/mieszkanie-katowice-dab-ul-tomasza-kotlarza-2-pokojowe-k3b7a0,https://s2.adresowa.pl/oi/69/22/40b4c2_7ddd_cover@2x-2-pokojowe-mieszkanie-katowice-dab-ul-tomasza-kotlarza.webp
Katowice Dąb,ul. Bracka,2,40,zapytaj,,bez pośredników,,+76 podobnych ofert,https://adresowo.pl/o/mieszkanie-katowice-dab-ul-bracka-2-pokojowe-h7h5f2,https://s2.adresowa.pl/development/674270/nowe-mieszkania-bracka-vita-2a85_cover.jpg
Katowice,ul. Starowiejska,2,33,354000,10727,Pośrednik,,6,https://adresowo.pl/o/mieszkanie-katowice-ul-starowiejska-2-pokojowe-c8k7o9,https://s2.adresowa.pl/oi/27/49/40b64a_5eae_cover@2x-2-pokojowe-mieszkanie-katowice-ul-starowiejska.webp
Katowice os. Witosa,ul. Obroki,2,45,359000,7978,Pośrednik,,7,https://adresowo.pl/o/mieszkanie-katowice-os-witosa-ul-obroki-2-pokojowe-c3j8y9,https://s2.adresowa.pl/oi/13/46/40af66_3844_cover@2x-2-pokojowe-mieszkanie-katowice-os-witosa-ul-obroki.webp
Katowice Załęże,ul. Juliusza Zarębskiego,2,46,295000,6413,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-katowice-zaleze-ul-juliusza-zarebskiego-2-pokojowe-q2v6e0,https://s2.adresowa.pl/oi/19/6f/40bc58_461c_cover@2x-2-pokojowe-mieszkanie-katowice-zaleze-ul-juliusza-zarebskiego.webp
Katowice,Śródmieście,3,72,500000,6944,bez pośredników,,1,https://adresowo.pl/o/mieszkanie-katowice-srodmiescie-3-pokojowe-72-m2-m8w9c4,https://s2.adresowa.pl/oi/39/64/40b85c_3b7c_cover@2x-3-pokojowe-mieszkanie-katowice-srodmiescie.webp
Katowice Brynów,ul. Ceglana,2,36,zapytaj,,bez pośredników,,+40 podobnych ofert,https://adresowo.pl/o/mieszkanie-katowice-brynow-ul-ceglana-2-pokojowe-v7b4w3,https://s2.adresowa.pl/development/561699/nowe-mieszkania-ceglana-park-911c_cover.jpg
Katowice Śródmieście,ul. Starowiejska 2,2,31,365000,11774,Pośrednik,,8,https://adresowo.pl/o/mieszkanie-katowice-srodmiescie-ul-starowiejska-2-pokojowe-g3e8u4,https://s2.adresowa.pl/oi/27/2b/40a4c6_9d82_cover@2x-2-pokojowe-mieszkanie-katowice-srodmiescie-ul-starowiejska.webp
