locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url,city_district,full_address,floor,year_built,building_type,price_per_sqm_detailed,description_text,has_basement,has_parking,kitchen_type,window_type,ownership_type,equipment,latitude,longitude
Katowice Dolina Trzech Stawów,ul. Graniczna,1,31,379500,12242.0,bez pośredników,,15,https://adresowo.pl/o/mieszkanie-katowice-dolina-trzech-stawow-ul-graniczna-1-pokoj-o8n7b6,https://s2.adresowa.pl/oi/7f/6b/3ee47e_9000_cover@2x-1-pokojowe-mieszkanie-katowice-dolina-trzech-stawow-ul-graniczna.webp,Katowice Dolina Trzech Stawów,Graniczna,1,1980.0,blok,,"Na sprzedaż komfortowa kawalerka, świeżo po remoncie, z wydzieloną przestrzenią pod garderobę w najlepszej lokalizacji w Katowicach - osiedlu Paderewskiego. Idealne dla inwestora pod wynajem, dla studenta lub seniora. INFORMACJE O MIESZKANIU: Powierzchnia: 31 m2. Piętro: 1/11. Funkcjonalny układ: pokój dzienny z półotwartą kuchnią, łazienka, osobna garderoba, przedpokój. Balkon z widokiem na zielony skwer oraz parking. Zachodnia ekspozycja mieszkania - ciepłe i słoneczne wnętrze. Ogrzewanie miejskie. Ciepła woda z bojlera elektrycznego (brak gazu w mieszkaniu). Niski czynsz: około 500 zł miesięcznie przy jednej osobie. Przynależna piwnica - około 2 m2. STAN PRAWNY: Forma własności: Spółdzielcze własnościowe prawo do lokalu. Księga wieczysta: bez jakichkolwiek podejrzanych wpisów - atut, który powoduje, że w przyszłości łatwiej będzie sprzedać mieszkanie klientowi kredytowemu. STANDARD MIESZKANIA: Mieszkanie świeżo po gruntownym remoncie, który odbył się w marcu 2026. Wymieniona cała instalacja elektryczna oraz wod-kan. Zlikwidowana Instalacja gazowa - wodę podgrzewa nowoczesny bojler akumulacyjny. Na ścianach gładzie oraz farba w neutralnym, białym kolorze. Na podłodze w pokoju dziennym drewniana deska barlinecka, która nadaje wnętrzu wyjątkowego, przytulnego klimatu. Na podłogach w pozostałych pomieszczeniach stylowe płytki gresowe. Kuchnia w zabudowie z nowym sprzętem AGD. Szafki łazienkowe na wymiar - montaż w maju 2026. Okna PCV. INFORMACJE O BUDYNKU: Blok 11-piętrowy z 1980 r. po termomodernizacji. Domofon z wejściem na kod oraz brelok. Zamykany korytarz na piętrze z czterema mieszkaniami. Zadbana klatka. Dwie windy. Parking dla mieszkańców pod blokiem (dwie karty parkingowe). Budynek sprawnie zarządzany przez SM Paderewskiego. LOKALIZACJA: Osiedle Paderewskiego - jedna z najlepszych dzielnic do życia w Katowicach, zarówno dla rodzin z dziećmi, seniorów, singli, jak i studentów. Bliskość terenów rekreacyjnych w dosłownie 3 minuty: Dolina 3 Stawów - miejsce idealne na piknik czy grilla, ścieżki spacerowe, rowerowe, skatepark, rolkostrada, dużo wydarzeń sportowych oraz kulturalnych. Świetna lokalizacja dla studentów - w promieniu 1 km Uniwersytet Śląski, Uniwersytet Ekonomiczny, Politechnika Śląska, Akademia Muzyczna. W promieniu 500 metrów liczne sklepy osiedlowe, duże centrum handlowe oraz dyskonty (Lidl, Biedronka), piekarnie, apteki, szkoły, przedszkola, punkty usługowe m.in.: poradnie medyczne, salony beauty, siłownie, gabinety fizjoterapii, punkty gastronomiczne, biblioteki, warsztaty - wszystko dosłownie kilka minut od domu. Bliska odległość od centrum miasta oraz dworca PKP - 15-20 minut spacerem. Świetny dojazd na autostradę A4 oraz DK 86. Cena ofertowa: 379 500 zł Sprzedaż bezpośrednia - bez prowizji oraz innych dodatkowych kosztów generowanych przez biura nieruchomości. W przypadku szczegółowych pytań proszę o kontakt telefoniczny codziennie w godzinach od 8 do 22. Jeśli nie odbieram, na pewno oddzwonię. Zapraszam na prezentację.",tak,,aneks,plastikowe,spółdzielcze własnościowe,,50.247838,19.036078
Katowice Śródmieście,ul. Uniwersytecka,2,47,360000,7660.0,bez pośredników,,7,https://adresowo.pl/o/mieszkanie-katowice-srodmiescie-ul-uniwersytecka-2-pokojowe-d9e9g8,https://s2.adresowa.pl/oi/20/3b/3f2188_3bff_cover@2x-2-pokojowe-mieszkanie-katowice-srodmiescie-ul-uniwersytecka.webp,Katowice Śródmieście,Uniwersytecka,6,1978.0,blok,,"Sprzedam mieszkanie bezpośrednio. 47m2, dwa pokoju, balkon. Przynależna piwnica. Parking pod budynkiem ze szlabanem otwieranym na pilota. Do remontu. Zapraszam do kontaktu.",tak,tak,osobna,,spółdzielcze własnościowe,,50.262634,19.028505
Katowice os. Tysiąclecia,ul. Tysiąclecia,2,37,319000,8622.0,bez pośredników,,11,https://adresowo.pl/o/mieszkanie-katowice-os-tysiaclecia-ul-tysiaclecia-2-pokojowe-b2p6d2,https://s2.adresowa.pl/oi/6e/48/3f1da8_2f56_cover@2x-2-pokojowe-mieszkanie-katowice-os-tysiaclecia-ul-tysiaclecia.webp,Katowice os. Tysiąclecia,Tysiąclecia,12,1970.0,blok,,"Masz dość ofert ""z widokiem na sąsiada""? To mieszkanie ma prawdziwą panoramę - z 12. piętra patrzysz na zieleń, niskie dachy i odległą sylwetkę miasta, a do tego masz balkon, na którym da się odetchnąć. Słońce wpada tu szerokim oknem przez dużą część dnia, ale nie smaży przez popołudniami. To 2-pokojowe mieszkanie o pow. 37,5 m² na poszukiwanym Osiedlu Tysiąclecia - jednej z najbardziej zielonych i dobrze skomunikowanych części Katowic, tuż obok Parku Śląskiego. Układ (funkcjonalny, bez zmarnowanego metra): * 2 oddzielne pokoje z dużymi oknami, wydzielona, przeszklona kuchnia (jasna, a jednocześnie osobna), * łazienka z WC, * przedpokój, * dodatkowe pomieszczenie gospodarcze - idealne na garderobę, spiżarnię lub schowek (rzecz, której w ""dwójkach"" zwykle brakuje), * balkon. Stan: mieszkanie jest używalne od zaraz (sprawna kuchnia z kuchenką gazową, łazienka czekająca na wymianę brodzika), a jednocześnie czeka na Twoją własną aranżację. Najważniejsze i najdroższe już za Tobą, instalacje były wymieniane w ostatnich latach. Podłogi (panele) i ściany w pokojach są na chodzie; z czasem własnym rytmem odświeżysz wnętrza oraz urządzisz po swojemu kuchnię i łazienkę. Możesz wprowadzić się i remontować etapami, bez wynajmu na czas prac. Co wyróżnia to mieszkanie: * widok i nasłonecznienie - wysokie piętro, panorama, dużo światła, * balkon + winda w budynku, * niski metraż = niższe koszty utrzymania i łatwa odsprzedaż/najem, * świetna lokalizacja: tramwaj i autobus pod blokiem, szybki dojazd do centrum, DTŚ i A4; w pobliżu sklepy, szkoły, przychodnie, Park Śląski, AWF, Stadion Śląski, dodatkowe pomieszczenie do zaadaptowania (garderoba/schowek). Sprzedaję bezpośrednio - bez prowizji i bez pośredników. Chętnie pokażę mieszkanie i odpowiem na pytania. Zapraszam na prezentację - najlepiej przy dobrym świetle, żeby zobaczyć ten widok na żywo.",tak,,osobna,plastikowe,spółdzielcze własnościowe,,50.264892,19.023782
Katowice Śródmieście,ul. Warszawska 67,2,47,499000,10617.0,Pośrednik,,9,https://adresowo.pl/o/mieszkanie-katowice-srodmiescie-ul-warszawska-2-pokojowe-n9r7e1,https://s2.adresowa.pl/oi/1d/6e/3f254c_6f21_cover@2x-2-pokojowe-mieszkanie-katowice-srodmiescie-ul-warszawska.webp,Katowice Śródmieście,Warszawska 67,1,,kamienica,,"Wyjątkowy loft z antresolą | wysokie sufity| oryginalna cegła | belki | po generalnym remoncie | Parking I Warszawska 67 Szukasz mieszkania z charakterem, które łączy klimat zabytkowej kamienicy z nowoczesnym wykończeniem? Ta nieruchomość to prawdziwy loft, który zachwyca przestrzenią, światłem i niepowtarzalnym stylem. Na sprzedaż wyjątkowe, 2-pokojowe mieszkanie z antresolą, zlokalizowane w pięknie odrestaurowanej kamienicy przy ul. Warszawskiej 67 w Katowicach. Już od wejścia uwagę przyciągają oryginalna cegła, zachowane drewniane belki stropowe oraz imponująca wysokość pomieszczeń aż 4 metry, dzięki czemu wnętrze jest niezwykle przestronne i pełne naturalnego światła. Antresola doskonale sprawdza się jako komfortowa sypialnia lub dodatkowa przestrzeń do relaksu, nadając mieszkaniu prawdziwy loftowy charakter. NAJWAŻNIEJSZE ATUTY NIERUCHOMOŚCI: - mieszkanie po generalnym remoncie, - wymienione wszystkie instalacje, -nowa kuchnia wykonana na wymiar przez stolarza, -pełne wyposażenie oraz nowy sprzęt AGD, - gotowe do zamieszkania bez żadnych nakładów finansowych, PONADTO: - cicha ekspozycja od strony zadbanego wewnętrznego dziedzińca, - prywatny parking dla mieszkańców za zamykaną bramą. LOKALIZACJA: Ulica Warszawska to jedna z najbardziej cenionych lokalizacji w centrum Katowic. W bezpośrednim sąsiedztwie znajdują się restauracje, kawiarnie, sklepy, komunikacja miejska, uczelnie oraz dworce PKP i autobusowy. To miejsce idealne zarówno do zamieszkania, jak i jako inwestycja pod wynajem. BUDYNEK: Odrestaurowana kamienica łączy historyczny charakter z komfortem nowoczesnego budownictwa, oferując mieszkańcom wyjątkowy klimat. DLA KOGO? To mieszkanie będzie doskonałym wyborem dla osób ceniących design, przestrzeń i klimat loftowych wnętrz, a także dla inwestorów poszukujących atrakcyjnej nieruchomości w ścisłym centrum Katowic. Jeżeli marzysz o wyjątkowym lofcie w zabytkowej kamienicy, gotowym do zamieszkania od zaraz zapraszam do kontaktu i umówienia prezentacji. Finansujesz mieszkanie kredytem? Nasz doradca kredytowy pomoże Ci w przejściu przez proces uzyskania kredytu i dobierze korzystną ofertę. Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.",,tak,,plastikowe,własność,,50.25831,19.029
Katowice Koszutka,ul. Michała Grażyńskiego 13,2,41,330000,8049.0,Pośrednik,,15,https://adresowo.pl/o/mieszkanie-katowice-koszutka-ul-michala-grazynskiego-2-pokojowe-x5a5o7,https://s2.adresowa.pl/oi/21/17/3f1df4_402d_cover@2x-2-pokojowe-mieszkanie-katowice-koszutka-ul-michala-grazynskiego.webp,Katowice Koszutka,Michała Grażyńskiego 13,6,1989.0,blok,,"Mieszkanie z balkonem i pięknym widokiem – 41 m², Katowice Koszutka Na sprzedaż mieszkanie o powierzchni 41 m², położone na szóstym piętrze zadbanego i estetycznego budynku w doskonale skomunikowanej części Katowic – na Koszutce. To propozycja dla osób, które szukają nieruchomości z dużym potencjałem i chcą urządzić wnętrze dokładnie według własnego pomysłu. Mieszkanie wymaga generalnego remontu, co daje pełną swobodę w zaplanowaniu nowego układu, stylistyki oraz funkcjonalności pomieszczeń. Dużym atutem nieruchomości jest balkon oraz piękny, otwarty widok z szóstego piętra. Zachodnia ekspozycja okien zapewnia dużo naturalnego światła, szczególnie w godzinach popołudniowych i wieczornych. W mieszkaniu zamontowano nowe, solidne drzwi wejściowe marki Delta Okna oraz drzwi wewnętrzne mają około dziesięciu lat. Pozostałe elementy wyposażenia i wykończenia należy potraktować jako przeznaczone do remontu lub wymiany. Najważniejsze atuty: – powierzchnia około 42 m², – szóste piętro, – balkon, – piękny i rozległy widok, – jasne wnętrza i zachodnia ekspozycja okien, – nowe drzwi wejściowe Delta, – możliwość stworzenia mieszkania według własnej koncepcji, – zadbany i dobrze prezentujący się budynek, – świetna lokalizacja na Koszutce. Lokalizacja zapewnia bardzo wygodne połączenie z centrum Katowic oraz pozostałymi dzielnicami miasta. W bliskiej odległości znajdują się przystanki ramwajowe i autobusowe, a także stacja kolejowa. To doskonałe miejsce zarówno dla osób poruszających się komunikacją miejską, jak i samochodem. Członkowie spółdzielni mają możliwość parkowania samochodów w sąsiedztwie budynku. Dodatkowym rozwiązaniem jest możliwość korzystania z katowickiej karty mieszkańca, uprawniającej do preferencyjnego parkowania w strefie Koszutka – zgodnie z aktualnymi zasadami miasta. Mieszkanie sprawdzi się jako pierwsza nieruchomość, lokal dla pary, inwestycja pod wynajem lub projekt remontowy z dużym potencjałem wzrostu wartości. Mieszkanie do generalnego remontu – gotowe na nową historię i aranżację dopasowaną do przyszłego właściciela. Wysprzątane bez mebli gotowe do wejscia.",,,osobna,plastikowe,spółdzielcze własnościowe,,50.266063,19.019554
Katowice Piotrowice,ul. Żurawia,3,54,365000,6759.0,bez pośredników,,7,https://adresowo.pl/o/mieszkanie-katowice-piotrowice-ul-zurawia-3-pokojowe-c0c2b2,https://s2.adresowa.pl/oi/41/17/3f1da2_eb57_cover@2x-3-pokojowe-mieszkanie-katowice-piotrowice-ul-zurawia.webp,Katowice Piotrowice,Żurawia,4,1980.0,blok,,"Sprzedam 3pokojowe mieszkanie na Osiedlu Żurawia , mogę zostawić meble, w dobrym stanie, zapraszam do kontaktu",tak,,osobna,plastikowe,spółdzielcze własnościowe,,50.20915,18.967243
Katowice Muchowiec,ul. Francuska,2,45,575000,12778.0,bez pośredników,,19,https://adresowo.pl/o/mieszkanie-katowice-muchowiec-ul-francuska-2-pokojowe-m4w9d8,https://s2.adresowa.pl/oi/73/3f/3f19a8_3777_cover@2x-2-pokojowe-mieszkanie-katowice-muchowiec-ul-francuska.webp,Katowice Muchowiec,Francuska,4,2019.0,apartamentowiec,,"Na sprzedaż komfortowe, w pełni wykończone mieszkanie o powierzchni 44,3 m², położone na IV piętrze nowoczesnego budynku z 2019 roku na prestiżowym osiedlu ATAL Francuska Park w Katowicach. Mieszkanie składa się z: - salonu z aneksem kuchennym - sypialni - łazienki - przedpokoju - dużego balkonu Lokal jest gotowy do zamieszkania - sprzedawany z wyposażeniem, obejmującym meble oraz sprzęt AGD. Dodatkowe atuty: - klimatyzacja - komórka lokatorska ok. 3 m² na tym samym piętrze - szerokie miejsce postojowe w garażu podziemnym, blisko windy - nowoczesne, zamknięte osiedle - świetna lokalizacja - blisko centrum oraz Doliny Trzech Stawów Cena mieszkania: 575 000 zł Miejsce postojowe: 45 000 zł Komórka lokatorska: 10 000 zł",tak,tak,aneks,plastikowe,własność,Wyposażenie: klimatyzacja,50.244122,19.024609
Katowice Koszutka,ul. ks. Piotra Ściegiennego,3,46,365000,7935.0,Pośrednik,,7,https://adresowo.pl/o/mieszkanie-katowice-koszutka-ul-ks-piotra-sciegiennego-3-pokojowe-j3k2p0,https://s2.adresowa.pl/oi/79/5b/3f10fc_5e4f_cover@2x-3-pokojowe-mieszkanie-katowice-koszutka-ul-ks-piotra-sciegiennego.webp,Katowice Koszutka,ks. Piotra Ściegiennego,2,,blok,,"Katowice Koszutka / Dąb osiedle Ducha ul. Ściegiennego / Błękitna - 3 pokoje / 46m2 obok SCC WE SPEAK ENGLISH IDEALNA LOKALIZACJA!!! BLISKO SCC!!! Mamy przyjemność przedstawić Państwu 3 pokojowe mieszkanie zlokalizowane na osiedlu Ducha w Katowicach. Mieszkanie o powierzchni 46 m2, znajduje się na 2 piętrze w 4 piętrowym bloku po termomdernizacji. MIESZKANIE SKŁADA SIĘ Z: - trzech pokoi (w tym jeden przechodni) - widnej kuchni - przedpokoju - łazienki z wc DODATKOWO Do mieszkania przynależy piwnica SZCZEGÓŁY OFERTY - Mieszkanie z założoną Księgą Wieczystą - Możliwość zakupu na kredyt - Lokal do remontu, daje spore możliwości aranżacji - Na podłogach wykładziny/linoleum - Wymienione piony wodno-kanalizacyjne oraz instalacja CO (instalacja miedziana, nowe kaloryfery) - Centralne Ogrzewanie - Ciepła woda z piecyka gazowego - Łazienka po generalnym remoncie - Okna PCV - Czysta klatka schodowa, domofon - Budynek po termomodernizacji - Czynsz: 750 zł z zaliczkami na CO, wodę, fundusz remontowy/1 os - Zarządca HGSM LOKALIZACJA: Mieszkanie położone wręcz idealnie na mapie miasta. Kameralne ,spokojne i bardzo zielone osiedle zapewnia bardzo szybki dojazd do sąsiadującego centrum Katowic. Bezpośrednie sąsiedztwo Silesia City Center, dostęp do DTŚ tj. na Drogowej Trasy Średnicowej, A4 oraz 25 minut na lotnisko w Pyrzowicach. Spokojna i Zielona okolica niska zabudowa mieszkaniowa wokół. Możliwość parkowania samochodu przy budynku. Skontaktuj się z nami i umów się na bezpłatną prezentację mieszkania. Pamiętaj, że ceny nieruchomości w większości przypadków podlegają negocjacji. Na stronie internetowej naszego biura znajdą Państwo również oferty, które nie są publikowane na portalach. Zapraszamy do kontaktu. Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.",,,,,własność,Wyposażenie: internet,50.27234,19.00885
Katowice,ul. Juliusza Słowackiego,2,40,444000,11100.0,Pośrednik,,7,https://adresowo.pl/o/mieszkanie-katowice-ul-juliusza-slowackiego-2-pokojowe-a5g7m3,https://s2.adresowa.pl/oi/6d/16/3efbd4_2a90_cover@2x-2-pokojowe-mieszkanie-katowice-ul-juliusza-slowackiego.webp,Katowice ,Juliusza Słowackiego,1,,kamienica,,"Na sprzedaż piękne, jasne mieszkanie po remoncie generalnym. Wykończone w wysokim standardzie pod klucz w top lokalizacji - w samym Centrum Katowic. INFORMACJE OGÓLNE: Mieszkanie dwupokojowe po remoncie generalnym. Nieruchomość zapropojektowana przez architekta z dbałością o szczegóły. Wykończone materiałami najwyższej jakości. W tym między innymi: - Nowoczesna i funkcjonalna kuchnia w kolorze kkaszmirowym robiona na zamówienie - Klimatyczne wnętrza - Wysoki potencjał najmu - Unikalny charakter - Pełne wyposażenie: meble oraz sprzęt AGD - Odsłonięta oryginalna cegła, która dodaje wnętrzu charakteru MIESZKANIE GOTOWE DO ZAMIESZKANIA LUB POD WYNAJEM. UKŁAD: Mieszkanie składa się z dwóch pokoi - salonu z jadalnią od strony ul. Słowackiego, sypialni z widokiem na urokliwe podwórko oraz osobnej kuchni i łazienki z prysznicem. BUDYNEK: Jedna z najbardziej klimatycznych lokalizacji w centrum Katowic. Historyczna kamienica z początku XX wieku, wyróżniająca się elegancką architekturą i charakterystycznymi zielonymi oknami. To idealne miejsce dla osób ceniących miejski styl życia, architekturę z duszą oraz nieruchomości o ponadczasowym charakterze. To idealne połączenie zabytkowego klimatu z doskonałą lokalizacją. PRESTIŻOWA LOKALIZACJA: Mieszkanie znajduje się przy ul. Słowackiego- w samym sercu Katowic. W zasięgu kilku minut spacerem znajdują się: -Rynek -Dworzec PKP -Galeria Katowicka oraz liczne restauracje, kawiarnie, sklepy spożywcze i punkty usługowe. Ponadto lokalizacja ta jest doskonale skomunikowana. Blisko znajdują się przystanki tramwajowe, autobusowe a także dworzec PKP oraz PKS. Ponadto kilka minut od mieszkania znajduje się wyjazd na: -autostradę A4 -DTŚ To jedna z najbardziej pożądanych lokalizacji w Katowicach idealna zarówno do zamieszkania, jak i pod inwestycję na wynajem. SZUKASZ MIESZKANIA POD WYNAJEM? Doradzimy Ci w kwestii zakupu odpowiedniej nieruchomości i pomożemy w zarządzaniu najmem. KUPUJESZ MIESZKANIE NA KREDYT?. Nasz doradca kredytowy pomoże Ci w znalezieniu najlepszej oferty kredytu. Dopasowanej do Twoich potrzeb. Po więcej informacji zapraszam do kontaktu Tel. [numer] Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.",,,,,własność,,50.261472,19.016581
Katowice Piotrowice,ul. Marcina Radockiego,2,37,324900,8781.0,bez pośredników,,6,https://adresowo.pl/o/mieszkanie-katowice-piotrowice-ul-marcina-radockiego-2-pokojowe-v0t4k8,https://s2.adresowa.pl/oi/3b/29/3f1984_a9ca_cover@2x-2-pokojowe-mieszkanie-katowice-piotrowice-ul-marcina-radockiego.webp,Katowice Piotrowice,Marcina Radockiego,parter,,blok,,"Ogłoszenie Prywatne. Oferuję na sprzedaż 2-pokojowe mieszkanie własnościowe. Mieszczące się w Katowicach-Piotrowicach na osiedlu Odrodzenia, ul. Radockiego. Mieszkanie jasne, ciche, okna wychodzą na tereny zielone. Kuchnia wyposażona jest w sprzęt AGD, w tym zmywarkę i piekarnik. W łazience znajduje się wanna. To idealne miejsce dla osób, które szukają komfortu w miejskim otoczeniu. Mieszkanie sprzedawane jest ze wszystkimi meblami oraz dużym AGD, takim jak: Lodówka, Pralka, Kuchenka Gazowa, itp. itd. Mieszkanie posiada duży balkon. Do mieszkania przynależy piwnica oraz dodatkowo komórka lokatorska na półpiętrze. Blok po termoizolacji. W tym roku przewidziana winda z poziomu -1, do której będzie się wchodzić z poziomu chodnika. Czynsz miesięczny ok 650 zł z wszystkimi zaliczkami. Mieszkanie nadaje się do natychmiastowego zamieszkania, odświeżenia lub remontu, w zależności od poczucia estetyki kupujących!!! Mieszkanie jest świetnie skomunikowane. Szkoła podstawowa, apteka, przychodnia, sklepy, markety typu Biedronka - wszystko w ciągu 5 min spacerem. Zielona, spokojna okolica. Zapraszam i pozdrawiam. Marcin",tak,,,,,"Wyposażenie: kuchenka, lodówka, piekarnik, pralka, zmywarkę",50.205609,18.98707
