locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Kraków Prądnik Czerwony,ul. Pawła Włodkowica,1,36,555000,15417,bez pośredników,,13,https://adresowo.pl/o/mieszkanie-krakow-pradnik-czerwony-ul-pawla-wlodkowica-1-pokoj-t2k5z8,https://s2.adresowa.pl/oi/71/68/3fd336_b278_cover@2x-1-pokojowe-mieszkanie-krakow-pradnik-czerwony-ul-pawla-wlodkowica.webp
Kraków Azory,ul. Piotra Stachiewicza,2,37,510000,13784,bez pośredników,,9,https://adresowo.pl/o/mieszkanie-krakow-azory-ul-piotra-stachiewicza-2-pokojowe-a3v8n9,https://s2.adresowa.pl/oi/20/2f/40416c_6e65_cover@2x-2-pokojowe-mieszkanie-krakow-azory-ul-piotra-stachiewicza.webp
Kraków Bieńczyce,os. Jagiellońskie,1,26,385000,14808,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-krakow-bienczyce-os-jagiellonskie-1-pokoj-t3o5p1,https://s2.adresowa.pl/oi/32/10/404104_7991_cover@2x-1-pokojowe-mieszkanie-krakow-bienczyce-os-jagiellonskie.webp
Kraków Czyżyny,ul. Romana Ciesielskiego,2,40,zapytaj,,bez pośredników,,+85 podobnych ofert,https://adresowo.pl/o/mieszkanie-krakow-czyzyny-ul-romana-ciesielskiego-2-pokojowe-q0j5i8,https://s2.adresowa.pl/development/671242/nowe-mieszkania-centralna-vita-def1_cover.jpg
Kraków Dębniki,ul. Wacława Lipińskiego,3,52,679000,13058,Pośrednik,,16,https://adresowo.pl/o/mieszkanie-krakow-debniki-ul-waclawa-lipinskiego-3-pokojowe-c1b2h5,https://s2.adresowa.pl/oi/17/53/403f9e_c10f_cover@2x-3-pokojowe-mieszkanie-krakow-debniki-ul-waclawa-lipinskiego.webp
Kraków Mistrzejowice,os. Piastów,3,47,620000,13191,Pośrednik,,22,https://adresowo.pl/o/mieszkanie-krakow-mistrzejowice-os-piastow-3-pokojowe-q3p0x3,https://s2.adresowa.pl/oi/5b/10/403f68_4a7e_cover@2x-3-pokojowe-mieszkanie-krakow-mistrzejowice-os-piastow.webp
Kraków Stare Miasto,ul. Śląska,4,122,2629000,21549,bez pośredników,,10,https://adresowo.pl/o/mieszkanie-krakow-stare-miasto-ul-slaska-4-pokojowe-l2l7b9,https://s2.adresowa.pl/oi/6c/54/403e1e_e65c_cover@2x-4-pokojowe-mieszkanie-krakow-stare-miasto-ul-slaska.webp
Kraków Dębniki,ul. Zygmunta Miłkowskiego,2,42,688000,16381,bez pośredników,,19,https://adresowo.pl/o/mieszkanie-krakow-debniki-ul-zygmunta-milkowskiego-2-pokojowe-y6o2l6,https://s2.adresowa.pl/oi/56/26/403d3a_6bd4_cover@2x-2-pokojowe-mieszkanie-krakow-debniki-ul-zygmunta-milkowskiego.webp
Kraków Bieżanów,ul. Henryka i Karola Czeczów,2,36,zapytaj,,bez pośredników,,+1 podobna oferta,https://adresowo.pl/o/mieszkanie-krakow-biezanow-ul-henryka-i-karola-czeczow-2-pokojowe-c0g5i0,https://s2.adresowa.pl/development/449945/nowe-mieszkania-sloneczne-miasteczko-c8e4_cover.jpg
Kraków Stare Miasto,ul. św. Katarzyny,2,65,1298000,19969,Pośrednik,,39,https://adresowo.pl/o/mieszkanie-krakow-stare-miasto-ul-sw-katarzyny-2-pokojowe-f7e6a7,https://s2.adresowa.pl/oi/39/6a/403e66_be54_cover@2x-2-pokojowe-mieszkanie-krakow-stare-miasto-ul-sw-katarzyny.webp
Kraków Grzegórzki,ul. Dąbska,2,34,659000,19382,Pośrednik,,27,https://adresowo.pl/o/mieszkanie-krakow-grzegorzki-ul-dabska-2-pokojowe-u1k9k4,https://s2.adresowa.pl/oi/68/4d/403e56_a89b_cover@2x-2-pokojowe-mieszkanie-krakow-grzegorzki-ul-dabska.webp
Kraków Łagiewniki-Borek Fałęcki,ul. Zakopiańska,4,42,750000,17857,bez pośredników,,10,https://adresowo.pl/o/mieszkanie-krakow-lagiewniki-borek-falecki-ul-zakopianska-4-pokojowe-o5b8d2,https://s2.adresowa.pl/oi/3e/29/403aa0_6b0a_cover@2x-4-pokojowe-mieszkanie-krakow-lagiewniki-borek-falecki-ul-zakopianska.webp
Kraków Prądnik Czerwony,ul. Reduta,2,43,729000,16953,bez pośredników,,12,https://adresowo.pl/o/mieszkanie-krakow-pradnik-czerwony-ul-reduta-2-pokojowe-u2b0k2,https://s2.adresowa.pl/oi/5e/43/403a8e_b707_cover@2x-2-pokojowe-mieszkanie-krakow-pradnik-czerwony-ul-reduta.webp
Kraków Krowodrza,ul. Żabiniec,2,51,zapytaj,,bez pośredników,,+32 podobne oferty,https://adresowo.pl/o/mieszkanie-krakow-krowodrza-ul-zabiniec-2-pokojowe-o1b4n0,https://s2.adresowa.pl/development/671656/nowe-mieszkania-zabiniec-vita-c08d_cover.jpg
Kraków Śródmieście,ul. Rakowicka,2,38,989000,26026,Pośrednik,,17,https://adresowo.pl/o/mieszkanie-krakow-srodmiescie-ul-rakowicka-2-pokojowe-w8i6f1,https://s2.adresowa.pl/oi/71/4c/403e38_49ba_cover@2x-2-pokojowe-mieszkanie-krakow-srodmiescie-ul-rakowicka.webp
Kraków Kurdwanów,ul. Kordiana,4,81,1099000,13568,Pośrednik,,14,https://adresowo.pl/o/mieszkanie-krakow-kurdwanow-ul-kordiana-4-pokojowe-v7l4g8,https://s2.adresowa.pl/oi/49/6b/4037b8_aa71_cover@2x-4-pokojowe-mieszkanie-krakow-kurdwanow-ul-kordiana.webp
Kraków,Podgórze Duchackie,3,44,900000,20455,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-krakow-podgorze-duchackie-3-pokojowe-44-m2-i8q6h1,https://s2.adresowa.pl/oi/18/60/403a26_9630_cover@2x-3-pokojowe-mieszkanie-krakow-podgorze-duchackie.webp
Kraków Podgórze Duchackie,ul. Pszenna,2,30,549000,18300,bez pośredników,,11,https://adresowo.pl/o/mieszkanie-krakow-podgorze-duchackie-ul-pszenna-2-pokojowe-y8c0k2,https://s2.adresowa.pl/oi/1f/31/4037bc_cae1_cover@2x-2-pokojowe-mieszkanie-krakow-podgorze-duchackie-ul-pszenna.webp
