locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url,city_district,full_address,floor,year_built,building_type,price_per_sqm_detailed,description_text,has_basement,has_parking,kitchen_type,window_type,ownership_type,equipment,latitude,longitude
Kraków Prądnik Biały,ul. Józefa Wybickiego 44A,1,26,560000,21538,bez pośredników,,7,https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-ul-jozefa-wybickiego-1-pokoj-w1h3a7,https://s2.adresowa.pl/oi/3a/77/3b9842_a1b7_cover@2x-1-pokojowe-mieszkanie-krakow-pradnik-bialy-ul-jozefa-wybickiego.webp,Kraków Prądnik Biały,Józefa Wybickiego 44A,parter,2022,apartamentowiec,,"Ogłoszenie bezpośrednio od właściciela. Oferuję na sprzedaż kawalerkę w doskonałej lokalizacji - w budynku położonym przy ul. Wybickiego 44A w Krakowie. Jest to kameralny dwupiętrowy apartamentowiec oddany do użytku w 2022 roku. Miejsce jest doskonale skomunikowane - dojście do stacji PKP KRAKÓW ŁOBZÓW zajmuje ok. 5 minut, skąd dojazd pociągiem na stację PKP KRAKÓW GŁÓWNY zajmuje również zaledwie ok. 5 mint. Ponadto w pobliżu znajdują się przystanki autobusowe linii numer [numer] i 194. Budynek jest ogrodzony i objęty monitoringiem. Każde mieszkanie wyposażone jest w domofon z podglądem wideo. Ogrzewanie oraz ciepła woda są dostarczane przez MPEC. Spokojna okolica, niedaleko parki oraz tereny zielone. Mieszkanie jest wyposażone w klimatyzację oraz roletę zewnętrzną. Do mieszkania przynależy miejsce parkingowe w garażu podziemnym - dodatkowo płatne 40 tys. zł. 200 m do Parku im. St. Wyspiańskiego i Parku Krowoderskiego 200 m przystanek autobusowy i kolejowy 12 km lotnisko Kraków-Balice Mieszkanie składa się z: – przedpokoju; – łazienki; – pokoju z aneksem kuchennym; – ogródka (ok. 18m2 z częścią tarasową) DODATKOWE INFORMACJE: – wykończone z wysokiej jakości materiałów; – bliskość centrum miasta i terenów zielonych; – ogrzewanie MPEC; – klimatyzacja; - meble kuchenne na wymiar; – teren zamknięty, monitoring; Zapraszam do kontaktu po godz. 16.",,tak,aneks,plastikowe,własność,Wyposażenie: klimatyzacja,50.083279,19.918671
Kraków Prądnik Czerwony,al. 29 Listopada,3,50,985000,19700,bez pośredników,,10,https://adresowo.pl/o/mieszkanie-krakow-pradnik-czerwony-al-29-listopada-3-pokojowe-z2w8u2,https://s2.adresowa.pl/oi/16/1f/3ddc60_4f79_cover@2x-3-pokojowe-mieszkanie-krakow-pradnik-czerwony-al-29-listopada.webp,Kraków Prądnik Czerwony,29 Listopada,6,2018,blok,,"Twoje miejsce na osiedlu Gotyk – mieszkanie, w którym po prostu dobrze się żyje Są mieszkania, które się ogląda… i są takie, do których chce się wracać. To jest właśnie jedno z nich. Na sprzedaż przez WŁAŚCICIELA jasne, przytulne mieszkanie o powierzchni 50 m² – stworzone z myślą o codziennym komforcie, spokoju i odrobinie przyjemności każdego dnia. ŚWIATŁO, PRZESTRZEŃ I SPOKÓJ Dzięki południowo-wschodniej ekspozycji poranki zaczynają się tu naturalnym światłem, a mieszkanie przez cały dzień pozostaje jasne i przyjemne. Salon z aneksem to serce domu – miejsce na wspólne chwile, odpoczynek i codzienne życie. Dwie osobne sypialnie dają swobodę – możesz stworzyć wygodną sypialnię i pokój dla dziecka albo spokojne miejsce do pracy. BALKON, KTÓRY ZMIENIA CODZIENNOŚĆ Duży, zadaszony balkon to coś więcej niż dodatek. To przestrzeń na poranną kawę, wieczorny oddech po pracy czy chwilę ciszy z książką – niezależnie od pogody. WYGODA, KTÓRĄ DOCENISZ KAŻDEGO DNIA winda, która zwozi Cię prosto do garażu podziemnego miejsce postojowe w garażu podziemnym – koniec z szukaniem parkingu komórka lokatorska na tym samym piętrze – wszystko pod ręką, bez schodzenia do piwnicy CIEPŁO I SPOKÓJ Ogrzewanie miejskie (MPEC) daje komfort i bezpieczeństwo, a trzyszybowe okna zapewniają ciszę i niższe rachunki. LOKALIZACJA – WSZYSTKO BLISKO To miejsce, które naprawdę ułatwia życie: szybkie zakupy (Lidl, Biedronka, Lewiatan) sprawny dojazd do centrum (ok. 15–20 minut) blisko tramwaj i autobusy w okolicy przedszkola i żłobki niedaleko zielone tereny – idealne na spacer lub rower DLA KOGO? Dla pary, która chce czegoś więcej niż standardowego mieszkania. Dla rodziny, która szuka spokoju i wygody. Dla kogoś, kto chce poczuć, że to naprawdę „jego miejsce”.",tak,tak,aneks,plastikowe,własność,,50.089177,19.957868
Kraków Swoszowice,Anusi 9,4,82,1310000,15976,bez pośredników,,11,https://adresowo.pl/o/mieszkanie-krakow-swoszowice-anusi-4-pokojowe-r0x2t6,https://s2.adresowa.pl/oi/15/74/3ddc4e_8b5a_cover@2x-4-pokojowe-mieszkanie-krakow-swoszowice-anusi.webp,Kraków Swoszowice,Anusi 9,1,1997,,,"Na sprzedaż wyjątkowe, jasne mieszkanie z antresolą, położone w spokojnej i zielonej części na południu Krakowa – dzielnica Podgórze, osiedle Kliny. Lokal o powierzchni całkowitej 97,40 m² oraz powierzchni użytkowej 82,55 m² oferuje funkcjonalny układ oraz niepowtarzalny klimat dzięki skosom, wysokim sufitom i dużej ilości naturalnego światła. Mieszkanie składa się z przestronnego salonu z otwartą kuchnią, trzech pokoi (w tym jednego przechodniego), łazienki, hallu oraz antresoli, która może pełnić funkcję gabinetu lub dodatkowej przestrzeni do pracy (nie wlicza się do metrażu). Wnętrze uzupełnia pomieszczenie gospodarcze z miejscem na pralkę i przechowywanie. Wewnętrzna klatka schodowa nadaje mieszkaniu charakter zbliżony do domu, zapewniając jednocześnie dodatkową przestrzeń do przechowywania, np. rowerów. Dużym atutem nieruchomości jest bardzo dobre doświetlenie – dzięki oknom dachowym oraz dużym przeszkleniom wnętrze jest jasne i przyjemne o każdej porze dnia. Mieszkanie jest ciepłe, budynek został ocieplony – elewacja w 2022 roku, dach w 2013 roku. Całość znajduje się w kameralnej zabudowie szeregowej, w spokojnym sąsiedztwie. Do dyspozycji mieszkańców pozostaje współdzielony ogródek przed budynkiem, a bezpośrednio przed posesją dostępne jest miejsce parkingowe. Lokalizacja zapewnia jednocześnie ciszę i bliskość terenów zielonych (park, łąki, ogród społeczny), jak i dobrą komunikację z pozostałymi częściami miasta oraz dostęp do pełnej infrastruktury – sklepów, przedszkoli, szkół, biblioteki czy domu kultury. Stan prawny mieszkania jest uregulowany, nieruchomość jest wolna od obciążeń i gotowa do zamieszkania lub własnej aranżacji.",,,aneks,drewniane,własność,Wyposażenie: pralkę,50.06465,19.94498
Kraków,ul. Kobierzyńska,2,45,754947,16777,bez pośredników,,+3 podobne oferty,https://adresowo.pl/o/mieszkanie-krakow-ul-kobierzynska-2-pokojowe-a1r5e5,https://s2.adresowa.pl/development/670664/nowe-mieszkania-apartamenty-casa-sole-4bda_cover.jpg,Kraków ,Kobierzyńska,1,2025,blok,,"Nowe mieszkanie 2-pokojowe o powierzchni 45,22 m² w inwestycji Apartamenty CASA SOLE dewelopera Smart Apartments Sp.z o.o., na 1 piętrze w budynku 193E pod adresem ul. Kobierzyńska 193E, Kraków. Planowany termin oddania to III kwartał 2025 roku. O inwestycji Casa Sole to nowoczesna, przyjazna architektura, przyjazna architektura zaprojektowana dla rodzin. Inwestycja obejmuje budowę czterokondygnacyjnego budynku mieszkalnego, wielorodzinnego, wykończonego trwałymi i eleganckimi materiałami z dbałością o wszelkie detale architektoniczne. Klienci mają do wyboru 11 mieszkań o zróżnicowanym układzie i powierzchni. W ofercie znajdują się mieszkania z miejscami postojowymi w garażu podziemnym oraz komórkami lokatorskimi. Na parterze dostępne są 3 lokale usługowe. Budynek wyposażony jest w dwubiegową klatkę schodową i windę obsługującą wszystkie kondygnacje. Nieruchomość jest również przystosowana do potrzeb osób niepełnosprawnych. Lokalizacja Casa Sole to doskonałe miejsce dla osób poszukujących mieszkania w dobrze skomunikowanej lokalizacji, a jednocześnie na terenie, z niską, kameralną zabudową. Nie bez znaczenia pozostaje bliskość Kampusu Uniwersytetu Jagiellońskiego, Krakowskiego Parku Technologicznego oraz licznych biur międzynarodowych korporacji. Dzięki dobrej komunikacji autobusowej można bez problemu dotrzeć do centrum miasta. Pokonując krótki odcinek pieszo można dojść do szkół, przedszkoli, aptek, przychodni oraz do sklepów. Tereny rekreacyjne , takie jak Krakowski Klub Jazdy Konnej , Skałki Twardowskiego, Las Żywiecki , Las Borkowski , centra sportu i rekreacji czy też ścieżki rowerowe sprzyjają aktywnemu wypoczynkowi. W bliskim sąsiedztwie realizowane są inwestycje miejskie; Trasa Łagiewnicka, Dom kultury na Ruczaju.",,,,,własność,,50.01300048828125,19.89900016784668
Kraków Prądnik Biały,ul. Piaszczysta,2,36,525241,14590,Pośrednik,,5,https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-ul-piaszczysta-2-pokojowe-o0t6s9,https://s2.adresowa.pl/oi/13/67/3ddd14_7016_cover@2x-2-pokojowe-mieszkanie-krakow-pradnik-bialy-ul-piaszczysta.webp,Kraków Prądnik Biały,Piaszczysta,parter,2005,apartamentowiec,,"Nowoczesne mieszkania w zielonej części Krakowa – idealne do zamieszkania lub inwestycji Szukasz mieszkania w spokojnej okolicy, ale z dobrym dojazdem do centrum? Ta inwestycja to świetne połączenie komfortu życia i potencjału inwestycyjnego. W ofercie: mieszkania 1–4 pokojowe metraże od ok. 25 do 70+ m² funkcjonalne układy pomieszczeń balkony, tarasy lub ogródki miejsca postojowe dostępne w inwestycji Atuty inwestycji: kameralna, niska zabudowa zielona i spokojna okolica szybki dostęp do infrastruktury miejskiej dobra opcja zarówno do zamieszkania, jak i pod wynajem Elementy premium: pakiety smart home zwiększające komfort codziennego życia nowoczesne systemy poprawy jakości powietrza eleganckie klatki schodowe i dopracowana architektura części wspólnych Świetna propozycja dla wymagających – zarówno na start, jak i pod inwestycję. W naszej ofercie posiadamy inne oferty mieszkań o podobnych metrażach i rozkładzie. Zachęcam do kontaktu w celu poznania całej oferty. Jeśli zakup wiąże się uzyskaniem kredytu lub ze sprzedażą innej nieruchomości - daj mi znać! Chętnie pomogę Ci przejść przez ten proces. Zamieszczona oferta nie stanowi oferty w rozumieniu Kodeksu Cywilnego, a dane w niej zawarte mają jedynie charakter informacyjny i mogą podlegać aktualizacji. Wizualizacje są propozycją aranżacji. Notus Finanse S.A.",,tak,,plastikowe,własność,,50.098513,19.926008
Kraków Podgórze,ul. Jemiołowa,5,96,1050000,10938,Pośrednik,,6,https://adresowo.pl/o/mieszkanie-krakow-podgorze-ul-jemiolowa-5-pokojowe-e1p6g9,https://s2.adresowa.pl/oi/1c/6a/3ddce0_6b29_cover@2x-5-pokojowe-mieszkanie-krakow-podgorze-ul-jemiolowa.webp,Kraków Podgórze,Jemiołowa,1,1970,blok,,"KRAKÓW,PYCHOWICE okazyjna cena TYLKO U NAS W NOTUS, nie szukaj dalej -umów się na spotkanie- oferta na zasadach wyłączności PEŁNA WŁASNOŚĆ Z KW o pow. użytkowej 96 m² • 5 pokoi • balkon *2 miejsca postojowe Apartament sprzedawany w stanie deweloperskim z opcja wykończenia ""pod klucz"" zgodnie z załączonymi wizualizacjami lub według wytycznych nabywcy Jemiołowa — rzadko spotykana przestrzeń dla wymagających Taki metraż w Krakowie to luksus sam w sobie. 96 m² i aż 5-6 pokoi tworzy mieszkanie, które odpowiada na potrzeby dużej rodziny, osób pracujących z domu lub tych, którzy po prostu pragną oddechu i swobody. Każde pomieszczenie jest niezależne, ustawne i jasne. Możesz tu stworzyć: • osobną strefę dzienną, • 3–4 sypialnie, • gabinet, • garderobę, • pokój dla dziecka, studio, miejsce hobby • 2 łazienki Dlaczego ta nieruchomość jest wyjątkowa? 6 pełnych pokoi - rzadkość w tej lokalizacji możliwość stworzenia układu idealnego dla dużej rodziny świetne doświetlenie i dużo powietrza potencjał premium- idealny również jako inwestycja To nieruchomość dla tych, którzy wiedzą, czego chcą — i szukają przestrzeni, która będzie dojrzewała razem z nimi. Patrycja Barczyńska",,,osobna,plastikowe,własność,,50.034492,19.888043
Kraków Bieńczyce,ul. Fatimska,3,58,725000,12500,bez pośredników,,6,https://adresowo.pl/o/mieszkanie-krakow-bienczyce-ul-fatimska-3-pokojowe-m3c6c8,https://s2.adresowa.pl/oi/31/3a/3ddc14_744f_cover@2x-3-pokojowe-mieszkanie-krakow-bienczyce-ul-fatimska.webp,Kraków Bieńczyce,Fatimska,1,1980,blok,,"Na sprzedaż rozkładowe 3 pokojowe mieszkanie o pow.58,3 m2 przy ul.Fatimskiej, z oddzielną kuchnią i oddzielnym wc, dużym balkonem typu loggia. Mieszkanie usytuowane na 1-szym piętrze,jest piwnica ok 4 m2 a także ogólnodostępna wózkownia. Obecnie trwa remont, zostały usunięte stare panele podłogowe i stare ościeżnice a także boazeria w przedpokoju-na jej miejce położone regipsy.Na podłodze w przedpokoju i kuchni położone nowe płytki. Montaż nowych ościeżnic i drzwi nastąpi 15-go czerwca ( zamówione w salonie drzwi) W całym mieszkaniu jest miedziana instalacja elektryczna oraz plastikowe okna, na balkonie płytki.Ogrzewanie miejskie, ciepła woda miejska będzie podłączna wiosną 2027 roku ( obecnie w łazience piecyk gazowy) Osiedle ciche, pełne zieleni, bardzo dobrze skomunikowane, do przystanku autobusowego i tramwajowego 4 minuty, tyle samo na Bieńczycki plac targowy. W pobliżu wiele sklepów, kościół, przedszkole, przychodnia i szpital im.Rydygiera. Nad Zalew spacerkiem zaledwie 15 minut.",tak,,osobna,plastikowe,spółdzielcze własnościowe,,50.087412,20.031037
Kraków Bieżanów,ul. Henryka i Karola Czeczów,4,78,960000,12308,bez pośredników,,17,https://adresowo.pl/o/mieszkanie-krakow-biezanow-ul-henryka-i-karola-czeczow-4-pokojowe-i9f8x1,https://s2.adresowa.pl/oi/66/3b/3ddbae_a2bc_cover@2x-4-pokojowe-mieszkanie-krakow-biezanow-ul-henryka-i-karola-czeczow.webp,Kraków Bieżanów,Henryka i Karola Czeczów,1,2021,blok,,"Przedmiotem sprzedaży gotowe do zamieszkania mieszkanie na pierwszym piętrze w trzy piętrowym bloku oddanym do użytku w 2021 roku. 3 pokoje + salon z aneksem kuchennym + łazienka z toaletą oraz osobna toaleta plus balkon. Ciepła woda oraz ogrzewanie – miejskie. W bloku nie ma gazu. LOKALIZACJA Mieszkanie zlokalizowane w dzielnicy Bieżanów-Prokocim/Złocień. Cicha i spokojna okolica. - komunikacja miejska, pętla autobusowa - 8 minut pieszo - stacja kolejowa (900 m), którą w niecałe 15 minut dojedziemy do centrum Krakowa - liczne sklepy handlowo-usługowe w okolicy (w tym Biedronka i Stokrotka w bloku obok) - szkoła podstawowa na osiedlu - bliski wyjazd na A4 (Katowice / Rzeszów) i Zakopiankę - przed blokiem plac zabaw, brak możliwości postawienia następnego bloku (widok z okna na plac zabaw oraz wewnętrzny dziedziniec) Mieszkanie bez obciążeń (brak hipoteki / zadłużeń) Przed i za blokiem bardzo duże parkingi ogólnodostępne. Nieruchomość jest umeblowana. Kuchnia wyposażona w sprzęt AGD. Gwarancja na meble kuchenne 20 lat. Blok czysty i zadbany, wspólnota od pierwszego miesiąca funkcjonowania dba o czystość i bieżące naprawy. Odległość do centrum handlowego Atut oraz trzech przystanków autobusowych to nie więcej niż 8-10 minut na piechotę spokojnym spacerem. Sprzedaż bezpośrednio od właściciela, cena do negocjacji. Wynajmuję 2 miejsca parkingowe w garażu podziemnym oraz komórkę lokatorską - dla chętnych osób przekażę namiary do dalszego najmu. Meble które są na zdjęciach oraz wyposażenie zostają w mieszkaniu. Na życzenie mogę je zabrać. Mieszkanie użytkowane przez 5lat - wymaga odmalowania. Stolarka okienna jest jeszcze objęta rękojmią budowlaną.",,tak,aneks,plastikowe,własność,,50.020348,20.060626
Kraków,ul. Kobierzyńska,3,61,903609,14813,bez pośredników,,+6 podobnych ofert,https://adresowo.pl/o/mieszkanie-krakow-ul-kobierzynska-3-pokojowe-i5y1f2,https://s2.adresowa.pl/development/670664/nowe-mieszkania-apartamenty-casa-sole-4bda_cover.jpg,Kraków ,Kobierzyńska,1,2025,blok,,"Nowe mieszkanie 3-pokojowe o powierzchni 61,47 m² w inwestycji Apartamenty CASA SOLE dewelopera Smart Apartments Sp.z o.o., na 1 piętrze w budynku 193E pod adresem ul. Kobierzyńska 193E, Kraków. Planowany termin oddania to III kwartał 2025 roku. O inwestycji Casa Sole to nowoczesna, przyjazna architektura, przyjazna architektura zaprojektowana dla rodzin. Inwestycja obejmuje budowę czterokondygnacyjnego budynku mieszkalnego, wielorodzinnego, wykończonego trwałymi i eleganckimi materiałami z dbałością o wszelkie detale architektoniczne. Klienci mają do wyboru 11 mieszkań o zróżnicowanym układzie i powierzchni. W ofercie znajdują się mieszkania z miejscami postojowymi w garażu podziemnym oraz komórkami lokatorskimi. Na parterze dostępne są 3 lokale usługowe. Budynek wyposażony jest w dwubiegową klatkę schodową i windę obsługującą wszystkie kondygnacje. Nieruchomość jest również przystosowana do potrzeb osób niepełnosprawnych. Lokalizacja Casa Sole to doskonałe miejsce dla osób poszukujących mieszkania w dobrze skomunikowanej lokalizacji, a jednocześnie na terenie, z niską, kameralną zabudową. Nie bez znaczenia pozostaje bliskość Kampusu Uniwersytetu Jagiellońskiego, Krakowskiego Parku Technologicznego oraz licznych biur międzynarodowych korporacji. Dzięki dobrej komunikacji autobusowej można bez problemu dotrzeć do centrum miasta. Pokonując krótki odcinek pieszo można dojść do szkół, przedszkoli, aptek, przychodni oraz do sklepów. Tereny rekreacyjne , takie jak Krakowski Klub Jazdy Konnej , Skałki Twardowskiego, Las Żywiecki , Las Borkowski , centra sportu i rekreacji czy też ścieżki rowerowe sprzyjają aktywnemu wypoczynkowi. W bliskim sąsiedztwie realizowane są inwestycje miejskie; Trasa Łagiewnicka, Dom kultury na Ruczaju.",,,,,własność,,50.01300048828125,19.89900016784668
Kraków Pychowice,ul. Rodzinna,3,51,585000,11471,Pośrednik,,6,https://adresowo.pl/o/mieszkanie-krakow-pychowice-ul-rodzinna-3-pokojowe-v3w4g3,https://s2.adresowa.pl/oi/71/37/3ddcde_cb12_cover@2x-3-pokojowe-mieszkanie-krakow-pychowice-ul-rodzinna.webp,Kraków Pychowice,Rodzinna,parter,1920,apartamentowiec,,"KRAKÓW, PYCHOWICE- promocyjna cena ograniczona w czasie TYLKO U NAS W NOTUS, nie szukaj dalej -umów się na spotkanie- oferta na zasadach wyłączności PEŁNA WŁASNOŚĆ Z KW o pow. 51m² • 3 pokoje • ogródek • miejsce postojowe Apartament sprzedawany w stanie deweloperskim z opcją wykończenia ""pod klucz"" zgodnie z załączonymi wizualizacjami lub według wytycznych nabywcy ;-) 51 m² • 3 pokoje • ogród ul. Rodzinna — miejsce, w którym codzienność robi się lżejsza To mieszkanie ma w sobie coś wyjątkowego. Już od wejścia czuć tu świeżość nowej przestrzeni i spokój charakterystyczny dla kameralnych, zielonych zakątków Krakowa. 3-pokojowe 51 m² to idealna propozycja dla kogoś, kto szuka komfortu bez kompromisów — w miejscu, gdzie wszystko jest pod ręką, a jednak życie płynie wolniej. Największym atutem jest prywatny ogród, w którym można złapać oddech po pracy, wypić poranną kawę albo stworzyć swoją małą zieloną oazę. Dlaczego to mieszkanie? funkcjonalny układ 3 pokoi piękne doświetlenie i poczucie przestrzeni prywatny ogród — luksus w mieście stan deweloperski — urządzasz po swojemu lub korzystasz z opcji wykończenia ""pod klucz"" świetna lokalizacja z szybkim dojazdem do centrum Idealne dla par, małych rodzin oraz osób, które po prostu chcą mieszkać pięknie. Patrycja Barczyńska",,,,plastikowe,własność,,50.032574,19.886762
