locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Łódź Śródmieście,ul. dr. Seweryna Sterlinga,5,91,499000,5484,bez pośredników,,11,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-dr-seweryna-sterlinga-5-pokojowe-i9j9i1,https://s2.adresowa.pl/oi/58/23/354bf4_951f_cover@2x-5-pokojowe-mieszkanie-lodz-srodmiescie-ul-dr-seweryna-sterlinga.webp
Łódź Retkinia,al. ks. kard. Stefana Wyszyńskiego,4,64,699999,10937,bez pośredników,,20,https://adresowo.pl/o/mieszkanie-lodz-retkinia-al-ks-kard-stefana-wyszynskiego-4-pokojowe-z5o9l5,https://s2.adresowa.pl/oi/12/31/3f2724_2aa2_cover@2x-4-pokojowe-mieszkanie-lodz-retkinia-al-ks-kard-stefana-wyszynskiego.webp
Łódź,Bałuty,2,37,349000,9432,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-2-pokojowe-37-m2-f2y3s8,https://s2.adresowa.pl/oi/36/37/3f2714_e0b6_cover@2x-2-pokojowe-mieszkanie-lodz-baluty.webp
Łódź Bałuty,ul. Tatarakowa,2,48,389000,8104,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-tatarakowa-2-pokojowe-v9n4x9,https://s2.adresowa.pl/oi/71/13/3f2682_494e_cover@2x-2-pokojowe-mieszkanie-lodz-baluty-ul-tatarakowa.webp
Łódź Retkinia,ul. Wincentego Tomaszewicza 4,2,48,348000,7250,Pośrednik,,8,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-wincentego-tomaszewicza-2-pokojowe-o7j0g7,https://s2.adresowa.pl/oi/1e/67/3f253a_b9ba_cover@2x-2-pokojowe-mieszkanie-lodz-retkinia-ul-wincentego-tomaszewicza.webp
Łódź Śródmieście,ul. Prezydenta Gabriela Narutowicza 56,2,66,645360,9778,Pośrednik,,11,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-prezydenta-gabriela-narutowicza-2-pokojowe-k7m6y0,https://s2.adresowa.pl/oi/48/2d/3f2332_f4df_cover@2x-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-prezydenta-gabriela-narutowicza.webp
Łódź Bałuty,ul. Boya-Żeleńskiego,3,37,345000,9324,bez pośredników,,9,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-boya-zelenskiego-3-pokojowe-s7a9d3,https://s2.adresowa.pl/oi/5a/6c/3f22e8_aeb6_cover@2x-3-pokojowe-mieszkanie-lodz-baluty-ul-boya-zelenskiego.webp
Łódź Śródmieście,ul. Nawrot,3,94,1015000,10798,bez pośredników,,15,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-nawrot-3-pokojowe-i5t5y7,https://s2.adresowa.pl/oi/17/42/3f1de8_8b8a_cover@2x-3-pokojowe-mieszkanie-lodz-srodmiescie-ul-nawrot.webp
Łódź Widzew,ul. Lodowa,1,34,339000,9971,bez pośredników,,19,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-lodowa-1-pokoj-u2z1e3,https://s2.adresowa.pl/oi/62/5f/3f1de2_47d5_cover@2x-1-pokojowe-mieszkanie-lodz-widzew-ul-lodowa.webp
Łódź Chojny,ul. Gładka,2,54,379000,7019,Pośrednik,,16,https://adresowo.pl/o/mieszkanie-lodz-chojny-ul-gladka-2-pokojowe-o9p8h7,https://s2.adresowa.pl/oi/56/75/3f2328_9b53_cover@2x-2-pokojowe-mieszkanie-lodz-chojny-ul-gladka.webp
