locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url,city_district,full_address,floor,year_built,building_type,price_per_sqm_detailed,description_text,has_basement,has_parking,kitchen_type,window_type,ownership_type,equipment,latitude,longitude
Łódź Górna,ul. Świętojańska,2,45,659000,14644,bez pośredników,,11,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-swietojanska-2-pokojowe-f8g7j0,https://s2.adresowa.pl/oi/29/22/4002a4_69ff_cover@2x-2-pokojowe-mieszkanie-lodz-gorna-ul-swietojanska.webp,Łódź Górna,Świętojańska,parter,2022,blok,,"Na sprzedaż wyjątkowe, w pełni wykończone i wyposażone mieszkanie o powierzchni ok. 45 m², położone na parterze nowoczesnego osiedla Port Jastarnia przy ul. Świętojańskiej w Łodzi. Ogromnym atutem nieruchomości jest prywatny ogródek o powierzchni 27,42 m², stanowiący naturalne przedłużenie salonu. To idealne miejsce na wypoczynek, poranną kawę, spotkania z rodziną i przyjaciółmi czy letnie wieczory na świeżym powietrzu. Mieszkanie zostało wykończone w wysokim standardzie, z dużą dbałością o detale. Jest spójne stylistycznie, nowoczesne i nie wymaga żadnych dodatkowych nakładów finansowych — można wprowadzić się od razu. Dodatkowo Do mieszkania przynależą również: ✔ miejsce parkingowe ✔ komórka lokatorska",tak,tak,aneks,plastikowe,własność,,51.72051,19.429176
Łódź Polesie,ul. Lipowa,1,35,289000,8257,bez pośredników,,15,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-lipowa-1-pokoj-m5x5d8,https://s2.adresowa.pl/oi/18/65/406e78_bfee_cover@2x-1-pokojowe-mieszkanie-lodz-polesie-ul-lipowa.webp,Łódź Polesie,Lipowa,parter,1920,kamienica,,"| 34,84 m² | parter | zrewitalizowana kamienica Na sprzedaż komfortowe, w pełni wyremontowane mieszkanie o powierzchni 34,84 m², na parterze zrewitalizowanej kamienicy i jest gotowe do zamieszkania ### MIESZKANIE Na powierzchnię 34,84 m² składają się: * przestronny i ustawny pokój, * oddzielna kuchnia z dużym oknem, * łazienka z WC, * przedpokój. Mieszkanie przeszło generalny remont i zostało wykończone w wysokim standardzie, z dużą dbałością o detale. W lokalu wymieniono m.in. okna na nowoczesne, trzyszybowe. Wnętrza zostały kompleksowo odnowione i utrzymane w spójnej, nowoczesnej stylistyce łączącej naturalne drewno, jasne kolory oraz czarne dodatki. Kuchnia wyposażona jest w zabudowę meblową, ciemny blat oraz sprzęty AGD. Łazienkę wykończono dużymi płytkami, czarną armaturą i elementami w kolorze drewna. Duże, wysokie okna zapewniają dużo naturalnego światła, natomiast charakterystyczna dla kamienicy wysokość pomieszczeń, zwiększa poczucie przestrzeni. ### LOKALIZACJA Blisko ścisłego centrum Łodzi, W najbliższym otoczeniu powstały i nadal powstają nowe budynki apartamentowe, dzięki czemu okolica sukcesywnie się zmienia i zyskuje na atrakcyjności. W pobliżu znajdują się m.in.: * Zielony Rynek (Plac Barlickiego), * ul. Piotrkowska i centrum Łodzi, * uczelnia WAM / Uniwersytet Medyczny, * liczne sklepy, punkty usługowe, restauracje i komunikacja miejska. * do Uniwersytetu Łódzkiego oraz Politechniki Łódzkiej można dotrzeć w około 10–15 minut, co sprawia, że mieszkanie jest ciekawą propozycją również pod wynajem dla studentów i młodych pracowników. ### NAJWAŻNIEJSZE ATUTY * 34,84 m² * Stare Polesie – ul. Lipowa * zrewitalizowana kamienica * mieszkanie po generalnym remoncie * wysoki standard wykończenia * nowe okna trzyszybowe * oddzielna kuchnia * funkcjonalny układ * wysokie pomieszczenia i duże okna * parter * bardzo dobra komunikacja z centrum i łódzkimi uczelniami * otoczenie rozwijającej się zabudowy apartamentowej * mieszkanie gotowe do wprowadzenia * możliwość zakupu z umeblowaniem i wyposażeniem (w zależności od wybranego wariantu wyposażenia cena nieruchomości podlega negocjacji) Mieszkanie świetnie sprawdzi się zarówno do zamieszkania dla jednej osoby lub pary, jak również jako nieruchomość inwestycyjna przeznaczona pod wynajem. CENA: 289 000 zł Opłaty stałe: czynsz w 475zł + internet + energia elektryczna Zapraszam do kontaktu oraz na prezentację mieszkania.",tak,tak,osobna,plastikowe,własność,Wyposażenie: internet,51.767012,19.444778
Łódź Widzew,ul. Zbiorcza,2,43,408000,9488,bez pośredników,,14,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-zbiorcza-2-pokojowe-q5r6p7,https://s2.adresowa.pl/oi/6f/5c/406e4c_60e7_cover@2x-2-pokojowe-mieszkanie-lodz-widzew-ul-zbiorcza.webp,Łódź Widzew,Zbiorcza,1,1965,blok,,"Na sprzedaż funkcjonalne, jasne i czyste 2 pokojowe mieszkanie o powierzchni 43 m², zlokalizowane na 1. piętrze w doskonałym punkcie Łodzi – przy ul. Zbiorczej (Stary Widzew). Cena: 408 000 zł (do rozsądnej negocjacji). Mieszkanie sprzedawane jest bezpośrednio od właściciela: brak jakichkolwiek prowizji i dodatkowych opłat dla biur nieruchomości! Mieszkanie jest w 100% gotowe do zamieszkania od zaraz, bardzo zadbane i czyste. Wszystkie instalacje i sprzęty działają bez zarzutu. Olbrzymim atutem wnętrza jest drewniany parkiet, który nadaje pokojom wyjątkowy charakter. Idealne dla studenta / pod wynajem: Doskonały, bezpośredni dojazd komunikacją miejską do najważniejszych łódzkich uczelni (Uniwersytet Łódzki, Politechnika, UMED). Mieszkanie sprzedaję z PEŁNYM WYPOSAŻENIEM (wszystkie meble i sprzęty RTV/AGD widoczne na zdjęciach w cenie lokalu). Rozkład, meble i sprzęt w cenie: Salon (ok. 18 m²): Bardzo ustawny i słoneczny. W cenie duży narożnik, stół, telewizor oraz bardzo pojemna szafa w zabudowie, która gwarantuje mnóstwo wolnej przestrzeni. Sypialnia (11 m²): Wyposażona w duże łóżko z szufladami na pościel oraz nowoczesną szafę przesuwną o szerokości aż 2 metrów (z kapitalną organizacją półek i szuflad). Na drugiej ścianie znajdują się dodatkowe, bardzo pojemne szafki i regały. Bezpieczeństwo: W mieszkaniu zamontowany jest średni sejf atestowany w klasie S1 (idealny na dokumenty czy kosztowności). Oddzielna kuchnia z oknem: W pełni funkcjonalna zabudowa, w której mieszczą się: nowoczesna lodówka, zmywarka, pralka, kuchenka gazowa oraz piekarnik. Łazienka z WC: Schludna, wykończona ciemnymi płytkami, wyposażona w wannę oraz umywalkę nablatową, z dużym lustrem. Wszystko jest w pełni sprawne i idealnie czyste. Przedpokój/ganek: Zapewniający wygodną komunikację. Okolica i lokalizacja – Zielono i ""wszędzie blisko"": Mieszkanie znajduje się przy Skrzyżowaniu Marszałków. Mimo bliskości tak ważnego węzła komunikacyjnego, sama okolica bloku jest bardzo cicha i tonie w gęstej zieleni, co zapewnia wyjątkowy komfort psychiczny. Park: Tylko 1 minuta pieszo do pięknego Parku nad Jasieniem. Komunikacja: Zaledwie 4 minuty do kluczowych linii tramwajowych i autobusowych przy al. Piłsudskiego (błyskawiczny dojazd do Piotrkowskiej, Monopolis czy dworca Łódź Fabryczna). Zakupy: Pierwsza Żabka – 1 minuta, druga Żabka – 3 minuty. Market Stokrotka oraz Poczta przy ul. Zbiorczej – 5 minut pieszo. Duży hipermarket Auchan – 11 minut spacerem. Paczki: Automat Allegro OneBox znajduje się bezpośrednio przy boku budynku. Mieszkanie idealne dla pary, singla lub jako bezpieczna, gotowa lokata kapitału pod natychmiastowy wynajem (brak konieczności inwestowania w meble czy AGD). Zapraszam serdecznie do kontaktu telefonicznego i obejrzenia nieruchomości na żywo! Biurom nieruchomości i pośrednikom bardzo dziękuję – ogłoszenie wyłącznie bezpośrednie.",tak,,osobna,plastikowe,spółdzielcze własnościowe,"Wyposażenie: kuchenka, lodówka, piekarnik, pralka, telewizor, tv, zmywarka",51.760445,19.494797
Łódź Górna,ul. Konstantego Ildefonsa Gałczyńskiego,2,45,425000,9444,bez pośredników,,15,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-konstantego-ildefonsa-galczynskiego-2-pokojowe-e2l5t9,https://s2.adresowa.pl/oi/5f/7d/406e20_c5c7_cover@2x-2-pokojowe-mieszkanie-lodz-gorna-ul-konstantego-ildefonsa-galczynskiego.webp,Łódź Górna,Konstantego Ildefonsa Gałczyńskiego,1,1965,blok,,"Sprzedam mieszkanie na pierwszym piętrze w bloku z lat 60-tych. Powierzchnia wynosi 45 m². Mieszkanie jest do zamieszkania i wyposażone w lodówkę, kuchenkę oraz meble. Posiada balkon oraz piwnicę, co zwiększa komfort użytkowania. Lokalizacja w dzielnicy Górna, w Łodzi, zapewnia dogodny dostęp do wielu punktów usługowych. W pobliżu znajdziesz: sklepy spożywcze (np. Żabka, Społem) przedszkola i szkoły podstawowe parki (np. Skwer im. Świętego Maksymiliana Marii Kolbego) przychodnie i apteki przystanki komunikacji miejskiej Dzięki miejskim mediom, takim jak ogrzewanie, komfort życia jest na wysokim poziomie. To idealne miejsce dla osób szukających spokoju, a jednocześnie bliskości do miejskiego życia. Zapraszam do kontaktu!",tak,,osobna,plastikowe,własność,"Wyposażenie: kuchenkę, lodówkę",51.731371,19.491618
Łódź Polesie,ul. Walerego Wróblewskiego 71A,2,37,242242,6547,Pośrednik,,9,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-walerego-wroblewskiego-2-pokojowe-b7h1h1,https://s2.adresowa.pl/oi/38/43/406e86_8759_cover@2x-2-pokojowe-mieszkanie-lodz-polesie-ul-walerego-wroblewskiego.webp,Łódź Polesie,Walerego Wróblewskiego 71A,parter,1967,blok,,"Inwestycyjna okazja blisko Politechniki Łódzkiej idealna pod wynajem lub jako pierwsze mieszkanie. Mieszkanie o powierzchni 37,6 m² zlokalizowane jest przy ul. Wróblewskiego 71A w Łodzi, na parterze czteropiętrowego budynku z 1967 roku bez windy. Lokal składa się z dwóch pokoi przechodnich, zamkniętej kuchni z oknem oraz łazienki, a przynależy do niego piwnica. Parking dla mieszkańców znajduje się na ogólnodostępnym terenie pod budynkiem. Charakterystyka lokalu Mieszkanie posiada stan prawny pełnej własności i przeznaczone jest do przeprowadzenia remontu, co stwarza szerokie możliwości własnej aranżacji wnętrza. W lokalu zamontowano okna PCV, a podłoga zachowana jest w zadbanym stanie. Układ pomieszczeń obejmuje dwa przechodnie pokoje oraz osobną, jasną kuchnię z oknem. Miesięczne opłaty eksploatacyjne (czynsz administracyjny) wynoszą 634 zł. Mieszkańcy mogą korzystać z miejsc postojowych dostępnych na parkingu ogólnodostępnym przed budynkiem. Ekspozycja okien na zachód. Charakterystyka budynku Czteropiętrowy budynek wzniesiono w 1967 roku w technologii tradycyjnej z cegły. Obiekt znajduje się w dobrym stanie technicznym . Lokalizacja i otoczenie Nieruchomość wyróżnia doskonała komunikacja oraz sąsiedztwo uczelni wyższych, co czyni ją atrakcyjną propozycją inwestycyjną blisko Politechniki. Najbliższy przystanek komunikacji miejskiej oddalony jest o zaledwie 120 m od budynku. W bezpośrednim sąsiedztwie znajduje się bogata infrastruktura handlowo-usługowa oraz edukacyjna: sklep spożywczy (300 m), przedszkole (500 m), szkoła podstawowa (700 m) oraz market Carrefour (700 m). W odległości 1,5 km położony jest Park Zdrowie, zapewniający zaplecze rekreacyjne. Prezentowana nieruchomość stanowi bardzo dobrą propozycję zakupu pod wynajem z uwagi na doskonałą komunikację i bliskość Politechniki Łódzkiej, a także dla osób starszych, które cenią sobie mieszkanie na parterze. Zadzwoń i umów się na prezentację ! Natalia Kowalczyk Grupa Stryjewscy Nieruchomości i Finanse tel. [numer] Sprzedaż tej nieruchomości prowadzona jest w formule otwartego ofertowania. Po obejrzeniu nieruchomości zapraszamy do złożenia własnej propozycji zakupu. Cena podana w ogłoszeniu ma charakter techniczny i została wskazana wyłącznie na potrzeby publikacji oferty. Nie stanowi ceny ofertowej ani minimalnej. Organizujemy formalności niezbędne do uzyskania kredytu hipotecznego który pozwoli Ci sfinalizować zakup wymarzonej nieruchomości. Rzut lokalu służy wyłącznie celom poglądowo-orientacyjnym i nie stanowi podstawy do wykonywania na nim prac architektoniczno-budowlanych. Powyższa oferta ma charakter informacyjny i nie stanowi oferty handlowej w rozumieniu Art.66 par.1 Kodeksu Cywilnego. Opis nieruchomości został sporządzony na podstawie informacji uzyskanych od właściciela i może być aktualizowany.",,,,,własność,,51.75057,19.423148
Łódź,ul. gen. Jarosława Dąbrowskiego,2,38,290000,7632,Pośrednik,,11,https://adresowo.pl/o/mieszkanie-lodz-ul-gen-jaroslawa-dabrowskiego-2-pokojowe-z4e0g2,https://s2.adresowa.pl/oi/29/18/406e82_e2f8_cover@2x-2-pokojowe-mieszkanie-lodz-ul-gen-jaroslawa-dabrowskiego.webp,Łódź ,gen. Jarosława Dąbrowskiego,7,1970,blok,,"2 pokoje | 38 m² | balkon | parking dla mieszkańców Na sprzedaż 2-pokojowe mieszkanie o powierzchni 38 m², położone przy ul. Dąbrowskiego w Łodzi. To bardzo dobra propozycja zarówno dla osób szukających swojego pierwszego mieszkania, jak i dla inwestora planującego zakup lokalu pod wynajem. Mieszkanie jest odświeżone i gotowe do wprowadzenia. Składa się z dwóch pokoi, osobnej kuchni, łazienki oraz przedpokoju. Dodatkowym atutem są balkon i widok, jaki oferuje. Wschodnia i zachodnia ekspozycja okien zapewnia dobre doświetlenie mieszkania przez cały dzień. Budynek jest bardzo dobrze utrzymany, po termomodernizacji, wyposażony w windę, monitoring i domofon. Do dyspozycji mieszkańców pozostaje parking za szlabanem. W mieszkaniu wymieniono instalację elektryczną oraz piony wodno-kanalizacyjne. Dużym plusem lokalu jest również brak podzielników ciepła oraz niski czynsz. Lokalizacja to kolejny mocny punkt nieruchomości – w najbliższej okolicy znajdują się liczne sklepy, punkty usługowe i tereny zielone, a także duże centrum handlowe. Przystanki tramwajowe i autobusowe znajdują się bardzo blisko, zapewniając wygodny dojazd do innych części miasta. To mieszkanie, które warto zobaczyć na żywo – dobry układ i świetna lokalizacja sprawiają, że jest to bardzo ciekawa propozycja zarówno na start, jak i jako inwestycja pod wynajem Zapraszamy do kontaktu w celu uzyskania szczegółów, umówienia prezentacji oraz poznania wszystkich aspektów nieruchomości. Grzegorz Gronkowski",,,,,spółdzielcze własnościowe,,51.734314,19.530222
Łódź Górna,ul. Senatorska,2,43,zapytaj,,bez pośredników,,15,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-senatorska-2-pokojowe-k8b6j8,https://s2.adresowa.pl/oi/21/65/406d42_9c15_cover@2x-2-pokojowe-mieszkanie-lodz-gorna-ul-senatorska.webp,Łódź Górna,Senatorska,2,2020,apartamentowiec,,"# 2-pokojowe mieszkanie w wysokim standardzie | Recanto | ul. Senatorska 50 | Łódź Na sprzedaż **2-pokojowe mieszkanie o powierzchni 43,68 m²**, położone na nowoczesnym osiedlu **Recanto przy ul. Senatorskiej 50 w Łodzi**. Mieszkanie zostało wykończone z dużą dbałością o jakość, funkcjonalność i spójność wnętrza. Zastosowano starannie dobrane materiały oraz rozwiązania, które zapewniają komfort codziennego użytkowania. **Mieszkanie nigdy nie było wynajmowane** – od początku było użytkowane prywatnie. To propozycja dla osób, które szukają **estetycznie wykończonego mieszkania gotowego do zamieszkania – bez konieczności przeprowadzania remontu czy dodatkowych prac wykończeniowych**. ## UKŁAD I POWIERZCHNIA Mieszkanie składa się z: * **salonu z aneksem kuchennym – 24,75 m²** * **sypialni – 10,31 m²** * **łazienki – 4,44 m²** * **holu – 4,18 m²** * **balkonu – 3,75 m²** Łączna powierzchnia użytkowa mieszkania wynosi **43,68 m²**, a dodatkowym atutem jest balkon o powierzchni **3,75 m²**. Funkcjonalny układ pozwala na wygodne wykorzystanie przestrzeni – przestronny salon z aneksem kuchennym stanowi serce mieszkania, natomiast oddzielna sypialnia zapewnia prywatność i komfort. ## WYSOKI STANDARD WYKOŃCZENIA Mieszkanie zostało wykończone przy użyciu wysokiej jakości materiałów i wyposażenia. Na szczególną uwagę zasługują: * wysokiej jakości **gres renomowanych producentów, m.in. Tubądzin / Paradyż / Stargres**, * **wodoodporne panele Quick-Step**, * eleganckie **drzwi bezprzylgowe Porta** z powłoką UV oraz podwyższonymi parametrami akustycznymi, * **moskitiery**, * wysokiej jakości farby, * zabudowy wykonane **na wymiar**, * pojemna szafa w holu, * funkcjonalna zabudowa szaf w sypialni, * łazienka wykończona w nowoczesnym stylu z **wanną wolnostojącą**, * estetycznie wykończony balkon. W sypialni znajduje się również **łóżko z wysokiej klasy materacem**, stelażem oraz praktycznym pojemnikiem na pościel. Dodatkowym elementem podkreślającym charakter wnętrza jest **sufit podwieszany w salonie**. Całość została zaprojektowana jako spójne i funkcjonalne wnętrze, dzięki czemu mieszkanie jest **gotowe do zamieszkania**. ## MIEJSCE POSTOJOWE NA ZAMKNIĘTYM OSIEDLU Do mieszkania przynależy **naziemne miejsce postojowe zlokalizowane na zamkniętym terenie osiedla**. To duży atut dla osób korzystających z samochodu – miejsce znajduje się bezpośrednio na terenie osiedla, dzięki czemu nie ma konieczności codziennego poszukiwania wolnego miejsca parkingowego w okolicy. Zamknięty charakter osiedla zapewnia również większy komfort i poczucie bezpieczeństwa. **Cena miejsca postojowego: 30 000 zł – dodatkowo, poza ceną mieszkania.** ## KOMÓRKA LOKATORSKA Istnieje również **możliwość dokupienia lub wynajęcia komórki lokatorskiej**, co pozwala dodatkowo zwiększyć przestrzeń do przechowywania rzeczy. ## PRZEMYŚLANE WNĘTRZE Mieszkanie zostało urządzone z myślą o połączeniu estetyki z praktycznością. Zabudowy wykonane na wymiar pozwalają maksymalnie wykorzystać dostępną przestrzeń i zapewniają dużą ilość miejsca do przechowywania. Zastosowanie drzwi bezprzylgowych, spójnej kolorystyki oraz wysokiej jakości materiałów nadaje wnętrzu nowoczesny i elegancki charakter. **Mieszkanie nigdy nie było przedmiotem najmu**, dzięki czemu nie było eksploatowane przez kolejnych lokatorów. Jest zadbane i przygotowane do zamieszkania przez nowych właścicieli. ## DOSKONAŁA LOKALIZACJA – BLISKO CENTRUM, KSIĘŻEGO MŁYNA I FUZJI Mieszkanie znajduje się na nowoczesnym osiedlu **Recanto przy ul. Senatorskiej 50**, w jednej z ciekawszych i dynamicznie rozwijających się części Łodzi. Dużym atutem lokalizacji jest **bliskość Księżego Młyna** – wyjątkowego, historycznego kompleksu z charakterystyczną zabudową, terenami spacerowymi, restauracjami i klimatycznymi przestrzeniami miejskimi. W niedalekim sąsiedztwie znajduje się również **Fuzja** – nowoczesny kompleks łączący funkcje mieszkaniowe, gastronomiczne, usługowe i kulturalne. To miejsce idealne na spacer, spotkanie ze znajomymi, kolację czy spędzenie wolnego czasu. W okolicy dostępna jest pełna infrastruktura potrzebna do codziennego życia: * **Biedronka i Lidl**, * sklepy spożywcze i punkty usługowe, * restauracje, kawiarnie i piekarnie, * apteki, * przedszkola i szkoły, * tereny rekreacyjne i zielone, * **Park im. Jana Kilińskiego**, * **Park Reymonta**, * **Park Źródliska**, * przystanki komunikacji miejskiej. Dodatkowym atutem jest **bliskość ul. Piotrkowskiej**, a także łatwy dostęp do Galerii Łódzkiej, Multikina i pozostałej infrastruktury centrum miasta. Lokalizacja łączy więc kilka istotnych zalet – **nowoczesne osiedle, bliskość centrum, dostęp do terenów zielonych oraz sąsiedztwo wyjątkowych miejsc takich jak Księży Młyn i Fuzja**. ## NAJWAŻNIEJSZE ATUTY * **43,68 m² powierzchni użytkowej** * **2 pokoje** * salon z aneksem kuchennym **24,75 m²** * sypialnia **10,31 m²** * balkon **3,75 m²** * nowoczesne osiedle **Recanto** * **zamknięte osiedle** * **naziemne miejsce postojowe** – 30 000 zł dodatkowo * możliwość **dokupienia lub wynajęcia komórki lokatorskiej** * mieszkanie **nigdy nie było wynajmowane** * wysoki standard wykończenia * gres renomowanych producentów * panele **Quick-Step** * drzwi bezprzylgowe **Porta** * moskitiery * zabudowy wykonane na wymiar * łazienka z **wanną wolnostojącą** * łóżko z wysokiej klasy materacem * funkcjonalny układ pomieszczeń * mieszkanie **gotowe do zamieszkania** * świetna lokalizacja w pobliżu **Księżego Młyna i Fuzji** **Mieszkanie dla osób, które cenią nowoczesne wnętrza, wysoką jakość wykończenia, prywatność oraz świetną lokalizację – blisko centrum, terenów rekreacyjnych, Księżego Młyna i Fuzji.** Zapraszam do kontaktu oraz na prezentację mieszkania. --- **INFORMACJA:** Ogłoszenie jest **prywatne**. **Pośrednikom nieruchomości dziękuję – proszę o niekontaktowanie się w sprawie współpracy.**",tak,tak,aneks,plastikowe,własność,,51.748661,19.477632
Łódź Górna,ul. Antoniego Wiwulskiego 13A,1,37,299999,8108,bez pośredników,,10,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-antoniego-wiwulskiego-1-pokoj-k9x4w7,https://s2.adresowa.pl/oi/1d/21/406d36_a5af_cover@2x-1-pokojowe-mieszkanie-lodz-gorna-ul-antoniego-wiwulskiego.webp,Łódź Górna,Antoniego Wiwulskiego 13A,3,1965,blok,,"Na sprzedaż przestronna kawalerka o powierzchni 37,60 m², położona na trzecim piętrze w bloku wielorodzinnym trzypiętrowym wybudowanym z cegły w latach 60 -tych. Mieszkanie zlokalizowane w spokojnej i dobrze skomunikowanej części Łodzi, ul. Wiwulskiego 13a , w odległości 250 metrów od Szpitala im Kopernika oraz 2,5 km do Politechniki Łódzkiej. Mieszkanie składa się z: dobrze doświetlonego dużego pokoju z wnęką, w której znajduje się szafa w zabudowie , przestronnej i widnej kuchni, łazienki i oddzielnej toalety, ustawnego, szerokiego korytarza z dużą szafą w zabudowie. Do mieszkania przynależy również duża komórka lokatorska o powierzchni ok. 5 m², co stanowi dodatkowy atut i zapewnia wygodne miejsce do przechowywania. Lokal jest jasny i funkcjonalny idealny zarówno dla jednego domownika, pary, jak i inwestycja pod wynajem. Budynek z cegły gwarantuje dobrą izolację akustyczną i cieplną. W budynku wszystkie media na czele z bardzo wydajnym ogrzewaniem z sieci miejskiej, czynsz dla jednej osoby na poziomie 500 zł. Świetna lokalizacja w pobliżu sklepy, komunikacja miejska, punkty usługowe oraz szybki dojazd do centrum miasta. Mieszkanie po gruntownym remoncie w 2026 : świeże podłogi drewniane ,ściany, sufity drzwi i okna. Niniejsza prezentacja oferty nie jest ofertą w rozumieniu Kodeksu Cywilnego i ma charakter wyłącznie informacyjny. Sprzedaż bezpośrednia, podziękuję za współpracę agencją obrotu nieruchomości :-)",tak,,osobna,plastikowe,własność,,51.728482,19.455073
Łódź,Widzew,2,42,530000,12619,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-lodz-widzew-2-pokojowe-42-m2-o0l6u0,https://s2.adresowa.pl/oi/1f/47/406b14_3ee8_cover@2x-2-pokojowe-mieszkanie-lodz-widzew.webp,Łódź Widzew,,parter,,blok,,"Dzień dobry, Na sprzedaż mieszkanie ~42mk na osiedlu Zenit, dzielnica Widzew. Osiedle jest świetnie skomunikowane zarówno z centrum Łodzi (15 min. tramwajem), jak i dworcem Łódź Widzew. W pobliżu jest cała infrastruktura umożliwiająca komfortowe zamieszkanie. Mieszkanie składa się z: - sypialnia - ~12mk - salon z aneksem kuchennym - ~24mk - łazienka - ~6mk - ogródek - 23,4mk Kuchnia jest w pełnej zabudowie i wyposażona we wszystkie niezbędne sprzęty AGD (również zmywarka i mikrofala). W łazience na jednej ścianie jest bardzo pojemna szafa z pralką i koszem na pranie. W salonie jest wyprowadzone miejsce na telewizor (peszel schowany w ścianie plus kołki w standardowym rozstawie). Do mieszkania przynależy ogródek z widokiem na patio. Ogródek jest ogrodzony i posiada furtkę zamykaną na kłódkę. Mieszkanie w stanie do wprowadzenia. Cena 530 000 zł do negocjacji.",,,aneks,,,"Wyposażenie: telewizor, zmywarka",51.75996,19.523001
Łódź Widzew,ul. Nowa 52,2,62,450000,7258,Pośrednik,,15,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-nowa-2-pokojowe-v2w1w8,https://s2.adresowa.pl/oi/45/46/406e7a_90c3_cover@2x-2-pokojowe-mieszkanie-lodz-widzew-ul-nowa.webp,Łódź Widzew,Nowa 52,2,1960,blok,,"Łódź, ul. Nowa 52 – Stary Widzew. – 62 m² – 2 niezależne pokoje – duża, oddzielna kuchnia – 2. piętro w 3-piętrowym budynku – mieszkanie sprzedawane z meblami i sprzętem AGD – gotowe do zamieszkania – miejsca parkingowe znajdują się na wewnętrznym terenie posesji. Orientacyjna miesięczna rata kredytu hipotecznego – 2 900 zł BEZ WKŁADU WŁASNEGO Mieszkanie ma aż 62 m² przy dwóch pokojach, dzięki czemu oferuje znacznie więcej przestrzeni niż większość standardowych mieszkań 2-pokojowych. Kuchnia jest wyposażona w meble i sprzęt AGD, a w pokojach zachowano drewniany parkiet. Dodatkowym atutem jest lokalizacja. W pobliżu znajdują się al. Piłsudskiego oraz al. Śmigłego-Rydza. Okolica zapewnia dogodny dojazd do centrum miasta, a sklepy, punkty usługowe i cała niezbędna infrastruktura są dostępne w zasięgu krótkiego spaceru. (Najemcy na to mieszkanie znajdowali się zawsze już w dniu publikacji ogłoszenia. Mieszkanie cieszy się dużym zainteresowaniem ze względu na atrakcyjną lokalizację.) Cena: 450 000 zł Alona Kalytiuk",tak,,osobna,plastikowe,spółdzielcze własnościowe,,51.761711,19.483601
