locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Lublin LSM,ul. Pana Balcera 1,1,24,287500,11979,bez pośredników,,15,https://adresowo.pl/o/mieszkanie-lublin-lsm-ul-pana-balcera-1-pokoj-p9x5p3,https://s2.adresowa.pl/oi/50/4e/3f5fd4_2f7d_cover@2x-1-pokojowe-mieszkanie-lublin-lsm-ul-pana-balcera.webp
Lublin Kalinowszczyzna,ul. Wojciecha Kiwerskiego,4,72,655000,9097,bez pośredników,,12,https://adresowo.pl/o/mieszkanie-lublin-kalinowszczyzna-ul-wojciecha-kiwerskiego-4-pokojowe-c8b2z2,https://s2.adresowa.pl/oi/70/11/3fc638_85e8_cover@2x-4-pokojowe-mieszkanie-lublin-kalinowszczyzna-ul-wojciecha-kiwerskiego.webp
Lublin Czuby,ul. Nadbystrzycka,1,34,380000,11176,bez pośredników,,10,https://adresowo.pl/o/mieszkanie-lublin-czuby-ul-nadbystrzycka-1-pokoj-w6f3k2,https://s2.adresowa.pl/oi/4e/11/3fc628_c63f_cover@2x-1-pokojowe-mieszkanie-lublin-czuby-ul-nadbystrzycka.webp
Lublin Czuby,ul. Bursztynowa,3,60,670000,11167,bez pośredników,,10,https://adresowo.pl/o/mieszkanie-lublin-czuby-ul-bursztynowa-3-pokojowe-o1i8q5,https://s2.adresowa.pl/oi/11/5b/3fc572_c9ed_cover@2x-3-pokojowe-mieszkanie-lublin-czuby-ul-bursztynowa.webp
Lublin,ul. Łabędzia,3,46,530000,11522,Pośrednik,,12,https://adresowo.pl/o/mieszkanie-lublin-ul-labedzia-3-pokojowe-d8f1e3,https://s2.adresowa.pl/oi/64/7c/3fc138_637b_cover@2x-3-pokojowe-mieszkanie-lublin-ul-labedzia.webp
Lublin Węglin,ul. Wróbla,2,47,649777,13825,Pośrednik,,16,https://adresowo.pl/o/mieszkanie-lublin-weglin-ul-wrobla-2-pokojowe-k8a3e3,https://s2.adresowa.pl/oi/63/2e/3fbef8_8dc2_cover@2x-2-pokojowe-mieszkanie-lublin-weglin-ul-wrobla.webp
Lublin Bronowice,ul. Droga Męczenników Majdanka,2,52,395000,7596,bez pośredników,,1,https://adresowo.pl/o/mieszkanie-lublin-bronowice-ul-droga-meczennikow-majdanka-2-pokojowe-b0y6t6,https://s2.adresowa.pl/oi/43/6e/3fc4e0_9fef_cover@2x-2-pokojowe-mieszkanie-lublin-bronowice-ul-droga-meczennikow-majdanka.webp
Lublin LSM,ul. Kaliska,3,48,489000,10188,bez pośredników,,7,https://adresowo.pl/o/mieszkanie-lublin-lsm-ul-kaliska-3-pokojowe-y5w1w2,https://s2.adresowa.pl/oi/24/18/3fc208_c0b0_cover@2x-3-pokojowe-mieszkanie-lublin-lsm-ul-kaliska.webp
Lublin Wrotków,ul. Ks. Wincentego Granata,2,41,590000,14390,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-lublin-wrotkow-ul-ks-wincentego-granata-2-pokojowe-l6v5h4,https://s2.adresowa.pl/oi/3a/57/3fc178_fd6e_cover@2x-2-pokojowe-mieszkanie-lublin-wrotkow-ul-ks-wincentego-granata.webp
Lublin LSM,ul. Skrzatów,4,57,639000,11211,Pośrednik,,12,https://adresowo.pl/o/mieszkanie-lublin-lsm-ul-skrzatow-4-pokojowe-v1x2z9,https://s2.adresowa.pl/oi/4f/13/3fbef4_60c7_cover@2x-4-pokojowe-mieszkanie-lublin-lsm-ul-skrzatow.webp
Lublin Wieniawa,ul. ks. Jerzego Popiełuszki,2,36,365000,10139,Pośrednik,,7,https://adresowo.pl/o/mieszkanie-lublin-wieniawa-ul-ks-jerzego-popieluszki-2-pokojowe-w8q1h9,https://s2.adresowa.pl/oi/1d/2d/3fa7fe_b342_cover@2x-2-pokojowe-mieszkanie-lublin-wieniawa-ul-ks-jerzego-popieluszki.webp
Lublin Helenów,ul. Nałęczowska,2,49,651700,13300,bez pośredników,,4,https://adresowo.pl/o/mieszkanie-lublin-helenow-ul-naleczowska-2-pokojowe-g8u5z1,https://s2.adresowa.pl/oi/71/5c/3fc0c2_bf2e_cover@2x-2-pokojowe-mieszkanie-lublin-helenow-ul-naleczowska.webp
Lublin,ul. Wrońska,3,57,719000,12614,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-lublin-ul-wronska-3-pokojowe-s4f2l8,https://s2.adresowa.pl/oi/69/72/3fc012_523d_cover@2x-3-pokojowe-mieszkanie-lublin-ul-wronska.webp
Lublin Wieniawa,ul. Snopkowska,1,27,320000,11852,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-lublin-wieniawa-ul-snopkowska-1-pokoj-r6s3c9,https://s2.adresowa.pl/oi/25/23/3fbf30_84f3_cover@2x-1-pokojowe-mieszkanie-lublin-wieniawa-ul-snopkowska.webp
Lublin,Sławin,3,51,560805,10996,Pośrednik,,5,https://adresowo.pl/o/mieszkanie-lublin-slawin-3-pokojowe-51-m2-g4m4h7,https://s2.adresowa.pl/oi/3c/41/3fa370_7e7d_cover@2x-3-pokojowe-mieszkanie-lublin-slawin.webp
Lublin,ul. Marii Curie-Skłodowskiej,3,87,910000,10460,Pośrednik,,36,https://adresowo.pl/o/mieszkanie-lublin-ul-marii-curie-sklodowskiej-3-pokojowe-a3z6b8,https://s2.adresowa.pl/oi/51/7d/3f9f24_ec62_cover@2x-3-pokojowe-mieszkanie-lublin-ul-marii-curie-sklodowskiej.webp
Lublin,ul. Lipowa,2,44,480000,10909,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-lublin-ul-lipowa-2-pokojowe-y1f8o1,https://s2.adresowa.pl/oi/73/7a/3fbb40_f2fb_cover@2x-2-pokojowe-mieszkanie-lublin-ul-lipowa.webp
Lublin Węglin,ul. Jaspisowa,4,91,910000,10000,bez pośredników,,20,https://adresowo.pl/o/mieszkanie-lublin-weglin-ul-jaspisowa-4-pokojowe-u1v2n6,https://s2.adresowa.pl/oi/2e/47/3fbac8_6f77_cover@2x-4-pokojowe-mieszkanie-lublin-weglin-ul-jaspisowa.webp
Lublin,ul. Szczytowa,1,32,450000,14062,bez pośredników,,6,https://adresowo.pl/o/mieszkanie-lublin-ul-szczytowa-1-pokoj-x4t2f3,https://s2.adresowa.pl/oi/4f/49/3fb9b6_8591_cover@2x-1-pokojowe-mieszkanie-lublin-ul-szczytowa.webp
Lublin,ul. Rubinowa,4,55,490000,8909,Pośrednik,,20,https://adresowo.pl/o/mieszkanie-lublin-ul-rubinowa-4-pokojowe-x5o0k6,https://s2.adresowa.pl/oi/1f/70/3f938a_90e1_cover@2x-4-pokojowe-mieszkanie-lublin-ul-rubinowa.webp
Lublin Rury Brygidkowskie,ul. Nałęczowska,2,52,715230,13754,Pośrednik,,11,https://adresowo.pl/o/mieszkanie-lublin-rury-brygidkowskie-ul-naleczowska-2-pokojowe-z1p7j0,https://s2.adresowa.pl/oi/4c/6c/3f8fec_fa43_cover@2x-2-pokojowe-mieszkanie-lublin-rury-brygidkowskie-ul-naleczowska.webp
Lublin Czuby,ul. Agatowa,2,49,487000,9939,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-lublin-czuby-ul-agatowa-2-pokojowe-u1m9r7,https://s2.adresowa.pl/oi/3e/7a/3fb922_c4c5_cover@2x-2-pokojowe-mieszkanie-lublin-czuby-ul-agatowa.webp
Lublin,ul. Hetmańska,2,47,698500,14862,bez pośredników,,12,https://adresowo.pl/o/mieszkanie-lublin-ul-hetmanska-2-pokojowe-p7x8w8,https://s2.adresowa.pl/oi/20/60/3fb77c_c341_cover@2x-2-pokojowe-mieszkanie-lublin-ul-hetmanska.webp
Lublin,ul. Niepodległości,2,32,339000,10594,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-lublin-ul-niepodleglosci-2-pokojowe-y6k9k6,https://s2.adresowa.pl/oi/23/43/3fb5dc_efd2_cover@2x-2-pokojowe-mieszkanie-lublin-ul-niepodleglosci.webp
Lublin,ul. Majdan Tatarski 6,2,52,480000,9231,Pośrednik,,27,https://adresowo.pl/o/mieszkanie-lublin-ul-majdan-tatarski-2-pokojowe-r0v0s4,https://s2.adresowa.pl/oi/23/66/3f8e5c_c0ac_cover@2x-2-pokojowe-mieszkanie-lublin-ul-majdan-tatarski.webp
Lublin,ul. Altanowa 6,2,48,189000,3938,Pośrednik,,24,https://adresowo.pl/o/mieszkanie-lublin-ul-altanowa-2-pokojowe-v1c5y3,https://s2.adresowa.pl/oi/5a/2f/3f8874_651a_cover@2x-2-pokojowe-mieszkanie-lublin-ul-altanowa.webp
Lublin Węglin,ul. Gęsia,3,52,660000,12692,bez pośredników,,17,https://adresowo.pl/o/mieszkanie-lublin-weglin-ul-gesia-3-pokojowe-t4p5i9,https://s2.adresowa.pl/oi/15/2e/3fb440_4e1e_cover@2x-3-pokojowe-mieszkanie-lublin-weglin-ul-gesia.webp
Lublin Węglinek,ul. Jemiołuszki,2,32,445000,13906,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-lublin-weglinek-ul-jemioluszki-2-pokojowe-t3v4z5,https://s2.adresowa.pl/oi/29/28/3fb3d0_30e4_cover@2x-2-pokojowe-mieszkanie-lublin-weglinek-ul-jemioluszki.webp
