locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url,city_district,full_address,floor,year_built,building_type,price_per_sqm_detailed,description_text,has_basement,has_parking,kitchen_type,window_type,ownership_type,equipment,latitude,longitude
Lublin LSM,ul. Pana Balcera 1,1,24,287500,11979.0,bez pośredników,,15,https://adresowo.pl/o/mieszkanie-lublin-lsm-ul-pana-balcera-1-pokoj-p9x5p3,https://s2.adresowa.pl/oi/50/4e/3f5fd4_2f7d_cover@2x-1-pokojowe-mieszkanie-lublin-lsm-ul-pana-balcera.webp,Lublin LSM,Pana Balcera 1,11,2006.0,blok,,"24m2 kawalerka w pełni umeblowana i wyposażona, z widnym aneksem kuchennym i łazienką. • LOKALIZACJA: Tuż obok Centrum Biznesowego Zana i Miasteczka Akademickiego (UMCS, UP, KUL, PL) – idealne pod wynajem. DUŻY PARKING STRZEŻONY BEZPOŚREDNIO POD BLOKIEM! • PEŁNA INFRASTRUKTURA: , a w zasięgu 300 metrów: sklepy, restauracje i centra handlowe, usługi, komunikacja, rekreacja. • PRYWATNOŚĆ CISZA I WIDOK: 11. piętro (ostatnie) gwarantuje brak sąsiadów ""zaglądających w okna"" oraz spektakularną panoramę Lublina MIESZKANIE JEST GOTOWE DO WPROWADZENIA OD ZARAZ (uregulowany stan prawny, pełna dokumentacja) Budynek po termomodernizacji, z odnowionymi, czystymi klatkami i bezawaryjnymi windami. LOKALIZACJA ZAKUPY USŁUGI I KOMUNIKACJA: • Logistyka: 3-4 minuty pieszo do przystanków Zana/Filaretów (dojazd w każdy punkt miasta w 15 min). • Zakupy i usługi: Biedronka, Stokrotka, Rossmann, Leclerc, Galeria Zana, banki, restauracje (w tym również food hall), apteki i paczkomaty w zasięgu ręki • Relaks: Z tyłu budynku zielone wąwozy, starodrzew i ścieżki rowerowe prowadzące nad Zalew Zemborzycki. Tuż obok Centrum ""Globus"" DLA KOGO? Idealne dla studenta, singla lub jako bezpieczna lokata kapitału pod wynajem długoterminowy. Unikalne usytuowanie na ostatnim piętrze zapewnia spektakularny widok na panoramę Lublina, ciszę i czyste powietrze w samym centrum miasta. CENA: 287.500 zł Zapraszam do bezpośrednich rozmów i obejrzenia mieszkania :) Informacja dla biur nieruchomości: Współpraca wyłącznie z konkretnym klientem. Prowizja 0% ze strony sprzedającego. Nie wyrażam zgody na kopiowanie ogłoszenia i zdjęć.",,tak,aneks,plastikowe,własność,,51.237065,22.525046
Lublin Kalinowszczyzna,ul. Wojciecha Kiwerskiego,4,72,655000,9097.0,bez pośredników,,12,https://adresowo.pl/o/mieszkanie-lublin-kalinowszczyzna-ul-wojciecha-kiwerskiego-4-pokojowe-c8b2z2,https://s2.adresowa.pl/oi/70/11/3fc638_85e8_cover@2x-4-pokojowe-mieszkanie-lublin-kalinowszczyzna-ul-wojciecha-kiwerskiego.webp,Lublin Kalinowszczyzna,Wojciecha Kiwerskiego,1,1990.0,blok,,"Przestronne 4-pokojowe mieszkanie z dużą loggią – 72,40 m² | Lublin, Kalinowszczyzna Na sprzedaż przestronne i funkcjonalne mieszkanie o powierzchni 72,40 m², położone na 1. piętrze w kameralnym, 3-piętrowym bloku z 1990 roku, w zielonej i spokojnej części Lublina – na osiedlu Kalinowszczyzna. Mieszkanie składa się z: czterech niezależnych pokoi, ustawnej kuchni, łazienki, oddzielnego WC, przedpokoju. Dwustronna ekspozycja okien (wschód–południe) sprawia, że mieszkanie jest jasne, ciepłe i dobrze doświetlone przez cały dzień. Dodatkowym atutem jest przestronna loggia o powierzchni około 8 m², idealna do wypoczynku, oraz piwnica o powierzchni 3 m², zapewniająca dodatkowe miejsce do przechowywania. Ogromnym atutem tej nieruchomości jest lokalizacja. Blok położony jest w otoczeniu zieleni, tuż przy zagospodarowanym wąwozie, który zachęca do spacerów, jazdy na rowerze i aktywnego wypoczynku. W najbliższym otoczeniu znajdują się szkoła, przedszkole oraz sklepy: Lidl, Biedronka i Stokrotka. Dobra komunikacja z pozostałymi częściami miasta sprawia, że jest to idealne miejsce do życia dla rodzin i osób ceniących wygodę. Cena: 655 000 zł – do negocjacji. To mieszkanie to doskonała propozycja dla osób poszukujących przestronnego lokalu z funkcjonalnym układem, dużym balkonem i świetną lokalizacją w jednej z najbardziej zielonych części Lublina.",tak,tak,osobna,plastikowe,spółdzielcze własnościowe,,51.254478,22.588014
Lublin Czuby,ul. Nadbystrzycka,1,34,380000,11176.0,bez pośredników,,10,https://adresowo.pl/o/mieszkanie-lublin-czuby-ul-nadbystrzycka-1-pokoj-w6f3k2,https://s2.adresowa.pl/oi/4e/11/3fc628_c63f_cover@2x-1-pokojowe-mieszkanie-lublin-czuby-ul-nadbystrzycka.webp,Lublin Czuby,Nadbystrzycka,3,2006.0,blok,,"Na sprzedaż – 34 m² | Lublin, ul. Nadbystrzycka 189B | Na sprzedaż jasne i funkcjonalne mieszkanie o powierzchni 34 m², położone na 3. piętrze w budynku z 2006 roku, przy ul. Nadbystrzyckiej w Lublinie. To doskonała propozycja dla singla, pary, studenta, a także inwestora poszukującego mieszkania pod wynajem. Atuty nieruchomości powierzchnia: 34 m², przestronny pokój z aneksem kuchennym, funkcjonalna łazienka, słoneczne wnętrze zapewniające dużo naturalnego światła, piętro, budynek z 2006 roku, możliwość parkowania pod blokiem, spokojni i niekonfliktowi sąsiedzi. Świetna lokalizacja Mieszkanie położone jest w cichej i spokojnej okolicy, która łączy bliskość natury z doskonałą komunikacją z centrum miasta. W najbliższym otoczeniu znajdują się: las i malowniczy wąwóz ze ścieżkami spacerowymi oraz trasami rowerowymi, przystanki komunikacji miejskiej zapewniające szybki dojazd do centrum, uczelnie wyższe – idealna lokalizacja dla studentów i inwestorów, sklepy, punkty usługowe oraz pełna infrastruktura potrzebna do codziennego życia. To idealne miejsce dla osób ceniących spokój, kontakt z naturą oraz wygodę życia w dobrze skomunikowanej części Lublina. Zapraszam do kontaktu oraz umówienia się na prezentację mieszkania, najlepiej w niedzielę. Proszę o kontakt osoby realnie zainteresowane zakupem. Pośrednikom za współpracę i Agencjom dziękuję.",,,aneks,plastikowe,własność,,51.221053,22.537079
Lublin Czuby,ul. Bursztynowa,3,60,670000,11167.0,bez pośredników,,10,https://adresowo.pl/o/mieszkanie-lublin-czuby-ul-bursztynowa-3-pokojowe-o1i8q5,https://s2.adresowa.pl/oi/11/5b/3fc572_c9ed_cover@2x-3-pokojowe-mieszkanie-lublin-czuby-ul-bursztynowa.webp,Lublin Czuby,Bursztynowa,2,1992.0,blok,,"Szukasz gotowego do wprowadzenia, przestronnego mieszkania w jednej z najbardziej lubianych i zielonych części Lublina? Ta oferta na ul. Bursztynowej łączy w sobie komfort, świetną lokalizację oraz doskonałą infrastrukturę idealną dla rodzin. Oferta bezpośrednia – brak prowizji od kupującego! Najważniejsze parametry i układ nieruchomości: Powierzchnia: 60 m² Układ: Mieszkanie w pełni rozkładowe, usytuowane na 2. piętrze w niskim, 5-piętrowym bloku. Liczba pokoi: 3 niezależne pokoje Kuchnia: Oddzielna, widna Oddzielna garderob, 2 piwnice Stan prawny: Pełna własność z za założoną Księgą Wieczystą (brak obciążeń). Rozkład pomieszczeń: Duży salon z wyjściem na balkon (salon o powierzchni prawie 25 m²) Dwa przestronne i nieprzechodnie pokoje Oddzielna, widna kuchnia Oddzielna garderoba Łazienka Osobne WC Przedpokój Balkon: Duży, idealny do wypoczynku Przechowywanie: Oddzielna garderoba oraz aż dwie piwnice do dyspozycji nowego właściciela Media i technologia: Ogrzewanie i woda: Z sieci miejskiej (brak piecyka gazowego – pełne bezpieczeństwo i wygoda). Instalacje: W mieszkaniu przeprowadzono całkowitą wymianę instalacji elektrycznej oraz hydraulicznej. Wyposażenie i standard: Mieszkanie jest gotowe do zamieszkania i na wstępie nie wymaga żadnych dodatkowych nakładów finansowych. Zabudowy: Praktyczne szafy na wymiar optymalnie zagospodarowujące przestrzeń. Sprzęt AGD W cenie pozostaje pełne wyposażenie w niezbędne sprzęty, w tym pralka, lodówka, kuchenka, zmywarka. Lokalizacja i otoczenie (Czuby-Poręba): To idealne miejsce do życia dla rodzin oraz osób ceniących bliskość natury połączoną z miejską wygodą: Tereny zielone: Tuż obok znajduje się malowniczy wąwóz – doskonałe miejsce na spacery, jogging czy wycieczki rowerowe. Dla rodzin z dziećmi: Okolica jest niezwykle cicha, bezpieczna i przyjazna rodzinom, z licznymi placami zabaw i dużą ilością zadbanej zieleni. Infrastruktura: Przemyślana niska zabudowa osiedla. W najbliższej okolicy znajdziesz wszystko, co potrzebne na co dzień: sklepy, punkty usługowe oraz szkołę. Informacje dodatkowe: Cena: Do negocjacji. Termin oglądania: Możliwość obejrzenia mieszkania po 3 sierpnia. Forma sprzedaży: Sprzedaż bezpośrednia (brak prowizji). Proszę o kontakt osoby prywatne – pośrednikom nieruchomości serdecznie dziękuję. Zapraszam do kontaktu i na prezentację tego wyjątkowego mieszkania – przekonaj się osobiście o jego potencjale!",tak,,osobna,plastikowe,spółdzielcze własnościowe,"Wyposażenie: kuchenka, lodówka, pralka, zmywarka",51.22242,22.511484
Lublin,ul. Łabędzia,3,46,530000,11522.0,Pośrednik,,12,https://adresowo.pl/o/mieszkanie-lublin-ul-labedzia-3-pokojowe-d8f1e3,https://s2.adresowa.pl/oi/64/7c/3fc138_637b_cover@2x-3-pokojowe-mieszkanie-lublin-ul-labedzia.webp,Lublin ,Łabędzia,4,1964.0,blok,,"Nowoczesne, funkcjonalne, zaprojektowane z dbałością o każdy detal i wykończone w wysokim standardzie. Takie, do którego z przyjemnością będziesz wracać po pracy, a Twoi znajomi nie raz zapytają: Kto Ci je urządzał?. To właśnie ta nieruchomość. Zapraszam do zapoznania się z ofertą wyjątkowego, 3-pokojowego mieszkania na lubelskich Bronowicach, które już we wrześniu będzie gotowe na nowych właścicieli. Obecnie trwa kompleksowy remont, wykonywany z wykorzystaniem wysokiej jakości materiałów. Kupujesz mieszkanie, w którym wszystko będzie nowe – od instalacji, przez zabudowę meblową, aż po wyposażenie. Przestronny salon z aneksem kuchennym Serce całego mieszkania z wyjściem na balkon. Jasna, funkcjonalna przestrzeń łącząca strefę wypoczynku z nowoczesną kuchnią wykonywaną na wymiar. Eleganckie oświetlenie, modne wykończenie oraz klimatyczne karnisze LED tworzą wyjątkowy charakter wnętrza. Kuchnia na wymiar z nowoczesną zabudową wykonana przez stolarza wraz z pełnym wyposażeniem AGD:- lodówka, - płyta indukcyjna, - piekarnik, - okap, - zmywarka. Wszystko pozostaje w cenie mieszkania. Dwie komfortowe sypialnie Jedna idealnie sprawdzi się jako główna sypialnia z dużą szafą, druga może pełnić funkcję pokoju dziecięcego, gabinetu lub pokoju gościnnego. Stylowa łazienka Nowoczesny design, meble wykonywane na wymiar oraz komfort, który docenisz każdego dnia:- ogrzewanie podłogowe, - wysokiej jakości armatura, - bojler, - funkcjonalna zabudowa. Balkon Idealne miejsce na poranną kawę lub wieczorny odpoczynek po pracy. Dodatkowe atuty: ✔ klimatyzacja ✔ ogrzewanie miejskie ✔ ogrzewanie podłogowe w łazience ✔ meble wykonane na wymiar ✔ pełne wyposażenie AGD w cenie ✔ karnisze LED ✔ piwnica o powierzchni 4 m² ✔ mieszkanie po kompleksowym remoncie Lokalizacja, która ułatwia codzienne życie Bronowice to jedna z najlepiej skomunikowanych części Lublina. W najbliższym otoczeniu znajdują się sklepy, szkoły, przedszkola, punkty usługowe, przystanki komunikacji miejskiej oraz tereny rekreacyjne. Dzięki świetnemu położeniu szybko dotrzesz zarówno do centrum miasta, jak i do pozostałych dzielnic. To doskonała propozycja zarówno dla rodzin z dziećmi, par, singli, jak również inwestorów szukających mieszkania pod wynajem. Jeżeli zależy Ci na nowoczesnym mieszkaniu wykończonym ""pod klucz"", bez stresu związanego z remontem i wielomiesięcznym oczekiwaniem na ekipy budowlane – ta oferta została przygotowana właśnie dla Ciebie. Zapraszam na prezentację! Tomasz Jurowicz",tak,,aneks,,własność,"Wyposażenie: klimatyzacja, lodówka, piekarnik, zmywarka",51.231569,22.594348
Lublin Węglin,ul. Wróbla,2,47,649777,13825.0,Pośrednik,,16,https://adresowo.pl/o/mieszkanie-lublin-weglin-ul-wrobla-2-pokojowe-k8a3e3,https://s2.adresowa.pl/oi/63/2e/3fbef8_8dc2_cover@2x-2-pokojowe-mieszkanie-lublin-weglin-ul-wrobla.webp,Lublin Węglin,Wróbla,2,2016.0,blok,,"Nowoczesne, funkcjonalne i gotowe do zamieszkania dwu pokojowe mieszkanie na osiedlu Węglin przy ulicy Wróbla. Bliskość komunikacji miejskiej, a także ciche i spokojne sąsiedztwo to nie jedyne atuty tej nieruchomości. Świetna propozycja dla par lub mieszkania na start. Na powierzchni 47,89 m2 znajduje się: - salon z wyjściem na balkon - sypialnia z wyjściem na balkon - aneks kuchenny - łazienka - przedpokój Czynsz administracyjny wynosi 609 zł. Ogrzewanie oraz woda z sieci miejskiej. Brak piecyka gazowego. Mieszkanie znajduje się na 2 piętrze w budynku z roku 2016 wyposażonym w windę. Duży balkon o powierzchni 10 m2 z pięknym widokiem na zachód. Miejsca postojowe w garażu podziemnym dodatkowo płatne 60 000. Zakup obligatoryjny. Wokół bloku miejsca ogólnodostępne za szlabanem. Doskonale rozwinięta infrastruktura - w bliskiej odległości ścieżka rowerowa, Stary Gaj, liczne sklepy i punkty usługowe, szkoły i przedszkola, miejsca rekreacyjne i galeria handlowa. Stan nieruchomości dokładnie tak jak na zdjęciach! Serdecznie zapraszam do kontaktu oraz na prezentację.",,,,,własność,,51.225053,22.470603
Lublin Bronowice,ul. Droga Męczenników Majdanka,2,52,395000,7596.0,bez pośredników,,1,https://adresowo.pl/o/mieszkanie-lublin-bronowice-ul-droga-meczennikow-majdanka-2-pokojowe-b0y6t6,https://s2.adresowa.pl/oi/43/6e/3fc4e0_9fef_cover@2x-2-pokojowe-mieszkanie-lublin-bronowice-ul-droga-meczennikow-majdanka.webp,Lublin Bronowice,Droga Męczenników Majdanka,2,1955.0,kamienica,,"Układ mieszkania daje wiele możliwości aranżacyjnych- można stworzyć komfortową przestrzeń dla siebie lub atrakcyjne mieszkanie na wynajm. Funkcjonalny układ pomieszczeń, oddzielna kuchnia, dwustronne mieszkanie, widok na zieleń, ogrzewanie miejskie.",tak,,osobna,drewniane,własność,,51.235793,22.585042
Lublin LSM,ul. Kaliska,3,48,489000,10188.0,bez pośredników,,7,https://adresowo.pl/o/mieszkanie-lublin-lsm-ul-kaliska-3-pokojowe-y5w1w2,https://s2.adresowa.pl/oi/24/18/3fc208_c0b0_cover@2x-3-pokojowe-mieszkanie-lublin-lsm-ul-kaliska.webp,Lublin LSM,Kaliska,2,1974.0,blok,,"PEREŁKA NA LSM! 3 pokoje z balkonem, 48m², ul. Kaliska, 2. piętro + KW Na sprzedaż wyjątkowo ustawne, 3-pokojowe mieszkanie o powierzchni 48 m², zlokalizowane w samym sercu poszukiwanego LSM-u (ul. Kaliska). Nieruchomość znajduje się na najbardziej pożądanym 2. piętrze w niskim bloku z 1974 roku. Idealny układ inwestycyjny: 3 w pełni niezależne, nieprzechodnie pokoje – absolutny unikat na tym metrażu. Idealne pod bezpieczny i zyskowny wynajem dla studentów (blisko Politechnika Lubelska, UMCS, UP) lub dla rodziny. Mieszkanie posiada piwnicę, co zapewnia dodatkową przestrzeń do przechowywania. Pełna własność z Księgą Wieczystą – czysta sytuacja prawna, bez żadnych obciążeń, idealna pod kredyt hipoteczny (szybka transakcja). Okna PCV przeszły profesjonalny serwis i wymianę uszczelek – są szczelne i sprawne, co eliminuje kosztowny wydatek na nową stolarkę na starcie.Mieszkanie jest dwustronne, bardzo jasne i dobrze doświetlone. Nakwiekszy pokoj z balkonem od strony południowej. Lokal przeznaczony jest do własnej aranżacji/remontu (instalacja elektryczna starszego typu), co daje nowemu właścicielowi pełną swobodę w wykończeniu według własnego standardu. Ogrzewanie z sieci miejskiej (LPEC), w łazience znajduje się piecyk gazowy. Parking na pilota/ szlaban dla mieszkańców z wjazdem od Jana Sawy Okolica słynie z ciszy, ogromnej ilości zieleni oraz doskonałej infrastruktury (sklepy, ryneczek, przystanki MPK, szkoly podstawowe, licea, uczelnie). Na tę chwilę lokal jest do uprzątniecia, dlatego nie wrzucam zdjęć. Cena: 489 000 zł (do rozsądnej negocjacji).Sprzedaż bezpośrednia od właściciela – biurom nieruchomości dziękuję. Zapraszam do kontaktu mailowego i na prezentację mieszkania!",tak,,osobna,plastikowe,spółdzielcze własnościowe,,51.235183,22.523696
Lublin Wrotków,ul. Ks. Wincentego Granata,2,41,590000,14390.0,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-lublin-wrotkow-ul-ks-wincentego-granata-2-pokojowe-l6v5h4,https://s2.adresowa.pl/oi/3a/57/3fc178_fd6e_cover@2x-2-pokojowe-mieszkanie-lublin-wrotkow-ul-ks-wincentego-granata.webp,Lublin Wrotków,Ks. Wincentego Granata,parter,2022.0,blok,,"Nowoczesne 2 pokoje | 43,61 m² | 2022 r. | miejsce postojowe | ul. Granata | gotowe do zamieszkania Szukasz mieszkania, do którego możesz wprowadzić się od razu, bez remontu i dodatkowych kosztów? Ta oferta jest właśnie dla Ciebie. Na sprzedaż komfortowe, w pełni wykończone mieszkanie o powierzchni 43,61 m², położone na parterze nowoczesnego budynku z windą przy ul. Granata w Lublinie. Inwestycja została oddana do użytkowania w 2022 roku i znajduje się w jednej z najbardziej rozwijających się części miasta – zaledwie kilka minut od Zalewu Zemborzyckiego. Mieszkanie zostało urządzone w ponadczasowym, nowoczesnym stylu. Jasne wnętrza, funkcjonalny układ oraz neutralna kolorystyka sprawiają, że jest gotowe do zamieszkania od pierwszego dnia. Rozkład mieszkania: • przestronny salon z aneksem kuchennym • ustawna sypialnia z dużą szafą • komfortowa łazienka z prysznicem • przedpokój • balkon W cenie pozostaje: zabudowa kuchenna, płyta indukcyjna, piekarnik, zmywarka, okap, lodówka, pralka, szafy w przedpokoju, szafka RTV, kanapa, stoliki kawowe, krzesła, regał na książki, łózko metalowe, szafki nocne, szafy w sypialni. Kupujący może wprowadzić się praktycznie bez ponoszenia dodatkowych kosztów. Atuty nieruchomości: ✔ budynek z 2022 roku ✔ nowoczesna winda ✔ rowerownia dostępna dla mieszkańców ✔ plac zabaw na terenie osiedla ✔ balkon zabezpieczony siatką (idealne rozwiązanie dla właścicieli kotów) ✔ spokojne, zadbane osiedle ✔ bardzo dobra komunikacja z centrum miasta ✔ blisko sklepy, punkty usługowe i tereny rekreacyjne ✔ kilka minut spacerem do Zalewu Zemborzyckiego Do mieszkania przynależy naziemne miejsce postojowe, płatne dodatkowo 29 000 zł. Osiedle przy ul. Granata to doskonałe miejsce dla osób ceniących spokój oraz bliskość terenów zielonych. W bezpośrednim sąsiedztwie znajdują się sklepy, szkoły, przedszkola, przystanki komunikacji miejskiej oraz ścieżki rowerowe prowadzące nad Zalew Zemborzycki. To idealna propozycja zarówno dla singla, pary, jak i jako inwestycja pod wynajem. Cena: 590 000 zł Miejsce postojowe: 29 000 zł Łącznie: 619 000 zł",,tak,aneks,drewniane,własność,"Wyposażenie: lodówka, piekarnik, pralka, tv, zmywarka",51.199786,22.550471
Lublin LSM,ul. Skrzatów,4,57,639000,11211.0,Pośrednik,,12,https://adresowo.pl/o/mieszkanie-lublin-lsm-ul-skrzatow-4-pokojowe-v1x2z9,https://s2.adresowa.pl/oi/4f/13/3fbef4_60c7_cover@2x-4-pokojowe-mieszkanie-lublin-lsm-ul-skrzatow.webp,Lublin LSM,Skrzatów,1,1972.0,blok,,"Ofertą sprzedaży jest 4 pokojowe mieszkanie, dwustronne, zlokalizowane w dzielnicy LSM-ul. Skrzatów! Nieruchomość idealna na wynajem jak i dla rodziny. Lokata kapitału! Blokiem zarządza Spółdzielnia- czynsz ok 910 zł przy jednej osobie. Mieszkanie składa się z następujących pomieszczeń łącznie: -Salon z wyjściem na balkon ok 15,00m -Kuchnia ok 6,70m -Sypialnia ok 6,50m -Sypialnia ok 10,50m -Sypialnia ok 7,50m -Łazienka ok 3,00m -WC ok. 1,00m -Hall ok 7,20m -Dodatkowo piwnica (1,80m), schowek na klatce schodowej, oraz balkon. ***Nieruchomość przeszła właśnie gruntowny remont: - wymianę instalacji elektrycznej - gładź na ścianach, - wymianę paneli w pokojach, - płytki gresow, łazienka, wc i przedpokój, - remont oraz wyposażenie łazienki (tj. kabina prysznicowa, umywalka z szafką, wc), - remont oraz wyposażenie kuchni (tj. meble w zabudowie kuchennej robione na wymiar, AGD-płyta indukcyjna , okap, piekarnik elektryczny, zlewozmywak), - wymiana drzwi wraz z ościeżnicami, Usytuowanie/odległość od: ***POLITECHNIKA LUBELSKA-2,00km! ***Kul-2,40km ***UMCS-1,70km ***Uniwersytet Przyrodniczy-1,80km ***Ogród Saski-2,80km ***Zalew Zemborzycki -ścieżka rowerowa-7,30km ok 20 min rowerem Zapraszam na prezentację, cena do lekkiej negocjacji!",tak,,osobna,,własność,Wyposażenie: piekarnik,51.234372,22.526927
