locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url,city_district,full_address,floor,year_built,building_type,price_per_sqm_detailed,description_text,has_basement,has_parking,kitchen_type,window_type,ownership_type,equipment,latitude,longitude
Lublin Węglin,ul. Koralowa,2,53,590000,11132,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-lublin-weglin-ul-koralowa-2-pokojowe-p3s9j5,https://s2.adresowa.pl/oi/23/27/3aaeac_78c3_cover@2x-2-pokojowe-mieszkanie-lublin-weglin-ul-koralowa.webp,Lublin Węglin,Koralowa,parter,2014,blok,,"Komfortowe mieszkanie w dzielnicy Węglin Południe w Lublinie w cichej okolicy blisko Starego Lasu. Doskonała lokalizacja oraz komunikacja do każdej części Lublina. Powierzchnia całkowita 55,17 M2 Wysokość mieszkania 265 cm Duże okna PCV zapewniają dużo naturalnego światła. Ekspozycja Salon i balkon _ południe Sypialnia _ północ Duży salon ok.20 m2 połączony z dużą (ok. 8 m2) kuchnią, możliwość rozdzielenia Z salonu wyjście na balkon, duże dwuskrzydłowe okno od podłogi sypialnia 11 M2, ŁAZIENKA nowa kabina prysznicowa WC, pralka Beko energooszczędna szafki na wymiar z dużym podświetlanym lustrem ustawny przedpokój ok.9 m2 5 drzwiowa wysoka szafa - troje drzwi z lustrem pojemna komoda Widna kuchnia w nowej zabudowie Sprzęt firmy Whirlpool -lodówka, - płyta indukcyjna, -parowy piekarnik . Przedpokój, łazienka, kuchnia, sufity podwieszane z oświetleniem LED. Duży balkon typu loggia. W oknach i drzwiach balkonowych zewnętrzne przeciwwłamaniowe żaluzje. Podłogi : Salon deska bambusowa, Sypialnia, kuchnia, przedpokój panele winylowe, Łazienka płytki podłogowe i ścienne do sufitu. Winda Piwnica ok. 2 M2 , sucha W niej 2 duże, zamykane szafki. Blok 3- piętrowy usytuowany w pobliżu ul.Jana Pawła II na wysokości sklepu AGATA, ALDI itp. Czynsz 523 zł ( w tym zaliczki na co i wodę) Energia elektryczna wg własnego licznika. Chętnie udzielę dodatkowych informacji, zapraszam do obejrzenia mieszkania. Cena Do elastycznej negocjacji Zapraszam :) Pośrednikom dziękuję !!!",tak,tak,aneks,plastikowe,własność,"Wyposażenie: lodówka, piekarnik, pralka",51.225499,22.48545
Lublin Śródmieście,ul. Muzyczna,3,62,550000,8871,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-lublin-srodmiescie-ul-muzyczna-3-pokojowe-t1q2a4,https://s2.adresowa.pl/oi/5a/52/3ec820_9223_cover@2x-3-pokojowe-mieszkanie-lublin-srodmiescie-ul-muzyczna.webp,Lublin Śródmieście,Muzyczna,1,1962,blok,,"Przestronne mieszkanie 62 m² | Lublin, ul. Muzyczna 3 | 1. piętro | Prywatny parking Na sprzedaż jasne i funkcjonalne mieszkanie o powierzchni 62 m², położone na 1. piętrze zadbanego budynku przy ul. Muzycznej 3 w Lublinie. Lokal wyróżnia się bardzo praktycznym układem pomieszczeń, dużymi oknami oraz balkonem z widokiem na zieleń. Mieszkanie jest zadbane, gotowe do zamieszkania lub odświeżenia według własnego pomysłu. Najważniejsze atuty: 62 m² powierzchni, 1 piętro, przestronne, ustawne i dobrze doświetlone pokoje, osobna, funkcjonalna kuchnia, balkon, prywatny parking dla mieszkańców za zamykaną bramą – bez problemów z parkowaniem, spokojna i zielona okolica. Świetna lokalizacja Mieszkanie znajduje się w jednej z najbardziej wygodnych części Lublina. W pobliżu znajdują się: Politechnika Lubelska, UMCS i Uniwersytet Przyrodniczy, liczne parki i tereny rekreacyjne, sklepy, punkty usługowe, restauracje, przystanki komunikacji miejskiej zapewniające szybki dojazd do centrum. Idealne dla rodziny, osób studiujących lub pracujących w Lublinie, inwestora pod wynajem, kancelarii prawnej, notarialnej, biura rachunkowego, gabinetu lub innej spokojnej działalności, dzięki dogodnej lokalizacji na 1. piętrze oraz wygodnemu parkingowi dla właścicieli. To mieszkanie łączy doskonałą lokalizację, funkcjonalny układ oraz komfort codziennego życia. Prywatny parking za bramą, bliskość uczelni i terenów zielonych sprawiają, że jest to atrakcyjna propozycja zarówno do zamieszkania, jak i pod inwestycję. Zapraszam do kontaktu i umówienia się na prezentację.",tak,tak,osobna,plastikowe,własność,,51.238497,22.553158
Lublin Kalinowszczyzna,ul. Stefana Okrzei,3,45,500000,11111,bez pośredników,,17,https://adresowo.pl/o/mieszkanie-lublin-kalinowszczyzna-ul-stefana-okrzei-3-pokojowe-k8v2b8,https://s2.adresowa.pl/oi/6c/55/406d8e_9201_cover@2x-3-pokojowe-mieszkanie-lublin-kalinowszczyzna-ul-stefana-okrzei.webp,Lublin Kalinowszczyzna,Stefana Okrzei,4,1969,blok,,"Oferuję na sprzedaż przestronne mieszkanie o powierzchni 45,85 m², położone na 4. piętrze w 5-piętrowym bloku z cegły. Blok ocieplony. Nieruchomość jest w stanie do zamieszkania i wyposażona w niezbędne sprzęty, takie jak zmywarka, lodówka, kuchenka, piekarnik oraz pralka. Do mieszkania przynależy balkon oraz piwnica. Mieszkanie usytuowane jest w dzielnicy Kalinowszczyzna w Lublinie, w bliskiej odległości od wielu punktów usługowych. W sąsiedztwie znajdują się: kawiarnie i restauracje sklepy spożywcze szkoły oraz przedszkola tereny zielone Ponadto, dostęp do komunikacji miejskiej jest bardzo dobry, co ułatwia codzienne dojazdy. Zachęcam do kontaktu, aby umówić się na prezentację mieszkania. To idealna propozycja dla osób szukających wygodnego lokum w Lublinie!",tak,,aneks,plastikowe,spółdzielcze własnościowe,"Wyposażenie: kuchenka, lodówka, piekarnik, pralka, zmywarka",51.255253,22.582944
Lublin Bazylianówka,ul. Czesława Strzeszewskiego 9,3,70,840000,12000,bez pośredników,,15,https://adresowo.pl/o/mieszkanie-lublin-bazylianowka-ul-czeslawa-strzeszewskiego-3-pokojowe-e0g2q6,https://s2.adresowa.pl/oi/7e/3d/406d20_9e0e_cover@2x-3-pokojowe-mieszkanie-lublin-bazylianowka-ul-czeslawa-strzeszewskiego.webp,Lublin Bazylianówka,Czesława Strzeszewskiego 9,parter,2016,apartamentowiec,,"Na wstępie Biurom nieruchomości i pośrednikom, dziękuję, proszę nie dzwonić!!! Przestronne i piękne mieszkanie w szeregowcu z 2016 roku o powierzchni 70 m², do zamieszkania. Mieszkanie na parterze z trzema pokojami, sslon z kuchnią otwartą, 2 sypialnie, lazienka z wc, w pełni wyposażone w meble i sprzęt AGD. Znajduje się w spokojnej okolicy w dzielnicy Ponikwoda-Bazylianowka, blisko szkół, przedszkoli i usług, 1 min od Galerii Olimp. W pobliżu są sklepy, apteki i punkty gastronomiczne, 5 minut do centrum, wygodny dojazd dzięki bliskości komunikacji miejskiej. Do nieruchomości przynależy ogródek (we współwłasności z sąsiadami z góry, taras oraz miejsce parkingowe na wyłączność (nawet dwa) przed budynkiem oraz garaż pod budynkiem, o powierzchni 34 m, do którego wchodzą 2 małe auta albo jedno duże (cena 100 tyś zł, obligatoryjnie przy kupnie mieszkania). Budynek ma certyfikat energetyczny klasy A. Zabezpieczenia obejmują rolety antywłamaniowe, drzwi i okna antywłamaniowe oraz domofon. Dodatkowo w oknach założone są moskitiery. Na więcej pytań odpowiem telefonicznie, ewentualna prezentacja mieszkania możliwa w każdej chwili, po wcześniejszym ustaleniu telefonicznym.",tak,tak,aneks,plastikowe,własność,,51.274024,22.578513
Lublin,,2,48,529000,11021,Pośrednik,,6,https://adresowo.pl/o/mieszkanie-lublin-2-pokojowe-48-m2-s7w0i0,https://s2.adresowa.pl/oi/17/10/406e9a_9f09_cover@2x-2-pokojowe-mieszkanie-lublin.webp,Lublin,,2,1978,blok,,"Na sprzedaż mieszkanie 2 pokojowe w Lublinie Mieszkanie z funkcjonalnym układem, przestronny i ustawny salon z wyjściem na bardzo duży balkon (widok na zieleń), sypialnia, oddzielna widna kuchnia, łazienka z wc oraz przedpokój. Do mieszkania przynależy piwnica. Bardzo dobra lokalizacja, blisko przystanek autobusowy, sklepy, przedszkole, szkoła, centrum sportowe. Osiedle z dużą ilością zieleni, place zabaw, ścieżki rowerowe itp. Nieruchomość prezentuje: Małgorzata tel. [numer] OFERTA DOSTĘPNA WYŁĄCZNIE W BIURZE NIERUCHOMOŚCI 3KLUCZE Otwieramy przed Tobą całe miasto! Sprzedajemy i wynajmujemy mieszkania, domy, lokale i działki. Działamy zarówno na rynku pierwotnym, jak i wtórnym. Zapewniamy kompleksową obsługę : doradztwo kredytowe i prawne, pomoc notariusza, architekta oraz projektanta wnętrz. Powyższa oferta nie stanowi oferty w rozumieniu kodeksu cywilnego. Biuro nieruchomości pobiera prowizję od Kupującego. Nieruchomość prezentuje: Małgorzata tel. [numer]",,,,plastikowe,,,51.250946,22.574728
Lublin,ul. Jana Chęcińskiego 6,3,56,499000,8911,Pośrednik,,14,https://adresowo.pl/o/mieszkanie-lublin-ul-jana-checinskiego-3-pokojowe-i5m2f9,https://s2.adresowa.pl/oi/7a/25/406bb8_7087_cover@2x-3-pokojowe-mieszkanie-lublin-ul-jana-checinskiego.webp,Lublin ,Jana Chęcińskiego 6,7,1979,blok,,"Na sprzedaż trzypokojowe mieszkanie o powierzchni 56,6 m², położone przy ul. Chęcińskiego 6 na Czechowie. Mieszkanie znajduje się na 7. piętrze dziesięciopiętrowego budynku i ma południowo-zachodnią ekspozycję. Z okien rozciąga się szeroki, niczym niezasłonięty widok, a wieczorami można podziwiać piękne zachody słońca. Wyższe piętro daje dużo światła, spokoju i poczucia przestrzeni, mieszkanie jest ciche nawet przy otwartych oknach. Wokół budynku jest dużo zieleni i miejsca pomiędzy blokami, mamy też plac zabaw, na którym dzieci mogą bezpiecznie spędzać czas. Sąsiedztwo jest spokojne, a mieszkańcy sympatyczni. Układ mieszkania obejmuje: – salon o powierzchni 17,1 m² z wyjściem na balkon – pokój o powierzchni 10,5 m² – pokój o powierzchni 8,6 m² – oddzielną kuchnię – łazienkę – osobne WC – duży przedpokój Rozkład jest wygodny i funkcjonalny. Dwa mniejsze pokoje mogą pełnić funkcję sypialni, pokoju dziecięcego lub gabinetu. Oddzielna kuchnia, osobne WC i duży przedpokój z miejscem na dwie szafy w zabudowie dobrze sprawdzają się w codziennym użytkowaniu. Mieszkanie nie było w ostatnich latach modernizowane i wymaga odświeżenia lub częściowego remontu. Na podłogach znajduje się drewniany parkiet, który można poddać cyklinowaniu. Obecny układ pomieszczeń jest praktyczny i nie wymaga zmian konstrukcyjnych. Budynek Budynek powstał w 1979 roku, jest docieplony i wyposażony w dwie windy. Do mieszkania przynależy piwnica. Wokół budynku znajduje się wystarczająca liczba ogólnodostępnych miejsc parkingowych. Ogrzewanie i ciepła woda pochodzą z sieci miejskie, w mieszkaniu jest również gaz. Opłaty i stan prawny – czynsz około 790 zł przy 4 zameldowanych osobach – w czynszu są m.in. zaliczki na wodę i centralne ogrzewanie - co roku są nadpłaty i zwrot – lokal własnościowy – przy sprzedaży zostanie założona księga wieczysta, ale nie ma problemu z uzyskaniem kredytu hipotecznego już teraz – termin wydania mieszkania: od października 2026 roku Lokalizacja Ul. Chęcińskiego znajduje się w dobrze skomunikowanej części Czechowa. W pobliżu są przystanki autobusowe, sklepy, targ, szkoły, punkty usługowe, placówki medyczne, place zabaw i tereny zielone. Dobry dojazd do centrum i lubelskich uczelni sprawia, że mieszkanie może dobrze służyć zarówno rodzinie, jak i osobie kupującej je z myślą o wynajmie. Zapraszam do kontaktu i na prezentację mieszkania. Jacek Jeżowski",tak,,osobna,plastikowe,spółdzielcze własnościowe,,51.25834,22.543409
Lublin LSM,ul. Skrzatów,4,57,557000,9772,bez pośredników,,20,https://adresowo.pl/o/mieszkanie-lublin-lsm-ul-skrzatow-4-pokojowe-w4n8o4,https://s2.adresowa.pl/oi/42/6f/406cd2_8187_cover@2x-4-pokojowe-mieszkanie-lublin-lsm-ul-skrzatow.webp,Lublin LSM,Skrzatów,5,1975,blok,,"Do sprzedaży mieszkanie 4 pokojowe o pow. 57,40 m2, wraz z przynależną piwnicą 3,60m2, dodatkowo schowek na klatce schodowej, mieszkanie dwustronne, w dzielnicy LSM, przy ul. Skrzatów. W niedalekiej odległości znajduje się np. Politechnika Lubelska, UMCS, KUL, Spokojna, zielona część Lublina w najbliższym otoczeniu znajdują się sklepy, punkty usługowe, szkoły, żłobek, tereny rekreacyjne, wąwóz, ścieżki rowerowe, spacerowe, przystanki autobusowe Blokiem zarządza spółdzielnia LSM Sprzedaż bezpośrednia - bez pośredników. Cena 557 000 zł. Zapraszam do kontaktu i obejrzenia mieszkania",tak,,osobna,plastikowe,własność,,51.234383,22.52696
Lublin Kalinowszczyzna,ul. Niepodległości,4,58,625000,10776,bez pośredników,,21,https://adresowo.pl/o/mieszkanie-lublin-kalinowszczyzna-ul-niepodleglosci-4-pokojowe-t5r0p8,https://s2.adresowa.pl/oi/50/12/406a9a_7c5c_cover@2x-4-pokojowe-mieszkanie-lublin-kalinowszczyzna-ul-niepodleglosci.webp,Lublin Kalinowszczyzna,Niepodległości,parter,1974,blok,,"SPRZEDAŻ BEZPOŚREDNIO OD WŁAŚCICIELA Pośrednikom i agentom nieruchomości dziękuję - proszę nie dzwonić! Sprzedam duże, komfortowe mieszkanie w zielonej dzielnicy Lublina Kalinowszyzna, ul. Niepodległości 58 m² 4 pokoje Parter Niski blok - brak zsypów Mieszkanie w środkowej części bloku - bardzo ciepłe w zimie (bez potrzeby rozkręcania grzejników na full) W 2025 r. zrobiony generalny remont: - nowa instalacja elektryczna - nowe podłogi - nowe drzwi wraz z ościeżnicami - izolacja akustyczna (wyciszenie) - podwieszane sufity - hydroizolacja - prysznic bezprogowy Walk-in z odpływem liniowym - zabudowa kuchenna pod wymiar Sprzęty AGD są jeszcze na gwarancji: Zmywarka Whirlpool 5-palnikowa płyta gazowa Beko Piekarnik elektryczny Electrolux Mieszkanie ma odrębną własność z księgą wieczystą. Do mieszkania przynależy komórka lokatorska. Obok bloku przedszkole, sklepy, paczkomat, place zabaw, fryzjer Nieopodal szkoła podstawowa, przychodnia, kościół, bank PKO, stomatolog, siłownia 2 min do dwóch przystanków MPK: linie [numer], 57, 150, N2 Szybki i bezpośredni dojazd do uczelni WSEI, KUL, UMCS, UM 5 min piechotą do Parku Zawilcowa oraz Wąwozu Kalina Pod blokiem bardzo dużo ogólnodostępnych miejsc parkingowych.",tak,,osobna,plastikowe,własność,"Wyposażenie: piekarnik, zmywarka",51.25866,22.593008
Lublin,ul. Poligonowa,2,37,380000,10270,bez pośredników,,3,https://adresowo.pl/o/mieszkanie-lublin-ul-poligonowa-2-pokojowe-t5y0l6,https://s2.adresowa.pl/oi/7c/15/40680a_3efb_cover@2x-2-pokojowe-mieszkanie-lublin-ul-poligonowa.webp,Lublin ,Poligonowa,1,2010,blok,,Sprzedam mieszkanie na ul. Poligonowej 8/10. Blok z roku 2010.,,,,,,,51.266335,22.528137
Lublin Kalinowszczyzna,ul. Lwowska,3,58,582900,10050,Pośrednik,,20,https://adresowo.pl/o/mieszkanie-lublin-kalinowszczyzna-ul-lwowska-3-pokojowe-z6x9e7,https://s2.adresowa.pl/oi/59/6f/4069f2_fa54_cover@2x-3-pokojowe-mieszkanie-lublin-kalinowszczyzna-ul-lwowska.webp,Lublin Kalinowszczyzna,Lwowska,7,1973,blok,,"Zapraszam do zapoznania się z ofertą, mieszkanie przytulne, słoneczne, po remoncie! Informacje ogólne: Na sprzedaż mieszkanie 3-pokojowe o powierzchni 58,34 m², położone na 7. piętrze zadbanego, wysokiego bloku z 1973 roku. Układ mieszkania: Przemyślany układ obejmuje przestronny salon od strony południowej, dwie ustawne sypialnie (jedna od południa druga od zachodu) oraz osobną, jasną kuchnię z oknem, z wejściem z przedpokoju, funkcjonalną łazienkę oraz osobne wc. Oddzielna kuchnia sprzyja wygodzie codziennego użytkowania, a wysokie piętro zapewnia piękny widok i optymalne doświetlenie. Standard i wyposażenie: Mieszkanie w bardzo idealnym stanie technicznym, 8 lat temu przeszło generalny remont wszystkich instalacji. Wyposażone, gotowe do zamieszkania bez większych nakładów. Nieruchomość dostępna po nowym roku do zamieszkania, ale wszelkie warunki sprzedaży pozostają do uzgodnienia stron. Budynek i otoczenie: Mieszkanie znajduje się w wysokim bloku z wielkiej płyty. Do dyspozycji mieszkańców 2 nowe windy, które ułatwiają codzienne korzystanie z 7. piętra. Wejście do budynku zabezpieczone domofonem. Otoczenie pełne zieleni, dbające o kameralny charakter osiedla. Dodatkowo istnieje możliwośc zakupu garażu zlokalizowanego tuż obok bloku, z bramą zamykaną na pilota. Lokalizacja: Lokalizacja zapewnia spokój, a jednocześnie świetnie skomunikowaną część miasta. W pobliżu przystanki komunikacji miejskiej, w każdą stronę miasta (linie autobusowe nr [numer], [numer]50, 301, oraz N 2 nocny) sklepy i wszelkie udogodnienia codziennego życia. Szeroki dostęp do terenów zielonych pozwala wypocząć tuż za progiem. Najważniejsze atuty: Mieszkanie wyróżnia się funkcjonalnym układem, wysokim standardem oraz atrakcyjną lokalizacją. Doskonałe zarówno do zamieszkania, jak i jako inwestycja pod wynajem. Pomieszczenia:- Salon ok. 19m - Sypialnia od południa ok.10m - Sypialnia od zachodu z wyjściem na balkon ok. 10,50m - Kuchnia ok. 6m - Łazienka ok. 3,90m - WC ok. 1,30m - Hall ok 7,64m - Piwnica pomieszczenie dodatkowe ok 4m - Balkon ok 5m Odległość do:- Brama Krakowska ok. 1,80km (26min. pieszo) - Uniwersytet Medyczny ok. 1,30km (19min. pieszo) - UMCS ok. 3,90km (autobusy linii nr [numer]) - KUL ok. 3,50km (autobusy linii nr [numer]) - Zalew Zemborzycki (autobus bezpośredni linii nr 6, 38 minut) Jeśli szukasz gotowego do wprowadzenia mieszkania na wysokim piętrze z pięknym widokiem i dobrą komunikacją, ta propozycja jest dla Ciebie! Zapraszamy po szczegóły i na prezentację.",tak,tak,osobna,,własność,,51.257878,22.582001
Lublin Czuby,ul. Jutrzenki,2,51,563000,11039,Pośrednik,,9,https://adresowo.pl/o/mieszkanie-lublin-czuby-ul-jutrzenki-2-pokojowe-u0m2x3,https://s2.adresowa.pl/oi/2b/23/40671c_3131_cover@2x-2-pokojowe-mieszkanie-lublin-czuby-ul-jutrzenki.webp,Lublin Czuby,Jutrzenki,2,2001,blok,,"Na sprzedaż oferujemy przestronne i funkcjonalne mieszkanie o powierzchni 51,2 m², położone przy ul. Jutrzenki na Czubach Północnych - jednej z najbardziej lubianych i wygodnych do życia części Lublina. Mieszkanie znajduje się na 2. piętrze w bloku z cegły z 2001 roku. Klasyczny, bardzo ustawny układ dwóch pokoi sprawdzi się zarówno dla pary, singla czy niewielkiej rodziny, jak również jako nieruchomość inwestycyjna pod wynajem. Na powierzchnię 51,2 m² składają się: -przestronny salon z wyjściem na dużą loggię, -ustawna sypialnia, -oddzielna, widna kuchnia, -łazienka, -przedpokój. Mieszkanie jest wyposażone i sprzedawane z meblami oraz sprzętem AGD, dzięki czemu może być użytkowane bez konieczności ponoszenia dużych nakładów na start. Na wyposażeniu pozostają m.in. lodówka, zmywarka, pralka, kuchenka oraz piekarnik. Do lokalu przynależy również duża piwnica o powierzchni ok. 4,5 m². Parking tylko dla mieszkańców! Dużym atutem nieruchomości jest możliwość korzystania z parkingu przeznaczonego dla mieszkańców budynku, z wjazdem zabezpieczonym szlabanem. To szczególnie istotna zaleta w tej części miasta - pozwala uniknąć codziennego szukania miejsca postojowego wśród ogólnodostępnych parkingów osiedlowych. Budynek i standard: Budynek został wybudowany w 2001 roku w technologii tradycyjnej - z cegły. Mieszkanie posiada: -ogrzewanie miejskie, -drewniane okna, -domofon, -dostęp do telewizji kablowej i internetu. Lokalizacja - Czuby Północne Ul. Jutrzenki to świetna lokalizacja dla osób, które chcą mieć pod ręką pełną miejską infrastrukturę, a jednocześnie cenią spokojne, zielone otoczenie. W najbliższej okolicy znajdują się liczne sklepy i punkty usługowe, szkoły, przedszkola, place zabaw oraz tereny rekreacyjne i spacerowe. Dużym atutem jest również bardzo dobra komunikacja z centrum oraz pozostałymi częściami Lublina. Przystanki komunikacji miejskiej znajdują się w zasięgu krótkiego spaceru, a dogodny dostęp do głównych ulic pozwala sprawnie poruszać się samochodem po mieście. Najważniejsze atuty -51,2 m² - przestronne 2 pokoje -2. piętro -duża loggia -oddzielna, widna kuchnia -blok z cegły z 2001 roku -parking dla mieszkańców zamykany szlabanem -piwnica ok. 4,5 m² -ogrzewanie miejskie -pełna własność -mieszkanie z wyposażeniem i sprzętem AGD -pełna infrastruktura w najbliższym otoczeniu -świetna komunikacja z pozostałymi częściami miasta Mieszkanie będzie dostępne od września. To bardzo dobra propozycja zarówno do zamieszkania, jak i jako inwestycja pod wynajem - przede wszystkim ze względu na funkcjonalny układ, duży metraż jak na mieszkanie 2-pokojowe oraz świetnie rozwiniętą lokalizację. Zapraszam do kontaktu oraz na prezentację nieruchomości",,,,,własność,"Wyposażenie: internet, kuchenka, lodówka, piekarnik, pralka, zmywarka",51.229351,22.517419
Lublin,Śródmieście,3,56,465000,8304,bez pośredników,,10,https://adresowo.pl/o/mieszkanie-lublin-srodmiescie-3-pokojowe-56-m2-e7p4l8,https://s2.adresowa.pl/oi/41/48/40671a_408e_cover@2x-3-pokojowe-mieszkanie-lublin-srodmiescie.webp,Lublin Śródmieście,,1,,blok,,"Oferuję na sprzedaż przytulne mieszkanie o powierzchni 56,08 m². Znajduje się na pierwszym piętrze 3-piętrowego bloku. Mieszkanie jest umeblowane. W pokojach i przedpokoju drewniana podłoga (parkiet). Okna plastikowe. Kuchnia widna. Oddzielnie łazienka i WC. Mieszkanie wymaga remontu. Do mieszkania przynależna piwnica. Z uwagi na super położenie i świetne skomunikowanie z całym miastem - w pobliżu kilku uczelni, idealne pod wynajem dla studentów, inwestycję lub do zamieszkania dla rodziny. Możliwość zakupu również garażu o pow. 19,68 m², blisko budynku, w cenie 65 tys. zł. Sprzedaż bezpośrednio od właściciela. Pośrednikom dziękuję.",tak,tak,,,,,51.247002,22.556
Lublin Wieniawa,al. Racławickie,2,46,505000,10978,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-lublin-wieniawa-al-raclawickie-2-pokojowe-e2s5w3,https://s2.adresowa.pl/oi/5c/39/40631c_34e5_cover@2x-2-pokojowe-mieszkanie-lublin-wieniawa-al-raclawickie.webp,Lublin Wieniawa,Racławickie,1,1978,blok,,"To przestronne mieszkanie o powierzchni 46,58 m² znajduje się na 1. piętrze w bloku. Jest w stanie do zamieszkania i wyposażone w pralkę, lodówkę, kuchenkę, w tym niektóre meble po uzgodnieniu. Do dyspozycji masz także piwnicę oraz parking przeznaczony dla mieszkańców bloku. Ogrzewanie jest miejskie, co zapewnia komfort użytkowania. Lokalizacja w dzielnicy Wieniawa w Lublinie to idealne miejsce dla osób ceniących sobie bliskość do kultury oraz rekreacji. W okolicy znajdziesz: - Park Akademicki - Pocztę, sklepy spożywcze - Uniwersytet Marii Curie-Skłodowskiej - Liczne restauracje i kawiarnie - Przystanki komunikacji miejskiej - Przedszkole, żłobki, szkołę Dzięki tej lokalizacji masz łatwy dostęp do wszystkich potrzebnych usług. W pobliżu znajdują się sklepy, szkoły oraz placówki zdrowotne. To miejsce sprzyja aktywnemu trybowi życia. W pobliżu są liczne ścieżki rowerowe.",tak,,,plastikowe,własność,"Wyposażenie: kuchenkę, lodówkę, pralkę",51.250306,22.531295
Lublin Kalinowszczyzna,ul. Stefana Okrzei,3,55,580000,10545,bez pośredników,,16,https://adresowo.pl/o/mieszkanie-lublin-kalinowszczyzna-ul-stefana-okrzei-3-pokojowe-x8w3o3,https://s2.adresowa.pl/oi/44/3b/402f28_35c1_cover@2x-3-pokojowe-mieszkanie-lublin-kalinowszczyzna-ul-stefana-okrzei.webp,Lublin Kalinowszczyzna,Stefana Okrzei,parter,1970,blok,,"Jasne i przestronne mieszkanie na sprzedaż w Lublinie na ul Okrzei 4, osiedle Kalinowszczyzna. Znakomita komunikacja, dojazd do każdego miejsca w Lublinie (universytety, stare miasto galerie handlowe, PKP, PKS) Na wyciągnięcie ręki mamy żłobek, przedszkole, szkoła, przychodnie, biedronka, lidl, stokrotka. A po krótkim spacerze galeria VIVO, centrum handlowe na Turystycznej, rynek na Ruskiej, stare miasto. 3 pokoje = 54.55m2 + piwnica 2,03m2 Generalny remont zrobiony w styczniu 2022. Mieszkanie jest na parterze, ale okna na wysokości pierwszego piętra. Południowe okna zrobione z drewna są porządne z co 6cio miesięcznym przeglądem i konserwacja. W oknach żaluzje aluminiowe. Mieszkanie jest bardzo ciepłe i w całości opomiarowane: podzielniki ciepła, wodomierze Blok z 1970 ocieplony w 2025. Posiadam świadectwo energetyczne. Glazura i terakota w kuchni i łazience, panele podłogowe w pokojach. Wbudowane szafy w przedpokoju oraz nowe drzwi (wymienione w 2022) Czynsz ok 850 zł (woda, CO, wywóz śmieci przy 2 osobach) Mieszkanie do sprzedaży ze wszystkimi meblami tak jak na zdjęciach, lodówką, pralką i telewizorami. Część wyposażenia (garnki ,szklanki, talerze, itp) również mogę zostawić. Mieszkanie w bardzo dobrym stanie i bez łańcucha transakcyjnego. Cena: 580 000 za wszystko, do małej negocjacji dla zdecydowanych.",tak,,aneks,drewniane,własność,Wyposażenie: telewizor,51.255569,22.582764
