locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Poznań Jeżyce,ul. Maksymiliana Jackowskiego,2,41,530000,12927,bez pośredników,,15,https://adresowo.pl/o/mieszkanie-poznan-jezyce-ul-maksymiliana-jackowskiego-2-pokojowe-i1c8t5,https://s2.adresowa.pl/oi/2d/31/3fc4f0_f68d_cover@2x-2-pokojowe-mieszkanie-poznan-jezyce-ul-maksymiliana-jackowskiego.webp
Poznań Winogrady,os. Zwycięstwa,3,53,485000,9151,bez pośredników,,12,https://adresowo.pl/o/mieszkanie-poznan-winogrady-os-zwyciestwa-3-pokojowe-o7j7b0,https://s2.adresowa.pl/oi/7f/64/3fc268_b6a7_cover@2x-3-pokojowe-mieszkanie-poznan-winogrady-os-zwyciestwa.webp
Poznań,ul. Królowej Jadwigi,2,33,zapytaj,,bez pośredników,,+65 podobnych ofert,https://adresowo.pl/o/mieszkanie-poznan-ul-krolowej-jadwigi-2-pokojowe-v6u0h1,https://s2.adresowa.pl/development/671250/nowe-mieszkania-krolowej-jadwigi-a8c4_cover.jpg
Poznań Grunwald,ul. Marcelińska,5,74,599000,8095,Pośrednik,,22,https://adresowo.pl/o/mieszkanie-poznan-grunwald-ul-marcelinska-5-pokojowe-x9q7y8,https://s2.adresowa.pl/oi/17/33/3fc3c0_3c4e_cover@2x-5-pokojowe-mieszkanie-poznan-grunwald-ul-marcelinska.webp
Poznań Łazarz,ul. Antoniego Małeckiego,3,116,1270000,10948,Pośrednik,,20,https://adresowo.pl/o/mieszkanie-poznan-lazarz-ul-antoniego-maleckiego-3-pokojowe-l5s5f3,https://s2.adresowa.pl/oi/1b/28/3fc1b0_31d5_cover@2x-3-pokojowe-mieszkanie-poznan-lazarz-ul-antoniego-maleckiego.webp
Poznań Jeżyce,ul. gen. Stanisława Maczka,1,29,350000,12069,bez pośredników,,6,https://adresowo.pl/o/mieszkanie-poznan-jezyce-ul-gen-stanislawa-maczka-1-pokoj-n9c8e4,https://s2.adresowa.pl/oi/15/41/3fc17e_2bd6_cover@2x-1-pokojowe-mieszkanie-poznan-jezyce-ul-gen-stanislawa-maczka.webp
Poznań Stare Miasto,ul. Za Bramką,2,38,593910,15629,bez pośredników,,6,https://adresowo.pl/o/mieszkanie-poznan-stare-miasto-ul-za-bramka-2-pokojowe-k1c7i1,https://s2.adresowa.pl/oi/34/29/3fc0be_5c08_cover@2x-2-pokojowe-mieszkanie-poznan-stare-miasto-ul-za-bramka.webp
Poznań Grunwald,ul. Ptasia,2,47,zapytaj,,bez pośredników,,+41 podobnych ofert,https://adresowo.pl/o/mieszkanie-poznan-grunwald-ul-ptasia-2-pokojowe-v5f1i3,https://s2.adresowa.pl/development/672144/nowe-mieszkania-ptasia-vita-151e_cover.jpg
Poznań Winogrady,os. Przyjaźni,1,27,345000,12778,Pośrednik,,10,https://adresowo.pl/o/mieszkanie-poznan-winogrady-os-przyjazni-1-pokoj-j8q0a2,https://s2.adresowa.pl/oi/36/54/3fc134_8aa7_cover@2x-1-pokojowe-mieszkanie-poznan-winogrady-os-przyjazni.webp
Poznań Nowe Miasto,ul. Czesława Niemena,1,31,525000,16935,Pośrednik,,10,https://adresowo.pl/o/mieszkanie-poznan-nowe-miasto-ul-czeslawa-niemena-1-pokoj-g3p0p3,https://s2.adresowa.pl/oi/20/48/3fc128_8e4e_cover@2x-1-pokojowe-mieszkanie-poznan-nowe-miasto-ul-czeslawa-niemena.webp
Poznań Grunwald,ul. Kuźnicza,2,42,450000,10714,bez pośredników,,10,https://adresowo.pl/o/mieszkanie-poznan-grunwald-ul-kuznicza-2-pokojowe-u7l0t6,https://s2.adresowa.pl/oi/35/69/3fc07c_7c72_cover@2x-2-pokojowe-mieszkanie-poznan-grunwald-ul-kuznicza.webp
Poznań Grunwald,ul. Bułgarska,2,38,420000,11053,bez pośredników,,7,https://adresowo.pl/o/mieszkanie-poznan-grunwald-ul-bulgarska-2-pokojowe-r5g6p0,https://s2.adresowa.pl/oi/23/4f/3fbff0_6122_cover@2x-2-pokojowe-mieszkanie-poznan-grunwald-ul-bulgarska.webp
Poznań Starołęka,ul. Unii Lubelskiej,2,43,zapytaj,,bez pośredników,,+6 podobnych ofert,https://adresowo.pl/o/mieszkanie-poznan-staroleka-ul-unii-lubelskiej-2-pokojowe-l2f4z8,https://s2.adresowa.pl/development/671252/nowe-mieszkania-unii-lubelskiej-vita-b029_cover.jpg
