locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Szczecin Śródmieście,ul. Władysława Sikorskiego,2,52,458000,8808,bez pośredników,,9,https://adresowo.pl/o/mieszkanie-szczecin-srodmiescie-ul-wladyslawa-sikorskiego-2-pokojowe-d4x9n4,https://s2.adresowa.pl/oi/10/3c/3dff9a_9372_cover@2x-2-pokojowe-mieszkanie-szczecin-srodmiescie-ul-wladyslawa-sikorskiego.webp
Szczecin Pomorzany,INOWROCŁAWSKA,4,74,750000,10135,bez pośredników,,5,https://adresowo.pl/o/mieszkanie-szczecin-pomorzany-inowroclawska-4-pokojowe-d4m7c7,https://s2.adresowa.pl/oi/46/77/3f9dfa_6568_cover@2x-4-pokojowe-mieszkanie-szczecin-pomorzany-inowroclawska.webp
Szczecin Gumieńce,ul. Harnasiów,5,107,1200000,11215,bez pośredników,,10,https://adresowo.pl/o/mieszkanie-szczecin-gumience-ul-harnasiow-5-pokojowe-b1d3v7,https://s2.adresowa.pl/oi/51/1f/3f9cf8_dc36_cover@2x-5-pokojowe-mieszkanie-szczecin-gumience-ul-harnasiow.webp
Szczecin Podjuchy,ul. Spiżowa,4,75,849999,11333,bez pośredników,,11,https://adresowo.pl/o/mieszkanie-szczecin-podjuchy-ul-spizowa-4-pokojowe-t7w4t0,https://s2.adresowa.pl/oi/55/7b/3f9a58_6805_cover@2x-4-pokojowe-mieszkanie-szczecin-podjuchy-ul-spizowa.webp
Szczecin,Centrum,3,91,2599000,28560,Pośrednik,,26,https://adresowo.pl/o/mieszkanie-szczecin-centrum-3-pokojowe-91-m2-l1f1q4,https://s2.adresowa.pl/oi/40/67/3f9aa8_3cd6_cover@2x-3-pokojowe-mieszkanie-szczecin-centrum.webp
Szczecin,ul. Aleksandra Kostki Napierskiego,3,57,540000,9474,Pośrednik,,19,https://adresowo.pl/o/mieszkanie-szczecin-ul-aleksandra-kostki-napierskiego-3-pokojowe-r6i0d9,https://s2.adresowa.pl/oi/71/3a/3f93c8_2a32_cover@2x-3-pokojowe-mieszkanie-szczecin-ul-aleksandra-kostki-napierskiego.webp
Szczecin Stare Miasto,ul. Staromłyńska,3,94,1395000,14840,bez pośredników,,21,https://adresowo.pl/o/mieszkanie-szczecin-stare-miasto-ul-staromlynska-3-pokojowe-s5p1y5,https://s2.adresowa.pl/oi/3f/69/3f9868_e9d1_cover@2x-3-pokojowe-mieszkanie-szczecin-stare-miasto-ul-staromlynska.webp
Szczecin Bolinko,ul. Juliana Ursyna Niemcewicza,3,91,720000,7912,bez pośredników,,16,https://adresowo.pl/o/mieszkanie-szczecin-bolinko-ul-juliana-ursyna-niemcewicza-3-pokojowe-r1s5s8,https://s2.adresowa.pl/oi/39/57/3f52ec_b4ff_cover@2x-3-pokojowe-mieszkanie-szczecin-bolinko-ul-juliana-ursyna-niemcewicza.webp
Szczecin Centrum,ul. Szarotki,4,75,750000,10000,bez pośredników,,9,https://adresowo.pl/o/mieszkanie-szczecin-centrum-ul-szarotki-4-pokojowe-c7q5o4,https://s2.adresowa.pl/oi/3a/40/3f96dc_732b_cover@2x-4-pokojowe-mieszkanie-szczecin-centrum-ul-szarotki.webp
Szczecin Gumieńce,ul. Polskich Marynarzy 92,2,40,380000,9500,Pośrednik,,10,https://adresowo.pl/o/mieszkanie-szczecin-gumience-ul-polskich-marynarzy-2-pokojowe-w7r3u7,https://s2.adresowa.pl/oi/3e/1f/3f9380_ae78_cover@2x-2-pokojowe-mieszkanie-szczecin-gumience-ul-polskich-marynarzy.webp
