locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url,city_district,full_address,floor,year_built,building_type,price_per_sqm_detailed,description_text,has_basement,has_parking,kitchen_type,window_type,ownership_type,equipment,latitude,longitude
Szczecin Niebuszewo,ul. Mikołaja Reja 25,3,70,699000,9986.0,bez pośredników,,19,https://adresowo.pl/o/mieszkanie-szczecin-niebuszewo-ul-mikolaja-reja-3-pokojowe-b7m3b7,https://s2.adresowa.pl/oi/52/52/3e0f9e_8505_cover@2x-3-pokojowe-mieszkanie-szczecin-niebuszewo-ul-mikolaja-reja.webp,Szczecin Niebuszewo,Mikołaja Reja 25,3,1930.0,kamienica,,"Świetna okolica z pełną infrastrukturą z wieloma sklepami, szkołami, aptekami i restauracjami w pobliżu oraz blisko do przystanków komunikacji miejskiej. W okolicy dużo zieleni, 2 place zabaw dla dzieci, mała siłownia, ławeczki do wypoczynku. Mieszkanie kilka minut spacerem oddalone od Parku Kasprowicza i Lasu Arkońskiego. Zalety mieszkania. Mieszkanie po remoncie na trzecim piętrze. 3 ustawne i przestronne pokoje w tym jeden z szafą zabudowaną, trzeci pokój może być wykorzystany jako gościnny albo dziecinny, salon z dużym oknem, sypialnia z dużą szafą zabudowaną, duża kuchnia z oknem i pełnym wyposażeniem, łazienka z oknem, prysznicem i pełnym wyposażeniem, duży korytarz z szafą także zabudowaną. Ogrzewanie miejskie, dostęp do internetu i telewizji oraz domofon z dostępem na kod lub chip. Budynek ocieplony po remoncie, nowy dach, klatka schodowa wyremontowana z wymianą instalacji elektrycznej.",tak,,osobna,plastikowe,własność,Wyposażenie: internet,53.447146,14.54764
Szczecin Centrum,al. Papieża Jana Pawła II,2,47,475000,10106.0,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-szczecin-centrum-al-papieza-jana-pawla-ii-2-pokojowe-t5g6a4,https://s2.adresowa.pl/oi/3b/6c/4042bc_467a_cover@2x-2-pokojowe-mieszkanie-szczecin-centrum-al-papieza-jana-pawla-ii.webp,Szczecin Centrum,Papieża Jana Pawła II,1,1960.0,kamienica,,"Dzień dobry Przedmiotem sprzedaży jest mieszkanie własnościowe usytuowane na pierwszym piętrze przy Alei Papieża Jana Pawła II nr. 9. Mieszkanie dostępne od dnia publikacji ogłoszenia. Mieszkanie składa się z dwóch pokoi osobnej kuchni łazienki i przedpokoju. Do lokalu przynależy piwnica. Mieszkanie jest częściowo umeblowane. Zachęcam do zapoznania się ze zdjęciami oraz do obejrzenia mieszkania. Największym atutem mieszkania jest jego lokalizacja, przestronna kuchnia oraz jasne pokoje. Podwórze z miejscami parkingowymi jest zamykane bramą na pilota. Powierzchnia użytkowa: 47,57m2 Rzut rozmieszczenia dołączony do zdjęć Ogrzewanie: miejskie Ciepła woda: bojler gazowy Czynsz do wspólnoty ok: 550zł + fundusz remontowy 94zł. Nie jestem zainteresowany współpracą z pośrednikami.",tak,,osobna,plastikowe,własność,,53.431587,14.549475
Szczecin Prawobrzeże,ul. Akwarelowa,2,47,639900,13615.0,bez pośredników,,19,https://adresowo.pl/o/mieszkanie-szczecin-prawobrzeze-ul-akwarelowa-2-pokojowe-l9r0h3,https://s2.adresowa.pl/oi/3a/59/40406e_787b_cover@2x-2-pokojowe-mieszkanie-szczecin-prawobrzeze-ul-akwarelowa.webp,Szczecin Prawobrzeże,Akwarelowa,1,2016.0,blok,,"Oferta prywatna! Na sprzedaż mieszkanie o wielkości 47,8 m2 zlokalizowane na Osiedlu Bukowym przy ul. Akwarelowej. Mieszkanie zlokalizowane jest na 1 piętrze w bardzo dogodnej lokalizacji. Bardzo zadbane o bardzo wysokim standardzie. Gotowe do zamieszkania. Budynek z 2016 roku. Powierzchnia użytkowa poszczególnych pomieszczeń: - Przedpokój - 6,20 m2 - Łazienka - 3,80 m2 - Sypialnia - 11,50 m2 - Pokój dzienny z aneksem kuchennym - 26,30 m2 Dodatkowym atutem mieszkania jest balkon o powierzchni 6 m2. Wysokość lokalu: 2,58 m. Standard wykończenia: Mieszkanie o wysokim standardzie. W kolorach białym, złotym i granatowym. Sypialnia - szafa wolnostojąca, duże łóżko z dwoma szafkami nocnymi, regał oraz toaletka z lustrem (pomieszczenie w stylu Modern Organic w kolorach białym i beżowym). Łazienka - podwieszany sufit z halogenami, wanna zabudowana, toaleta podwieszana, zlew nablatowy oraz zabudowana szafka z drewna z dwoma szufladami i pralką (pomieszczenie w stylu Modern Organic z elementami Modern Luxury w kolorach betonu, złota i bieli). Przedpokój - duża zabudowana szafa z półkami i szufladami oraz lustro na całą ścianę (pomieszczenie w kolorach białym i złotym z elementami drewna w stylu Modern Luxury). Salon - stolik barowy z dwoma hokerami, duży narożnik z funkcją spania, stolik kawowy, kominek parowy, stół rozkładany z czterema krzesłami oraz szafka RTV (pomieszczenie w kolorach bieli, granatu, złota i betonu w stylu Modern Luxury). Kuchnia - podwieszany sufit z halogenami, pełna zabudowa kuchenna z szafkami i szufladami oraz sprzętem AGD - płyta indukcyjna wraz z okapem, piekarnik, mikrofalówka i lodówka z zamrażarką w zabudowie (pomieszczenie w kolorze białym i złotym z elementami czerni i betonu w stylu Modern Luxury). Balkon - zestaw wypoczynkowy ze stolikiem, fotel podwieszany oraz donice drewniane z pergolą (pomieszczenie w kolorach bieli i szarości w stylu Contemporary Outdoor). Lokalizacja: Do Puszczy Bukowej, idealnej na długie letnie spacery, jest niespełna 100 metrów. Miejsce doskonale skomunikowane z Centrum miasta - przystanek autobusowy (linii: 65, 84) w odległości 400 m. Do pętli autobusowej (linii: A, [numer]7) ok. 800 metrów. W bliskiej odległości znajduje się również sklep Żabka (100 metrów), Biedronka (900 metrów), Szkoła Podstawowa nr 74 (950 metrów) oraz Szpital w Zdrojach (800 metrów). W okolicach budynku znajduje się również dużo miejsc rekreacyjnych i terenów zielonych, idealnych do spędzania czasu w otoczeniu natury. Opłaty: W moim przypadku czynsz za mieszkanie wynosi 237,70 zł oraz dodatkowe 47,80 zł na fundusz remontowy. Dodatkowe opłaty to SEC (ogrzewanie miejskie) oraz ENEA (energia). Opłaty te uzależnione są już od intensywności użytkowania. Zapraszam do kontaktu!",,,aneks,plastikowe,własność,"Wyposażenie: lodówka, mikrofalówka, piekarnik, tv",53.366686,14.645401
Szczecin Zawadzkiego-Klonowica,ul. Sebastiana Klonowica,1,22,290000,13182.0,bez pośredników,,5,https://adresowo.pl/o/mieszkanie-szczecin-zawadzkiego-klonowica-ul-sebastiana-klonowica-1-pokoj-v8h4i1,https://s2.adresowa.pl/oi/4d/38/403c54_99a2_cover@2x-1-pokojowe-mieszkanie-szczecin-zawadzkiego-klonowica-ul-sebastiana-klonowica.webp,Szczecin Zawadzkiego-Klonowica,Sebastiana Klonowica,2,,blok,,"Kawalerka z potencjałem na osiedlu Zawadzkiego - ul. Klonowica 16B Szczecin | Osiedle Zawadzkiego-Klonowica | 22,74 m² + piwnica 2,79 m² Szukasz niewielkiego mieszkania w dobrze skomunikowanej części Szczecina, które możesz urządzić dokładnie według własnego pomysłu? Ta ustawna kawalerka przy ul. Klonowica 16B może być świetną propozycją zarówno dla singla lub pary, jak i dla inwestora poszukującego mieszkania pod wynajem. Najważniejsze informacje: - powierzchnia mieszkania: 22,74 m² - piwnica: 2,79 m² - funkcjonalny układ pomieszczeń: - ustawny pokój, - oddzielna kuchnia, - przedpokój, - łazienka, - mieszkanie do remontu, dzięki czemu nowy właściciel ma możliwość stworzenia wnętrza dopasowanego do własnych potrzeb i gustu. Lokalizacja - duży atut tej nieruchomości Mieszkanie położone jest na popularnym i dobrze zagospodarowanym osiedlu Zawadzkiego-Klonowica, w północno-zachodniej części Szczecina. Osiedle oferuje mieszkańcom rozwiniętą infrastrukturę codziennych usług. - W najbliższej okolicy znajdują się m.in.: apteki, sklepy spożywcze, Targowisko Szafera, Kościół, w niedalekiej odległości znajduje się Samodzielny Publiczny Szpital Kliniczny przy ul. Unii Lubelskiej 1, wraz z SOR-em i zapleczem specjalistycznym. Bardzo dobra komunikacja miejska. Położenie przy ul. Klonowica jest dużym udogodnieniem dla osób korzystających z komunikacji miejskiej. W rejonie osiedla dostępne są liczne linie autobusowe, m.in. 53, 75, 80 oraz linie podmiejskie, a przystanki ""Zawadzkiego"" i ""Zawadzkiego Kościół"" zapewniają dogodne połączenia z innymi częściami Szczecina. Szczególnie interesująca jest linia 75, która łączy rejon Zawadzkiego z SKM Dworzec Główny (Kolumba). Z kolei linia 95 zapewnia bezpośrednie połączenie Osiedle Zawadzkiego - Szafera - Klonowica - Unii Lubelskiej Szpital, co jest dużym atutem dla osób pracujących lub korzystających z usług medycznych w tej części miasta. Okolica sprzyjająca aktywnemu życiu. Osiedle oferuje również zaplecze rekreacyjne i sportowe. W okolicy znajdują się m.in. stadion lekkoatletyczny z halą sportową, tor kolarski oraz korty tenisowe. To miejsce, w którym można wygodnie połączyć codzienne życie, zakupy, pracę, naukę i wypoczynek - bez konieczności dojeżdżania do centrum przy każdej potrzebie. Mieszkanie z potencjałem Największym atutem tej nieruchomości jest możliwość stworzenia własnej, funkcjonalnej przestrzeni od podstaw. Mieszkanie wymaga remontu, ale właśnie to daje przyszłemu właścicielowi dużą swobodę aranżacyjną. Przy odpowiednim projekcie niewielki metraż można wykorzystać bardzo efektywnie, tworząc przytulną i nowoczesną kawalerkę. 22,74 m² mieszkania + 2,79 m² piwnicy to propozycja dla osób, które szukają kompaktowego lokum w dobrej lokalizacji, ale także dla inwestorów, którzy dostrzegają potencjał mieszkań o niewielkim metrażu. Dlaczego warto? - atrakcyjna lokalizacja na osiedlu Zawadzkiego-Klonowica - 22,74 m² + piwnica 2,79 m² - funkcjonalny układ z oddzielną kuchnią - mieszkanie do własnej aranżacji i remontu - blisko sklepy, apteki, targowisko i punkty usługowe - dogodny dostęp do komunikacji miejskiej - szybki dojazd do centrum Szczecina - w pobliżu szpital przy ul. Unii Lubelskiej - infrastruktura sportowa i rekreacyjna w okolicy - świetna propozycja również jako inwestycja pod wynajem Jeżeli szukasz mieszkania, które możesz urządzić po swojemu i jednocześnie zależy Ci na lokalizacji z pełną infrastrukturą - warto przyjrzeć się tej kawalerce. Mały metraż, duże możliwości i lokalizacja, która pracuje na wartość nieruchomości. Zapraszam do kontaktu i obejrzenia mieszkania na żywo!",tak,,osobna,,własność,,53.452037,14.501508
Szczecin,ul. Edmunda Bałuki,1,24,340000,14167.0,Pośrednik,,6,https://adresowo.pl/o/mieszkanie-szczecin-ul-edmunda-baluki-1-pokoj-s7g5l4,https://s2.adresowa.pl/oi/22/63/403724_5088_cover@2x-1-pokojowe-mieszkanie-szczecin-ul-edmunda-baluki.webp,Szczecin ,Edmunda Bałuki,parter,1965.0,kamienica,,"Kawalerka z oddzielną kuchnią w Centrum Szczecina / Kaskada/ Park Na sprzedaż ustawna kawalerka o powierzchni 25 m², położona przy ul. Edmunda Bałuki w Szczecinie. Nieruchomość znajduje się na parterze w zadbanym, czteropiętrowym budynku i stanowi ciekawą propozycję zarówno dla osób poszukujących mieszkania w centrum, jak i inwestorów. Mieszkanie składa się z:- pokoju - oddzielnej kuchni - łazienki - przedpokoju Funkcjonalny układ pozwala na wygodne zagospodarowanie niewielkiej przestrzeni, a osobna kuchnia jest dużym atutem dla osób, które preferują klasyczny, niezależny układ pomieszczeń. Lokal jest do odświeżenia, dzięki czemu przyszły właściciel może dostosować wnętrze do własnych potrzeb i gustu bez konieczności przeprowadzania generalnego remontu. Najważniejsze atuty: 25 m² powierzchni funkcjonalny układ pomieszczeń oddzielna kuchnia parter piwnica ogrzewanie miejskie miejska ciepła i zimna woda pełna własność z księgą wieczystą mieszkanie dostępne od zaraz bardzo dobra lokalizacja w centrum Szczecina bezpłatny parking za bramą Lokalizacja zapewnia łatwy dostęp do komunikacji miejskiej, sklepów, punktów usługowych, restauracji oraz infrastruktury potrzebnej na co dzień. Bliskość centrum sprawia, że mieszkanie może być również interesującą opcją pod wynajem. To propozycja dla osób, które szukają niewielkiego mieszkania w centralnej lokalizacji lub nieruchomości z potencjałem inwestycyjnym. Zapraszam do kontaktu oraz na prezentację nieruchomości.",tak,tak,osobna,plastikowe,własność,,53.429167,14.547961
Szczecin Centrum,al. Wyzwolenia,3,48,429000,8938.0,Pośrednik,,10,https://adresowo.pl/o/mieszkanie-szczecin-centrum-al-wyzwolenia-3-pokojowe-g4b4m7,https://s2.adresowa.pl/oi/56/6e/4026ac_9404_cover@2x-3-pokojowe-mieszkanie-szczecin-centrum-al-wyzwolenia.webp,Szczecin Centrum,Wyzwolenia,8,1970.0,blok,,"3 pokoje w centrum Szczecina | 48,4 m² | 8. piętro | Do remontu Prezentujemy Państwu 3-pokojowe mieszkanie o powierzchni 48,4 m², położone na 8. piętrze 10-piętrowego budynku przy al. Wyzwolenia w Szczecinie. To propozycja przede wszystkim dla osób poszukujących nieruchomości w bardzo dobrej lokalizacji w centrum miasta, a także dla inwestorów szukających mieszkania z potencjałem pod wynajem. Spółdzielcze własnościowe prawo do lokalu - Możliwość zakupu przez osoby z poza Unii Europejskiej. Parametry:- Powierzchnia: 48,4 m² - Liczba pokoi: 3 - Piętro: 8/10 - 2 windy w budynku - Stan: do remontu - Lokalizacja: al. Wyzwolenia 85, Szczecin - Ścisłe centrum miasta - Bardzo dobra komunikacja miejska - Pełna infrastruktura handlowo-usługowa w najbliższej okolicy Mieszkanie z potencjałem Powierzchnia 48,4 m² przy trzech pokojach daje duże możliwości zarówno przy aranżacji mieszkania na własne potrzeby, jak i przygotowaniu nieruchomości pod wynajem. Stan do remontu pozwala na stworzenie wnętrza od podstaw – bez konieczności płacenia za rozwiązania zastosowane przez poprzedniego właściciela. Dodatkowym atutem jest położenie mieszkania na 8. piętrze, a codzienny komfort zapewniają dwie windy znajdujące się w budynku. Lokalizacja Jednym z największych atutów nieruchomości jest jej położenie przy al. Wyzwolenia, w doskonale skomunikowanej części Szczecina. W pobliżu znajdują się sklepy, punkty usługowe, apteki, szkoły, obiekty sportowe, tereny rekreacyjne oraz przystanki komunikacji miejskiej. Aleja Wyzwolenia stanowi jedną z głównych osi komunikacyjnych miasta, zapewniając bardzo dobre połączenie zarówno z centrum, jak i pozostałymi dzielnicami Szczecina. W bezpośrednim sąsiedztwie nieruchomości znajdują się m.in.:- Żabka – ok. 0–50 m - Apteka C 36,6 – w budynku / ok. 0–50 m - punkty handlowe i usługowe – 50–200 m - przystanki komunikacji miejskiej – ok. 100–250 m - sklepy spożywcze i piekarnie – ok. 100–300 m - Hanza Tower – ok. 1 km - Plac Witosa – ok. 1 km - Jasne Błonia – ok. 1,2 km - Park Kasprowicza – ok. 1,3 km - Rondo Giedroycia – ok. 1,5 km - Targowisko Manhattan – ok. 1,5 km - Centrum Handlowe Galaxy – ok. 1,5–1,7 km - Floating Arena – ok. 1,5 km - Fabryka Wody – ok. 2,2 km Wzdłuż al. Wyzwolenia kursują liczne linie tramwajowe i autobusowe, dzięki czemu samochód nie jest konieczny do wygodnego poruszania się po mieście. Bliskość centrum, terenów rekreacyjnych oraz pełnej infrastruktury sprawia, że lokalizacja jest atrakcyjna zarówno do zamieszkania, jak i pod kątem zakupu inwestycyjnego i późniejszego wynajmu. Dlaczego warto?- 3 pokoje na 48,4 m² - atrakcyjna lokalizacja - wysokie, 8. piętro - 2 windy - mieszkanie do własnej aranżacji - pełna infrastruktura w najbliższej okolicy - świetna komunikacja miejska - bardzo dobra propozycja pod wynajem - blisko centrum Szczecina - dostęp do terenów rekreacyjnych i usług Zapraszamy na prezentację! Pozostaję do dyspozycji pod wskazanym numerem telefonu – codziennie, również w weekendy, w godzinach 9:00–21:00. Skupujemy mieszkania za gotówkę – również zadłużone lub z różnymi obciążeniami. -pochodzące ze spadku lub darowizny -nieruchomości do remontu -Kupujemy także udziały w nieruchomościach – zarówno z posiadaniem, jak i bez. - Bezpłatna pomoc w uzyskaniu kredycie hipotecznego Oferujemy bezpłatne wsparcie w uzyskaniu kredytu hipotecznego na każdy rodzaj nieruchomości. Nasi eksperci sprawdzą Państwa zdolność kredytową, przedstawią dostępne opcje oraz załatwią wszystkie formalności bez żadnych opłat. Współpracujemy ze wszystkimi komercyjnymi bankami w Polsce, dobierając finansowanie na najkorzystniejszych warunkach.",,,osobna,plastikowe,spółdzielcze własnościowe,,53.43366,14.554002
Szczecin Niebuszewo,ul. Cedyńska,3,59,570000,9661.0,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-szczecin-niebuszewo-ul-cedynska-3-pokojowe-z3c0t2,https://s2.adresowa.pl/oi/1d/32/403bf6_57f2_cover@2x-3-pokojowe-mieszkanie-szczecin-niebuszewo-ul-cedynska.webp,Szczecin Niebuszewo,Cedyńska,3,,blok,,"Sprzedam 3-pokojowe mieszkanie o pow. 59,50 m2 na Osiedlu Książąt Pomorskich w Szczecinie, przy ul. Cedyńskiej. Mieszkanie znajduje się na 3 piętrze 4-piętrowego bloku. Składa się z 3 pokoi, kuchni (w zabudowie i z oknem), łazienki i WC. Budynek podłączony do sieci ciepłowniczej, posiada światłowód. Osiedle Książąt Pomorskich cenione za bliskie położenie od centrum miasta, liczne przystanki komunikacji miejskiej i dużo zieleni. Tuż obok szkoła podstawowa nr 35, przedszkola, nowo wybudowany żłobek (otwarcie w 2027 r.)i przystanek Kolei Metropolitalnej-SKM (Przystanek Niebuszewo). Dodatkowym atutem mieszkania jest zabudowany balkon, który służy przez cały rok kalendarzowy (loggia). Czynsz przy 4-osobowej rodzinie wynosi 1000 zł (w tym ryczałt za gaz). Spółdzielczo-własnościowe prawo do lokalu. Mieszkanie dostępne od września br. Pośrednikom dziękuję.",,,,,spółdzielcze własnościowe,,53.452994,14.55358
Szczecin Zdroje,ul. Młodzieży Polskiej,2,54,265000,4907.0,bez pośredników,,9,https://adresowo.pl/o/mieszkanie-szczecin-zdroje-ul-mlodziezy-polskiej-2-pokojowe-w3s3t9,https://s2.adresowa.pl/oi/59/43/403930_99de_cover@2x-2-pokojowe-mieszkanie-szczecin-zdroje-ul-mlodziezy-polskiej.webp,Szczecin Zdroje,Młodzieży Polskiej,1,2000.0,blok,,"Jasne i przestronne mieszkanie z dużym balkonem i pomieszczeniem gospodarczym w partycypacji Towarzystwa Budownictwa Społecznego. W odległości do 5 minut: komunikacja miejska (w tym Szczeciński Szybki Tramwaj i Szczecińska Kolej Miejska), sklepy, ryneczek, przychodnie, park osiedlowy, place zabaw, szkoła podstawowa, przedszkole, żłobek. Puszcza Bukowa z Jeziorem Szmaragdowym zachęca do aktywności na świeżym powietrzu o każdej porze roku.",,tak,osobna,plastikowe,,,53.381703,14.635341
Szczecin Pomorzany,ul. Xawerego Dunikowskiego,2,45,525000,11667.0,bez pośredników,,13,https://adresowo.pl/o/mieszkanie-szczecin-pomorzany-ul-xawerego-dunikowskiego-2-pokojowe-h2k8i4,https://s2.adresowa.pl/oi/24/36/403788_a9f4_cover@2x-2-pokojowe-mieszkanie-szczecin-pomorzany-ul-xawerego-dunikowskiego.webp,Szczecin Pomorzany,Xawerego Dunikowskiego,2,1970.0,blok,,"Na sprzedaż komfortowe, jasne mieszkanie po generalnym remoncie zlokalizowane na szczecińskich Pomorzanach. Sprzedaż bez pośredników, bez prowizji. Mieszkanie znajduje się na 2 piętrze niskiego, czteropiętrowego budynku po termomodernizacji. Lokal jest bardzo słoneczny, ciepły i gotowy do zamieszkania bez ponoszenia dodatkowych nakładów finansowych. Trzeba tylko wstawić meble do pokoi. Powierzchnia mieszkania wynosi 45,28 m². W skład mieszkania wchodzą: przestronny salon z wyjściem na balkon (loggia), ustawna sypialnia, osobna, widna kuchnia, łazienka z WC, przedpokój, balkon typu loggia, duża piwnica. Generalny remont Mieszkanie przeszło kompleksowy remont obejmujący praktycznie wszystkie elementy lokalu. Wymieniono wszystkie instalacje: - instalację elektryczną (od rozdzielnicy, poprzez zabezpieczenia, wszystkie przewody, aż po gniazda i włączniki oraz inteligentne oświetlenie) - instalację wodną - instalację kanalizacyjną - instalację centralnego ogrzewania wraz z nowymi grzejnikami panelowymi Dodatkowo wykonano: hydroizolację w strefach mokrych kuchni i łazienki, nowe płytki podłogowe w kuchni, łazience i przedpokoju, nowe okładziny ścienne w kuchni i łazience, sufity podwieszane z nowoczesnym oświetleniem liniowym LED, gładzie oraz malowanie ścian wysokiej jakości białą farbą lateksową, nowe drzwi wewnętrzne i wejściowe. Kuchnia została wyposażona w estetyczną zabudowę meblową. W cenie lodówka. Kompletnie wyposażona łazienka z kabiną prysznicową 100x70 cm, pralka ładowana od góry. Mieszkanie ciepłe i słoneczne Okna PCV. Układ względem stron świata: salon i kuchnia – zachód, sypialnia – wschód. Dzięki temu mieszkanie jest bardzo dobrze doświetlone przez cały dzień. Budynek przeszedł termomodernizację, dlatego zimą mieszkanie jest wyjątkowo ciepłe. Dodatkowym atutem jest: brak podzielników kosztów ogrzewania, nowe grzejniki, aktualne świadectwo charakterystyki energetycznej. EP = 108,10 kWh/(m²·rok) Lokalizacja Pomorzany to jedna z najlepiej skomunikowanych dzielnic Szczecina. W najbliższym otoczeniu znajdują się: Pomorski Uniwersytet Medyczny, szkoły i przedszkola, sklepy, przychodnie, park, przystanki komunikacji miejskiej. Do centrum miasta można dojechać w kilka–kilkanaście minut. Przy budynku znajdują się liczne ogólnodostępne miejsca parkingowe. Dużym atutem jest również spokojne sąsiedztwo oraz dużo zieleni za oknami salonu. Stan prawny pełna własność, księga wieczysta, brak hipoteki, brak służebności, brak jakichkolwiek obciążeń, nikt nie jest zameldowany. Zakup możliwy od zaraz. Sprzedaż bez pośredników, bez prowizji. Nie podpisuję umów pośrednictwa na sprzedaż. Serdecznie zapraszam na prezentację mieszkania.",tak,,osobna,plastikowe,własność,"Wyposażenie: lodówka, pralka",53.412064,14.527923
Szczecin Centrum,ul. Unisławy,2,46,412000,8957.0,Pośrednik,,12,https://adresowo.pl/o/mieszkanie-szczecin-centrum-ul-unislawy-2-pokojowe-c7w1j7,https://s2.adresowa.pl/oi/42/38/402648_d12c_cover@2x-2-pokojowe-mieszkanie-szczecin-centrum-ul-unislawy.webp,Szczecin Centrum,Unisławy,5,1980.0,blok,,"46,5 m² | Centrum Szczecina | Unisławy | 5. piętro | Winda Prezentujemy Państwu mieszkanie o powierzchni 46,5 m², położone na 5. piętrze 9-piętrowego budynku z windą, zlokalizowanego przy ul. Unisławy 6 w Szczecinie. To nieruchomość, której jednym z największych atutów jest znakomita lokalizacja w centrum miasta. Wszystko, co potrzebne do komfortowego życia, znajduje się praktycznie na wyciągnięcie ręki – sklepy, restauracje, komunikacja miejska, uczelnie, centra handlowe oraz tereny rekreacyjne. Mieszkanie wymaga drobnego remontu i odświeżenia, dzięki czemu przyszły właściciel może dostosować wnętrze do własnego stylu i potrzeb bez konieczności przeprowadzania gruntownej przebudowy. Mieszkanie idealne pod inwestycje lub pierwsze mieszkanie dla pary singla lub inwestora Parametry:- Powierzchnia: 46,5 m² - Piętro: 5/9 - Winda - Stan: do drobnego remontu / odświeżenia - Adres: ul. Unisławy, Szczecin - Centrum - Bardzo dobra komunikacja miejska - Pełna infrastruktura handlowo-usługowa w bezpośrednim sąsiedztwie Powierzchnia 46,5 m² daje możliwość stworzenia funkcjonalnego i komfortowego mieszkania zarówno na własne potrzeby, jak i z przeznaczeniem inwestycyjnym. Lokal wymaga drobnego remontu, co pozostawia nowemu właścicielowi swobodę w zakresie aranżacji i wykończenia wnętrza. Położenie na 5. piętrze zapewnia większą prywatność i oddalenie od miejskiego ruchu, natomiast znajdująca się w budynku winda gwarantuje wygodny dostęp do mieszkania. Unisławy znajduje się w jednej z najbardziej praktycznych części Szczecina. To lokalizacja, która pozwala korzystać z infrastruktury centrum miasta bez konieczności codziennego używania samochodu. W najbliższej okolicy znajdują się sklepy, restauracje, kawiarnie, punkty usługowe, szkoły, uczelnie oraz liczne przystanki komunikacji miejskiej. Blisko stąd zarówno do ścisłego centrum Szczecina, jak i do terenów zielonych- Jasnych Błoni oraz Parku Kasprowicza. Co znajduje się w pobliżu?- sklepy spożywcze i punkty usługowe – ok. 50–200 m - ul. Rayskiego – ok. 100 m - przystanki autobusowe i tramwajowe – ok. 150–300 m - Delikatesy Centrum, ul. Rayskiego 2 – ok. 200 m - Hanza Tower – ok. 400 m - Biedronka, al. Wyzwolenia 44A – ok. 450 m - Uniwersytet Szczeciński – ok. 500–700 m - Centrum Handlowe Galaxy – ok. 700 m - Plac Grunwaldzki – ok. 700 m - Jasne Błonia – ok. 900 m - Targowisko Manhattan – ok. 1 km - Galeria Kaskada – ok. 1,1 km - Park Kasprowicza – ok. 1,2 km - Wały Chrobrego – ok. 1,5 km - Aquapark Fabryka Wody – ok. 2 km Dzięki takiemu położeniu przyszły właściciel ma dostęp do praktycznie całej infrastruktury centrum w zasięgu kilku lub kilkunastominutowego spaceru. Lokalizacja jest również dużym atutem z punktu widzenia inwestycyjnego. Bliskość centrum, uczelni, komunikacji miejskiej oraz licznych miejsc pracy sprawia, że mieszkania w tej części Szczecina są atrakcyjne również pod wynajem długoterminowy. Najważniejsze atuty:- 46,5 m² w centrum Szczecina - 5. piętro - winda w budynku - mieszkanie wymagające jedynie drobnego remontu / odświeżenia - bardzo dobra lokalizacja - świetna komunikacja miejska - sklepy i usługi w bezpośrednim sąsiedztwie - blisko Galaxy, Hanza Tower i centrum miasta - szybki dostęp do Jasnych Błoni i Parku Kasprowicza - dobra propozycja zarówno do zamieszkania, jak i pod inwestycję Zapraszamy na prezentację! Pozostaję do dyspozycji pod wskazanym numerem telefonu – codziennie, również w weekendy, w godzinach 9:00–21:00. Skupujemy mieszkania za gotówkę – również zadłużone lub z różnymi obciążeniami. -pochodzące ze spadku lub darowizny -nieruchomości do remontu -Kupujemy także udziały w nieruchomościach – zarówno z posiadaniem, jak i bez. - Bezpłatna pomoc w uzyskaniu kredycie hipotecznego Oferujemy bezpłatne wsparcie w uzyskaniu kredytu hipotecznego na każdy rodzaj nieruchomości. Nasi eksperci sprawdzą Państwa zdolność kredytową, przedstawią dostępne opcje oraz załatwią wszystkie formalności bez żadnych opłat. Współpracujemy ze wszystkimi komercyjnymi bankami w Polsce, dobierając finansowanie na najkorzystniejszych warunkach.",,,osobna,plastikowe,własność,,53.43616,14.551428
