locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url,city_district,full_address,floor,year_built,building_type,price_per_sqm_detailed,description_text,has_basement,has_parking,kitchen_type,window_type,ownership_type,equipment,latitude,longitude
Szczecin Centrum,ul. Monte Cassino 7,2,78,550000,7051,bez pośredników,,11,https://adresowo.pl/o/mieszkanie-szczecin-centrum-ul-monte-cassino-2-pokojowe-s7h5d6,https://s2.adresowa.pl/oi/43/7a/3a2c60_cb93_cover@2x-2-pokojowe-mieszkanie-szczecin-centrum-ul-monte-cassino.webp,Szczecin Centrum,Monte Cassino 7,1,1898,kamienica,,"SPRZEDAM Frontowe mieszkanie położone w centrum Szczecina przy ul. Monte Cassino 7 w odrestaurowanej kamienicy (część wewnętrzna oraz część frontowa od strony pl. Odrodzenia). Mieszkanie przede wszystkim jest ciepłe, ciche i jasne, w dużej części zmodernizowane, ale na pewno jeszcze jest w nim kilka rzeczy do zrobienia. W naszej kamienicy znajdują się firmy takie jak kancelarie prawnicze, fryzjer, salon urody. --- PARAMETRY: - Powierzchnia: 79 m² + przynależna piwnica - Wysokość: 3,8 m - Ogrzewanie: Gazowe - Umiejscowienie: Front - Piętro: 1 - Dostęp do Internetu: Światłowód Orange --- POMIESZCZENIA: - Kuchnia - Łazienka - Duży pokój dzienny - Sypialnia - Duża garderoba z funkcją spania - Przynależna piwnica --- INSTALACJE: Instalacje mieszkania zostały zmodernizowane w ostatnich latach wraz z remontem kamienicy: - Elektryczna: zmodernizowana - Teletechniczna: w pokojach dostępne gniazda Ethernet - Piony kanalizacyjne: wymienione - Piony wodne: wymienione - Instalacja gazowa: zmodernizowana / w budynku nowa - Piec gazowy: wymieniony kilka lat temu - Instalacja ogrzewania: sprawna i ekonomiczna, niemodernizowana przez nas, gdyż spełnia swoją funkcję. - Kominowa: do zainstalowania nowy wkład kominowy lub tzw. rękaw wdmuchiwany - Wentylacyjna: sprawna, zgodnie z inspekcjami --- WYKOŃCZENIE I UDOGODNIENIA: - Okna: w ostatnich latach wymienione wszystkie okna na 3-szybowe - Drzwi: wymienione ~5 lat temu - Łazienka: modernizacja około 5 lat temu - Kuchnia: czysta, schludna, ale na pewno w przyszłości do modernizacji - Szafy w zabudowach: w mieszkaniu są dwie duże, głębokie szafy na ubrania (w garderobie) i inne rzeczy gospodarstwa domowego, w tym kurtki i buty (korytarz przy wejściu) - Pawlacz: bardzo pojemny pawlacz w podwieszanym suficie --- KAMIENICA: - Odrestaurowana wewnątrz - Nowe piony kanalizacyjne, wodne, gazowe, elektryczne - Wszystkie badania instalacji w całym obiekcie dokonywane są na bieżąco - Kontrola dostępu: drzwi na klucz elektroniczny, monitoring, dodatkowe nowoczesne drzwi w przedsionku - Bardzo szerokie, zadbane klatki - Dla mieszkańców dostępne przedogródki --- W razie pytań proszę o kontakt przez e-mail lub telefoniczny.",tak,,osobna,plastikowe,własność,Wyposażenie: internet,53.433568,14.543578
Szczecin Łekno,ul. Spółdzielcza,7,134,zapytaj,,bez pośredników,,21,https://adresowo.pl/o/mieszkanie-szczecin-lekno-ul-spoldzielcza-7-pokojowe-h6f1a4,https://s2.adresowa.pl/oi/1b/23/3dd8d6_5752_cover@2x-7-pokojowe-mieszkanie-szczecin-lekno-ul-spoldzielcza.webp,Szczecin Łekno,Spółdzielcza,3,2026,kamienica,,"Najlepsza lokalizacja w mieście - Łękno, ul.Spółdzielcza, 3. Piętro w wyremontowanej kamienicy, widok na park i zachody słońca. Bezpośredni dostęp do komunikacji miejskiej, sklepów i szkół. Zielona, willowa okolica, sąsiedztwo kortów tenisowych, Teatru Letniego, Parku Kasprowicza i Jasnych Błoni. Nowa adaptacja poddasza - dwupoziomowe mieszkanie o powierzchni całkowitej 134 m2 przygotowane do podziału na dwa mieszkania z oddzielnymi wejściami (4 pokoje ok. 70 m2 i 3 pokoje ok. 64 m2 po podłodze). Stan deweloperski, możliwość wykończenia według indywidualnego projektu. Centralne ogrzewanie i woda z sieci miejskiej. Możliwość dokupienia murowanego garażu.",,tak,osobna,plastikowe,spółdzielcze własnościowe,,53.442604,14.525943
Szczecin Pomorzany,ul. Włościańska,2,33,300000,9091,bez pośredników,,12,https://adresowo.pl/o/mieszkanie-szczecin-pomorzany-ul-wloscianska-2-pokojowe-k5s6n7,https://s2.adresowa.pl/oi/59/15/3dd8fe_8c72_cover@2x-2-pokojowe-mieszkanie-szczecin-pomorzany-ul-wloscianska.webp,Szczecin Pomorzany,Włościańska,3,1970,blok,,"Na sprzedaż 2-pokojowe mieszkanie o pow. 32,97 m² na cichych, zielonych Pomorzanach przy ul. Włościańskiej. 2 pokoje, kuchnia, łazienka, przedpokój 3 piętro w niskim, 4-piętrowym bloku Balkon Piwnica w cenie Pełna własność hipoteczna (KW czysta, bez obciążeń) Lokalizacja — spokojna, kameralna część Pomorzan. W okolicy szkoły, przedszkola, sklepy, przystanki komunikacji miejskiej, dużo zieleni. Stan — mieszkanie do remontu, co daje nowemu właścicielowi możliwość urządzenia wnętrza według własnego pomysłu i gustu. Cena uwzględnia stan techniczny. Sprzedaż bezpośrednio od właścicieli — bez prowizji pośrednika.",tak,,osobna,,własność,,53.39761,14.527231
Szczecin,Pomorzany,2,38,385000,10132,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-szczecin-pomorzany-2-pokojowe-38-m2-t2c2m8,https://s2.adresowa.pl/oi/39/2d/3dd48e_d00f_cover@2x-2-pokojowe-mieszkanie-szczecin-pomorzany.webp,Szczecin Pomorzany,,parter,,blok,,"Oferta prywatna - właściciel mieszkania; sprzedaż bez prowizji. Oferuję na sprzedaż mieszkanie dwupokojowe zlokalizowane na Pomorzanach; spółdzielcze własnościowe. Mieszkanie o powierzchni 38 m² składa się z dwóch niezależnych pokoi, kuchni z oknem, przedpokoju i łazienki. Mieszkanie jest usytuowane na parterze. W całym mieszkaniu okna PCV w dobrym stanie. Wokół bloku wiele zieleni, placów zabaw oraz terenów rekreacyjnych. Mieszkanie nadaje się do zamieszkania. Wkrótce zamieszczę więcej zdjęć. Ogrzewanie i ciepła woda z sieci miejskiej. Mieszkanie bardzo ciepłe i w sezonie zimowym nie ma konieczności odkręcania grzejników. Do mieszkania przynależy piwnica. Mieszkańcy Pomorzan mają zapewniony dostęp do wszelkich obiektów handlowo - usługowych, szkolno - wychowawczych oraz opieki zdrowotnej. Położenie budynku umożliwia zarówno szybkie dotarcie do ścisłego centrum miasta z pełną infrastrukturą handlową i usługową jak i terenów rekreacyjnych znajdujących się w niewielkiej odległości od bloku. W pobliżu budynku rozbudowany węzeł komunikacyjny; liczne przystanki komunikacji miejskiej (tramwajowe, autobusowe, SKM). Pod blokiem wiele miejsc parkingowych poza strefą płatnego parkowania.",tak,,osobna,,spółdzielcze własnościowe,,53.428544,14.552812
Szczecin,ul. marsz. Józefa Piłsudskiego,2,55,670000,12182,Pośrednik,,8,https://adresowo.pl/o/mieszkanie-szczecin-ul-marsz-jozefa-pilsudskiego-2-pokojowe-b4s8j5,https://s2.adresowa.pl/oi/70/55/3ddd82_712b_cover@2x-2-pokojowe-mieszkanie-szczecin-ul-marsz-jozefa-pilsudskiego.webp,Szczecin ,marsz. Józefa Piłsudskiego,3,1957,,,"Na sprzedaż komfortowe mieszkanie o powierzchni 55 m², położone na 3. piętrze w 4-piętrowym budynku w samym centrum Szczecina. Lokal przeszedł generalny remont w 2022 roku, dzięki czemu jest gotowy do wprowadzenia bez dodatkowych nakładów finansowych. W trakcie modernizacji wymieniono instalację elektryczną oraz piony wodno-kanalizacyjne, co znacząco podnosi bezpieczeństwo i komfort użytkowania. Mieszkanie wyróżnia się wysokim standardem wykończenia: Na podłogach znajduje się elegancka deska barlinecka, okna PCV wyposażone są w rolety zaciemniające, zapewniające prywatność i wygodę. w łazience zastosowano ogrzewanie podłogowe, co zwiększa komfort szczególnie w chłodniejsze dni. Kuchnia została zaprojektowana z dbałością o funkcjonalność i estetykę – wyposażona jest w wysokiej jakości meble oraz sprzęt AGD. Centralnym punktem jest nowoczesna wyspa kuchenna z płytą grzewczą i wbudowanym okapem, idealna zarówno do gotowania, jak i spotkań towarzyskich. Do mieszkania przynależy również piwnica, zapewniająca dodatkową przestrzeń do przechowywania. Doskonała lokalizacja w centrum Szczecina gwarantuje łatwy dostęp do komunikacji miejskiej, sklepów, restauracji oraz wszystkich najważniejszych punktów miasta. To idealna propozycja dla osób szukających gotowego, stylowego mieszkania w świetnej lokalizacji.",,,aneks,,własność,,53.432519,14.550459
Szczecin,ul. Bolesława Śmiałego,2,66,560000,8485,Pośrednik,,8,https://adresowo.pl/o/mieszkanie-szczecin-ul-boleslawa-smialego-2-pokojowe-h4y7r1,https://s2.adresowa.pl/oi/62/1e/3ddcd8_c73b_cover@2x-2-pokojowe-mieszkanie-szczecin-ul-boleslawa-smialego.webp,Szczecin ,Bolesława Śmiałego,parter,1907,kamienica,,"Na sprzedaż wyjątkowe mieszkanie o powierzchni 66,7 m², położone na parterze zadbanej kamienicy, w pobliżu centrum miasta. To idealna propozycja dla osób ceniących przestrzeń, klimat kamienicy oraz niskie koszty utrzymania. NAJWAŻNIEJSZE ATUTY • powierzchnia 66,7 m² • parter w zadbanej kamienicy • mieszkanie po remoncie • wymieniona instalacja elektryczna • wysoki sufit, klimatyczne wnętrze • niski czynsz około 300 zł • spokojna, estetyczna okolica blisko centrum UKŁAD POMIESZCZEŃ • przestronny salon • osobna sypialnia • niezależna kuchnia • łazienka • korytarz STANDARD I WYKOŃCZENIE • mieszkanie po remoncie, gotowe do zamieszkania • zachowany kamieniczny charakter i klimat • wnętrza jasne, przytulne i funkcjonalne • idealne zarówno do zamieszkania, jak i pod inwestycję LOKALIZACJA • blisko centrum miasta • ładna, spokojna okolica • w pobliżu sklepy, komunikacja miejska, usługi Mieszkanie łączy w sobie przestrzeń, klimat i funkcjonalność. To doskonała propozycja dla osób szukających czegoś więcej niż standardowe nowe budownictwo. Zapraszam do kontaktu. Karolina Zdrach",tak,,osobna,plastikowe,własność,,53.433695,14.537263
Szczecin Centrum,al. Wojska Polskiego,4,93,940000,10108,bez pośredników,,10,https://adresowo.pl/o/mieszkanie-szczecin-centrum-al-wojska-polskiego-4-pokojowe-d2o5v3,https://s2.adresowa.pl/oi/1a/42/3dd3e2_5aab_cover@2x-4-pokojowe-mieszkanie-szczecin-centrum-al-wojska-polskiego.webp,Szczecin Centrum,Wojska Polskiego,2,2002,apartamentowiec,,"Przestronny salon z kominkiem, aneksem kuchennym i dużym balkonem, trzy sypialnie, dwie łazienki i dwie garderoby, ogrzewanie podłogowe w łazienkach. Elegancki apartamentowiec w jednej z najbardziej prestiżowych dzielnic w Szczecinie. Poziom pierwszy: - przestronny salon z kominkiem, dużym balkonem i aneksem kuchennym, - gabinet/sypialnia z widokiem na zamknięte patio, - korytarz z oknem i zabudowaną szafą, - łazienka z prysznicem. Poziom drugi: - duża sypialnia, - mniejsza sypialnia z antresolą i garderobą, - duża garderoba z oknem, z możliwością aranżacji małego biura, - łazienka z wanną i zabudowanym miejscem na pralkę i głębokie półki. Mieszkanie wykończone w wysokim standardzie, do zamieszkania od zaraz. Wspólnota posiada niezależną kotłownię, co ogranicza poziom czynszu. Możliwość kupna garażu w podziemnym garażowcu. Dla mieszkańców dostępna rowerownia. System monitoringu na całym osiedlu. Dobrze zarządzana wspólnota. Cicha okolica, druga linia zabudowy. Doskonale skomunikowana z wszystkimi dzielnicami miasta.",,tak,aneks,drewniane,własność,Wyposażenie: pralkę,53.449093,14.516844
Szczecin Śródmieście,al. Wyzwolenia,2,36,430000,11944,bez pośredników,,4,https://adresowo.pl/o/mieszkanie-szczecin-srodmiescie-al-wyzwolenia-2-pokojowe-l6b5p0,https://s2.adresowa.pl/oi/63/72/3c4f7c_e782_cover@2x-2-pokojowe-mieszkanie-szczecin-srodmiescie-al-wyzwolenia.webp,Szczecin Śródmieście,Wyzwolenia,2,1979,blok,,Mieszkanie po generalnym remoncie wyposażone gotowe do zamieszkania wszystkie meble mogą pozostać mieszkanie posiada parking od strony podwórka blisko sklepy przychodnia przystanek autobusowy i tramwajowy,tak,,aneks,plastikowe,spółdzielcze własnościowe,,53.436099,14.554381
Szczecin Zawadzkiego-Klonowica,ul. Eugeniusza Romera,2,42,479000,11405,bez pośredników,,7,https://adresowo.pl/o/mieszkanie-szczecin-zawadzkiego-klonowica-ul-eugeniusza-romera-2-pokojowe-s8c3v2,https://s2.adresowa.pl/oi/6e/2c/3dce8c_7d66_cover@2x-2-pokojowe-mieszkanie-szczecin-zawadzkiego-klonowica-ul-eugeniusza-romera.webp,Szczecin Zawadzkiego-Klonowica,Eugeniusza Romera,1,1980,blok,,"Sprzedam mieszkanie 2 pokojowe - 42m2 (spółdzielczo - własnościowe) w 4 kondygnacyjnym bloku znajdujące się na pierwszym piętrze. Mieszkanie posiada osobną kuchnię, balkon i przynależy do niego piwnica. Jest słoneczne i ciepłe, łazienka i ubikacja po remoncie. Czynsz ok. 700 zł + media",tak,,osobna,,spółdzielcze własnościowe,,53.453234,14.489728
Szczecin,al. Wyzwolenia,1,26,290000,11154,Pośrednik,,6,https://adresowo.pl/o/mieszkanie-szczecin-al-wyzwolenia-1-pokoj-r3y2u0,https://s2.adresowa.pl/oi/76/62/3dd78c_ce02_cover@2x-1-pokojowe-mieszkanie-szczecin-al-wyzwolenia.webp,Szczecin ,Wyzwolenia,8,1970,blok,,"Na sprzedaż przytulna kawalerka o powierzchni 26,5m2 ,zlokalizowana w samym sercu Szczecina – przy al. Wyzwolenia, naprzeciwko prestiżowego Radisson Blu Hotel Szczecin. To idealna propozycja zarówno dla inwestora, jak i osoby szukającej mieszkania w świetnej, centralnej lokalizacji. Mieszkanie znajduje się na 8 piętrze, dzięki czemu oferuje przepiękny, otwarty widok na panoramę miasta. Duże okna zapewniają bardzo dobre doświetlenie wnętrza przez cały dzień, co sprawia, że przestrzeń jest jasna i przyjemna. Lokal składa się z jednego ustawnego pokoju, który daje wiele możliwości aranżacyjnych – zarówno jako wygodna przestrzeń do życia, jak i pod wynajem. Ogrzewanie miejskie zapewnia komfort użytkowania bez konieczności dodatkowych nakładów, a niski czynsz w wysokości około 300 zł czyni to mieszkanie bardzo ekonomicznym w utrzymaniu. Elektryczny podgrzewacz wody. Niewątpliwym atutem jest lokalizacja – ścisłe centrum miasta, w pobliżu galerii handlowej Galaxy, licznych sklepów, restauracji, komunikacji miejskiej oraz wszystkich najważniejszych punktów Szczecina. Okolica łączy wygodę życia w mieście z dostępem do pełnej infrastruktury i atrakcji. Szukasz mieszkania, domu, działki zajrzyj na [www] Mamy bazę ponad 10 000 ofert, które są codziennie aktualizowane! Posiadamy niemal 20 letnie doświadczenie w branży. Powyższe ogłoszenie ma charakter wyłącznie informacyjny i nie stanowi oferty w myśl art. 66 i n. ustawy z dnia 23.04.1964r. Kodeks cywilny (Dz.U. 1964r. Nr 16, poz. 93, ze zm.) Zalecamy osobistą weryfikację wszystkich podanych danych.",tak,,,,własność,,,
