locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Warszawa Ursynów,ul. Alternatywy 4,2,57,999000,17526,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-warszawa-ursynow-ul-alternatywy-2-pokojowe-p0d6v5,https://s2.adresowa.pl/oi/43/7e/40354c_984f_cover@2x-2-pokojowe-mieszkanie-warszawa-ursynow-ul-alternatywy.webp
Warszawa Wola,ul. Jana Kazimierza,3,56,1299000,23196,bez pośredników,,20,https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-jana-kazimierza-3-pokojowe-g1o2r7,https://s2.adresowa.pl/oi/1c/62/406f98_ca7c_cover@2x-3-pokojowe-mieszkanie-warszawa-wola-ul-jana-kazimierza.webp
Warszawa Wola,ul. Mikołaja Wierzynka,3,48,875000,18229,bez pośredników,,12,https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-mikolaja-wierzynka-3-pokojowe-t6h6f7,https://s2.adresowa.pl/oi/39/18/406f48_4fae_cover@2x-3-pokojowe-mieszkanie-warszawa-wola-ul-mikolaja-wierzynka.webp
Warszawa Chrzanów,ul. Szeligowska,2,42,zapytaj,,bez pośredników,,+134 podobne oferty,https://adresowo.pl/o/mieszkanie-warszawa-chrzanow-ul-szeligowska-2-pokojowe-i2f8m2,https://s2.adresowa.pl/development/671220/nowe-mieszkania-bemowo-vita-c525_cover.jpg
Warszawa Mokotów,ul. Tadeusza Rejtana 7,4,56,990000,17679,Pośrednik,,23,https://adresowo.pl/o/mieszkanie-warszawa-mokotow-ul-tadeusza-rejtana-4-pokojowe-h7v9r3,https://s2.adresowa.pl/oi/32/56/406e9c_6442_cover@2x-4-pokojowe-mieszkanie-warszawa-mokotow-ul-tadeusza-rejtana.webp
Warszawa Białołęka,ul. Aluzyjna,2,56,730000,13036,Pośrednik,,12,https://adresowo.pl/o/mieszkanie-warszawa-bialoleka-ul-aluzyjna-2-pokojowe-n0a9g7,https://s2.adresowa.pl/oi/3a/79/406e8e_3a7e_cover@2x-2-pokojowe-mieszkanie-warszawa-bialoleka-ul-aluzyjna.webp
Warszawa Wola,ul. Magistracka 27,3,63,997000,15825,bez pośredników,,10,https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-magistracka-3-pokojowe-g5f0f0,https://s2.adresowa.pl/oi/19/64/406e0e_d79b_cover@2x-3-pokojowe-mieszkanie-warszawa-wola-ul-magistracka.webp
Warszawa Stary Rembertów,"al. gen. Antoniego Chruściela ""Montera""",2,46,800000,17391,bez pośredników,,18,https://adresowo.pl/o/mieszkanie-warszawa-stary-rembertow-al-gen-antoniego-chrusciela-montera-2-pokojowe-o1a9j5,https://s2.adresowa.pl/oi/2d/18/406cda_e084_cover@2x-2-pokojowe-mieszkanie-warszawa-stary-rembertow-al-gen-antoniego-chrusciela-montera-.webp
Warszawa Włochy,ul. Trzcinowa,2,42,zapytaj,,bez pośredników,,+31 podobnych ofert,https://adresowo.pl/o/mieszkanie-warszawa-wlochy-ul-trzcinowa-2-pokojowe-y5a4p6,https://s2.adresowa.pl/development/671574/nowe-mieszkania-trzcinowa-vita-1475_cover.jpg
Warszawa Ursynów,ul. Belgradzka,1,41,749000,18268,Pośrednik,,19,https://adresowo.pl/o/mieszkanie-warszawa-ursynow-ul-belgradzka-1-pokoj-e9l7s8,https://s2.adresowa.pl/oi/12/34/406bec_5e30_cover@2x-1-pokojowe-mieszkanie-warszawa-ursynow-ul-belgradzka.webp
