locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url,city_district,full_address,floor,year_built,building_type,price_per_sqm_detailed,description_text,has_basement,has_parking,kitchen_type,window_type,ownership_type,equipment,latitude,longitude
Warszawa Ursus,ul. Herbu Oksza 27,3,59,995000,16864,bez pośredników,,19,https://adresowo.pl/o/mieszkanie-warszawa-ursus-ul-herbu-oksza-3-pokojowe-h5e0v1,https://s2.adresowa.pl/oi/3a/16/3e6590_856c_cover@2x-3-pokojowe-mieszkanie-warszawa-ursus-ul-herbu-oksza.webp,Warszawa Ursus,Herbu Oksza 27,4,2018,blok,,"MIESZKANIE W REZERWACJI !!! Sprzedam bezpośrednio jasne, ciche i w pełni umeblowane 3-pokojowe mieszkanie o powierzchni 59,44m2, zlokalizowane przy ul. Herbu Oksza 27 (Ursus/Szamoty). Nieruchomość znajduje się na 4 piętrze w zadbanym, nowoczesnym 7 piętrowym bloku z 2018 roku (2 windy na klatce, ochrona na osiedlu, widok na patio). KLUCZOWE ATUTY: Idealna ekspozycja: Południowo-zachodnia (mieszkanie bardzo jasne). Cisza i bezpieczeństwo: Okna wychodzą na wewnętrzne patio (brak hałasu ulicznego, możliwość nadzoru dzieci bawiących się na placu zabaw). Klimatyzacja: Zainstalowana klimatyzacja marki LG (komfort w letnie dni). Gotowe do zamieszkania: Mieszkanie umeblowane, kompletne wyposażenie kuchni zostaje (w tym nowa zmywarka Bosch) Komfortowy rozkład: 3 pokoje (w tym salon z aneksem kuchennym), duża łazienka z wanną, pralką i suszarką + garderoba (osobne WC zostało profesjonalnie zaadaptowane na pojemną garderobę przy wejściu). Doświetlona kuchnia: Aneks kuchenny posiada dodatkowe, naturalne doświetlenie ścienne (naświetle). Balkon: Przestronny balkon/loggia o bardzo ustawnych wymiarach. LOKALIZACJA I INFRASTRUKTURA: Mieszkanie zlokalizowane jest w prężnie rozwijajacej sie okolicy, w której wciaż pojawiają się nowe punkty usługowe. W bezpośrednim sąsiedztwie bloku: Biedronka, Castorama Express, Hebe, Siłownia, Żabki, Paczkomaty InPost (pieszo). Liczne sklepy, kawiarnie i punkty usługowe. Dogodny dojazd do centrum (PKP Ursus Płn, Autobusy komunikacji miejskiej 197,177) Bliski wyjazd do trasy S8. Planowana stacja Metra Ursus Płn. MIEJSCE POSTOJOWE I KOMÓRKA: Do mieszkania przynależy szerokie miejsce postojowe w garażu podziemnym (mozliwosc szerokiego otwierania drzwi) Obok miejsca znajduje się komórka rowerowa (lokatorska) - 2.83m2. Całość zlokalizowana jest bardzo blisko wejścia do windy z garażu. Miejsce garażowe z komórką: 50 000 PLN (zakup obligatoryjny) INFORMACJE FORMALNE: Stan prawny: Akt własności z Księgą Wieczystą - osobna ksiega dla garażu. Czynsz: wynosi ok. 1050 zł (zawiera zaliczki na wodę i ogrzewanie) przy 4-osobowej rodzinie. Cena mieszkania: 995 000 PLN + miejsce garażowe z komórką: 50 000 PLN Łączna wartość oferty: 1 045 000 PLN (Możliwość negocjacji) Zapraszam do kontaktu i obejrzenia mieszkania na żywo. Agencjom dziękuję za kontakt, sprzedaż wyłącznie bezpośrednia.",tak,tak,aneks,plastikowe,własność,"Wyposażenie: klimatyzacja, zmywarka",52.206441,20.881303
Warszawa Białołęka,ul. Pawła Włodkowica,1,25,485000,19400,bez pośredników,,20,https://adresowo.pl/o/mieszkanie-warszawa-bialoleka-ul-pawla-wlodkowica-1-pokoj-m7k6b3,https://s2.adresowa.pl/oi/7a/7b/3ee070_e4c5_cover@2x-1-pokojowe-mieszkanie-warszawa-bialoleka-ul-pawla-wlodkowica.webp,Warszawa Białołęka,Pawła Włodkowica,1,2024,blok,,"Na sprzedaż nowoczesna kawalerka o powierzchni 25,68 m², położona na 1. piętrze w inwestycji Nova Viva Garden (Victoria Dom), etap I, przy ul. Pawła Włodkowica na warszawskiej Białołęce. Mieszkanie jest nowe, wykończone i umeblowane ""pod klucz"", w pełni wyposażone oraz gotowe do zamieszkania lub wynajmu od zaraz. To doskonała propozycja zarówno dla singla, jak i inwestora poszukującego nieruchomości pod wynajem. Najważniejsze informacje: - Powierzchnia: 25,68 m² - Układ: salon z aneksem kuchennym + łazienka - Balkon - 1 piętro - Winda - Budynek oddany do użytkowania w 2024 r. - Akt notarialny od 2025 r. - Księga wieczysta / Pełna własność - Brak miejsca postojowego i komórki lokatorskiej. Budynek posiada parking podziemny z miejscami dla gości. Standard wykończenia: Mieszkanie zostało świeżo wykończone z wykorzystaniem nowych materiałów i wyposażenia. Lokal nie wymaga żadnych dodatkowych nakładów finansowych - jest gotowy do wprowadzenia się lub natychmiastowego wynajęcia. Lokalizacja i komunikacja: Inwestycja znajduje się w dynamicznie rozwijającej się części Białołęki, w pobliżu Factory Annopol oraz stacji metra Bródno (M2). - Przystanek autobusowy bezpośrednio przy osiedlu - Około 5-7 minut autobusem do stacji Metro Bródno - Szybki dojazd do centrum Warszawy - W pobliżu sklepy, punkty usługowe i centra handlowe. Atuty osiedla i okolicy: - Strefa fitness dla mieszkańców - Wózkownia i rowerownia - Ścieżki rowerowe wzdłuż Kanału Żerańskiego (ok. 4 min rowerem) - Las Bródnowski (ok. 11 min samochodem) - Lidl (ok. 3 min samochodem) - CH Atrium Targówek i Multikino (ok. 6 min samochodem). Dodatkowym atutem jest trwająca rozbudowa ul. Białołęckiej oraz budowa nowej linii tramwajowej w bezpośrednim sąsiedztwie osiedla, co w przyszłości jeszcze bardziej poprawi komunikację i może pozytywnie wpłynąć na wartość nieruchomości. Cena: 485 000 zł Sprzedaż bezpośrednio od właściciela.",tak,,aneks,plastikowe,własność,,52.309148,21.024938
Warszawa Mokotów,ul. Korczyńska,3,51,735000,14412,bez pośredników,,16,https://adresowo.pl/o/mieszkanie-warszawa-mokotow-ul-korczynska-3-pokojowe-l2u8x8,https://s2.adresowa.pl/oi/65/55/3edfca_fcc8_cover@2x-3-pokojowe-mieszkanie-warszawa-mokotow-ul-korczynska.webp,Warszawa Mokotów,Korczyńska,3,1974,blok,,"SPRZEDAŻ WYŁĄCZNIE BEZ AGENCJI I POŚREDNIKÓW Sprzedam 3-pokojowe, bardzo ustawne mieszkanie o powierzchni 51,8 m², położone na warszawskim Mokotowie/Sadybie, przy ul. Korczyńskiej. Lokal znajduje się na 3. piętrze w 4-piętrowym budynku bez windy, w bardzo zielonej i spokojnej okolicy, jednocześnie zapewnia wygodny dojazd do centrum Warszawy. Największe plusy: - 51,8 m² powierzchni + piwnica około 7 m², 3 niezależne pokoje, oddzielna kuchnia. - Mieszkanie na dwie strony: północ (kuchnia i 1 sypialnia) i południe (1 sypialnia, salon i loggia). - Bardzo dużo drzew i zieleni za oknami. - Spokojne i ciche osiedle. - Bardzo dobra komunikacja z centrum / innymi dzielnicami (blisko tramwaj i autobus). - Sklepy, szkoły, przedszkola i parki w pobliżu, a także ZDROFIT i Tor Stegny. - Parking dla mieszkańców. - Mieszkanie własnościowe z uregulowaną księgą wieczystą. - Mieszkanie z dużym potencjałem aranżacyjnym. Ponadto: Mieszkanie znajduje się w miejscu, gdzie naprawdę można poczuć spokój, mimo że nadal jest się blisko centrum Warszawy. Od strony północnej znajduje się Centrum Partnerstwa Społecznego ""Dialog"" na olbrzymiej działce z dużą ilością drzew, a od południa duża odległość do sąsiednich bloków i przestrzeń wypełniona drzewami - dzięki czemu nikt nie zagląda sąsiadom w okna i można mieć wrażenie, że mieszkamy w centrum parku. Budynek znajduje się w pobliżu wielu punktów usługowych i sklepów. Okolica jest przyjazna, a sąsiedztwo terenów rekreacyjnych zachęca do spędzania czasu na świeżym powietrzu. Doskonała komunikacja miejska z innymi częściami Warszawy sprawia, że mieszkanie jest świetnie skomunikowane z centrum miasta i innymi dzielnicami. Dostęp do centrum w 15 min samochodem, 350 metrów do przystanku tramwajowego i autobusowego. W najbliższej okolicy: W odległości 150 m (przy ul. Sobieskiego) parking ze szlabanem dla mieszkańców, możliwy wjazd pod sam dom od ul. Limanowskiego na mały parking również ze szlabanem. Tereny rekreacyjne: piękny park z placem zabaw, boiskiem, górkami - 250 metrów, park Przy Bernardyńskiej Wodzie - 550 metrów. Klub ZDROFIT - 500 metrów, Ośrodek Stegny AKTYWNA WARSZAWA Tor Łyżwiarski - ok 950 metrów. Lokalne sklepy i usługi oraz Biedronka - 450 metrów, Lidl - 600 metrów, Sadyba Best Mall - 10 minut spacerem przez park. W bliskich odległościach: szkoły - podstawowa, liceum, szkoła brytyjska, 3 przedszkola. Położenie na Sadybie zapewnia wygodną komunikację do Śródmieścia oraz prawobrzeżną część miasta. Odległość ok 4 km dzieli Sadybę od muzeum i parku w Wilanowie oraz od najatrakcyjniejszego parku historycznego Warszawy - Łazienek Królewskich. Mieszkanie do remontu, co daje nieograniczone możliwości aranżacyjne, jednakże w chwili obecnej nadaje się do zamieszkania po lekkim odświeżeniu lub wynajmu (sprawna kuchnia, lodówka, pralka, łazienka). Nieruchomość tę polecam dla pary, rodziny z dzieckiem, lub jako zakup inwestycyjny ze względu na idealną lokalizację oraz dostępną infrastrukturę. Czynsz około 900 zł wraz z zaliczkami na media i wywóz odpadów. Cena: 735.000 zł Ze względu na pracę nie zawsze mogę odebrać telefon, bardzo proszę o wiadomość SMS - na pewno oddzwonię. Zapraszam do kontaktu i obejrzenia na żywo.",tak,,osobna,plastikowe,własność,"Wyposażenie: lodówka, pralka",52.189676,21.051371
Warszawa Włochy,ul. Trzcinowa,2,38,zapytaj,,bez pośredników,,+37 podobnych ofert,https://adresowo.pl/o/mieszkanie-warszawa-wlochy-ul-trzcinowa-2-pokojowe-t7k5w9,https://s2.adresowa.pl/development/671574/nowe-mieszkania-trzcinowa-vita-1475_cover.jpg,Warszawa Włochy,Trzcinowa,2,2027,blok,,"Nowe mieszkanie 2-pokojowe o powierzchni 38,42 m² w inwestycji Trzcinowa Vita dewelopera DEVELIA, na 2 piętrze w budynku 18 pod adresem ul. Trzcinowa 18, Warszawa Włochy. Planowany termin oddania to II kwartał 2027 roku. Trzcinowa Vita to nowoczesna inwestycja mieszkaniowa zlokalizowana w spokojnej, zielonej części dzielnicy Włochy. Projekt inspirowany ideą miasta-ogrodu Ebenezera Howarda harmonijnie łączy komfort życia wśród przyrody z wygodnym dostępem do infrastruktury miejskiej oraz doskonałą komunikacją z centrum Warszawy. W ramach I etapu powstaną dwa budynki, w których zaprojektowano 117 funkcjonalnych mieszkań o powierzchni od 26 do 113 m². Przeważają ustawne, 3-pokojowe lokale, idealne dla rodzin, par i singli. Do każdego mieszkania przynależy balkon lub prywatny ogródek – w zależności od kondygnacji. II etap inwestycji obejmuje 46 komfortowych mieszkań, zaprojektowanych z myślą o różnych potrzebach przyszłych mieszkańców. W ofercie znajdują się: - mieszkania 2-pokojowe o powierzchni od 34 do 43 m², - funkcjonalne lokale 3-pokojowe od 50 do 67 m², - przestronne mieszkania 4-pokojowe o metrażach od 68 do 77 m². Podobnie jak w pierwszym etapie, każde mieszkanie posiada balkon lub ogródek, zapewniając dodatkową przestrzeń do wypoczynku. Na terenie osiedla zaplanowano parking podziemny, naziemne miejsca postojowe, komórki lokatorskie oraz boksy do przechowywania. Dla miłośników aktywnego trybu życia przewidziano również stojaki rowerowe. Lokalizacja sprzyjająca codziennemu komfortowi Inwestycja znajduje się w bezpośrednim sąsiedztwie terenów zielonych, takich jak Park Ogrody Kosmosu, Park Koziorożca czy Park Kombatantów. W niewielkiej odległości położony jest także malowniczy staw Glinianki Sznajdra – idealny na spacery i rekreację. W promieniu kilkuset metrów dostępne są liczne punkty usługowe, sklepy (m.in. Biedronka, Lidl), a także placówki edukacyjne – żłobek, przedszkole oraz szkoła muzyczna. Zaledwie 1 km od osiedla znajduje się stacja PKP Warszawa Włochy, z której dojazd do centrum Warszawy zajmuje około 15–20 minut. Bliskość przystanków autobusowych dodatkowo zwiększa komfort komunikacyjny. Atuty inwestycji: - spokojna okolica w otoczeniu zabudowy mieszkaniowej - sąsiedztwo terenów rekreacyjnych i zieleni - bliskość placówek edukacyjnych, sklepów i punktów usługowych - szeroki wybór mieszkań z balkonami lub ogródkami Niniejszy materiał ma charakter informacyjny i nie stanowi oferty w rozumieniu Kodeksu cywilnego. Oficjalna strona internetowa inwestycji: https://develia.pl/pl/mieszkania/warszawa/trzcinowa-vita/",,,,,własność,Wyposażenie: internet,52.212363,20.919162
Warszawa,Ursynów,1,30,499000,16633,Pośrednik,,6,https://adresowo.pl/o/mieszkanie-warszawa-ursynow-1-pokoj-30-m2-g7w8s0,https://s2.adresowa.pl/oi/56/3b/3ee07a_d9a9_cover@2x-1-pokojowe-mieszkanie-warszawa-ursynow.webp,Warszawa Ursynów,,9,1984,blok,,"Szukasz funkcjonalnego mieszkania w świetnie skomunikowanym centrum Ursynowa, które będzie idealnym startem na własny rachunek lub bezpieczną lokatą kapitału pod wynajem? Ta nieruchomość doskonale wpisuje się w obie te potrzeby. Na sprzedaż jasna i ustawna kawalerka o powierzchni 30 m², położona na wysokim, 9. piętrze budynku z 1984 roku. Dzięki tej wysokości oraz ekspozycji okien, z wnętrza roztacza się piękny, kojący widok na zielony skwer, który pozwala odetchnąć od wielkomiejskiego zgiełku. Przestrzeń została rozplanowana w sposób wyjątkowo komfortowy jak na ten metraż. Ogromnym atutem jest oddzielna, naturalnie doświetlona i super jasna kuchnia, która zapewnia pełną wygodę podczas codziennego gotowania. Układ: • przestronny pokój dzienny z oknem francuskim • osobna, jasna kuchnia • łazienka • przedpokój Mieszkanie jest w stanie gotowym do wprowadzenia i nie wymaga dodatkowych nakładów na start. Wnętrze nie jest umeblowane w ruchome meble, co daje nowemu właścicielowi pełną swobodę aranżacji i dopasowania przestrzeni do własnych potrzeb. Lokalizacja to jeden z największych punktów tej oferty. Centrum Ursynowa oferuje pełną infrastrukturę na wyciągnięcie ręki - sklepy, punkty usługowe, klimatyczne knajpki oraz świetne połączenia komunikacyjne z resztą Warszawy. Do mieszkania przynależy piwnica (w cenie) oraz naziemne miejsce parkingowe na terenie ogrodzonym za bramą (dodatkowo płatne 50 000 zł, zakup obligatoryjny). Stan prawny: Grunty są w pełni uregulowane. Aktualnie dla lokalu nie ma założonej Księgi Wieczystej, jednak istnieje możliwość jej szybkiego założenia przy transakcji. Cena: 499 000 zł + 50 000 zł miejsce parkingowe. Jeśli szukasz dobrze zlokalizowanego mieszkania z pięknym widokiem na zieleń, zapraszam do kontaktu i umówienia prezentacji.",,tak,,,,,52.153877,21.04849
Warszawa Wawer,ul. Pod Brzozami,3,71,995000,14014,Pośrednik,,15,https://adresowo.pl/o/mieszkanie-warszawa-wawer-ul-pod-brzozami-3-pokojowe-m4j9z7,https://s2.adresowa.pl/oi/2b/6c/3ee06c_dae8_cover@2x-3-pokojowe-mieszkanie-warszawa-wawer-ul-pod-brzozami.webp,Warszawa Wawer,Pod Brzozami,parter,2015,blok,,"Z przyjemnością przedstawiam Państwu ofertę dwupoziomowego, 3-pokojowego mieszkania z ogródkiem w dzielnicy Wawer. Nieruchomość Mieszkanie o powierzchni 71,2m2 jest dwupoziomowe, składa się z: parter - przedpokój, oddzielna kuchnia z oknem, łazienka, sypialnia oraz salon z wyjściem na taras i ogródek, piętro - sypialnia z łazienką, Mieszkanie idealnie sprawdzi się dla singla, pary lub pary z dzieckiem. Brak czynszu - płatność według zużycia mediów. Mieszkanie znajduje się na zamkniętym osiedlu, do mieszkania przynależy miejsce parkingowe przy samym wejściu do mieszkania. Brak części wspólnych, każdy lokal ma osobne wejście • pełna własność - KW • zamknięte osiedle • miejsce parkingowe • z ogródkiem • dwupoziomowe Lokalizacja Mieszkanie znajduje się w dzielnicy Wawer przy ul. Pod Brzozami. Bliskość Wału Miedzeszyńskiego zapewnia dogodny dojazd do Centrum samochodem jak i autobusem. W pieszej odległości znajduje się siłownia, Biedronka Żabka, przedszkole. Zapraszam na prezentację! Ekspert ds. Nieruchomości Szymon Kudyba The Estate Warsaw",,tak,,,własność,,52.199105,21.122619
Warszawa Śródmieście,pl. Defilad,2,58,1670000,28793,bez pośredników,,4,https://adresowo.pl/o/mieszkanie-warszawa-srodmiescie-pl-defilad-2-pokojowe-f8b5g2,https://s2.adresowa.pl/oi/1b/6a/3edfc0_f118_cover@2x-2-pokojowe-mieszkanie-warszawa-srodmiescie-pl-defilad.webp,Warszawa Śródmieście,pl. Defilad,2,1959,kamienica,,"Ogłoszenie bezpośrednie. KONTAKT telefoniczny. Odrębna własność z księgą wieczystą, brak obciążeń na lokalu. Na sprzedaż doskonale zlokalizowane mieszkanie w centrum, na skrzyżowaniu Marszałkowskiej i Świętokrzyskiej. Piętro 2/5, bezpośrednio przy Metrze Świętokrzyska. Mieszkanie jest ciche, z dwustronną ekspozycją. 2 niezależne pokoje, kuchnia, łazienka, przestronny korytarz. Wykonana stolarka meblowa, antresola (wysokość pomieszczeń ok. 3,5 m). Łącznie 58,15 mkw. plus przynależna piwnica. Dostępne media: gaz, prąd, oraz C.O. + ciepła woda miejskie. Dostęp do internetu ze skrzynek operatorów z klatki schodowej. Mieszkanie po kapitalnym remoncie w podwyższonym standardzie. Mieszkanie zlokalizowane jest w kamienicy z końca lat 50., która posiada zadbaną, przestronną i widną klatkę schodową z windą, domofonem i monitoringiem. Kamienica przechodziła remonty dachu, pionów wod-kan. oraz C.O., piwnic.",tak,,,,własność,Wyposażenie: internet,52.232183,21.00991
Warszawa Praga-Południe,ul. Tadeusza Rechniewskiego,1,45,650000,14444,bez pośredników,,14,https://adresowo.pl/o/mieszkanie-warszawa-praga-poludnie-ul-tadeusza-rechniewskiego-1-pokoj-d8a0t0,https://s2.adresowa.pl/oi/56/23/3edf90_3bc3_cover@2x-1-pokojowe-mieszkanie-warszawa-praga-poludnie-ul-tadeusza-rechniewskiego.webp,Warszawa Praga-Południe,Tadeusza Rechniewskiego,3,1988,blok,,"SPRZEDAM DUŻĄ KAWALERKĘ 45m + loggia, ul. Rechniewskiego 5a. Dostępne od lipca. Świadectwo energetyczne będzie dostępne jeszcze w tym miesiącu. piętro 3/10 po odświeżeniu będą białe ściany i nowe panele. okna plastikowe, wychodzą na południowy zachód. duży hol wejściowy loggia z rozsuwanymi oknami i wbudowaną szafą w holu wejściowym szafa typu komandor dwie nowe windy odnowiona klatka schodowa z dwoma wejściami oraz windą zewnętrzną piwnica możliwość wynajęcia miejsca postojowego na strzeżonym parkingu Cena 650.000zł",tak,tak,aneks,plastikowe,własność,,52.227241,21.102456
Warszawa Bemowo,ul. Szeligowska,2,46,zapytaj,,bez pośredników,,+62 podobne oferty,https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-szeligowska-2-pokojowe-q3b1o3,https://s2.adresowa.pl/development/671976/nowe-mieszkania-m-bemowo-77b6_cover.jpg,Warszawa Bemowo,Szeligowska,1,2027,blok,,"Nowe mieszkanie 2-pokojowe o powierzchni 46,82 m² w inwestycji M Bemowo dewelopera DEVELIA, na 1 piętrze pod adresem ul. Szeligowska, Warszawa Bemowo. Planowany termin oddania to III kwartał 2027 roku. LOKALIZACJA M Bemowo 3 powstaje na warszawskim Bemowie – jednej z najszybciej rozwijających się dzielnic stolicy, cenionej za balans między miejską energią a dostępem do zieleni i miejsc rekreacji. Inwestycja zlokalizowana jest w bezpośrednim sąsiedztwie dwóch nowo budowanych stacji metra – Chrzanów i Karolin, co zapewni szybki i wygodny dojazd do Śródmieścia oraz pozostałych części Warszawy. W promieniu kilku minut spacerem znajdują się również przystanki autobusowe, sklepy spożywcze, punkty usługowe, apteki, restauracje, a także placówki edukacyjne – żłobki, przedszkola oraz szkoły podstawowe. Zaledwie 8 minut dzieli mieszkańców od popularnego Parku Górczewska – idealnego miejsca na spacery i aktywność fizyczną. W podobnej odległości znajduje się także naturalne kąpielisko Glinianki Sznajdra oraz centrum handlowe Fort Wola. Rodziny z dziećmi docenią bliskość placów zabaw, terenów sportowych i miejskich instytucji kultury, takich jak Bemowskie Centrum Kultury. Lokalizacja oferuje również dogodny dostęp do tras wylotowych – m.in. ulicy Lazurowej, Połczyńskiej oraz drogi S8 – co pozwala na sprawne poruszanie się także poza granicami miasta. OFERTA W ramach inwestycji M Bemowo 3 zaprojektowano 59 nowoczesnych mieszkań o powierzchniach od 35 do 100 m². Dostępne są zarówno kompaktowe 2-pokojowe lokale „na start”, jak i przestronne 4-pokojowe mieszkania idealne dla rodzin. Wszystkie lokale wyposażone są w balkony, loggie lub ogródki, a duże przeszklenia zapewniają naturalne doświetlenie wnętrz. Budynek utrzymany jest w nowoczesnym, minimalistycznym stylu z eleganckimi akcentami drewna, szkła i zieleni. Dla komfortu mieszkańców przewidziano teren rekreacyjny, zieloną strefę relaksu, a także udogodnienia takie jak stanowisko do ładowania samochodów elektrycznych, stojaki i stacja naprawy rowerów czy panele fotowoltaiczne. ATUTY Atuty inwestycji - Szeroki wybór mieszkań z balkonami, tarasami lub ogródkami - Komfortowe, funkcjonalne układy mieszkań - System smart home w standardzie - Rozwiązania przyjazne środowisku - 8 minut pieszo do realizowanej stacji metra Chrzanów - Doskonałe połączenie komunikacyjne z innymi częściami Warszawy Bliskość placówek edukacyjnych, sklepów i punktów usługowych. Niniejszy materiał nie stanowi oferty w rozumieniu Kodeksu cywilnego i ma charakter wyłącznie informacyjny. Szczegóły inwestycji oraz pełna oferta dostępne są na stronie internetowej: www. develia.pl",,,,,własność,Wyposażenie: internet,52.227983,20.878835
Warszawa Ursynów,ul. Stanisława Kazury,3,56,950000,16964,Pośrednik,,16,https://adresowo.pl/o/mieszkanie-warszawa-ursynow-ul-stanislawa-kazury-3-pokojowe-h0d8u6,https://s2.adresowa.pl/oi/73/3b/3ee052_fbd2_cover@2x-3-pokojowe-mieszkanie-warszawa-ursynow-ul-stanislawa-kazury.webp,Warszawa Ursynów,Stanisława Kazury,6,2002,blok,,"Na sprzedaż funkcjonalne, trzypokojowe mieszkanie ok 800 m od Metro Imielin, o powierzchni 56,2 m², położone na najwyższym piętrze w 6-piętrowym budynku. Lokal posiada balkon oraz bardzo korzystny układ pomieszczeń z trzema niezależnymi pokojami i oddzielną kuchnią Blok jest położony: ok 15 minut spacerem, od Metro Imielin, przy terenach zielonych oraz 3 minuty od przystanku autobusowego Cena: 950 000 zł Forma własności: Spółdzielcze własnościowe prawo do lokalu, grunty uregulowane, możliwość założenia KW – możliwość zakupu przy wsparciu kredytu hipotecznego Klientom kupującym gwarantujemy bezpłatną weryfikację zdolności kredytowej, dodatkowe zniżki na kredyty hipoteczne ze względu na stałą współpracę z doradcą kredytowym oraz zniżki na usługi notarialne. KONTAKT: [numer] Mieszkanie posiada bardzo funkcjonalny, rozkładowy układ pomieszczeń, w którym wszystkie pokoje są niezależne i dostępne z centralnego holu. - Salon (17,6, m²) Przestronny pokój dzienny z wyjściem na balkon. Duże okna zapewniają dobre doświetlenie pomieszczenia, - Sypialnia 1 (12,4, m²) Ustawny pokój, który świetnie sprawdzi się jako sypialnia. -Sypialnia 2 (3, m²) - Kuchnia (9,5, m²), - Łazienka z WC (5,1 m²) - Hall / przedpokój (8,5, m²) - Balkon (7,5, m²) Centralna część mieszkania zapewniająca wygodną komunikację pomiędzy wszystkimi pomieszczeniami. Czynsz: 850zł Piętro: 6/6 Okolica: Doskonale rozwinięta, bezpieczna i zielona okolica na warszawskim Ursynowie. Zaledwie krótki spacer dzieli budynek od rozległego Parku im. Cichociemnych Spadochroniarzy AK, oraz Bike park Kazoora czyli liczne ścieżki rowerowe, trasy dla miłośników rolkowisk oraz nowoczesne place zabaw dla dzieci. Bezpośrednio na miejscu i w najbliższym sąsiedztwie działają sklepy spożywcze (w tym Żabka), piekarnie, apteki oraz różnorodne punkty usługowe. W odległości około 10 minut pieszo znajdują się popularne restauracje, klimatyczne kawiarnie, a także stacja metra Imielin. W promieniu kilkuset metrów funkcjonują żłobki, przedszkola, szkoły podstawowe, Arena Ursynów z bogatą ofertą sportową, basen, kluby fitness oraz kampus uczelni SGGW. Amadeusz Zarzycki",,tak,osobna,drewniane,,,52.139625,21.043773
