locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Wrocław Stare Miasto,ul. Grabiszyńska,1,25,449000,17960,bez pośredników,,20,https://adresowo.pl/o/mieszkanie-wroclaw-stare-miasto-ul-grabiszynska-1-pokoj-q5e5y3,https://s2.adresowa.pl/oi/6d/3f/389dea_71c4_cover@2x-1-pokojowe-mieszkanie-wroclaw-stare-miasto-ul-grabiszynska.webp
Wrocław Stare Miasto,ul. Tadeusza Rejtana 5,2,68,950000,13971,bez pośredników,,9,https://adresowo.pl/o/mieszkanie-wroclaw-stare-miasto-ul-tadeusza-rejtana-2-pokojowe-l5o5s8,https://s2.adresowa.pl/oi/3d/64/40180e_817b_cover@2x-2-pokojowe-mieszkanie-wroclaw-stare-miasto-ul-tadeusza-rejtana.webp
Wrocław Stare Miasto,ul. Żytnia,1,27,380000,14074,bez pośredników,,4,https://adresowo.pl/o/mieszkanie-wroclaw-stare-miasto-ul-zytnia-1-pokoj-a0h6z1,https://s2.adresowa.pl/oi/61/56/4013c4_6005_cover@2x-1-pokojowe-mieszkanie-wroclaw-stare-miasto-ul-zytnia.webp
Wrocław Stabłowice,ul. Łomnicka,2,44,541815,12314,bez pośredników,,+16 podobnych ofert,https://adresowo.pl/o/mieszkanie-wroclaw-stablowice-ul-lomnicka-2-pokojowe-g9b1e1,https://s2.adresowa.pl/development/673384/nowe-mieszkania-vista-eco-budynek-a-c0cb_cover.jpg
Wrocław Krzyki,al. Wiśniowa,3,65,877175,13495,Pośrednik,,13,https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-al-wisniowa-3-pokojowe-n8s8w1,https://s2.adresowa.pl/oi/55/72/401a30_6cc9_cover@2x-3-pokojowe-mieszkanie-wroclaw-krzyki-al-wisniowa.webp
Wrocław Maślice,ul. Maślicka,4,65,990000,15231,Pośrednik,,20,https://adresowo.pl/o/mieszkanie-wroclaw-maslice-ul-maslicka-4-pokojowe-l7w2w2,https://s2.adresowa.pl/oi/51/1f/401a14_cee1_cover@2x-4-pokojowe-mieszkanie-wroclaw-maslice-ul-maslicka.webp
Wrocław Psie Pole,ul. Kiełczowska,2,47,499000,10617,bez pośredników,,8,https://adresowo.pl/o/mieszkanie-wroclaw-psie-pole-ul-kielczowska-2-pokojowe-y0h5f5,https://s2.adresowa.pl/oi/2e/74/4011f2_6a1f_cover@2x-2-pokojowe-mieszkanie-wroclaw-psie-pole-ul-kielczowska.webp
Wrocław,ul. Olbrachtowska,1,31,480000,15484,bez pośredników,,17,https://adresowo.pl/o/mieszkanie-wroclaw-ul-olbrachtowska-1-pokoj-z0f3q7,https://s2.adresowa.pl/oi/5f/27/4011a6_de86_cover@2x-1-pokojowe-mieszkanie-wroclaw-ul-olbrachtowska.webp
Wrocław Stabłowice,ul. Łomnicka,3,51,587650,11523,bez pośredników,,+22 podobne oferty,https://adresowo.pl/o/mieszkanie-wroclaw-stablowice-ul-lomnicka-3-pokojowe-d2j3j8,https://s2.adresowa.pl/development/673384/nowe-mieszkania-vista-eco-budynek-a-c0cb_cover.jpg
Wrocław Swojczyce,ul. Ameriga Vespucciego,4,74,1695000,22905,Pośrednik,,16,https://adresowo.pl/o/mieszkanie-wroclaw-swojczyce-ul-ameriga-vespucciego-4-pokojowe-w4u4s0,https://s2.adresowa.pl/oi/6e/2f/401838_a1ba_cover@2x-4-pokojowe-mieszkanie-wroclaw-swojczyce-ul-ameriga-vespucciego.webp
Wrocław Sołtysowice,ul. Sołtysowicka,2,36,580000,16111,Pośrednik,,8,https://adresowo.pl/o/mieszkanie-wroclaw-soltysowice-ul-soltysowicka-2-pokojowe-f8j2i4,https://s2.adresowa.pl/oi/6f/3d/40170e_8c09_cover@2x-2-pokojowe-mieszkanie-wroclaw-soltysowice-ul-soltysowicka.webp
Wrocław Gaj,ul. Krynicka,2,35,579000,16543,bez pośredników,,13,https://adresowo.pl/o/mieszkanie-wroclaw-gaj-ul-krynicka-2-pokojowe-p1j4h1,https://s2.adresowa.pl/oi/33/43/40109e_9da0_cover@2x-2-pokojowe-mieszkanie-wroclaw-gaj-ul-krynicka.webp
Wrocław Krzyki,ul. ks. Czesława Klimasa,2,42,760000,18095,bez pośredników,,9,https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-ks-czeslawa-klimasa-2-pokojowe-y1u1c4,https://s2.adresowa.pl/oi/65/4c/400d18_af62_cover@2x-2-pokojowe-mieszkanie-wroclaw-krzyki-ul-ks-czeslawa-klimasa.webp
Wrocław Stabłowice,ul. Łomnicka,1,32,433356,13542,bez pośredników,,+3 podobne oferty,https://adresowo.pl/o/mieszkanie-wroclaw-stablowice-ul-lomnicka-1-pokoj-v2q5h4,https://s2.adresowa.pl/development/673384/nowe-mieszkania-vista-eco-budynek-a-c0cb_cover.jpg
Wrocław Stare Miasto,ul. Kolejowa 54,1,27,399000,14778,Pośrednik,,14,https://adresowo.pl/o/mieszkanie-wroclaw-stare-miasto-ul-kolejowa-1-pokoj-q1h0o4,https://s2.adresowa.pl/oi/2c/57/401700_85b5_cover@2x-1-pokojowe-mieszkanie-wroclaw-stare-miasto-ul-kolejowa.webp
Wrocław,Maślice,2,38,489000,12868,Pośrednik,,2,https://adresowo.pl/o/mieszkanie-wroclaw-maslice-2-pokojowe-38-m2-r8l2l7,https://s2.adresowa.pl/oi/2b/22/4016f8_791e_cover@2x-2-pokojowe-mieszkanie-wroclaw-maslice.webp
Wrocław Różanka,ul. Bezpieczna,3,55,605000,11000,bez pośredników,,20,https://adresowo.pl/o/mieszkanie-wroclaw-rozanka-ul-bezpieczna-3-pokojowe-w8o1z3,https://s2.adresowa.pl/oi/4a/5f/400c94_be06_cover@2x-3-pokojowe-mieszkanie-wroclaw-rozanka-ul-bezpieczna.webp
Wrocław Krzyki,ul. Pułtuska,4,76,869000,11434,bez pośredników,,14,https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-pultuska-4-pokojowe-n6a9n1,https://s2.adresowa.pl/oi/5d/4e/400c38_9881_cover@2x-4-pokojowe-mieszkanie-wroclaw-krzyki-ul-pultuska.webp
Wrocław Stabłowice,ul. Łomnicka,4,69,828835,12012,bez pośredników,,+3 podobne oferty,https://adresowo.pl/o/mieszkanie-wroclaw-stablowice-ul-lomnicka-4-pokojowe-h8t4b2,https://s2.adresowa.pl/development/673384/nowe-mieszkania-vista-eco-budynek-a-c0cb_cover.jpg
Wrocław Grabiszyn,ul. Inżynierska,3,63,740000,11746,Pośrednik,,14,https://adresowo.pl/o/mieszkanie-wroclaw-grabiszyn-ul-inzynierska-3-pokojowe-s2l3z6,https://s2.adresowa.pl/oi/6c/4b/40134c_a26f_cover@2x-3-pokojowe-mieszkanie-wroclaw-grabiszyn-ul-inzynierska.webp
Wrocław Fabryczna,ul. Kozanowska,3,61,629000,10311,Pośrednik,,13,https://adresowo.pl/o/mieszkanie-wroclaw-fabryczna-ul-kozanowska-3-pokojowe-e6k1k2,https://s2.adresowa.pl/oi/7c/75/40134a_d704_cover@2x-3-pokojowe-mieszkanie-wroclaw-fabryczna-ul-kozanowska.webp
Wrocław,Stare Miasto,2,35,710000,20286,bez pośredników,,7,https://adresowo.pl/o/mieszkanie-wroclaw-stare-miasto-2-pokojowe-35-m2-b6d3b5,https://s2.adresowa.pl/oi/1a/4d/400c16_4696_cover@2x-2-pokojowe-mieszkanie-wroclaw-stare-miasto.webp
Wrocław Fabryczna,ul. Legnicka,4,64,695000,10859,bez pośredników,,20,https://adresowo.pl/o/mieszkanie-wroclaw-fabryczna-ul-legnicka-4-pokojowe-d5p3l3,https://s2.adresowa.pl/oi/60/12/400c0c_5640_cover@2x-4-pokojowe-mieszkanie-wroclaw-fabryczna-ul-legnicka.webp
Wrocław Ołtaszyn,ul. Orawska,2,40,zapytaj,,bez pośredników,,+16 podobnych ofert,https://adresowo.pl/o/mieszkanie-wroclaw-oltaszyn-ul-orawska-2-pokojowe-n8t2l8,https://s2.adresowa.pl/development/671232/nowe-mieszkania-orawska-vita-f418_cover.jpg
Wrocław Psie Pole,ul. Obornicka 87B,4,71,1209000,17028,Pośrednik,,22,https://adresowo.pl/o/mieszkanie-wroclaw-psie-pole-ul-obornicka-4-pokojowe-q5l8y3,https://s2.adresowa.pl/oi/2b/47/4010e6_5f83_cover@2x-4-pokojowe-mieszkanie-wroclaw-psie-pole-ul-obornicka.webp
Wrocław,Borek,4,64,889900,13905,Pośrednik,,18,https://adresowo.pl/o/mieszkanie-wroclaw-borek-4-pokojowe-64-m2-m8j0v6,https://s2.adresowa.pl/oi/73/2b/4010a6_5959_cover@2x-4-pokojowe-mieszkanie-wroclaw-borek.webp
